calibration,policy,year,births_per_household_percent,total_births_percent,household_mass_percent,rooms_percent,ownership_pp,dependent_child_ownership_pp,house_price_percent,housing_user_cost_percent
Current benchmark,property-tax-2pct-no-rebate,2063,-1.6234518642030404,-1.931070466398177,-0.31269505590959534,-6.186931188243183,0.7218188194319852,-0.09230088485485677,-10.080934489459315,11.62403641167693
Verified candidate,baseline,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,baseline,2027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,baseline,2031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,baseline,2035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,baseline,2039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,baseline,2043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,baseline,2047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,baseline,2051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,baseline,2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,baseline,2059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,baseline,2063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Verified candidate,supply-plus-20,2023,1.3432801120427218,1.3432801120427218,0.0,5.743354562253766,1.8362960789470861,2.844416840052366,-18.192394168974424,-18.192394168974424
Verified candidate,supply-plus-20,2027,1.440072944214199,1.4400729442141325,-5.551115123125783e-14,6.8148870314712395,2.5557370996693973,3.736189821624114,-16.869662040044798,-16.869662040044798
Verified candidate,supply-plus-20,2031,1.5293558334607882,1.5293558334607882,0.0,7.602753285816477,2.871308236987391,3.964454432786213,-15.894553070176832,-15.894553070176832
Verified candidate,supply-plus-20,2035,1.6088273619156768,1.6088273619157878,8.881784197001252e-14,8.14051274580423,2.835222587955999,3.7772418865960833,-15.22764893159636,-15.22764893159636
Verified candidate,supply-plus-20,2039,1.6735413600057925,1.6735413600056814,-9.992007221626409e-14,8.55306818817927,2.7027849580510743,3.620265734928907,-14.712881050945615,-14.712881050945603
Verified candidate,supply-plus-20,2043,1.7839035895035549,1.842899729560643,0.05796215116196102,8.813996568872696,2.7284359106549694,3.4694908335618613,-14.304486539887762,-14.304486539887762
Verified candidate,supply-plus-20,2047,1.8221020194791215,1.9450343754160437,0.12073248685575688,8.993093561507482,2.606802655636431,3.628941856331769,-13.984920376060195,-13.984920376060195
Verified candidate,supply-plus-20,2051,1.7357067236493773,1.9263755821090411,0.18741586862671689,9.091074140424094,2.3709578211573157,3.832113162927031,-13.791083995312214,-13.791083995312226
Verified candidate,supply-plus-20,2055,1.8308460850098518,2.09272237909488,0.25716794483510164,9.088857815529238,2.490275981988388,4.080808977615391,-13.684006953628213,-13.684006953628213
Verified candidate,supply-plus-20,2059,1.9585582151186332,2.2971540068593477,0.33209158472633504,8.904937720882078,2.3631381555735964,3.710509700850939,-13.818856963595149,-13.818856963595149
Verified candidate,supply-plus-20,2063,2.140588113468378,2.5677229225478104,0.4181832285956144,8.581155896785276,2.639600200140313,3.4602391158541135,-14.108535187897841,-14.108535187897854
Verified candidate,dependent-child-ltv95,2023,0.017992248020481938,0.017992248020459733,0.0,0.04377457153734721,0.7323515399345615,1.9892835035815293,0.0604449902616544,0.0604449902616766
Verified candidate,dependent-child-ltv95,2027,0.020291268765015857,0.020291268764904835,-1.1102230246251565e-13,0.0719617455839261,1.064947779731007,2.971992561393866,0.11291609061001573,0.11291609061001573
Verified candidate,dependent-child-ltv95,2031,0.024548149897074545,0.024548149896985727,-7.771561172376096e-14,0.06445141894075856,1.201195472013672,3.448034716106463,0.10539037547270258,0.10539037547270258
Verified candidate,dependent-child-ltv95,2035,0.030551622288133018,0.03055162228824404,1.1102230246251565e-13,0.055574055880502904,1.2730929475886166,3.787178895613774,0.07486061442565362,0.07486061442565362
Verified candidate,dependent-child-ltv95,2039,0.037622027061701147,0.03762202706167894,-2.220446049250313e-14,0.04662792023868434,1.357085376664502,4.224848742545017,0.07486061442567582,0.07486061442567582
Verified candidate,dependent-child-ltv95,2043,0.044140532874026306,0.044917235899877284,0.0007763603362631599,0.03850408876058253,1.4592143614611253,4.742700806941458,0.05940238486195071,0.05940238486197291
Verified candidate,dependent-child-ltv95,2047,0.04654586110590664,0.04820573033104125,0.0016590969841523417,0.019364002754063137,1.5377445589621952,5.155775020934483,0.04385528575687747,0.043855285756899676
Verified candidate,dependent-child-ltv95,2051,0.0477157866294764,0.050433506349056856,0.002716423556714531,0.021656538084879884,1.5739077633192267,5.241604386324572,0.03608113214157438,0.03608113214157438
Verified candidate,dependent-child-ltv95,2055,0.05454386204577499,0.058546682461302346,0.004000638312895433,0.02233933163440227,1.5802952044212115,5.299909265116187,0.051612541370626985,0.051612541370626985
Verified candidate,dependent-child-ltv95,2059,0.06247979754874233,0.0680690855213939,0.005585797977381013,0.01493610559291092,1.6129444773268276,5.4532664571646965,0.03598164786846603,0.03598164786846603
Verified candidate,dependent-child-ltv95,2063,0.07481803090578776,0.08236400048253767,0.007540328051791612,0.019312022224760028,1.6270136038552097,5.610719539953957,0.04380137110495674,0.04380137110495674
Verified candidate,combined,2023,1.3655190327948263,1.3655190327948263,0.0,5.887953634965126,2.988382322511496,5.9602829954469305,-18.0166430481948,-18.0166430481948
Verified candidate,combined,2027,1.4653012662438902,1.4653012662438014,-7.771561172376096e-14,7.004323097506382,4.087400130629737,7.966964831356038,-16.633747120742914,-16.633747120742903
Verified candidate,combined,2031,1.5610370204962587,1.561037020496281,4.440892098500626e-14,7.731743628416887,4.479116372517522,8.495273732919205,-15.729819496289089,-15.729819496289089
Verified candidate,combined,2035,1.6504585008630945,1.6504585008632722,1.7763568394002505e-13,8.240221079011123,4.450655607338694,8.45939292908362,-15.106584820667335,-15.106584820667335
Verified candidate,combined,2039,1.723099918476123,1.7230999184760787,-4.440892098500626e-14,8.635588371364445,4.31772534723609,8.485026047663114,-14.610657859897103,-14.610657859897103
Verified candidate,combined,2043,1.8447932835773173,1.9048020223488837,0.0589217542073861,8.894251019951449,4.435444025516055,8.84784173286336,-14.201773856514466,-14.201773856514466
Verified candidate,combined,2047,1.8852712676679317,2.010375543080545,0.12278936283534048,9.060943514937403,4.345262538010097,9.275238514713713,-13.901821492271305,-13.901821492271305
