age,z_index,z,threshold_prob_0p10,threshold_prob_0p50,threshold_prob_0p90,min_owner_probability,max_owner_probability,owner_probability_lowest_wealth,owner_probability_highest_wealth
34.0,4,1.5455844104209013,1.0,1.27906976744186,4.906976744186046,0.0,0.9826639890670776,0.0,0.9826639890670776
38.0,0,0.6134533968572546,1.4186046511627906,1.6976744186046506,16.341640786499873,0.0,0.9793214797973633,nan,0.9781725406646729
38.0,1,0.7728751856900854,0.720930232558139,0.720930232558139,13.857142857142858,0.0,0.9784697890281677,nan,0.9775950908660889
38.0,2,0.9737268645273782,2.395348837209302,2.953488372093023,11.571428571428571,0.0,0.9778172373771667,nan,0.9767435789108276
38.0,3,1.2267750656993077,1.1395348837209305,3.0930232558139537,8.714285714285714,0.0,0.9795597791671753,nan,0.9751282930374146
38.0,4,1.5455844104209013,1.0,1.27906976744186,4.906976744186046,0.0,0.9797525405883789,nan,0.9797525405883789
42.0,0,0.6134533968572546,0.8604651162790695,1.0,1.1395348837209305,0.0,0.9788347482681274,nan,0.9762468338012695
42.0,1,0.7728751856900854,0.720930232558139,0.720930232558139,0.720930232558139,0.0,0.9786211252212524,nan,0.9753282070159912
42.0,2,0.9737268645273782,0.720930232558139,1.0,9.285714285714285,0.0,0.9770432710647583,nan,0.9742035865783691
42.0,3,1.2267750656993077,1.0,1.0,6.581395348837209,0.0,0.9780694842338562,nan,0.9723544120788574
42.0,4,1.5455844104209013,1.0,1.27906976744186,3.5116279069767433,0.0,0.9771778583526611,nan,0.9713094234466553
46.0,0,0.6134533968572546,1.1395348837209305,1.27906976744186,1.4186046511627906,0.0,0.9787728786468506,nan,0.9755364060401917
46.0,1,0.7728751856900854,0.720930232558139,0.720930232558139,0.720930232558139,0.0,0.978676438331604,nan,0.9746075868606567
46.0,2,0.9737268645273782,0.720930232558139,1.4186046511627906,8.142857142857142,0.0,0.9774942398071289,nan,0.9734594821929932
46.0,3,1.2267750656993077,1.0,1.0,6.581395348837209,0.0,0.9778013229370117,nan,0.9720755219459534
46.0,4,1.5455844104209013,1.0,1.27906976744186,4.069767441860465,0.0,0.9773104190826416,nan,0.9689904451370239
50.0,0,0.6134533968572546,1.4186046511627906,1.558139534883721,1.6976744186046506,0.0,0.9782748818397522,nan,0.9740952849388123
50.0,1,0.7728751856900854,0.720930232558139,0.720930232558139,0.720930232558139,0.0,0.9786289930343628,nan,0.973535418510437
50.0,2,0.9737268645273782,0.720930232558139,0.720930232558139,8.142857142857142,0.0,0.9777371883392334,nan,0.9724353551864624
50.0,3,1.2267750656993077,1.0,1.0,5.604651162790697,0.0,0.9775410294532776,nan,0.9711044430732727
50.0,4,1.5455844104209013,1.0,1.27906976744186,4.488372093023255,0.0,0.9774308800697327,nan,0.9678963422775269
54.0,0,0.6134533968572546,0.44186046511627897,1.837209302325581,1.9767441860465116,0.0,0.9769290089607239,nan,0.9715287089347839
54.0,1,0.7728751856900854,0.720930232558139,0.720930232558139,1.0,0.0,0.9782202839851379,nan,0.9718291163444519
54.0,2,0.9737268645273782,0.720930232558139,0.720930232558139,0.720930232558139,0.0,0.9780135154724121,nan,0.97100830078125
54.0,3,1.2267750656993077,1.0,1.0,5.7441860465116275,0.0,0.977399468421936,nan,0.9698775410652161
54.0,4,1.5455844104209013,1.0,1.0,3.651162790697674,0.0,0.97749263048172,nan,0.9677150845527649
58.0,0,0.6134533968572546,0.44186046511627897,0.44186046511627897,2.2558139534883717,0.0,0.977638304233551,nan,0.9711573123931885
58.0,1,0.7728751856900854,1.0,1.1395348837209305,1.4186046511627906,0.0,0.976563572883606,nan,0.9696682691574097
58.0,2,0.9737268645273782,0.720930232558139,0.720930232558139,0.720930232558139,0.0,0.9778681397438049,nan,0.9687464833259583
58.0,3,1.2267750656993077,0.720930232558139,0.720930232558139,6.023255813953488,0.0,0.9771829843521118,nan,0.9681847095489502
58.0,4,1.5455844104209013,1.0,1.0,4.627906976744185,0.0,0.9778286218643188,nan,0.967181921005249
62.0,0,0.6134533968572546,0.44186046511627897,0.44186046511627897,0.44186046511627897,0.0,0.9808124303817749,nan,0.9689923524856567
62.0,1,0.7728751856900854,0.44186046511627897,1.837209302325581,1.9767441860465116,0.0,0.9780833721160889,nan,0.9680570960044861
62.0,2,0.9737268645273782,1.0,1.1395348837209305,1.4186046511627906,0.0,0.9779216647148132,nan,0.9666255712509155
