wealth_measure,group,parent_status,tenure_status,wealth,liquid_wealth,total_wealth,ergodic_mass,population_share,within_group_share,group_population_share,total_population_mass,liquidated_housing_discount_1_minus_psi
total_wealth_net_liquidation,all,all,all,-1.366565047485,nan,-1.366565047485,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.340754869962,nan,-1.340754869962,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.309416716668,nan,-1.309416716668,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.232558139535,nan,-1.232558139535,0.009472443170884479,0.009472443170884894,0.009472443170884892,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.201219986241,nan,-1.201219986241,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.169881832948,nan,-1.169881832948,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.093023255814,nan,-1.093023255814,0.003054753886283822,0.003054753886283956,0.003054753886283955,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.06168510252,nan,-1.06168510252,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-1.030346949227,nan,-1.030346949227,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.953488372093,nan,-0.953488372093,0.00649824607740868,0.006498246077408966,0.006498246077408964,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.922150218799,nan,-0.922150218799,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.890812065506,nan,-0.890812065506,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.813953488372,nan,-0.813953488372,0.0020703466025000263,0.002070346602500117,0.0020703466025001165,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.782615335078,nan,-0.782615335078,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.751277181785,nan,-0.751277181785,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.719939028491,nan,-0.719939028491,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.693252037988,nan,-0.693252037988,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.674418604651,nan,-0.674418604651,0.004555695491770442,0.004555695491770642,0.004555695491770641,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.666565047485,nan,-0.666565047485,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.643080451357,nan,-0.643080451357,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.611742298064,nan,-0.611742298064,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.58040414477,nan,-0.58040414477,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.53488372093,nan,-0.53488372093,0.0016556328876041588,0.0016556328876042314,0.001655632887604231,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.503545567637,nan,-0.503545567637,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.472207414343,nan,-0.472207414343,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.440869261049,nan,-0.440869261049,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.395348837209,nan,-0.395348837209,0.0019012368142501438,0.0019012368142502273,0.0019012368142502269,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.364010683916,nan,-0.364010683916,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.332672530622,nan,-0.332672530622,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.301334377328,nan,-0.301334377328,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.255813953488,nan,-0.255813953488,0.0016960604316076991,0.0016960604316077735,0.001696060431607773,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.224475800195,nan,-0.224475800195,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.193137646901,nan,-0.193137646901,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.161799493607,nan,-0.161799493607,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.116279069767,nan,-0.116279069767,0.008389193210703721,0.00838919321070409,0.008389193210704088,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.084940916474,nan,-0.084940916474,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
total_wealth_net_liquidation,all,all,all,-0.05360276318,nan,-0.05360276318,0.0,0.0,0.0,1.0000000000000002,0.9999999999999561,0.94
