State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base
Alaska,AK,2,2024,4.72,653.99,376.16,249.94
Alaska,AK,2,2025,4.09,680.74,391.55,260.16
Arizona,AZ,4,1975,,100,43.62,29.27
Arizona,AZ,4,1976,3.75,103.75,45.26,30.37
Arizona,AZ,4,1977,8.76,112.84,49.23,33.03
Arizona,AZ,4,1978,15.84,130.72,57.02,38.27
Arizona,AZ,4,1979,22.42,160.02,69.81,46.84
Arizona,AZ,4,1980,11.58,178.55,77.89,52.27
Arizona,AZ,4,1981,7.7,192.3,83.89,56.29
Arizona,AZ,4,1982,-6.18,180.41,78.7,52.81
Arizona,AZ,4,1983,11.63,201.4,87.86,58.96
Arizona,AZ,4,1984,4.35,210.17,91.68,61.52
Arizona,AZ,4,1985,4.3,219.21,95.63,64.17
Arizona,AZ,4,1986,4.8,229.74,100.22,67.25
Arizona,AZ,4,1987,1.55,233.31,101.78,68.3
Arizona,AZ,4,1988,-0.92,231.16,100.84,67.67
Arizona,AZ,4,1989,-0.59,229.79,100.24,67.27
Arizona,AZ,4,1990,-0.24,229.24,100,67.11
Arizona,AZ,4,1991,2.1,234.04,102.1,68.51
Arizona,AZ,4,1992,2.04,238.82,104.18,69.91
Arizona,AZ,4,1993,1.83,243.19,106.09,71.19
Arizona,AZ,4,1994,4.74,254.71,111.11,74.56
Arizona,AZ,4,1995,6.51,271.3,118.35,79.42
Arizona,AZ,4,1996,4.15,282.56,123.26,82.72
Arizona,AZ,4,1997,4.12,294.22,128.35,86.13
Arizona,AZ,4,1998,4.33,306.96,133.91,89.86
Arizona,AZ,4,1999,4.04,319.36,139.32,93.49
Arizona,AZ,4,2000,6.96,341.6,149.02,100
Arizona,AZ,4,2001,6.05,362.25,158.03,106.05
Arizona,AZ,4,2002,4.88,379.95,165.75,111.23
Arizona,AZ,4,2003,3.94,394.93,172.28,115.61
Arizona,AZ,4,2004,11.79,441.49,192.59,129.24
Arizona,AZ,4,2005,31.7,581.47,253.66,170.22
Arizona,AZ,4,2006,17.9,685.54,299.06,200.68
Arizona,AZ,4,2007,-1.19,677.37,295.49,198.29
Arizona,AZ,4,2008,-12.13,595.18,259.64,174.23
Arizona,AZ,4,2009,-18.54,484.84,211.5,141.93
Arizona,AZ,4,2010,-13.09,421.38,183.82,123.35
Arizona,AZ,4,2011,-10.8,375.88,163.97,110.04
Arizona,AZ,4,2012,4.32,392.12,171.06,114.79
Arizona,AZ,4,2013,12.12,439.66,191.79,128.7
Arizona,AZ,4,2014,10.33,485.09,211.61,142
Arizona,AZ,4,2015,5.65,512.51,223.57,150.03
Arizona,AZ,4,2016,7.03,548.53,239.29,160.57
Arizona,AZ,4,2017,7.51,589.72,257.25,172.63
Arizona,AZ,4,2018,7.77,635.54,277.24,186.05
Arizona,AZ,4,2019,6.84,679,296.2,198.77
Arizona,AZ,4,2020,6.58,723.66,315.68,211.84
Arizona,AZ,4,2021,19.09,861.81,375.95,252.29
Arizona,AZ,4,2022,21.3,1045.39,456.03,306.02
Arizona,AZ,4,2023,2.12,1067.56,465.71,312.52
Arizona,AZ,4,2024,4.01,1110.34,484.37,325.04
Arizona,AZ,4,2025,0.94,1120.76,488.91,328.09
Arkansas,AR,5,1975,,100,49.55,36.03
Arkansas,AR,5,1976,8.53,108.53,53.78,39.11
Arkansas,AR,5,1977,12.1,121.67,60.29,43.84
Arkansas,AR,5,1978,7.62,130.94,64.89,47.18
Arkansas,AR,5,1979,16.24,152.21,75.43,54.84
Arkansas,AR,5,1980,6.83,162.61,80.58,58.59
Arkansas,AR,5,1981,3.95,169.04,83.76,60.91
Arkansas,AR,5,1982,1.14,170.96,84.71,61.6
Arkansas,AR,5,1983,8.16,184.91,91.63,66.63
Arkansas,AR,5,1984,2.69,189.89,94.1,68.42
Arkansas,AR,5,1985,1.65,193.02,95.65,69.55
Arkansas,AR,5,1986,3.26,199.31,98.77,71.81
Arkansas,AR,5,1987,1.13,201.57,99.89,72.63
Arkansas,AR,5,1988,-1.2,199.16,98.69,71.76
Arkansas,AR,5,1989,0.3,199.75,98.98,71.97
Arkansas,AR,5,1990,1.03,201.8,100,72.71
Arkansas,AR,5,1991,1.69,205.22,101.69,73.94
Arkansas,AR,5,1992,2.57,210.49,104.31,75.84
Arkansas,AR,5,1993,3.94,218.8,108.42,78.84
Arkansas,AR,5,1994,4.98,229.69,113.82,82.76
Arkansas,AR,5,1995,5.44,242.18,120.01,87.26
Arkansas,AR,5,1996,2.83,249.04,123.41,89.73
Arkansas,AR,5,1997,2.76,255.92,126.82,92.21
Arkansas,AR,5,1998,3.06,263.74,130.69,95.03
Arkansas,AR,5,1999,2.22,269.6,133.6,97.14
Arkansas,AR,5,2000,2.94,277.53,137.53,100
Arkansas,AR,5,2001,4.61,290.32,143.86,104.61
Arkansas,AR,5,2002,2.7,298.16,147.75,107.43
Arkansas,AR,5,2003,2.61,305.95,151.61,110.24
Arkansas,AR,5,2004,5.58,323.03,160.07,116.39
Arkansas,AR,5,2005,7.27,346.51,171.71,124.85
Arkansas,AR,5,2006,5.92,367.01,181.87,132.24
Arkansas,AR,5,2007,2.49,376.16,186.4,135.54
Arkansas,AR,5,2008,-0.44,374.5,185.58,134.94
Arkansas,AR,5,2009,-1.97,367.14,181.93,132.29
Arkansas,AR,5,2010,-2.94,356.35,176.58,128.4
Arkansas,AR,5,2011,-1.62,350.58,173.72,126.32
Arkansas,AR,5,2012,-0.19,349.92,173.4,126.08
Arkansas,AR,5,2013,1.24,354.26,175.55,127.65
Arkansas,AR,5,2014,1.5,359.57,178.18,129.56
Arkansas,AR,5,2015,2.26,367.7,182.21,132.49
Arkansas,AR,5,2016,2.44,376.67,186.66,135.72
Arkansas,AR,5,2017,3.55,390.03,193.28,140.54
Arkansas,AR,5,2018,4.18,406.34,201.36,146.41
Arkansas,AR,5,2019,3.44,420.32,208.29,151.45
Arkansas,AR,5,2020,2.75,431.9,214.02,155.62
Arkansas,AR,5,2021,11.25,480.5,238.11,173.13
Arkansas,AR,5,2022,16.48,559.67,277.34,201.66
Arkansas,AR,5,2023,8.67,608.19,301.38,219.14
Arkansas,AR,5,2024,4.41,635,314.66,228.8
Arkansas,AR,5,2025,3.4,656.56,325.35,236.57
California,CA,6,1975,,100,19.32,16.47
California,CA,6,1976,18.9,118.9,22.97,19.59
California,CA,6,1977,25.31,148.99,28.79,24.54
California,CA,6,1978,19.11,177.46,34.29,29.23
California,CA,6,1979,16.63,206.98,39.99,34.09
California,CA,6,1980,16.34,240.81,46.53,39.67
California,CA,6,1981,9.96,264.79,51.16,43.62
California,CA,6,1982,-6.74,246.93,47.71,40.68
California,CA,6,1983,9.8,271.14,52.39,44.66
California,CA,6,1984,3.09,279.51,54,46.04
California,CA,6,1985,5.51,294.9,56.98,48.58
California,CA,6,1986,5.99,312.55,60.39,51.48
California,CA,6,1987,8.57,339.33,65.56,55.89
California,CA,6,1988,16.82,396.41,76.59,65.3
California,CA,6,1989,22.69,486.34,93.96,80.11
California,CA,6,1990,6.42,517.58,100,85.26
California,CA,6,1991,-0.57,514.61,99.43,84.77
California,CA,6,1992,-1.82,505.26,97.62,83.23
California,CA,6,1993,-5.2,479,92.55,78.9
California,CA,6,1994,-3.16,463.87,89.62,76.41
California,CA,6,1995,-2.72,451.24,87.18,74.33
California,CA,6,1996,-0.22,450.25,86.99,74.16
California,CA,6,1997,2.57,461.82,89.23,76.07
California,CA,6,1998,8.11,499.28,96.47,82.24
California,CA,6,1999,6.56,532.05,102.8,87.64
California,CA,6,2000,14.1,607.09,117.29,100
California,CA,6,2001,12.07,680.37,131.45,112.07
California,CA,6,2002,10.51,751.91,145.28,123.86
California,CA,6,2003,9.91,826.43,159.67,136.13
California,CA,6,2004,20.85,998.75,192.97,164.52
California,CA,6,2005,25.97,1258.18,243.09,207.25
California,CA,6,2006,10.47,1389.89,268.54,228.94
California,CA,6,2007,-4.54,1326.76,256.34,218.54
California,CA,6,2008,-19.76,1064.55,205.68,175.35
California,CA,6,2009,-15.2,902.73,174.42,148.7
California,CA,6,2010,-3.33,872.66,168.6,143.74
California,CA,6,2011,-5.95,820.77,158.58,135.2
California,CA,6,2012,-0.27,818.58,158.16,134.84
California,CA,6,2013,10.51,904.59,174.77,149
California,CA,6,2014,14.06,1031.79,199.35,169.96
California,CA,6,2015,5.78,1091.48,210.88,179.79
California,CA,6,2016,7.76,1176.22,227.26,193.75
California,CA,6,2017,6.44,1252,241.9,206.23
California,CA,6,2018,6.45,1332.76,257.5,219.53
California,CA,6,2019,3.25,1376.02,265.86,226.66
California,CA,6,2020,2.29,1407.55,271.95,231.85
California,CA,6,2021,12.71,1586.52,306.53,261.33
California,CA,6,2022,15.85,1838,355.12,302.76
California,CA,6,2023,1.81,1871.32,361.55,308.25
California,CA,6,2024,4.37,1953.02,377.34,321.7
California,CA,6,2025,0.75,1967.71,380.18,324.12
Colorado,CO,8,1975,,100,41.86,20.79
Colorado,CO,8,1976,9.5,109.5,45.84,22.76
Colorado,CO,8,1977,14.91,125.82,52.67,26.16
Colorado,CO,8,1978,18.89,149.59,62.63,31.1
Colorado,CO,8,1979,17.08,175.14,73.32,36.41
Colorado,CO,8,1980,9.75,192.22,80.47,39.96
Colorado,CO,8,1981,6.64,204.98,85.81,42.61
Colorado,CO,8,1982,11.71,228.98,95.86,47.6
Colorado,CO,8,1983,2.15,233.91,97.93,48.63
Colorado,CO,8,1984,0.11,234.18,98.04,48.68
Colorado,CO,8,1985,-0.17,233.79,97.87,48.6
Colorado,CO,8,1986,2.13,238.76,99.96,49.64
Colorado,CO,8,1987,-1.11,236.11,98.85,49.08
Colorado,CO,8,1988,-2.31,230.67,96.57,47.95
Colorado,CO,8,1989,1.13,233.28,97.66,48.5
Colorado,CO,8,1990,2.39,238.86,100,49.66
Colorado,CO,8,1991,3.33,246.81,103.33,51.31
Colorado,CO,8,1992,5.74,260.98,109.26,54.26
Colorado,CO,8,1993,8.7,283.68,118.76,58.97
Colorado,CO,8,1994,9.99,312.03,130.63,64.87
Colorado,CO,8,1995,9.26,340.92,142.73,70.87
Colorado,CO,8,1996,4.82,357.36,149.61,74.29
Colorado,CO,8,1997,5.48,376.93,157.8,78.36
Colorado,CO,8,1998,4.76,394.89,165.32,82.09
Colorado,CO,8,1999,7.47,424.39,177.67,88.23
Colorado,CO,8,2000,13.35,481.03,201.38,100
Colorado,CO,8,2001,8.18,520.4,217.87,108.18
Colorado,CO,8,2002,4.21,542.33,227.05,112.74
Colorado,CO,8,2003,0.89,547.14,229.06,113.74
Colorado,CO,8,2004,3.04,563.76,236.02,117.2
Colorado,CO,8,2005,5.05,592.22,247.93,123.11
Colorado,CO,8,2006,3.45,612.65,256.49,127.36
Colorado,CO,8,2007,0.86,617.9,258.68,128.45
Colorado,CO,8,2008,-1.12,610.97,255.78,127.01
Colorado,CO,8,2009,-1.61,601.15,251.67,124.97
Colorado,CO,8,2010,-4.17,576.06,241.17,119.76
Colorado,CO,8,2011,-3.26,557.31,233.31,115.86
Colorado,CO,8,2012,0.79,561.72,235.16,116.77
Colorado,CO,8,2013,5.35,591.75,247.74,123.02
Colorado,CO,8,2014,9.17,646.04,270.46,134.3
Colorado,CO,8,2015,9.62,708.2,296.48,147.22
Colorado,CO,8,2016,10.46,782.3,327.51,162.63
Colorado,CO,8,2017,8.74,850.64,356.12,176.84
Colorado,CO,8,2018,8.26,920.91,385.54,191.45
Colorado,CO,8,2019,4.81,965.21,404.08,200.65
Colorado,CO,8,2020,2.9,993.21,415.8,206.47
Colorado,CO,8,2021,13.08,1123.09,470.18,233.48
Colorado,CO,8,2022,16.43,1307.61,547.43,271.83
Colorado,CO,8,2023,2.01,1333.94,558.45,277.31
Colorado,CO,8,2024,2.5,1367.22,572.39,284.23
Colorado,CO,8,2025,0.13,1369,573.13,284.6
Connecticut,CT,9,1975,,100,24.83,23.24
Connecticut,CT,9,1976,5.6,105.6,26.22,24.54
Connecticut,CT,9,1977,6.23,112.18,27.85,26.07
Connecticut,CT,9,1978,18.51,132.94,33.01,30.89
Connecticut,CT,9,1979,20.98,160.83,39.93,37.37
Connecticut,CT,9,1980,5.75,170.07,42.23,39.52
Connecticut,CT,9,1981,7.98,183.65,45.6,42.68
Connecticut,CT,9,1982,2.38,188.01,46.68,43.69
Connecticut,CT,9,1983,7.58,202.27,50.22,47
Connecticut,CT,9,1984,14.31,231.22,57.41,53.73
Connecticut,CT,9,1985,14.66,265.12,65.83,61.61
Connecticut,CT,9,1986,19.32,316.34,78.55,73.51
Connecticut,CT,9,1987,21.88,385.57,95.74,89.6
Connecticut,CT,9,1988,11.72,430.77,106.96,100.1
Connecticut,CT,9,1989,-1.58,423.97,105.27,98.52
Connecticut,CT,9,1990,-5.01,402.74,100,93.59
Connecticut,CT,9,1991,-5.61,380.15,94.39,88.34
Connecticut,CT,9,1992,-1.71,373.63,92.77,86.82
Connecticut,CT,9,1993,-2.83,363.07,90.15,84.37
Connecticut,CT,9,1994,-2.05,355.63,88.3,82.64
Connecticut,CT,9,1995,-0.9,352.43,87.51,81.9
Connecticut,CT,9,1996,1.12,356.39,88.49,82.82
Connecticut,CT,9,1997,1.12,360.36,89.48,83.74
Connecticut,CT,9,1998,4.23,375.61,93.26,87.28
Connecticut,CT,9,1999,4.8,393.62,97.74,91.47
Connecticut,CT,9,2000,9.33,430.34,106.85,100
Connecticut,CT,9,2001,7.93,464.47,115.33,107.93
Connecticut,CT,9,2002,8.59,504.36,125.23,117.2
Connecticut,CT,9,2003,6.22,535.75,133.03,124.5
Connecticut,CT,9,2004,11.34,596.5,148.11,138.61
Connecticut,CT,9,2005,12.61,671.7,166.78,156.09
Connecticut,CT,9,2006,5.86,711.09,176.56,165.24
Connecticut,CT,9,2007,0,711.1,176.56,165.24
Connecticut,CT,9,2008,-3.67,684.99,170.08,159.17
Connecticut,CT,9,2009,-7.23,635.49,157.79,147.67
Connecticut,CT,9,2010,-4.06,609.67,151.38,141.67
Connecticut,CT,9,2011,-3.63,587.53,145.88,136.53
Connecticut,CT,9,2012,-2.97,570.06,141.54,132.47
Connecticut,CT,9,2013,-0.76,565.75,140.47,131.47
Connecticut,CT,9,2014,-0.09,565.26,140.35,131.35
Connecticut,CT,9,2015,1.36,572.92,142.25,133.13
Connecticut,CT,9,2016,0.1,573.51,142.4,133.27
Connecticut,CT,9,2017,1.08,579.72,143.94,134.71
Connecticut,CT,9,2018,1.61,589.05,146.26,136.88
Connecticut,CT,9,2019,2.25,602.28,149.55,139.96
Connecticut,CT,9,2020,3.09,620.89,154.17,144.28
Connecticut,CT,9,2021,11.98,695.25,172.63,161.56
Connecticut,CT,9,2022,13.78,791.04,196.41,183.82
Connecticut,CT,9,2023,10.44,873.64,216.92,203.01
Connecticut,CT,9,2024,8.24,945.59,234.79,219.73
Connecticut,CT,9,2025,6.09,1003.17,249.08,233.11
Delaware,DE,10,1975,,100,35.25,30.23
Delaware,DE,10,1976,5.9,105.9,37.33,32.01
Delaware,DE,10,1977,-3.11,102.6,36.17,31.01
Delaware,DE,10,1978,5.47,108.22,38.15,32.71
Delaware,DE,10,1979,6.4,115.14,40.59,34.8
Delaware,DE,10,1980,16.68,134.34,47.36,40.61
Delaware,DE,10,1981,6.75,143.41,50.56,43.35
Delaware,DE,10,1982,2.33,146.75,51.73,44.36
Delaware,DE,10,1983,6.5,156.28,55.09,47.24
Delaware,DE,10,1984,9.1,170.5,60.11,51.53
Delaware,DE,10,1985,7.5,183.29,64.61,55.4
Delaware,DE,10,1986,9.93,201.5,71.03,60.9
Delaware,DE,10,1987,11.32,224.3,79.07,67.8
Delaware,DE,10,1988,12.46,252.26,88.93,76.25
Delaware,DE,10,1989,9.45,276.1,97.33,83.45
Delaware,DE,10,1990,2.74,283.66,100,85.74
Delaware,DE,10,1991,1.26,287.23,101.26,86.82
Delaware,DE,10,1992,0.38,288.33,101.64,87.15
Delaware,DE,10,1993,-0.29,287.48,101.35,86.89
Delaware,DE,10,1994,-1.3,283.74,100.03,85.76
Delaware,DE,10,1995,-0.01,283.72,100.02,85.76
Delaware,DE,10,1996,1.75,288.68,101.77,87.26
Delaware,DE,10,1997,1.25,292.29,103.04,88.35
Delaware,DE,10,1998,2.45,299.44,105.56,90.51
Delaware,DE,10,1999,3.56,310.1,109.32,93.73
Delaware,DE,10,2000,6.69,330.84,116.63,100
Delaware,DE,10,2001,7.07,354.24,124.88,107.07
Delaware,DE,10,2002,7.09,379.37,133.74,114.67
Delaware,DE,10,2003,6.65,404.59,142.63,122.29
Delaware,DE,10,2004,13.1,457.6,161.32,138.31
Delaware,DE,10,2005,16.11,531.32,187.31,160.6
Delaware,DE,10,2006,8.99,579.07,204.14,175.03
Delaware,DE,10,2007,2.5,593.57,209.25,179.41
Delaware,DE,10,2008,-2.97,575.93,203.03,174.08
Delaware,DE,10,2009,-6.63,537.73,189.57,162.53
Delaware,DE,10,2010,-4.83,511.78,180.42,154.69
Delaware,DE,10,2011,-5.58,483.2,170.34,146.05
Delaware,DE,10,2012,-2.86,469.37,165.47,141.87
Delaware,DE,10,2013,0.78,473.01,166.75,142.97
Delaware,DE,10,2014,2.38,484.28,170.72,146.38
Delaware,DE,10,2015,2.21,495,174.5,149.62
Delaware,DE,10,2016,2.11,505.44,178.18,152.77
Delaware,DE,10,2017,1.83,514.71,181.45,155.58
Delaware,DE,10,2018,3.91,534.82,188.54,161.65
Delaware,DE,10,2019,3.55,553.8,195.23,167.39
Delaware,DE,10,2020,3.33,572.24,201.73,172.96
Delaware,DE,10,2021,10.84,634.3,223.61,191.72
Delaware,DE,10,2022,14.02,723.24,254.96,218.6
Delaware,DE,10,2023,8.15,782.16,275.73,236.41
Delaware,DE,10,2024,6.84,835.64,294.59,252.58
Delaware,DE,10,2025,3.16,862.08,303.91,260.57
District Of Columbia,DC,11,1975,,100,25.89,20.21
District Of Columbia,DC,11,1976,14.07,114.07,29.54,23.05
District Of Columbia,DC,11,1977,15.86,132.16,34.22,26.71
District Of Columbia,DC,11,1978,19.45,157.87,40.88,31.9
District Of Columbia,DC,11,1979,17.3,185.17,47.95,37.42
District Of Columbia,DC,11,1980,9.09,202,52.31,40.82
District Of Columbia,DC,11,1981,-1.11,199.76,51.73,40.37
District Of Columbia,DC,11,1982,-11.13,177.53,45.97,35.88
District Of Columbia,DC,11,1983,13.95,202.29,52.38,40.88
District Of Columbia,DC,11,1984,6.85,216.16,55.97,43.68
District Of Columbia,DC,11,1985,5.94,229.01,59.3,46.28
District Of Columbia,DC,11,1986,8.74,249.02,64.48,50.32
District Of Columbia,DC,11,1987,11.9,278.66,72.16,56.31
District Of Columbia,DC,11,1988,18.78,331,85.71,66.89
District Of Columbia,DC,11,1989,12.7,373.04,96.6,75.38
District Of Columbia,DC,11,1990,3.52,386.18,100,78.04
District Of Columbia,DC,11,1991,0.57,388.37,100.57,78.48
District Of Columbia,DC,11,1992,1.67,394.85,102.25,79.79
District Of Columbia,DC,11,1993,-1.3,389.72,100.92,78.75
District Of Columbia,DC,11,1994,-1.17,385.16,99.74,77.83
District Of Columbia,DC,11,1995,-2.23,376.58,97.52,76.1
District Of Columbia,DC,11,1996,2.25,385.06,99.71,77.81
District Of Columbia,DC,11,1997,-0.53,383,99.18,77.4
District Of Columbia,DC,11,1998,4.91,401.8,104.04,81.19
District Of Columbia,DC,11,1999,7.07,430.22,111.4,86.94
District Of Columbia,DC,11,2000,15.03,494.86,128.14,100
District Of Columbia,DC,11,2001,16.21,575.06,148.91,116.21
District Of Columbia,DC,11,2002,14.01,655.64,169.78,132.49
District Of Columbia,DC,11,2003,10.42,723.94,187.46,146.29
District Of Columbia,DC,11,2004,18.25,856.06,221.68,172.99
District Of Columbia,DC,11,2005,24.92,1069.38,276.91,216.1
District Of Columbia,DC,11,2006,11.93,1196.97,309.95,241.88
District Of Columbia,DC,11,2007,2.65,1228.67,318.16,248.29
District Of Columbia,DC,11,2008,-5.77,1157.81,299.81,233.97
District Of Columbia,DC,11,2009,-5.59,1093.13,283.07,220.9
District Of Columbia,DC,11,2010,-0.01,1093.04,283.04,220.88
District Of Columbia,DC,11,2011,1.03,1104.31,285.96,223.16
District Of Columbia,DC,11,2012,3.17,1139.31,295.02,230.23
District Of Columbia,DC,11,2013,7.01,1219.21,315.71,246.38
District Of Columbia,DC,11,2014,9.23,1331.74,344.85,269.11
District Of Columbia,DC,11,2015,5.66,1407.06,364.36,284.33
District Of Columbia,DC,11,2016,6.71,1501.49,388.81,303.42
District Of Columbia,DC,11,2017,4.96,1576.04,408.11,318.48
District Of Columbia,DC,11,2018,4.82,1652.01,427.78,333.83
District Of Columbia,DC,11,2019,3.84,1715.47,444.22,346.66
District Of Columbia,DC,11,2020,2.09,1751.33,453.5,353.9
District Of Columbia,DC,11,2021,6.9,1872.16,484.79,378.32
District Of Columbia,DC,11,2022,7.5,2012.56,521.15,406.69
District Of Columbia,DC,11,2023,-2.84,1955.42,506.35,395.15
District Of Columbia,DC,11,2024,0.41,1963.42,508.42,396.76
District Of Columbia,DC,11,2025,0.4,1971.35,510.48,398.36
Florida,FL,12,1975,,100,47.3,35.46
Florida,FL,12,1976,-2.28,97.72,46.22,34.65
Florida,FL,12,1977,4.86,102.47,48.47,36.33
Florida,FL,12,1978,11.23,113.98,53.91,40.41
Florida,FL,12,1979,13.48,129.33,61.17,45.86
Florida,FL,12,1980,11.5,144.21,68.21,51.13
Florida,FL,12,1981,5.05,151.49,71.65,53.71
Florida,FL,12,1982,-0.19,151.19,71.51,53.61
Florida,FL,12,1983,14.37,172.92,81.79,61.32
Florida,FL,12,1984,2.72,177.63,84.01,62.99
Florida,FL,12,1985,0.88,179.19,84.75,63.54
Florida,FL,12,1986,3.98,186.32,88.12,66.07
Florida,FL,12,1987,2.41,190.82,90.25,67.66
Florida,FL,12,1988,4.67,199.74,94.47,70.82
Florida,FL,12,1989,4.12,207.98,98.37,73.74
