path,lines,nonblank,functions,loaded_during_initialization,sha256,frozen_exists,same_as_frozen
code/model/intergen_eqscale_seq_optimized/run_e5b_autopsy.py,297,257,17,False,de9d8c5186e8e5b7e912302dd0c4df4d9c4f7a0945f7dcc1894dedb507117f7e,True,True
code/model/intergen_eqscale_seq_optimized/run_e5f_floor_strict_smoke.py,122,107,2,False,577ca4ace08d1bbd2042e0d7a68dfb866bcfb8f1b3ca191ead1b35b978660f81,True,True
code/model/intergen_eqscale_seq_optimized/run_e6a_fecundity_tail_frontier.py,312,280,9,False,fbcd78f7a8c50422ea498114afc24442c62e228ca5cc7a8aa238555571935282,True,True
code/model/intergen_eqscale_seq_optimized/run_e6b_income_level_diagnostic.py,218,195,6,False,ae7267446536004ab2dbb41f85ca84e178ec11423e71c1f448f5566a3bddb5aa,True,True
code/model/intergen_eqscale_seq_optimized/run_e6c_projection_diagnostic.py,209,191,3,False,284b05dcaef3c4e85d4f8e965fe5d2f61a386ee7da42ef5add8f31014d8800d1,True,True
code/model/intergen_eqscale_seq_optimized/run_e6c_timing_jacobian.py,234,212,4,False,5218b0626ccf5730c93fcf7c090530784ceb3b03153789634af646f545befc62,True,True
code/model/intergen_eqscale_seq_optimized/run_family_gap_scan.py,98,86,1,False,3b3661611af64e76ad5b2ca1465e1167ab81a577a7042c66cc2c71be35e727a2,True,True
code/model/intergen_eqscale_seq_optimized/run_fertility_frontier_scan.py,194,177,3,False,c1dabaff2af31ec347c3c7b5e94f9888e5d681c5b2ea235892c17eb278f436ee,True,True
code/model/intergen_eqscale_seq_optimized/run_seq_smoke.py,181,160,4,False,3eaec95dbb8bf63897c9c91376a4faefb1134335709bf3825077af86d7059dbf,True,True
code/model/intergen_eqscale_seq_optimized/solver.py,7428,6967,121,True,dfccca23781913316bcbb024b5143ee54286038c7a3906bcdb1861fcc08cd517,True,True
code/model/intergen_eqscale_seq_optimized/state_layout.py,72,61,7,False,9a051cc480d5e49d67474aa3cdc65f05d5e43d7918613b013bb3fd8e1ba0560d,True,True
code/model/intergen_eqscale_seq_optimized/target_system.py,80,67,7,True,b9bf465e5e1c1e4999c3f55c3893256e22171722b25e5afb5856e36a83ea0c83,True,True
code/model/intergen_eqscale_seq_optimized/utils.py,254,211,19,True,f86c52633ec0f7d3ccad5e922a78f387ff637bd42a294ce4ecc3084eb5bc9ff9,True,True
code/model/intergen_eqscale_seq_optimized/tests/__init__.py,1,1,0,False,39be22bcfab361bb43081d22c00c38985550913d1da981c80f8c5cae17c16d20,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_age_survival.py,29,21,2,False,872729f043731a3a59dfac45fecd2f47a4fa042dfbd356a594a628c10563c090,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_bequest_normalization.py,132,112,13,False,00c8352d7a86b5bf64e8423cd279527685ac1a3f9df38bd1e900c63429d3fe68,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_bequest_target_moments.py,707,653,22,False,dfa75e2037a7ee336df968cffac5f0db3fd6ba83d5fb9db928919e9a0e09643a,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_calendar_time_continuation.py,131,115,8,False,132a8fbea51a6e96a872c6f14ee5026926a1ff78fa606e51654b4b02201cef79,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_code_repair_20260709.py,576,532,18,False,8cfb44b5c128d10b11003a7492d21d820cafd2a68b3ed362cadb7df79e074600,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_combined_specification.py,24,16,2,False,6b11fe0888e65bc063e8979f53a4940b75a53be8183a7cecc3b0c4b162edbc19,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_e4_packet_args.py,48,38,3,False,8518e8fa21f9ec923bf0abed193ddd0a63c44c0ae66aac9c917abcbac7809730,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_e5_profile.py,256,236,12,False,c23abcd1c8d9457980bbcd4005b600ffce82ebde51f512edb395b9b6962826c9,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_e5f_child_room_floor.py,201,178,10,False,2e835b2fb57d7261ddbe7cb890d1ff2f79d71ba103c68f2f41b074f96d6185df,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_e5f_income_entry_profile.py,40,32,3,False,3048dfc83ea41a7b8785e623ac8f6236f518f268772b14441c998a1149ef4b75,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_e5f_probe_contract.py,67,57,3,False,e799109c95ac22f4e98fd8dfce80cd91fe80e7b4c95c230687c30e8135c53220,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_e5f_transition_calibration.py,141,118,8,False,cc3380d58c5760f61ee95c1ef8679fdcf542b1b507bbeb256f24b530908cd9f6,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_e6_plain_weighting.py,52,42,5,False,b800dd3997031ec130619748216baf7b68447be2b11f337c5f4626ca0315eb59,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_e6b_profile.py,148,127,6,False,575ecf128367dd06b8261aa40183633ffbfdfd53919eba485b8413f29fbdf195,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_e6c_profile.py,196,168,9,False,a42fa25b10c17372f68ea61cb69ae07592338501a2592f8a7afd1f97d7883d0f,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_entrant_feasibility.py,575,533,23,False,379247bdd951a59fc3de6b83b23f051ea980f9652b817a6df385b53842df6c3c,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_entry_target_contract.py,133,109,7,False,7d6e2626e92ef746896f70bd9bc9411f36ff03fb683c06a9d6aab9b8e9bd68f1,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_eqscale_seq.py,234,191,20,False,f201375c87635da18795238f1a6d2c1bbaa063cde633124fec72456c64265c28,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_externals.py,58,47,3,False,b115dcd5f72baf99a5c13af7e634a468bb6b77e6e95599a831ed08c91bda0ff0,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_fecundity.py,154,136,7,False,04e25024d0749053c786496cc36c828cc245ee97b5359a4b379a436706a3ea7d,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_independent_child_maturation.py,164,141,9,False,d2c8ecb94507eb0c32ce9773bc0e5784581b23a239e7416c6e8a6a8b3a84c0b2,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_literal_parity.py,171,143,11,False,6f2ea9a4af4162c544f1d7ee51a28e068eb7db64a0671936cf9bd38a3db13be7,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_markov_renewal_closure.py,133,117,4,False,24f97a01fea2dc368ede0ccb95ccf3f09aacbee1a922274798af72d5fdb22a8b,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_optimized_port.py,107,94,8,False,9928dec1ca317637f203484890cfa34b99699f99ede17213acb3a69933aadc02,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_retirement_income_heterogeneity.py,44,34,4,False,82f95bba77a12d952aa4be91a738ed8770d8b2af0a5d485402a9463a914e160a,True,True
code/model/intergen_eqscale_seq_optimized/tests/test_transfer_floor.py,224,196,8,False,5d419ebd9548545311aaa1aa2cbdcad1d2bdf6da7e7f48ce16328622cec050d7,True,True
code/model/intergen_housing_fertility_optimized/__init__.py,7,5,0,True,582bdfdf4274b863393d2ccf6a644d02299ccb4ba6010e94a695f110a0fc016f,True,True
code/model/intergen_housing_fertility_optimized/calibration.py,1626,1469,16,True,92a80b4b18509d8de4b79f758b3ff1a5de032363841d16d879bab7794c0fe69a,True,True
code/model/intergen_housing_fertility_optimized/diagnostics.py,403,357,11,True,6f076d7360e066b7a6c47d5a603e14340bd3971d7ab03a4e8c00f2bb50fe3d7d,True,True
code/model/intergen_housing_fertility_optimized/kernels.py,1122,1061,22,True,14db87b84dbc9716a1185b4f7b544ff7bd9459dac647a171881c2dc072591450,True,True
code/model/intergen_housing_fertility_optimized/local_panel.py,1391,1275,39,True,9ca95295f924e878c4f371c9faf6f6fedf1898ac44dc7e47faccd9e527c1993c,True,True
code/model/intergen_housing_fertility_optimized/m5_profile.py,102,89,3,True,7ab85bcd8dc546f942356ba8452739e6a59b5f62ddb3fa7213dcc2719ee59eed,True,True
code/model/intergen_housing_fertility_optimized/new_moment_profile.py,79,66,2,True,05bca887184b34f4ef6d547a07d8d06eb030dd74632e8b6b45d1fe7b402a80a5,True,True
code/model/intergen_housing_fertility_optimized/parameters.py,715,662,16,True,f824cfdad58ee3d5b576ca51b005fff32642b560fd05436881c0e4187ceb1f30,True,True
code/model/intergen_housing_fertility_optimized/production_profile.py,231,210,5,True,922e0b947ceefb3072647ad83d8fae3c2f40a24abbb5916481da702c6126cc3f,True,True
code/model/intergen_housing_fertility_optimized/solver.py,7260,6783,122,True,4edf76ea08d07e4e1af7f98914afe1d7f7d1602bc805466b5847577d0cf92ce7,True,True
code/model/intergen_housing_fertility_optimized/target_system.py,80,67,7,True,b9bf465e5e1c1e4999c3f55c3893256e22171722b25e5afb5856e36a83ea0c83,True,True
code/model/intergen_housing_fertility_optimized/utils.py,260,215,19,True,70113e4d7936f30388349dd67d4ab3a7d59ebc201c2a028695db81c64aecc26e,True,True
code/model/tools/audit_closed_reproductive_closure.py,1169,1077,28,True,29b18b58bf51c036e734f235817b1713985e73d232c6a15d776b0ff826c40064,True,True
code/model/tools/run_dynamic_population_transition.py,1770,1660,33,True,233576462de5266c99c965b8d293cf973af42ba3eb0fe56365e6ef6fcecf4344,True,True
code/model/tools/run_e5f_open_population_transition.py,2710,2582,29,True,bb2d97af6d45bf5854da3a464e2db19fdb0c30f1cc5eb247d79525991639e26a,True,True
code/model/tools/run_e5f_transition_calibration.py,2684,2586,33,True,3fdf3068811552b05179813ab71ea521eee0fee504720b28f246db1c3e053814,True,False
