path,name,line,end,lines
code/model/intergen_eqscale_seq_optimized/build_e6_plain_comparison.py,write_csv,50,56,7
code/model/intergen_eqscale_seq_optimized/build_e6_plain_comparison.py,write_relative_gap_plot,59,82,24
code/model/intergen_eqscale_seq_optimized/build_e6_plain_comparison.py,metrics,85,121,37
code/model/intergen_eqscale_seq_optimized/build_e6_plain_comparison.py,main,124,243,120
code/model/intergen_eqscale_seq_optimized/build_e6_winner_diagnostics.py,parse_args,31,40,10
code/model/intergen_eqscale_seq_optimized/build_e6_winner_diagnostics.py,configure_environment,43,59,17
code/model/intergen_eqscale_seq_optimized/build_e6_winner_diagnostics.py,expected_arm,62,70,9
code/model/intergen_eqscale_seq_optimized/build_e6_winner_diagnostics.py,read_certified,73,91,19
code/model/intergen_eqscale_seq_optimized/build_e6_winner_diagnostics.py,certified_rows,94,100,7
code/model/intergen_eqscale_seq_optimized/build_e6_winner_diagnostics.py,write_csv,103,112,10
code/model/intergen_eqscale_seq_optimized/build_e6_winner_diagnostics.py,first_birth_age_diagnostic,115,236,122
code/model/intergen_eqscale_seq_optimized/build_e6_winner_diagnostics.py,main,239,388,150
code/model/intergen_eqscale_seq_optimized/build_e6_winner_diagnostics.py,grouped_share,204,205,2
code/model/intergen_eqscale_seq_optimized/calibration.py,external_entry_wealth_overrides,49,57,9
code/model/intergen_eqscale_seq_optimized/calibration.py,external_entry_wealth_overrides_1824,89,97,9
code/model/intergen_eqscale_seq_optimized/calibration.py,run_small_calibration,888,988,101
code/model/intergen_eqscale_seq_optimized/calibration.py,run_informed_smoke,991,1142,152
code/model/intergen_eqscale_seq_optimized/calibration.py,informed_smoke_candidates,1145,1194,50
code/model/intergen_eqscale_seq_optimized/calibration.py,base_overrides,1197,1223,27
code/model/intergen_eqscale_seq_optimized/calibration.py,lifecycle_overrides,1226,1241,16
code/model/intergen_eqscale_seq_optimized/calibration.py,age_to_period_number,1244,1245,2
code/model/intergen_eqscale_seq_optimized/calibration.py,draw_candidate,1248,1278,31
code/model/intergen_eqscale_seq_optimized/calibration.py,literal_topcode_tfr,1281,1294,14
code/model/intergen_eqscale_seq_optimized/calibration.py,extract_moments,1297,1512,216
code/model/intergen_eqscale_seq_optimized/calibration.py,housing_user_cost_share,1515,1536,22
code/model/intergen_eqscale_seq_optimized/calibration.py,get_target_set,1539,1544,6
code/model/intergen_eqscale_seq_optimized/calibration.py,get_target_system,1547,1550,4
code/model/intergen_eqscale_seq_optimized/calibration.py,get_target_moment_objects,1553,1569,17
code/model/intergen_eqscale_seq_optimized/calibration.py,diagnostic_loss,1572,1589,18
code/model/intergen_eqscale_seq_optimized/calibration.py,jsonable,1592,1603,12
code/model/intergen_eqscale_seq_optimized/cli.py,main,35,297,263
code/model/intergen_eqscale_seq_optimized/cli.py,one_market_overrides,300,316,17
code/model/intergen_eqscale_seq_optimized/cli.py,load_seed_theta,319,327,9
code/model/intergen_eqscale_seq_optimized/cli.py,smoke_overrides,330,350,21
code/model/intergen_eqscale_seq_optimized/cli.py,run_size_overrides,353,365,13
code/model/intergen_eqscale_seq_optimized/cli.py,lifecycle_overrides,368,382,15
code/model/intergen_eqscale_seq_optimized/cli.py,age_to_period_number,385,386,2
code/model/intergen_eqscale_seq_optimized/cli.py,summarize_solution,389,434,46
code/model/intergen_eqscale_seq_optimized/cli.py,_jsonable,437,446,10
code/model/intergen_eqscale_seq_optimized/collect_e1.py,parse_args,19,25,7
code/model/intergen_eqscale_seq_optimized/collect_e1.py,write_csv,28,37,10
code/model/intergen_eqscale_seq_optimized/collect_e1.py,eligible_tight,40,47,8
code/model/intergen_eqscale_seq_optimized/collect_e1.py,parameter_rows,50,97,48
code/model/intergen_eqscale_seq_optimized/collect_e1.py,main,100,184,85
code/model/intergen_eqscale_seq_optimized/collect_e5_probe.py,parse_args,20,24,5
code/model/intergen_eqscale_seq_optimized/collect_e5_probe.py,write_csv,27,32,6
code/model/intergen_eqscale_seq_optimized/collect_e5_probe.py,main,35,69,35
code/model/intergen_eqscale_seq_optimized/diagnostics.py,write_diagnostics,14,146,133
code/model/intergen_eqscale_seq_optimized/diagnostics.py,write_distribution_diagnostics,149,213,65
code/model/intergen_eqscale_seq_optimized/diagnostics.py,weighted_liquid_wealth,216,219,4
code/model/intergen_eqscale_seq_optimized/diagnostics.py,mean_housing_for_distribution,222,238,17
code/model/intergen_eqscale_seq_optimized/diagnostics.py,plot_age_by_income_state,241,264,24
code/model/intergen_eqscale_seq_optimized/diagnostics.py,write_policy_diagnostics,267,284,18
code/model/intergen_eqscale_seq_optimized/diagnostics.py,age_to_index,287,289,3
code/model/intergen_eqscale_seq_optimized/diagnostics.py,plot_policy_childless_renter,292,359,68
code/model/intergen_eqscale_seq_optimized/diagnostics.py,completed_fertility_measure,362,376,15
code/model/intergen_eqscale_seq_optimized/diagnostics.py,_summary,379,417,39
code/model/intergen_eqscale_seq_optimized/diagnostics.py,_dumps_json,420,434,15
code/model/intergen_eqscale_seq_optimized/diagnostics.py,convert,423,432,10
code/model/intergen_eqscale_seq_optimized/e1_profile.py,_survival_schedule,24,25,2
code/model/intergen_eqscale_seq_optimized/e1_profile.py,e1_overrides,27,43,17
code/model/intergen_eqscale_seq_optimized/e1_profile.py,e1_target_system,45,48,4
code/model/intergen_eqscale_seq_optimized/e5_maturation_repair.py,e5_maturation_repair_overrides,17,22,6
code/model/intergen_eqscale_seq_optimized/e5_maturation_repair.py,e5_maturation_repair_metadata,25,34,10
code/model/intergen_eqscale_seq_optimized/e5_profile.py,_weight,134,139,6
code/model/intergen_eqscale_seq_optimized/e5_profile.py,e5_target_system,164,172,9
code/model/intergen_eqscale_seq_optimized/e5_profile.py,e5_overrides,175,191,17
code/model/intergen_eqscale_seq_optimized/e5_young_ownership_profile.py,e5_young_ownership_target_system,56,70,15
code/model/intergen_eqscale_seq_optimized/e5_young_ownership_profile.py,e5_target_system_for_profile,73,82,10
code/model/intergen_eqscale_seq_optimized/e5f_floor_profile.py,e5f_overrides,28,37,10
code/model/intergen_eqscale_seq_optimized/e5f_floor_profile.py,e5f_metadata,40,54,15
code/model/intergen_eqscale_seq_optimized/e5f_income_entry_profile.py,e5f_income_entry_overrides,27,32,6
code/model/intergen_eqscale_seq_optimized/e5f_income_entry_profile.py,e5f_income_entry_metadata,35,46,12
code/model/intergen_eqscale_seq_optimized/e6_plain_weighting.py,target_relative_block_equal_weights,43,66,24
code/model/intergen_eqscale_seq_optimized/e6_plain_weighting.py,target_relative_block_equal_l1_weights,69,92,24
code/model/intergen_eqscale_seq_optimized/e6a_profile.py,terminal_decay,16,23,8
code/model/intergen_eqscale_seq_optimized/e6a_profile.py,e6a_overrides,26,34,9
code/model/intergen_eqscale_seq_optimized/e6a_profile.py,e6a_metadata,37,53,17
code/model/intergen_eqscale_seq_optimized/e6b_profile.py,permanent_income_levels,20,39,20
code/model/intergen_eqscale_seq_optimized/e6b_profile.py,e6b_overrides,42,66,25
code/model/intergen_eqscale_seq_optimized/e6b_profile.py,e6b_metadata,69,93,25
code/model/intergen_eqscale_seq_optimized/e6c_profile.py,e6c_overrides,25,27,3
code/model/intergen_eqscale_seq_optimized/e6c_profile.py,e6c_metadata,30,42,13
code/model/intergen_eqscale_seq_optimized/externals.py,flhsv_income_overrides,28,32,5
code/model/intergen_eqscale_seq_optimized/kernels.py,interp_scalar,31,51,21
code/model/intergen_eqscale_seq_optimized/kernels.py,eval_renter_scalar,55,75,21
code/model/intergen_eqscale_seq_optimized/kernels.py,golden_renter_kernel,79,118,40
code/model/intergen_eqscale_seq_optimized/kernels.py,eval_owner_scalar,122,128,7
code/model/intergen_eqscale_seq_optimized/kernels.py,golden_owner_kernel,132,171,40
code/model/intergen_eqscale_seq_optimized/kernels.py,scatter_vec_kernel,175,185,11
code/model/intergen_eqscale_seq_optimized/kernels.py,scatter_cols_kernel,189,201,13
code/model/intergen_eqscale_seq_optimized/kernels.py,scatter_cols_sameidx_kernel,205,217,13
code/model/intergen_eqscale_seq_optimized/kernels.py,interp_cols_kernel,221,248,28
code/model/intergen_eqscale_seq_optimized/kernels.py,interp_cols_preidx_kernel,252,260,9
code/model/intergen_eqscale_seq_optimized/kernels.py,_advance_mass_component,264,345,82
code/model/intergen_eqscale_seq_optimized/kernels.py,forward_distribution_fast_kernel,349,492,144
code/model/intergen_eqscale_seq_optimized/kernels.py,eval_renter_block_kernel,496,569,74
code/model/intergen_eqscale_seq_optimized/kernels.py,_interp_with_clip,573,592,20
code/model/intergen_eqscale_seq_optimized/kernels.py,tenure_choice_kernel,596,668,73
