case_id,estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper
proposal_02_first_birth_fixed_cost_plus,0.08105103333987912,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
proposal_02_first_birth_fixed_cost_plus,0.08520356663830632,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
proposal_02_first_birth_fixed_cost_plus,0.3057647761862811,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
proposal_02_first_birth_fixed_cost_plus,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
proposal_02_first_birth_fixed_cost_plus,0.0,,,False,hbar_child_rooms,zero restriction,False,,
proposal_02_first_birth_fixed_cost_plus,0.1496227433207193,,,False,psi_child,normalized to 2.1,False,,
proposal_02_first_birth_fixed_cost_plus,0.179,,,False,payroll_tax,externally fixed,False,,
proposal_02_first_birth_fixed_cost_plus,2.0463613896121218,,,False,pension_period,budget derived,False,,
proposal_02_first_birth_fixed_cost_plus,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
proposal_02_first_birth_fixed_cost_plus,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
proposal_02_first_birth_fixed_cost_plus,0.733,,,False,alpha_cons,externally fixed,False,,
proposal_02_first_birth_fixed_cost_plus,2.0,,,False,sigma,externally fixed,False,,
proposal_04_kappa_fert_plus,0.99,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995
proposal_04_kappa_fert_plus,0.5876342341116703,structural coordinate,0.02,False,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
proposal_04_kappa_fert_plus,0.39785645171756406,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
proposal_04_kappa_fert_plus,1.0496534423047694,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
proposal_04_kappa_fert_plus,8.27597578070702,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
proposal_04_kappa_fert_plus,0.08105103333987912,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
proposal_04_kappa_fert_plus,0.08520356663830632,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
proposal_04_kappa_fert_plus,0.26576477618628114,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
proposal_04_kappa_fert_plus,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
proposal_04_kappa_fert_plus,0.0,,,False,hbar_child_rooms,zero restriction,False,,
proposal_04_kappa_fert_plus,0.1713805479922264,,,False,psi_child,normalized to 2.1,False,,
proposal_04_kappa_fert_plus,0.179,,,False,payroll_tax,externally fixed,False,,
proposal_04_kappa_fert_plus,2.0463613896121218,,,False,pension_period,budget derived,False,,
proposal_04_kappa_fert_plus,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
proposal_04_kappa_fert_plus,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
proposal_04_kappa_fert_plus,0.733,,,False,alpha_cons,externally fixed,False,,
proposal_04_kappa_fert_plus,2.0,,,False,sigma,externally fixed,False,,
proposal_05_kappa_fert_continuation_plus,0.99,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995
proposal_05_kappa_fert_continuation_plus,0.33773423411167025,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
proposal_05_kappa_fert_continuation_plus,0.647756451717564,structural coordinate,0.02,False,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
proposal_05_kappa_fert_continuation_plus,1.0496534423047694,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
proposal_05_kappa_fert_continuation_plus,8.27597578070702,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
proposal_05_kappa_fert_continuation_plus,0.08105103333987912,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
proposal_05_kappa_fert_continuation_plus,0.08520356663830632,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
proposal_05_kappa_fert_continuation_plus,0.26576477618628114,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
proposal_05_kappa_fert_continuation_plus,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
proposal_05_kappa_fert_continuation_plus,0.0,,,False,hbar_child_rooms,zero restriction,False,,
proposal_05_kappa_fert_continuation_plus,0.10632664830036895,,,False,psi_child,normalized to 2.1,False,,
proposal_05_kappa_fert_continuation_plus,0.179,,,False,payroll_tax,externally fixed,False,,
proposal_05_kappa_fert_continuation_plus,2.0463613896121218,,,False,pension_period,budget derived,False,,
proposal_05_kappa_fert_continuation_plus,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
proposal_05_kappa_fert_continuation_plus,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
proposal_05_kappa_fert_continuation_plus,0.733,,,False,alpha_cons,externally fixed,False,,
proposal_05_kappa_fert_continuation_plus,2.0,,,False,sigma,externally fixed,False,,
selected_exact_repetitions,0.99,structural coordinate,0.94,False,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.9995
selected_exact_repetitions,0.33773423411167025,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
selected_exact_repetitions,0.39785645171756406,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
selected_exact_repetitions,1.0496534423047694,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
selected_exact_repetitions,8.27597578070702,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
selected_exact_repetitions,0.08105103333987912,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
selected_exact_repetitions,0.08520356663830632,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
selected_exact_repetitions,0.3057647761862811,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
selected_exact_repetitions,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
selected_exact_repetitions,0.0,,,False,hbar_child_rooms,zero restriction,False,,
selected_exact_repetitions,0.1496227433207193,,,False,psi_child,normalized to 2.1,False,,
selected_exact_repetitions,0.179,,,False,payroll_tax,externally fixed,False,,
selected_exact_repetitions,2.0463613896121218,,,False,pension_period,budget derived,False,,
selected_exact_repetitions,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
selected_exact_repetitions,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
selected_exact_repetitions,0.733,,,False,alpha_cons,externally fixed,False,,
selected_exact_repetitions,2.0,,,False,sigma,externally fixed,False,,
