geography_scope,sample,age_kind,age_lower,age_upper,tenure,current_children,young_child,n_records,hhwt,rooms_sum,rooms_capped9_sum,owner_hhwt
active42,DUE,annual,22,22,renter,3+,with_young_child,129,17545.0,83928.0,83928.0,0.0
active42,DUE,annual,23,23,owner,0,without_young_child,1159,122451.0,658708.0,658708.0,122451.0
active42,DUE,annual,23,23,owner,1,with_young_child,283,28664.0,161792.0,161792.0,28664.0
active42,DUE,annual,23,23,owner,2,with_young_child,132,15194.0,89101.0,89101.0,15194.0
active42,DUE,annual,23,23,owner,3+,with_young_child,35,3771.0,25188.0,25188.0,3771.0
active42,DUE,annual,23,23,renter,0,without_young_child,5266,644264.0,2347540.0,2347540.0,0.0
active42,DUE,annual,23,23,renter,1,with_young_child,1003,142419.0,583040.0,583040.0,0.0
active42,DUE,annual,23,23,renter,2,with_young_child,513,73525.0,331754.0,331754.0,0.0
active42,DUE,annual,23,23,renter,3+,with_young_child,187,29113.0,135129.0,135129.0,0.0
active42,DUE,annual,24,24,owner,0,without_young_child,1736,178267.0,967644.0,967644.0,178267.0
active42,DUE,annual,24,24,owner,1,with_young_child,417,43108.0,249385.0,249385.0,43108.0
active42,DUE,annual,24,24,owner,2,with_young_child,213,24041.0,145510.0,145510.0,24041.0
active42,DUE,annual,24,24,owner,3+,with_young_child,61,7086.0,44399.0,44399.0,7086.0
active42,DUE,annual,24,24,renter,0,without_young_child,5633,687850.0,2549737.0,2549737.0,0.0
active42,DUE,annual,24,24,renter,1,with_young_child,1038,145971.0,603049.0,603049.0,0.0
active42,DUE,annual,24,24,renter,2,with_young_child,633,89845.0,398113.0,398113.0,0.0
active42,DUE,annual,24,24,renter,3+,with_young_child,245,39067.0,195214.0,195214.0,0.0
active42,DUE,annual,25,25,owner,0,without_young_child,2481,253411.0,1385524.0,1385524.0,253411.0
active42,DUE,annual,25,25,owner,1,with_young_child,583,61869.0,363185.0,363185.0,61869.0
active42,DUE,annual,25,25,owner,2,with_young_child,361,39883.0,238929.0,238929.0,39883.0
active42,DUE,annual,25,25,owner,3+,with_young_child,112,12499.0,77042.0,77042.0,12499.0
active42,DUE,annual,25,25,renter,0,without_young_child,5947,737882.0,2722545.0,2722545.0,0.0
active42,DUE,annual,25,25,renter,1,with_young_child,1167,163952.0,689379.0,689379.0,0.0
active42,DUE,annual,25,25,renter,2,with_young_child,743,115844.0,522415.0,522415.0,0.0
active42,DUE,annual,25,25,renter,3+,with_young_child,385,56243.0,267384.0,267384.0,0.0
active42,DUE,annual,26,26,owner,0,without_young_child,2967,296017.0,1632894.0,1632894.0,296017.0
active42,DUE,annual,26,26,owner,1,with_young_child,824,85347.0,512318.0,512318.0,85347.0
active42,DUE,annual,26,26,owner,1,without_young_child,1,86.0,344.0,344.0,86.0
active42,DUE,annual,26,26,owner,2,with_young_child,550,61042.0,375627.0,375627.0,61042.0
active42,DUE,annual,26,26,owner,3+,with_young_child,199,24261.0,153049.0,153049.0,24261.0
active42,DUE,annual,26,26,renter,0,without_young_child,5617,691468.0,2552205.0,2552205.0,0.0
active42,DUE,annual,26,26,renter,1,with_young_child,1331,190700.0,810587.0,810587.0,0.0
active42,DUE,annual,26,26,renter,1,without_young_child,1,29.0,145.0,145.0,0.0
active42,DUE,annual,26,26,renter,2,with_young_child,915,129509.0,591917.0,591917.0,0.0
active42,DUE,annual,26,26,renter,3+,with_young_child,499,78052.0,396947.0,396947.0,0.0
active42,DUE,annual,27,27,owner,0,without_young_child,3320,327389.0,1838608.0,1838608.0,327389.0
active42,DUE,annual,27,27,owner,1,with_young_child,1113,117485.0,707534.0,707534.0,117485.0
active42,DUE,annual,27,27,owner,2,with_young_child,698,75966.0,466869.0,466869.0,75966.0
active42,DUE,annual,27,27,owner,3+,with_young_child,316,37108.0,237104.0,237104.0,37108.0
active42,DUE,annual,27,27,renter,0,without_young_child,5371,649430.0,2362462.0,2362462.0,0.0
active42,DUE,annual,27,27,renter,1,with_young_child,1205,172840.0,726821.0,726821.0,0.0
active42,DUE,annual,27,27,renter,2,with_young_child,955,131398.0,597975.0,597975.0,0.0
active42,DUE,annual,27,27,renter,3+,with_young_child,638,96632.0,490979.0,490979.0,0.0
active42,DUE,annual,28,28,owner,0,without_young_child,3709,359588.0,2028521.0,2028521.0,359588.0
active42,DUE,annual,28,28,owner,1,with_young_child,1375,139226.0,852572.0,852572.0,139226.0
active42,DUE,annual,28,28,owner,2,with_young_child,981,105070.0,667052.0,667052.0,105070.0
active42,DUE,annual,28,28,owner,3+,with_young_child,402,48087.0,307030.0,307030.0,48087.0
active42,DUE,annual,28,28,renter,0,without_young_child,5130,626921.0,2299430.0,2299430.0,0.0
active42,DUE,annual,28,28,renter,1,with_young_child,1219,172291.0,729945.0,729945.0,0.0
active42,DUE,annual,28,28,renter,2,with_young_child,1002,145932.0,672689.0,672689.0,0.0
active42,DUE,annual,28,28,renter,3+,with_young_child,693,106130.0,532652.0,532652.0,0.0
active42,DUE,annual,29,29,owner,0,without_young_child,3808,368602.0,2094779.0,2094779.0,368602.0
active42,DUE,annual,29,29,owner,1,with_young_child,1582,160858.0,1016192.0,1016192.0,160858.0
active42,DUE,annual,29,29,owner,1,without_young_child,1,207.0,1242.0,1242.0,207.0
active42,DUE,annual,29,29,owner,2,with_young_child,1238,135513.0,864163.0,864163.0,135513.0
active42,DUE,annual,29,29,owner,3+,with_young_child,535,61287.0,405861.0,405861.0,61287.0
active42,DUE,annual,29,29,renter,0,without_young_child,4585,563918.0,2051719.0,2051719.0,0.0
active42,DUE,annual,29,29,renter,1,with_young_child,1265,167113.0,698021.0,698021.0,0.0
active42,DUE,annual,29,29,renter,2,with_young_child,1035,146750.0,686440.0,686440.0,0.0
active42,DUE,annual,29,29,renter,3+,with_young_child,713,107634.0,548423.0,548423.0,0.0
active42,DUE,annual,30,30,owner,0,without_young_child,3846,411676.0,2309365.0,2309365.0,411676.0
active42,DUE,annual,30,30,owner,1,with_young_child,2036,206353.0,1292280.0,1292280.0,206353.0
active42,DUE,annual,30,30,owner,1,without_young_child,1,254.0,1778.0,1778.0,254.0
active42,DUE,annual,30,30,owner,2,with_young_child,1615,168800.0,1092322.0,1092322.0,168800.0
active42,DUE,annual,30,30,owner,3+,with_young_child,660,74160.0,489572.0,489572.0,74160.0
active42,DUE,annual,30,30,renter,0,without_young_child,4655,655308.0,2397447.0,2397447.0,0.0
active42,DUE,annual,30,30,renter,1,with_young_child,1262,172542.0,729883.0,729883.0,0.0
active42,DUE,annual,30,30,renter,1,without_young_child,2,192.0,1019.0,1019.0,0.0
active42,DUE,annual,30,30,renter,2,with_young_child,1092,150892.0,689352.0,689352.0,0.0
active42,DUE,annual,30,30,renter,3+,with_young_child,753,108096.0,551421.0,551421.0,0.0
active42,DUE,annual,31,31,owner,0,without_young_child,3654,386637.0,2171396.0,2171396.0,386637.0
active42,DUE,annual,31,31,owner,1,with_young_child,2046,205026.0,1307902.0,1307902.0,205026.0
active42,DUE,annual,31,31,owner,1,without_young_child,1,197.0,985.0,985.0,197.0
active42,DUE,annual,31,31,owner,2,with_young_child,1877,189496.0,1245933.0,1245933.0,189496.0
active42,DUE,annual,31,31,owner,2,without_young_child,1,83.0,498.0,498.0,83.0
active42,DUE,annual,31,31,owner,3+,with_young_child,887,94670.0,637863.0,637863.0,94670.0
active42,DUE,annual,31,31,renter,0,without_young_child,3873,526212.0,1877553.0,1877553.0,0.0
active42,DUE,annual,31,31,renter,1,with_young_child,1200,157961.0,680602.0,680602.0,0.0
active42,DUE,annual,31,31,renter,1,without_young_child,6,1018.0,4973.0,4973.0,0.0
active42,DUE,annual,31,31,renter,2,with_young_child,1037,149233.0,687934.0,687934.0,0.0
active42,DUE,annual,31,31,renter,3+,with_young_child,843,119271.0,622064.0,622064.0,0.0
active42,DUE,annual,32,32,owner,0,without_young_child,3653,383145.0,2185345.0,2185345.0,383145.0
active42,DUE,annual,32,32,owner,1,with_young_child,2177,217937.0,1393849.0,1393849.0,217937.0
active42,DUE,annual,32,32,owner,1,without_young_child,4,432.0,2331.0,2331.0,432.0
active42,DUE,annual,32,32,owner,2,with_young_child,2266,234514.0,1565432.0,1565432.0,234514.0
active42,DUE,annual,32,32,owner,3+,with_young_child,1132,122501.0,824839.0,824839.0,122501.0
active42,DUE,annual,32,32,renter,0,without_young_child,3580,483507.0,1753293.0,1753293.0,0.0
active42,DUE,annual,32,32,renter,1,with_young_child,1240,167641.0,717246.0,717246.0,0.0
active42,DUE,annual,32,32,renter,1,without_young_child,5,875.0,3534.0,3534.0,0.0
active42,DUE,annual,32,32,renter,2,with_young_child,1183,159791.0,738613.0,738613.0,0.0
active42,DUE,annual,32,32,renter,2,without_young_child,1,165.0,825.0,825.0,0.0
active42,DUE,annual,32,32,renter,3+,with_young_child,910,135367.0,686526.0,686526.0,0.0
active42,DUE,annual,33,33,owner,0,without_young_child,3589,376380.0,2143530.0,2143530.0,376380.0
active42,DUE,annual,33,33,owner,1,with_young_child,2441,244703.0,1565685.0,1565685.0,244703.0
active42,DUE,annual,33,33,owner,1,without_young_child,6,494.0,3217.0,3217.0,494.0
active42,DUE,annual,33,33,owner,2,with_young_child,2946,293261.0,1975878.0,1975878.0,293261.0
active42,DUE,annual,33,33,owner,3+,with_young_child,1423,153447.0,1047681.0,1047681.0,153447.0
active42,DUE,annual,33,33,renter,0,without_young_child,3472,479782.0,1735128.0,1735128.0,0.0
active42,DUE,annual,33,33,renter,1,with_young_child,1218,166256.0,703769.0,703769.0,0.0
active42,DUE,annual,33,33,renter,1,without_young_child,10,1221.0,6287.0,6287.0,0.0
active42,DUE,annual,33,33,renter,2,with_young_child,1236,170330.0,808112.0,808112.0,0.0
active42,DUE,annual,33,33,renter,3+,with_young_child,1027,142873.0,731429.0,731429.0,0.0
active42,DUE,annual,34,34,owner,0,without_young_child,3817,392264.0,2245429.0,2245429.0,392264.0
active42,DUE,annual,34,34,owner,1,with_young_child,2583,257579.0,1656291.0,1656291.0,257579.0
active42,DUE,annual,34,34,owner,1,without_young_child,23,2311.0,13297.0,13297.0,2311.0
active42,DUE,annual,34,34,owner,2,with_young_child,3509,341725.0,2340094.0,2340094.0,341725.0
active42,DUE,annual,34,34,owner,2,without_young_child,2,177.0,1113.0,1113.0,177.0
active42,DUE,annual,34,34,owner,3+,with_young_child,1756,184578.0,1279750.0,1279750.0,184578.0
active42,DUE,annual,34,34,renter,0,without_young_child,3408,457073.0,1649962.0,1649962.0,0.0
active42,DUE,annual,34,34,renter,1,with_young_child,1197,162833.0,719138.0,719138.0,0.0
active42,DUE,annual,34,34,renter,1,without_young_child,19,2542.0,12594.0,12594.0,0.0
active42,DUE,annual,34,34,renter,2,with_young_child,1265,174289.0,826648.0,826648.0,0.0
active42,DUE,annual,34,34,renter,2,without_young_child,2,416.0,2454.0,2454.0,0.0
active42,DUE,annual,34,34,renter,3+,with_young_child,1247,180457.0,955862.0,955862.0,0.0
active42,DUE,annual,35,35,owner,0,without_young_child,3964,428343.0,2470711.0,2470711.0,428343.0
active42,DUE,annual,35,35,owner,1,with_young_child,2700,272862.0,1762557.0,1762557.0,272862.0
active42,DUE,annual,35,35,owner,1,without_young_child,30,2762.0,16792.0,16792.0,2762.0
active42,DUE,annual,35,35,owner,2,with_young_child,4111,408215.0,2783973.0,2783973.0,408215.0
active42,DUE,annual,35,35,owner,2,without_young_child,6,552.0,3998.0,3998.0,552.0
active42,DUE,annual,35,35,owner,3+,with_young_child,2214,230557.0,1614839.0,1614839.0,230557.0
active42,DUE,annual,35,35,renter,0,without_young_child,3425,492298.0,1791903.0,1791903.0,0.0
active42,DUE,annual,35,35,renter,1,with_young_child,1288,187350.0,821819.0,821819.0,0.0
active42,DUE,annual,35,35,renter,1,without_young_child,31,4458.0,20755.0,20755.0,0.0
active42,DUE,annual,35,35,renter,2,with_young_child,1391,190296.0,893144.0,893144.0,0.0
active42,DUE,annual,35,35,renter,2,without_young_child,3,347.0,1807.0,1807.0,0.0
active42,DUE,annual,35,35,renter,3+,with_young_child,1213,181391.0,935766.0,935766.0,0.0
active42,DUE,annual,36,36,owner,0,without_young_child,3708,391046.0,2234900.0,2234900.0,391046.0
active42,DUE,annual,36,36,owner,1,with_young_child,2564,260661.0,1692115.0,1692115.0,260661.0
active42,DUE,annual,36,36,owner,1,without_young_child,64,7671.0,51442.0,51442.0,7671.0
active42,DUE,annual,36,36,owner,2,with_young_child,4419,444019.0,3066323.0,3066323.0,444019.0
active42,DUE,annual,36,36,owner,2,without_young_child,11,1228.0,8132.0,8132.0,1228.0
active42,DUE,annual,36,36,owner,3+,with_young_child,2361,249291.0,1759755.0,1759755.0,249291.0
active42,DUE,annual,36,36,renter,0,without_young_child,2988,411957.0,1492680.0,1492680.0,0.0
active42,DUE,annual,36,36,renter,1,with_young_child,1177,162697.0,719491.0,719491.0,0.0
active42,DUE,annual,36,36,renter,1,without_young_child,40,6218.0,29142.0,29142.0,0.0
active42,DUE,annual,36,36,renter,2,with_young_child,1327,185810.0,895565.0,895565.0,0.0
active42,DUE,annual,36,36,renter,2,without_young_child,10,1343.0,6788.0,6788.0,0.0
active42,DUE,annual,36,36,renter,3+,with_young_child,1140,160110.0,855387.0,855387.0,0.0
active42,DUE,annual,36,36,renter,3+,without_young_child,1,187.0,561.0,561.0,0.0
active42,DUE,annual,37,37,owner,0,without_young_child,3508,373267.0,2180765.0,2180765.0,373267.0
active42,DUE,annual,37,37,owner,1,with_young_child,2355,241057.0,1562155.0,1562155.0,241057.0
active42,DUE,annual,37,37,owner,1,without_young_child,77,8982.0,54488.0,54488.0,8982.0
active42,DUE,annual,37,37,owner,2,with_young_child,4481,443897.0,3072403.0,3072403.0,443897.0
active42,DUE,annual,37,37,owner,2,without_young_child,5,804.0,5207.0,5207.0,804.0
active42,DUE,annual,37,37,owner,3+,with_young_child,2655,276095.0,1977918.0,1977918.0,276095.0
active42,DUE,annual,37,37,owner,3+,without_young_child,2,70.0,473.0,473.0,70.0
active42,DUE,annual,37,37,renter,0,without_young_child,2841,396004.0,1448376.0,1448376.0,0.0
active42,DUE,annual,37,37,renter,1,with_young_child,1042,137829.0,592879.0,592879.0,0.0
active42,DUE,annual,37,37,renter,1,without_young_child,75,10425.0,44999.0,44999.0,0.0
active42,DUE,annual,37,37,renter,2,with_young_child,1208,160982.0,758751.0,758751.0,0.0
active42,DUE,annual,37,37,renter,2,without_young_child,6,832.0,5259.0,5259.0,0.0
active42,DUE,annual,37,37,renter,3+,with_young_child,1040,139242.0,706828.0,706828.0,0.0
active42,DUE,annual,37,37,renter,3+,without_young_child,1,88.0,616.0,616.0,0.0
active42,DUE,annual,38,38,owner,0,without_young_child,3594,381137.0,2213065.0,2213065.0,381137.0
active42,DUE,annual,38,38,owner,1,with_young_child,2367,239795.0,1567371.0,1567371.0,239795.0
active42,DUE,annual,38,38,owner,1,without_young_child,95,11665.0,73416.0,73416.0,11665.0
active42,DUE,annual,38,38,owner,2,with_young_child,4644,456873.0,3175317.0,3175317.0,456873.0
active42,DUE,annual,38,38,owner,2,without_young_child,26,2776.0,16903.0,16903.0,2776.0
active42,DUE,annual,38,38,owner,3+,with_young_child,2763,283082.0,2006036.0,2006036.0,283082.0
active42,DUE,annual,38,38,owner,3+,without_young_child,4,450.0,2512.0,2512.0,450.0
active42,DUE,annual,38,38,renter,0,without_young_child,2728,380842.0,1409198.0,1409198.0,0.0
active42,DUE,annual,38,38,renter,1,with_young_child,1015,129458.0,566011.0,566011.0,0.0
active42,DUE,annual,38,38,renter,1,without_young_child,93,13284.0,61472.0,61472.0,0.0
active42,DUE,annual,38,38,renter,2,with_young_child,1245,173385.0,824725.0,824725.0,0.0
active42,DUE,annual,38,38,renter,2,without_young_child,24,3487.0,17487.0,17487.0,0.0
active42,DUE,annual,38,38,renter,3+,with_young_child,971,134576.0,691542.0,691542.0,0.0
active42,DUE,annual,38,38,renter,3+,without_young_child,4,785.0,4310.0,4310.0,0.0
active42,DUE,annual,39,39,owner,0,without_young_child,3575,373237.0,2185590.0,2185590.0,373237.0
active42,DUE,annual,39,39,owner,1,with_young_child,2413,234114.0,1517680.0,1517680.0,234114.0
active42,DUE,annual,39,39,owner,1,without_young_child,153,16848.0,108401.0,108401.0,16848.0
active42,DUE,annual,39,39,owner,2,with_young_child,4712,467618.0,3275214.0,3275214.0,467618.0
active42,DUE,annual,39,39,owner,2,without_young_child,37,3853.0,23399.0,23399.0,3853.0
active42,DUE,annual,39,39,owner,3+,with_young_child,2998,307828.0,2210710.0,2210710.0,307828.0
active42,DUE,annual,39,39,owner,3+,without_young_child,4,748.0,4868.0,4868.0,748.0
active42,DUE,annual,39,39,renter,0,without_young_child,2629,359443.0,1336519.0,1336519.0,0.0
active42,DUE,annual,39,39,renter,1,with_young_child,1001,135920.0,581234.0,581234.0,0.0
active42,DUE,annual,39,39,renter,1,without_young_child,108,14953.0,63726.0,63726.0,0.0
active42,DUE,annual,39,39,renter,2,with_young_child,1212,159825.0,776231.0,776231.0,0.0
active42,DUE,annual,39,39,renter,2,without_young_child,36,4378.0,22512.0,22512.0,0.0
active42,DUE,annual,39,39,renter,3+,with_young_child,937,132291.0,684663.0,684663.0,0.0
active42,DUE,annual,39,39,renter,3+,without_young_child,2,165.0,730.0,730.0,0.0
active42,DUE,annual,40,40,owner,0,without_young_child,4085,441472.0,2590122.0,2590122.0,441472.0
active42,DUE,annual,40,40,owner,1,with_young_child,2515,263684.0,1714967.0,1714967.0,263684.0
active42,DUE,annual,40,40,owner,1,without_young_child,267,31137.0,193670.0,193670.0,31137.0
active42,DUE,annual,40,40,owner,2,with_young_child,5284,524228.0,3666199.0,3666199.0,524228.0
active42,DUE,annual,40,40,owner,2,without_young_child,74,9863.0,63432.0,63432.0,9863.0
active42,DUE,annual,40,40,owner,3+,with_young_child,3173,322844.0,2338717.0,2338717.0,322844.0
active42,DUE,annual,40,40,owner,3+,without_young_child,16,1562.0,10510.0,10510.0,1562.0
active42,DUE,annual,40,40,renter,0,without_young_child,2933,414837.0,1550503.0,1550503.0,0.0
active42,DUE,annual,40,40,renter,1,with_young_child,1071,146411.0,640523.0,640523.0,0.0
active42,DUE,annual,40,40,renter,1,without_young_child,209,32531.0,141632.0,141632.0,0.0
active42,DUE,annual,40,40,renter,2,with_young_child,1274,172341.0,831313.0,831313.0,0.0
active42,DUE,annual,40,40,renter,2,without_young_child,45,6786.0,30756.0,30756.0,0.0
active42,DUE,annual,40,40,renter,3+,with_young_child,988,138993.0,731357.0,731357.0,0.0
active42,DUE,annual,40,40,renter,3+,without_young_child,13,1783.0,10936.0,10936.0,0.0
active42,DUE,annual,41,41,owner,0,without_young_child,4153,431265.0,2543266.0,2543266.0,431265.0
active42,DUE,annual,41,41,owner,1,with_young_child,2503,249213.0,1640847.0,1640847.0,249213.0
active42,DUE,annual,41,41,owner,1,without_young_child,334,38304.0,234942.0,234942.0,38304.0
active42,DUE,annual,41,41,owner,2,with_young_child,5312,513173.0,3622136.0,3622136.0,513173.0
active42,DUE,annual,41,41,owner,2,without_young_child,102,10401.0,65822.0,65822.0,10401.0
active42,DUE,annual,41,41,owner,3+,with_young_child,3242,322784.0,2368001.0,2368001.0,322784.0
active42,DUE,annual,41,41,owner,3+,without_young_child,11,1373.0,9152.0,9152.0,1373.0
active42,DUE,annual,41,41,renter,0,without_young_child,2626,355209.0,1317478.0,1317478.0,0.0
active42,DUE,annual,41,41,renter,1,with_young_child,990,136049.0,613609.0,613609.0,0.0
active42,DUE,annual,41,41,renter,1,without_young_child,233,32895.0,153016.0,153016.0,0.0
active42,DUE,annual,41,41,renter,2,with_young_child,1156,151407.0,725401.0,725401.0,0.0
active42,DUE,annual,41,41,renter,2,without_young_child,57,7367.0,37990.0,37990.0,0.0
active42,DUE,annual,41,41,renter,3+,with_young_child,817,109585.0,584791.0,584791.0,0.0
active42,DUE,annual,41,41,renter,3+,without_young_child,9,1204.0,5938.0,5938.0,0.0
active42,DUE,annual,42,42,owner,0,without_young_child,4364,444113.0,2631035.0,2631035.0,444113.0
active42,DUE,annual,42,42,owner,1,with_young_child,2677,270706.0,1763450.0,1763450.0,270706.0
active42,DUE,annual,42,42,owner,1,without_young_child,458,44386.0,277115.0,277115.0,44386.0
active42,DUE,annual,42,42,owner,2,with_young_child,5433,527981.0,3746874.0,3746874.0,527981.0
active42,DUE,annual,42,42,owner,2,without_young_child,136,13522.0,89697.0,89697.0,13522.0
active42,DUE,annual,42,42,owner,3+,with_young_child,3306,318837.0,2340344.0,2340344.0,318837.0
active42,DUE,annual,42,42,owner,3+,without_young_child,30,3058.0,21167.0,21167.0,3058.0
active42,DUE,annual,42,42,renter,0,without_young_child,2766,381203.0,1427297.0,1427297.0,0.0
active42,DUE,annual,42,42,renter,1,with_young_child,1030,133841.0,590931.0,590931.0,0.0
active42,DUE,annual,42,42,renter,1,without_young_child,309,45807.0,210764.0,210764.0,0.0
active42,DUE,annual,42,42,renter,2,with_young_child,1146,146261.0,722318.0,722318.0,0.0
active42,DUE,annual,42,42,renter,2,without_young_child,82,11175.0,54432.0,54432.0,0.0
active42,DUE,annual,42,42,renter,3+,with_young_child,832,106282.0,552280.0,552280.0,0.0
active42,DUE,annual,42,42,renter,3+,without_young_child,13,1829.0,10544.0,10544.0,0.0
active42,DUE,annual,43,43,owner,0,without_young_child,4588,473396.0,2812213.0,2812213.0,473396.0
active42,DUE,annual,43,43,owner,1,with_young_child,2739,263071.0,1766045.0,1766045.0,263071.0
active42,DUE,annual,43,43,owner,1,without_young_child,614,63298.0,404552.0,404552.0,63298.0
active42,DUE,annual,43,43,owner,2,with_young_child,5447,522087.0,3701937.0,3701937.0,522087.0
active42,DUE,annual,43,43,owner,2,without_young_child,189,20213.0,136562.0,136562.0,20213.0
active42,DUE,annual,43,43,owner,3+,with_young_child,3155,313252.0,2313411.0,2313411.0,313252.0
active42,DUE,annual,43,43,owner,3+,without_young_child,26,2900.0,19494.0,19494.0,2900.0
active42,DUE,annual,43,43,renter,0,without_young_child,2759,386362.0,1455077.0,1455077.0,0.0
active42,DUE,annual,43,43,renter,1,with_young_child,941,125055.0,562841.0,562841.0,0.0
active42,DUE,annual,43,43,renter,1,without_young_child,379,54686.0,256978.0,256978.0,0.0
active42,DUE,annual,43,43,renter,2,with_young_child,1009,127010.0,622855.0,622855.0,0.0
active42,DUE,annual,43,43,renter,2,without_young_child,80,11023.0,55432.0,55432.0,0.0
active42,DUE,annual,43,43,renter,3+,with_young_child,729,93374.0,489458.0,489458.0,0.0
active42,DUE,annual,43,43,renter,3+,without_young_child,18,2462.0,12514.0,12514.0,0.0
active42,DUE,annual,44,44,owner,0,without_young_child,4745,485359.0,2907004.0,2907004.0,485359.0
active42,DUE,annual,44,44,owner,1,with_young_child,2641,256247.0,1694188.0,1694188.0,256247.0
active42,DUE,annual,44,44,owner,1,without_young_child,781,82679.0,525160.0,525160.0,82679.0
active42,DUE,annual,44,44,owner,2,with_young_child,5243,503620.0,3597548.0,3597548.0,503620.0
active42,DUE,annual,44,44,owner,2,without_young_child,333,34249.0,224697.0,224697.0,34249.0
active42,DUE,annual,44,44,owner,3+,with_young_child,3098,297673.0,2208797.0,2208797.0,297673.0
active42,DUE,annual,44,44,owner,3+,without_young_child,38,3863.0,26863.0,26863.0,3863.0
active42,DUE,annual,44,44,renter,0,without_young_child,2802,372147.0,1387507.0,1387507.0,0.0
active42,DUE,annual,44,44,renter,1,with_young_child,892,110919.0,493308.0,493308.0,0.0
active42,DUE,annual,44,44,renter,1,without_young_child,386,51622.0,231812.0,231812.0,0.0
active42,DUE,annual,44,44,renter,2,with_young_child,965,123525.0,613538.0,613538.0,0.0
active42,DUE,annual,44,44,renter,2,without_young_child,111,15377.0,80649.0,80649.0,0.0
active42,DUE,annual,44,44,renter,3+,with_young_child,663,90179.0,482802.0,482802.0,0.0
active42,DUE,annual,44,44,renter,3+,without_young_child,17,2700.0,13659.0,13659.0,0.0
active42,DUE,annual,45,45,owner,0,without_young_child,5294,555942.0,3342971.0,3342971.0,555942.0
