restriction_id,parameter,cps_projection,coordinate,parameter_minus,parameter_base,parameter_plus,coordinate_minus,coordinate_base,coordinate_plus,actual_minus_coordinate_step,actual_plus_coordinate_step,model_minus,model_base,model_plus,target,central_derivative,minus_side_derivative,plus_side_derivative,signed_slope_asymmetry,relative_slope_asymmetry,working_weight,weighted_central_derivative,weighted_minus_side_derivative,weighted_plus_side_derivative
ownership_30_55,chi,uniform_birth_time,log(parameter),1.0326524774836185,1.0537270178404272,1.0748015581972359,0.032130712899971596,0.05233342021749116,0.07213604751367099,-0.020202707317519566,0.019802627296179827,0.495754078435099,0.5747683591158299,0.6289178416252823,0.6483340343191493,3.328650153186891,3.911073869402176,2.734459508809647,-1.176614360592529,0.35348093264352937,2339.3623724673616,160.99667342575168,189.16673531860337,132.25748104356293
first_birth_rooms,chi,uniform_birth_time,log(parameter),1.0326524774836185,1.0537270178404272,1.0748015581972359,0.032130712899971596,0.05233342021749116,0.07213604751367099,-0.020202707317519566,0.019802627296179827,0.4687265751772811,0.43884666342482603,0.4093190294883051,0.7202462623815278,-1.484990595944985,-1.4790053274960602,-1.4910967870519465,-0.012091459555886308,0.008142448570990321,137.56527490029643,-17.417190966113747,-17.34699081545755,-17.488809397150245
family_rooms,chi,uniform_birth_time,log(parameter),1.0326524774836185,1.0537270178404272,1.0748015581972359,0.032130712899971596,0.05233342021749116,0.07213604751367099,-0.020202707317519566,0.019802627296179827,0.17393016567161457,0.16621534127109694,0.16406660589947375,0.3470669317962507,-0.24655611226316673,-0.3818708195523586,-0.10850759040633498,0.2733632291460236,1.1087262312695934,280.52808370152104,-4.1295615726768276,-6.395943899645966,-1.8173906603762513
recent_parent_ownership,chi,uniform_birth_time,log(parameter),1.0326524774836185,1.0537270178404272,1.0748015581972359,0.032130712899971596,0.05233342021749116,0.07213604751367099,-0.020202707317519566,0.019802627296179827,-0.05340356254167894,-0.05324358594536549,-0.05180213030054415,0.16289550916123285,0.04003046735138167,0.00791857218931837,0.07279113136161575,0.06487255917229738,1.6205796100968648,27055.822957508266,6.58447320505105,1.3024985680320722,11.973161587366956
cps_childlessness,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,0.18072204140396778,0.18058501851824132,0.18046284574524055,0.19827875100684264,-0.006479027390473782,-0.0067824021589238575,-0.006169523426032692,0.0006128787328911652,0.09459424940729384,35532.3042455214,-1.2212975953538698,-1.278483782858476,-1.1629560535230439
cps_exactly_one,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,0.23314631616055806,0.23323606686283196,0.2333292055411549,0.21365532522014702,0.0045716248186115985,0.004442508662988684,0.0047033495571020415,0.00026084089411335717,0.057056496204903905,26952.820824310795,0.7505380142781137,0.7293406092203041,0.7721636785835994
nchs_mean_age,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,26.586473164295786,26.585140795182383,26.583975357805173,25.976263860992496,-0.062436835355391934,-0.06595002800675182,-0.058852664334853935,0.00709736367189788,0.11367270028180511,139.8280678447927,-0.7383088270665746,-0.7798519503033681,-0.6959263922888183
nchs_share30,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,0.2652340300910625,0.26516756649743256,0.26510890176695817,0.2492780130410667,-0.0031277909636951025,-0.0032898359900657135,-0.0029624720799398814,0.0003273639101258321,0.10466297585919607,13866.065434728796,-0.36831070620208545,-0.3873921981533849,-0.3488437036014726
wealth_earnings,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,6.09669502745628,6.096876962747856,6.099071611090731,6.14586139445743,0.05940666807063951,0.009005490636273001,0.11082611968862185,0.10182062905234886,1.713959600145822,7.595098472533724,0.1637200615961371,0.024818417352087323,0.3054279886612518
bequest_wealth,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,0.012350627093958306,0.012368034993361301,0.012381873203257045,0.0088,0.0007810485676587423,0.0008616617134229056,0.000698806763808196,-0.0001628549496147096,0.20850809585744556,5165289.256198347,1.7751103810425959,1.9583220759611488,1.5881971904731726
old_dispersion,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,3.794331496779656,3.7297557246748427,3.723853371331483,3.51593508651872,-1.7617181840553384,-3.1963920028091626,-0.29805910372803307,2.8983328990811295,1.6451739701121733,10.616361531535475,-5.740163818166585,-10.41472687814741,-0.9711587803200391
mean_rooms,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,6.186312282111149,6.246382336944046,6.307567213973469,5.561097376118652,3.030969070329855,2.9733665834383034,3.0897353222026935,0.11636873876439013,0.0383932452176841,128.02070205233477,34.29427348324806,33.64252303877418,34.959191490178846
ownership_30_55,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,0.5700663717652994,0.5747683591158299,0.5790242006475981,0.6483340343191493,0.22391585944218295,0.2327404578322538,0.21491297432988046,-0.017827483502373342,0.07961688621245944,2339.3623724673616,10.83012838190436,11.256947338459295,10.394686239410888
first_birth_rooms,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,0.4397440594627735,0.43884666342482603,0.43677573828944993,0.7202462623815278,-0.07419813387355298,-0.04441959306955184,-0.10457830187894147,-0.06015870880938964,0.8107846608637213,137.56527490029643,-0.870256734644549,-0.5209895182111371,-1.2265803296742872
family_rooms,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,0.17074321595977082,0.16621534127109694,0.16434923369103682,0.3470669317962507,-0.15982824117022634,-0.2241221741972857,-0.09423535332708484,0.12988682087020087,0.8126650203943863,280.52808370152104,-2.6769588346712925,-3.7538161583356473,-1.578345352362569
recent_parent_ownership,H0,uniform_birth_time,log(parameter),8.266147196322741,8.43484407788035,8.603540959437957,2.112168523373857,2.1323712306913767,2.152173857987557,-0.020202707317519497,0.01980262729618021,-0.055018214549689304,-0.05324358594536549,-0.05131455599770718,0.16289550916123285,0.09257911695391291,0.08784112824249457,0.0974128290557894,0.009571700813294823,0.10338941575841278,27055.822957508266,15.228018938162283,14.44868355238414,16.02309953355878
cps_childlessness,theta0,uniform_birth_time,log(parameter),0.5589428924146935,0.570349890219075,0.5817568880234565,-0.5817079713056927,-0.5615052639881732,-0.5417026366919936,-0.020202707317519497,0.019802627296179653,0.18058258572104702,0.18058501851824132,0.18058738139699637,0.19827875100684264,0.00011987591144186381,0.00012041936538859506,0.00011932147788806559,-1.0978875005294677e-06,0.009158533080784207,35532.3042455214,0.022596626555408936,0.022699067702563882,0.02249211575074204
cps_exactly_one,theta0,uniform_birth_time,log(parameter),0.5589428924146935,0.570349890219075,0.5817568880234565,-0.5817079713056927,-0.5615052639881732,-0.5417026366919936,-0.020202707317519497,0.019802627296179653,0.23323306600460747,0.23323606686283196,0.23323894447781626,0.21365532522014702,0.0001469422332185528,0.00014853743002514187,0.0001453148080433298,-3.2226219818120736e-06,0.02193121685457812,26952.820824310795,0.024123968240888555,0.024385856714047156,0.02385678873516327
nchs_mean_age,theta0,uniform_birth_time,log(parameter),0.5589428924146935,0.570349890219075,0.5817568880234565,-0.5817079713056927,-0.5615052639881732,-0.5417026366919936,-0.020202707317519497,0.019802627296179653,26.585153824654952,26.585140795182383,26.585126646525463,25.976263860992496,-0.0006793626337986314,-0.0006449369564452274,-0.0007144838262230505,-6.954686977782309e-05,0.10237076094243557,139.8280678447927,-0.008033389688278155,-0.007626309775866016,-0.008448693991202166
nchs_share30,theta0,uniform_birth_time,log(parameter),0.5589428924146935,0.570349890219075,0.5817568880234565,-0.5817079713056927,-0.5615052639881732,-0.5417026366919936,-0.020202707317519497,0.019802627296179653,0.26516817664073195,0.26516756649743256,0.26516688945454575,0.2492780130410667,-3.2175363576468644e-05,-3.0201066114304916e-05,-3.418954852219603e-05,-3.988482407891113e-06,0.12396075644683864,13866.065434728796,-0.003788786085358489,-0.0035563041513089503,-0.0040259649404652455
