f_c_y,control,K,rows
1985,0,2,19
1985,0,3,15
1985,0,4,11
1985,0,5,11
1985,0,6,10
1985,0,7,9
1985,0,8,5
1985,0,9,12
1985,0,10,7
1985,0,11,3
1985,0,12,6
1985,0,14,11
1985,0,16,3
1985,0,18,7
1985,0,20,3
1985,0,22,5
1985,0,24,3
1985,0,26,5
1985,0,28,6
1985,0,30,3
1985,0,32,2
1985,0,34,5
1986,0,-17,1
1986,0,-15,1
1986,0,-10,1
1986,0,-9,6
1986,0,-8,9
1986,0,-7,13
1986,0,-6,15
1986,0,-5,18
1986,0,-4,19
1986,0,-3,25
1986,0,-2,37
1986,0,-1,21
1986,0,0,13
1986,0,1,12
1986,0,2,9
1986,0,3,15
1986,0,4,8
1986,0,5,10
1986,0,6,8
1986,0,7,7
1986,0,8,9
1986,0,9,5
1986,0,10,3
1986,0,11,6
1986,0,13,6
1986,0,15,5
1986,0,17,8
1986,0,19,9
1986,0,21,3
1986,0,23,6
1986,0,25,3
1986,0,27,5
1986,0,29,2
1986,0,31,4
1986,0,33,2
1987,0,-12,2
1987,0,-11,4
1987,0,-10,7
1987,0,-9,8
1987,0,-8,13
1987,0,-7,17
1987,0,-6,14
1987,0,-5,19
1987,0,-4,25
1987,0,-3,33
1987,0,-2,48
1987,0,-1,28
1987,0,0,24
1987,0,1,21
1987,0,2,21
1987,0,3,12
1987,0,4,19
1987,0,5,18
1987,0,6,8
1987,0,7,13
1987,0,8,10
1987,0,9,9
1987,0,10,3
1987,0,12,8
1987,0,14,8
1987,0,16,9
1987,0,18,6
1987,0,20,12
1987,0,22,9
1987,0,24,7
1987,0,26,8
1987,0,28,4
1987,0,30,5
1987,0,32,3
1988,0,-13,4
1988,0,-12,2
1988,0,-11,6
1988,0,-10,8
1988,0,-9,6
1988,0,-8,6
1988,0,-7,11
1988,0,-6,17
1988,0,-5,26
1988,0,-4,26
1988,0,-3,45
1988,0,-2,49
1988,0,-1,38
1988,0,0,32
1988,0,1,17
1988,0,2,20
1988,0,3,20
1988,0,4,15
1988,0,5,13
1988,0,6,16
1988,0,7,10
1988,0,8,13
1988,0,9,11
1988,0,11,16
1988,0,13,15
1988,0,15,15
1988,0,17,11
1988,0,19,9
1988,0,21,14
1988,0,23,10
1988,0,25,6
1988,0,27,4
1988,0,29,4
1988,0,31,6
1989,0,-17,1
1989,0,-15,1
1989,0,-14,2
1989,0,-13,3
1989,0,-12,2
1989,0,-11,4
1989,0,-10,6
1989,0,-9,6
1989,0,-8,8
1989,0,-7,6
1989,0,-6,9
1989,0,-5,14
1989,0,-4,20
1989,0,-3,29
1989,0,-2,37
1989,0,-1,23
1989,0,0,23
1989,0,1,18
1989,0,2,12
1989,0,3,14
1989,0,4,11
1989,0,5,14
1989,0,6,13
1989,0,7,8
1989,0,8,8
1989,0,10,7
1989,0,12,8
1989,0,14,4
1989,0,16,5
1989,0,18,3
1989,0,20,2
1989,0,22,1
1989,0,24,6
1989,0,26,5
1989,0,28,5
1989,0,30,6
1990,0,-14,1
1990,0,-13,1
1990,0,-12,7
1990,0,-11,3
1990,0,-10,7
1990,0,-9,11
1990,0,-8,8
1990,0,-7,12
1990,0,-6,19
1990,0,-5,17
1990,0,-4,19
1990,0,-3,25
1990,0,-2,34
1990,0,-1,27
1990,0,0,21
1990,0,1,19
1990,0,2,13
1990,0,3,9
1990,0,4,15
1990,0,5,12
1990,0,6,10
1990,0,7,10
1990,0,9,7
1990,0,11,8
1990,0,13,10
1990,0,15,11
1990,0,17,8
1990,0,19,8
1990,0,21,3
1990,0,23,7
1990,0,25,5
1990,0,27,4
1990,0,29,6
1991,0,-15,1
1991,0,-14,1
1991,0,-13,2
1991,0,-12,5
1991,0,-11,5
1991,0,-10,5
1991,0,-9,11
1991,0,-8,13
1991,0,-7,13
1991,0,-6,12
1991,0,-5,16
1991,0,-4,19
1991,0,-3,34
1991,0,-2,36
1991,0,-1,25
1991,0,0,15
1991,0,1,16
1991,0,2,8
1991,0,3,13
1991,0,4,12
1991,0,5,7
1991,0,6,8
1991,0,8,10
1991,0,10,12
1991,0,12,14
1991,0,14,10
1991,0,16,13
1991,0,18,6
1991,0,20,5
1991,0,22,6
1991,0,24,9
1991,0,26,10
1991,0,28,8
1992,0,-16,1
1992,0,-13,3
1992,0,-12,5
1992,0,-11,6
1992,0,-10,6
1992,0,-9,7
1992,0,-8,10
1992,0,-7,16
1992,0,-6,17
1992,0,-5,22
1992,0,-4,24
1992,0,-3,33
1992,0,-2,34
1992,0,-1,24
1992,0,0,22
1992,0,1,17
1992,0,2,15
1992,0,3,7
1992,0,4,16
1992,0,5,7
1992,0,7,13
1992,0,9,8
1992,0,11,11
1992,0,13,11
1992,0,15,7
1992,0,17,4
1992,0,19,7
1992,0,21,9
1992,0,23,4
1992,0,25,4
1992,0,27,4
1993,0,-15,1
1993,0,-14,1
1993,0,-13,1
1993,0,-12,2
1993,0,-11,3
1993,0,-10,1
1993,0,-9,4
1993,0,-8,7
1993,0,-7,6
1993,0,-6,10
1993,0,-5,10
1993,0,-4,17
1993,0,-3,27
1993,0,-2,26
1993,0,-1,19
1993,0,0,21
1993,0,1,13
1993,0,2,8
1993,0,3,10
1993,0,4,5
1993,0,6,11
1993,0,8,8
1993,0,10,6
1993,0,12,7
1993,0,14,5
1993,0,16,7
1993,0,18,6
1993,0,20,6
1993,0,22,5
1993,0,24,7
1993,0,26,7
1994,0,-18,1
1994,0,-16,1
1994,0,-15,2
1994,0,-14,1
1994,0,-13,3
1994,0,-12,3
1994,0,-11,2
1994,0,-10,3
1994,0,-9,6
1994,0,-8,6
1994,0,-7,13
1994,0,-6,13
1994,0,-5,21
1994,0,-4,20
1994,0,-3,30
1994,0,-2,28
1994,0,-1,16
1994,0,0,18
1994,0,1,13
1994,0,2,10
1994,0,3,8
1994,0,5,12
1994,0,7,10
1994,0,9,11
1994,0,11,8
1994,0,13,7
1994,0,15,5
1994,0,17,3
1994,0,19,8
1994,0,21,9
1994,0,23,5
1994,0,25,5
1995,0,-18,1
1995,0,-16,1
1995,0,-13,1
1995,0,-12,1
1995,0,-11,4
1995,0,-10,2
1995,0,-9,6
1995,0,-8,4
1995,0,-7,10
1995,0,-6,9
1995,0,-5,15
1995,0,-4,16
1995,0,-3,24
1995,0,-2,29
1995,0,-1,18
1995,0,0,16
1995,0,1,15
1995,0,2,10
1995,0,4,12
1995,0,6,16
1995,0,8,10
1995,0,10,15
1995,0,12,12
1995,0,14,10
1995,0,16,2
1995,0,18,4
1995,0,20,5
1995,0,22,6
1995,0,24,3
1996,0,-15,1
1996,0,-14,2
1996,0,-13,2
1996,0,-12,4
1996,0,-11,4
1996,0,-10,2
1996,0,-9,4
1996,0,-8,6
1996,0,-7,9
1996,0,-6,8
1996,0,-5,10
1996,0,-4,12
1996,0,-3,25
1996,0,-2,24
1996,0,-1,17
1996,0,0,16
1996,0,1,10
1996,0,3,16
1996,0,5,13
1996,0,7,14
1996,0,9,10
1996,0,11,5
1996,0,13,5
1996,0,15,5
1996,0,17,6
1996,0,19,7
1996,0,21,5
1996,0,23,3
1997,0,-14,1
1997,0,-11,1
1997,0,-9,4
1997,0,-8,4
1997,0,-7,3
1997,0,-6,4
1997,0,-5,10
1997,0,-4,11
1997,0,-3,18
1997,0,-2,14
1997,0,-1,17
1997,0,0,9
1997,0,2,13
1997,0,4,9
1997,0,6,18
1997,0,8,8
1997,0,10,13
1997,0,12,6
1997,0,14,9
1997,0,16,7
1997,0,18,5
1997,0,20,5
1997,0,22,4
1998,0,-11,2
1998,0,-10,3
1998,0,-9,5
1998,0,-8,7
1998,0,-7,9
1998,0,-6,6
1998,0,-5,9
1998,0,-4,13
1998,0,-3,14
1998,0,-2,19
1998,0,-1,8
