cohort,event,coefficient,variance,explicit_reference
1994,L4event,0,0,0
1995,L4event,.4772520519836219,.23388579,0
1996,L4event,0,0,0
1997,L4event,.6448021724599171,.14873013,0
1998,L4event,0,0,0
1999,L4event,1.033289104479049,.18284105,0
2000,L4event,0,0,0
2001,L4event,.2758045976539725,.22399148,0
2002,L4event,0,0,0
2003,L4event,1.262542933917162,.28622839,0
2004,L4event,0,0,0
2005,L4event,.7515976662537212,.15958217,0
2006,L4event,0,0,0
2007,L4event,.4321313636347299,.093900092,0
2008,L4event,0,0,0
2009,L4event,1.270588759250677,.15757263,0
2010,L4event,0,0,0
2011,L4event,.2131392280055859,.13909806,0
2012,L4event,0,0,0
2013,L4event,1.056073719019622,.14902079,0
2014,L4event,0,0,0
2015,L4event,1.643492645874822,.27017164,0
2016,L4event,0,0,0
2017,L4event,0,0,0
2018,L4event,0,0,0
2019,L4event,0,0,0
1970,L5event,.4736525446489882,.18824439,0
1971,L5event,0,0,0
1972,L5event,1.379317689907469,.15066375,0
1973,L5event,1.70630604009544,.24465196,0
1974,L5event,1.555429296887345,.1253071,0
1975,L5event,-.0271995161367988,.19404617,0
1976,L5event,1.076616406928607,.61390823,0
1977,L5event,0,0,0
1978,L5event,0,0,0
1979,L5event,0,0,0
1980,L5event,1.539435031995418,.17870507,0
1981,L5event,1.11387666389531,.11742865,0
1982,L5event,1.5384190951213,.18924256,0
1983,L5event,.270029971139565,.098040573,0
1984,L5event,1.07467093101522,2.6706407,0
1985,L5event,1.781340726566022,.4590219,0
1986,L5event,.6292447009860922,.52708173,0
1987,L5event,.4465553091515548,.11128738,0
1988,L5event,.8807146911819907,.13802487,0
1989,L5event,.2437144759527434,.10068811,0
1990,L5event,1.412037434983852,.1525608,0
1991,L5event,.8694541959175776,.10751307,0
1992,L5event,1.049383178023579,.084671021,0
1993,L5event,0,0,0
1994,L5event,1.18191359684623,.098858848,0
1995,L5event,0,0,0
1996,L5event,1.820587724086739,.17524144,0
1997,L5event,0,0,0
1998,L5event,1.778921670755392,.28464019,0
1999,L5event,0,0,0
2000,L5event,1.776810839934636,.2934573,0
2001,L5event,0,0,0
2002,L5event,1.187629720579947,.23986836,0
2003,L5event,0,0,0
2004,L5event,2.017265239309456,.31549782,0
2005,L5event,0,0,0
2006,L5event,1.717987088336322,.19456553,0
2007,L5event,0,0,0
2008,L5event,1.979452562482574,.4981443,0
2009,L5event,0,0,0
2010,L5event,2.063981146124009,.17427923,0
2011,L5event,0,0,0
2012,L5event,1.811803119596539,.30964524,0
2013,L5event,0,0,0
2014,L5event,2.371045328134113,.17163788,0
2015,L5event,0,0,0
2016,L5event,0,0,0
2017,L5event,0,0,0
2018,L5event,0,0,0
2019,L5event,0,0,0
1970,L6event,0,0,0
1971,L6event,1.09109143531399,.31295806,0
1972,L6event,.9576304039652878,.15252496,0
1973,L6event,1.585599572753698,.20760557,0
1974,L6event,1.244142922905839,.15922399,0
1975,L6event,.0655255090231047,.18293989,0
1976,L6event,0,0,0
1977,L6event,0,0,0
1978,L6event,0,0,0
1979,L6event,.7373793134503326,.14759557,0
1980,L6event,1.267061859291159,.16017228,0
1981,L6event,1.153983014155129,.1520458,0
1982,L6event,1.265963757351621,.20658709,0
1983,L6event,.2757022663350455,.10812666,0
1984,L6event,1.07514077059343,2.3427639,0
1985,L6event,1.333205015308842,.58314997,0
1986,L6event,1.279018998756029,.64659852,0
1987,L6event,.5726313142642594,.096123427,0
1988,L6event,.9358070834246482,.1278924,0
1989,L6event,.4703297841077091,.10340887,0
1990,L6event,1.691913883393134,.18985188,0
1991,L6event,1.097479707768471,.13241771,0
1992,L6event,0,0,0
1993,L6event,.8932669710698063,.25606292,0
1994,L6event,0,0,0
1995,L6event,.5894957034767756,.27684206,0
1996,L6event,0,0,0
1997,L6event,.7639638849966225,.20303139,0
1998,L6event,0,0,0
1999,L6event,1.174400670497891,.16343386,0
2000,L6event,0,0,0
2001,L6event,.5914224525513685,.25302354,0
2002,L6event,0,0,0
2003,L6event,1.149972391288909,.28211051,0
2004,L6event,0,0,0
2005,L6event,1.151185083040144,.15465581,0
2006,L6event,0,0,0
2007,L6event,.7220288598808594,.14146283,0
2008,L6event,0,0,0
2009,L6event,1.396509916892834,.11526595,0
2010,L6event,0,0,0
2011,L6event,.8025074744295477,.15661445,0
2012,L6event,0,0,0
2013,L6event,1.258027545340968,.21945423,0
2014,L6event,0,0,0
2015,L6event,0,0,0
2016,L6event,0,0,0
2017,L6event,0,0,0
2018,L6event,0,0,0
2019,L6event,0,0,0
1970,L7event,.5145792210338348,.12814881,0
1971,L7event,.9066518323664962,.35733193,0
1972,L7event,1.140615406405282,.19079223,0
1973,L7event,1.396955741504696,.29397705,0
1974,L7event,1.124239879465865,.12082839,0
1975,L7event,0,0,0
1976,L7event,0,0,0
1977,L7event,0,0,0
1978,L7event,2.323885038859296,.19635394,0
1979,L7event,.6426713414298459,.1205132,0
1980,L7event,1.486094407707701,.1605206,0
1981,L7event,.8811002190099425,.13887085,0
1982,L7event,1.30083970415545,.30289233,0
1983,L7event,.6983973528677178,.09896756,0
1984,L7event,1.032683555759754,2.5350895,0
1985,L7event,1.336859392279605,.61626977,0
1986,L7event,1.482933731850106,.68857795,0
1987,L7event,.3250212603674159,.11502421,0
1988,L7event,.8813699072635937,.15973145,0
1989,L7event,.5064106849073663,.12871699,0
1990,L7event,1.912068161129509,.24996814,0
1991,L7event,0,0,0
1992,L7event,.8313460147225644,.2286282,0
1993,L7event,0,0,0
1994,L7event,1.330006195100626,.12884054,0
1995,L7event,0,0,0
1996,L7event,2.209287554824645,.18611106,0
1997,L7event,0,0,0
1998,L7event,2.110180318001152,.18520126,0
1999,L7event,0,0,0
2000,L7event,1.749534719100313,.30474174,0
2001,L7event,0,0,0
2002,L7event,1.157967062038261,.23784861,0
2003,L7event,0,0,0
2004,L7event,2.089353803777907,.26300985,0
2005,L7event,0,0,0
2006,L7event,1.701144241243571,.10503066,0
2007,L7event,0,0,0
2008,L7event,1.949273535869738,.40154651,0
2009,L7event,0,0,0
2010,L7event,2.164723713377823,.33577165,0
2011,L7event,0,0,0
2012,L7event,2.318126330882728,.2981022,0
2013,L7event,0,0,0
2014,L7event,0,0,0
2015,L7event,0,0,0
2016,L7event,0,0,0
2017,L7event,0,0,0
2018,L7event,0,0,0
2019,L7event,0,0,0
1970,L8event,.5062663245916386,.18699709,0
1971,L8event,1.154923141578682,.35444671,0
1972,L8event,.7790593351402345,.20114577,0
1973,L8event,1.212959622383455,.34523532,0
1974,L8event,0,0,0
1975,L8event,0,0,0
1976,L8event,0,0,0
1977,L8event,.6914673022811638,.13625088,0
1978,L8event,1.950483495845266,.17807971,0
1979,L8event,.7565233137776086,.14697465,0
1980,L8event,1.593529910862769,.1615703,0
1981,L8event,.8936281905327088,.14489818,0
1982,L8event,1.123518836636349,.26296365,0
1983,L8event,.0888074134395434,.13605176,0
1984,L8event,.8732452248710899,2.3452306,0
1985,L8event,1.193283732346721,.51349103,0
1986,L8event,1.155142695653329,.64551669,0
1987,L8event,.3257739678200502,.10186724,0
1988,L8event,.6418006570677126,.15988298,0
1989,L8event,.6329942757790786,.1240436,0
1990,L8event,0,0,0
1991,L8event,1.17251830152162,.12972355,0
1992,L8event,0,0,0
1993,L8event,1.327238051718472,.25160089,0
1994,L8event,0,0,0
1995,L8event,.751387758678675,.3477208,0
1996,L8event,0,0,0
1997,L8event,.922535531898772,.25090343,0
1998,L8event,0,0,0
1999,L8event,1.280194841914445,.21734288,0
2000,L8event,0,0,0
2001,L8event,.822144378977416,.26203036,0
2002,L8event,0,0,0
2003,L8event,1.353900567718843,.30792058,0
2004,L8event,0,0,0
2005,L8event,1.216231913255643,.24198657,0
2006,L8event,0,0,0
2007,L8event,.7682017370835234,.10752344,0
2008,L8event,0,0,0
2009,L8event,.8367114522386557,.18097596,0
2010,L8event,0,0,0
2011,L8event,1.018770202707609,.17552726,0
2012,L8event,0,0,0
2013,L8event,0,0,0
2014,L8event,0,0,0
2015,L8event,0,0,0
2016,L8event,0,0,0
2017,L8event,0,0,0
2018,L8event,0,0,0
2019,L8event,0,0,0
1970,L9event,.9188500017243091,.10257191,0
1971,L9event,.663419016747386,.31681067,0
1972,L9event,.9829478922236955,.18270288,0
1973,L9event,0,0,0
1974,L9event,0,0,0
1975,L9event,0,0,0
1976,L9event,1.407319050452783,.61790144,0
1977,L9event,.5523314311599242,.14016709,0
1978,L9event,1.89132085034426,.18337508,0
1979,L9event,.6539943170459561,.14810327,0
1980,L9event,1.516574043740059,.19111441,0
1981,L9event,.9201620956145519,.13777401,0
1982,L9event,1.574139709296401,.30727115,0
1983,L9event,.5716385377976529,.17606758,0
1984,L9event,1.045435982948195,2.3602209,0
1985,L9event,1.165570467557066,.53245276,0
1986,L9event,1.446009605321851,.71560925,0
1987,L9event,.4356814304738952,.12425085,0
1988,L9event,.4225094142099014,.16316698,0
1989,L9event,0,0,0
1990,L9event,2.032883255311822,.22609964,0
1991,L9event,0,0,0
1992,L9event,1.583411518561456,.30161586,0
1993,L9event,0,0,0
1994,L9event,1.198139852177323,.12130483,0
1995,L9event,0,0,0
1996,L9event,2.223320010606134,.24280836,0
1997,L9event,0,0,0
1998,L9event,2.661059957377554,.37062952,0
1999,L9event,0,0,0
2000,L9event,1.634427496537552,.31761494,0
2001,L9event,0,0,0
2002,L9event,1.708660258930174,.41048118,0
2003,L9event,0,0,0
2004,L9event,2.698271056594533,.32812008,0
2005,L9event,0,0,0
2006,L9event,2.37589045603235,.1700146,0
2007,L9event,0,0,0
2008,L9event,2.022947840023169,.39619875,0
2009,L9event,0,0,0
2010,L9event,2.134932582464734,.42198473,0
2011,L9event,0,0,0
2012,L9event,0,0,0
2013,L9event,0,0,0
2014,L9event,0,0,0
2015,L9event,0,0,0
2016,L9event,0,0,0
2017,L9event,0,0,0
2018,L9event,0,0,0
2019,L9event,0,0,0
1970,L10event,.9366746515137653,.19971792,0
1971,L10event,.8317184857942955,.50448221,0
1972,L10event,0,0,0
1973,L10event,0,0,0
1974,L10event,0,0,0
1975,L10event,-.2684948840183667,.15589634,0
1976,L10event,1.513387740408375,.63973826,0
1977,L10event,.8801347979816821,.1346363,0
1978,L10event,1.761272950360539,.18799312,0
1979,L10event,.8427592547064238,.15147863,0
1980,L10event,1.504123843062397,.20216897,0
1981,L10event,1.041223027865366,.18817084,0
1982,L10event,1.284717595497013,.34238443,0
1983,L10event,.4341390358525191,.1760345,0
1984,L10event,1.274091718080881,2.3558919,0
1985,L10event,1.13800296904888,.57749903,0
1986,L10event,1.228248350647327,.82287878,0
1987,L10event,.513656112493462,.14006972,0
1988,L10event,0,0,0
1989,L10event,.5330330104473356,.12608346,0
1990,L10event,0,0,0
1991,L10event,1.481948476574926,.11939365,0
1992,L10event,0,0,0
1993,L10event,1.181419512186361,.25398332,0
1994,L10event,0,0,0
1995,L10event,1.32329915007647,.3350879,0
1996,L10event,0,0,0
1997,L10event,1.012018122932056,.2745181,0
1998,L10event,0,0,0
1999,L10event,1.474435439895996,.17172122,0
2000,L10event,0,0,0
2001,L10event,.6771575724053915,.29670608,0
2002,L10event,0,0,0
2003,L10event,1.363732355263318,.3529571,0
2004,L10event,0,0,0
2005,L10event,.9935590612722678,.25733182,0
2006,L10event,0,0,0
2007,L10event,.7427694063164578,.11192861,0
2008,L10event,0,0,0
2009,L10event,1.212638141382987,.1518919,0
2010,L10event,0,0,0
2011,L10event,0,0,0
2012,L10event,0,0,0
2013,L10event,0,0,0
2014,L10event,0,0,0
2015,L10event,0,0,0
2016,L10event,0,0,0
2017,L10event,0,0,0
2018,L10event,0,0,0
2019,L10event,0,0,0
1970,L11event,0,0,0
1971,L11event,.3291108877991927,.27693671,0
1972,L11event,.7104580915073803,.20988634,0
1973,L11event,1.251448528675004,.28710246,0
1974,L11event,.8344121947735258,.35795608,0
1975,L11event,-.3097092363843743,.13920894,0
1976,L11event,1.675589357728839,.7818988,0
1977,L11event,.6359168365869995,.12892619,0
1978,L11event,1.431860517357259,.14177084,0
1979,L11event,.6979601451995514,.12045861,0
1980,L11event,1.234683699684001,.14021087,0
1981,L11event,.7338066789331348,.14014958,0
1982,L11event,1.539295412218648,.24841508,0
1983,L11event,.8180630948427851,.17889597,0
1984,L11event,1.616787110999214,2.5019495,0
1985,L11event,1.139128937683458,.51192808,0
1986,L11event,1.194752925778523,.59622163,0
1987,L11event,.905483973407461,.26940933,0
1988,L11event,1.0585291113644,.16646066,0
1989,L11event,.5563700659248194,.13864346,0
1990,L11event,2.14410748127445,.28665569,0
1991,L11event,1.48348513130911,.12529936,0
1992,L11event,1.323365907003026,.13940175,0
1993,L11event,1.124384579506696,.27597797,0
1994,L11event,1.096853863299062,.1033668,0
1995,L11event,1.300796078234014,.29563355,0
1996,L11event,2.144290752951492,.19900152,0
1997,L11event,1.159050240368519,.26539844,0
1998,L11event,2.630888138372153,.27895302,0
1999,L11event,1.065647375935036,.18877541,0
2000,L11event,2.006162621289478,.33362013,0
2001,L11event,1.251249413657463,.24182175,0
2002,L11event,1.332929903995221,.33294186,0
2003,L11event,1.743901997185497,.31055707,0
2004,L11event,2.420189109136036,.27916074,0
2005,L11event,.9873876955787483,.19042084,0
2006,L11event,2.317166302870611,.11495761,0
2007,L11event,1.076511390340148,.14534935,0
2008,L11event,2.091583443499723,.37458065,0
2009,L11event,0,0,0
2010,L11event,0,0,0
2011,L11event,0,0,0
2012,L11event,0,0,0
2013,L11event,0,0,0
2014,L11event,0,0,0
2015,L11event,0,0,0
2016,L11event,0,0,0
2017,L11event,0,0,0
2018,L11event,0,0,0
2019,L11event,0,0,0
1970,F1event,0,0,0
1971,F1event,0,0,0
1972,F1event,.6778406989487532,.17189905,0
1973,F1event,.2804924558582726,.22103557,0
1974,F1event,.3154415465939056,.16992301,0
1975,F1event,-.1360807458388067,.098320618,0
1976,F1event,.327487112571944,.63024944,0
1977,F1event,0,0,0
1978,F1event,.8265697059495107,.23985872,0
1979,F1event,.180055581166927,.088641733,0
1980,F1event,.8145426725583463,.10210945,0
1981,F1event,.2237330426015225,.12776393,0
1982,F1event,.3468845163608879,.13284677,0
1983,F1event,0,0,0
1984,F1event,0,0,0
1985,F1event,0,0,0
1986,F1event,-.7224772414929879,.39940706,0
1987,F1event,.2563486401758456,.079980865,0
1988,F1event,-.216066703553879,.14262503,0
1989,F1event,.0661441946574808,.032229602,0
1990,F1event,.8153726722973623,.20730983,0
1991,F1event,.3793793877884525,.11834103,0
1992,F1event,.0168127098469514,.062382564,0
1993,F1event,.1513843019825435,.15389067,0
1994,F1event,.0378800938192927,.054696277,0
1995,F1event,-.556616747901423,.096850604,0
1996,F1event,.0003714346348085,.048893649,0
1997,F1event,.1519453525762072,.12074273,0
1998,F1event,.3887182890649238,.10789219,0
1999,F1event,0,0,0
2000,F1event,.704727503864068,.36555648,0
2001,F1event,0,0,0
2002,F1event,.8250584994314998,.30000621,0
2003,F1event,0,0,0
2004,F1event,1.003450817082932,.23308297,0
2005,F1event,0,0,0
2006,F1event,.54088341421473,.29219511,0
2007,F1event,0,0,0
2008,F1event,.891431286509195,.39507294,0
2009,F1event,0,0,0
2010,F1event,1.066774240792221,.13165137,0
2011,F1event,0,0,0
2012,F1event,1.339944945745293,.2779828,0
2013,F1event,0,0,0
2014,F1event,.9234155612787845,.11583105,0
2015,F1event,0,0,0
2016,F1event,1.498782552239166,.31631878,0
2017,F1event,0,0,0
2018,F1event,1.046901045131497,.1840138,0
2019,F1event,0,0,0
1970,F3event,0,0,0
1971,F3event,0,0,0
1972,F3event,0,0,0
1973,F3event,.4768585160912799,.16863666,0
1974,F3event,-.8889218418663866,.18677446,0
1975,F3event,-.8123057051142009,.29746351,0
1976,F3event,.1688494197980073,.41736838,0
1977,F3event,.9429447325483613,.56233013,0
1978,F3event,.3228643344603074,.45381242,0
1979,F3event,0,0,0
1980,F3event,-.0662307545798694,.0651481,0
1981,F3event,-.63851487626048,.11047127,0
1982,F3event,-.4268395735910279,.10400619,0
1983,F3event,.1979267999711826,.10044167,0
1984,F3event,-.6270769724069082,2.1222398,0
1985,F3event,0,0,0
1986,F3event,0,0,0
1987,F3event,0,0,0
1988,F3event,-.5655345868546487,.13573347,0
1989,F3event,-.1092310856324866,.030744057,0
1990,F3event,.1806404875493987,.32196844,0
1991,F3event,.0561923689741785,.064357176,0
1992,F3event,-.1729845786349002,.061850291,0
1993,F3event,-.581554123445906,.21049742,0
1994,F3event,-.1071215697198195,.074983716,0
1995,F3event,-.7861189378128616,.32900763,0
1996,F3event,-.2370829212620323,.12492,0
1997,F3event,.1124991660863769,.29578823,0
1998,F3event,.380200634070698,.29913208,0
1999,F3event,-.5414084512659222,.20079269,0
2000,F3event,.7833843172616752,.56766272,0
2001,F3event,0,0,0
2002,F3event,.1914692987622451,.16989209,0
2003,F3event,0,0,0
2004,F3event,.3392965810216351,.34101087,0
2005,F3event,0,0,0
2006,F3event,.9653005467259823,.21009593,0
2007,F3event,0,0,0
2008,F3event,.6634421437147372,.42897493,0
2009,F3event,0,0,0
2010,F3event,.5963886080128499,.18112271,0
2011,F3event,0,0,0
2012,F3event,1.116959268826634,.20304094,0
2013,F3event,0,0,0
2014,F3event,.5128203153879509,.19976002,0
2015,F3event,0,0,0
2016,F3event,1.688179834191841,.23657562,0
2017,F3event,0,0,0
2018,F3event,.4711779076268925,.1597221,0
2019,F3event,0,0,0
1970,F4event,0,0,0
1971,F4event,0,0,0
1972,F4event,0,0,0
1973,F4event,0,0,0
1974,F4event,-1.054163591262658,.38942772,0
1975,F4event,-.0990155007929345,.2624346,0
1976,F4event,-.0650249750545937,.37033778,0
1977,F4event,.4366357085761533,1.1401644,0
1978,F4event,2.070605390393647,.76763946,0
1979,F4event,-1.04131644064498,.13014002,0
1980,F4event,0,0,0
1981,F4event,-.5866812239025366,.10148223,0
1982,F4event,-1.015625221943525,.17798498,0
1983,F4event,-.3595619275867437,.18272948,0
1984,F4event,-.4386310607041433,2.0064878,0
1985,F4event,.6341136536364942,.31194261,0
1986,F4event,0,0,0
1987,F4event,0,0,0
1988,F4event,0,0,0
1989,F4event,-.4507137305489076,.11581501,0
1990,F4event,.0467722233123107,.46151701,0
1991,F4event,.0514774858786038,.1090565,0
1992,F4event,-.6078581818362789,.11232177,0
1993,F4event,-.2076471458963576,.28803146,0
1994,F4event,-.2469562106860804,.09039405,0
1995,F4event,-1.620569837513812,.31373686,0
1996,F4event,-.3182022844235008,.16199338,0
1997,F4event,-.0434186668388782,.35084119,0
1998,F4event,-.5694528334350605,.14673054,0
1999,F4event,-.422641003932039,.189125,0
2000,F4event,.9072631732289186,.34830466,0
2001,F4event,.1905542690372329,.11221572,0
2002,F4event,0,0,0
2003,F4event,.5051946164535703,.55094767,0
2004,F4event,0,0,0
2005,F4event,-.8410766522905879,.12768655,0
2006,F4event,0,0,0
2007,F4event,-.9511981115940594,.19279583,0
2008,F4event,0,0,0
2009,F4event,-.3173676876720059,.11049569,0
2010,F4event,0,0,0
2011,F4event,-1.177939165209122,.52019948,0
2012,F4event,0,0,0
2013,F4event,.0526268842369283,.11062361,0
2014,F4event,0,0,0
