earnings_tercile,wealth_quintile,b_model_units,z_state_1based,annual_gross_income_model_units,joint_probability,R_b_plus_Y,cashflow_positive,within_selected_B_grid_support
1,3,0.003168466251432471,9,0.8193084126995582,0,0.8230150700658676,True,True
1,3,0.003168466251432471,10,1.19945004703018,0,1.203156704396489,True,True
1,3,0.003168466251432471,11,1.75596929437153,0,1.759675951737839,True,True
1,3,0.003168466251432471,12,2.570701606465538,0,2.574408263831848,True,True
1,3,0.003168466251432471,13,3.763452339780069,0,3.767158997146379,True,True
1,3,0.003168466251432471,14,5.509613981713583,0,5.513320639079892,True,True
1,3,0.003168466251432471,15,8.065957394127043,0,8.069664051493353,True,True
1,4,0.04998305439527764,1,0.0388301798152725,1.23310137917259e-05,0.09730328385453368,True,True
1,4,0.04998305439527764,2,0.05684655531872104,0.0001726341930841626,0.1153196593579822,True,True
1,4,0.04998305439527764,3,0.0832221449135139,0.001122122255047057,0.1416952489527751,True,True
1,4,0.04998305439527764,4,0.1218354457042188,0.004488489020188229,0.18030854974348,True,True
1,4,0.04998305439527764,5,0.1783644947552324,0.01234334480551763,0.2368375987944936,True,True
1,4,0.04998305439527764,6,0.2611218172626402,0.02468668961103525,0.3195949213019014,True,True
1,4,0.04998305439527764,7,0.3822767728751881,0.02470233013602424,0.4407498769144492,True,True
1,4,0.04998305439527764,8,0.5596450446455145,0,0.6181181486847757,True,True
1,4,0.04998305439527764,9,0.8193084126995582,0,0.8777815167388194,True,True
1,4,0.04998305439527764,10,1.19945004703018,0,1.257923151069441,True,True
1,4,0.04998305439527764,11,1.75596929437153,0,1.814442398410791,True,True
1,4,0.04998305439527764,12,2.570701606465538,0,2.629174710504799,True,True
1,4,0.04998305439527764,13,3.763452339780069,0,3.82192544381933,True,True
1,4,0.04998305439527764,14,5.509613981713583,0,5.568087085752844,True,True
1,4,0.04998305439527764,15,8.065957394127043,0,8.124430498166305,True,True
1,5,0.8600994294222374,1,0.0388301798152725,1.207600184794896e-05,1.045024859775993,True,True
1,5,0.8600994294222374,2,0.05684655531872104,0.0001690640258712855,1.063041235279441,True,True
1,5,0.8600994294222374,3,0.0832221449135139,0.001098916168163356,1.089416824874234,True,True
1,5,0.8600994294222374,4,0.1218354457042188,0.004395664672653422,1.128030125664939,True,True
1,5,0.8600994294222374,5,0.1783644947552324,0.01208807784979691,1.184559174715953,True,True
1,5,0.8600994294222374,6,0.2611218172626402,0.02417615569959383,1.267316497223361,True,True
1,5,0.8600994294222374,7,0.3822767728751881,0.02419147277018186,1.388471452835909,True,True
1,5,0.8600994294222374,8,0.5596450446455145,0,1.565839724606235,True,True
1,5,0.8600994294222374,9,0.8193084126995582,0,1.825503092660279,True,True
1,5,0.8600994294222374,10,1.19945004703018,0,2.205644726990901,True,True
1,5,0.8600994294222374,11,1.75596929437153,0,2.762163974332251,True,True
1,5,0.8600994294222374,12,2.570701606465538,0,3.576896286426258,True,True
1,5,0.8600994294222374,13,3.763452339780069,0,4.769647019740789,True,True
1,5,0.8600994294222374,14,5.509613981713583,0,6.515808661674304,True,True
1,5,0.8600994294222374,15,8.065957394127043,0,9.072152074087764,True,True
2,1,-0.3892472962584563,1,0.0388301798152725,0,-0.4165341016695387,False,True
2,1,-0.3892472962584563,2,0.05684655531872104,0,-0.3985177261660902,False,True
2,1,-0.3892472962584563,3,0.0832221449135139,0,-0.3721421365712972,False,True
2,1,-0.3892472962584563,4,0.1218354457042188,0,-0.3335288357805924,False,True
2,1,-0.3892472962584563,5,0.1783644947552324,0,-0.2769997867295787,False,True
2,1,-0.3892472962584563,6,0.2611218172626402,0,-0.194242464222171,False,True
2,1,-0.3892472962584563,7,0.3822767728751881,0.01218737824137623,-0.0730875086096231,False,True
2,1,-0.3892472962584563,8,0.5596450446455145,0.04183831107616014,0.1042807631607033,True,True
2,1,-0.3892472962584563,9,0.8193084126995582,0.01233791570892162,0.3639441312147471,True,True
2,1,-0.3892472962584563,10,1.19945004703018,0,0.744085765545369,True,True
2,1,-0.3892472962584563,11,1.75596929437153,0,1.300605012886719,True,True
2,1,-0.3892472962584563,12,2.570701606465538,0,2.115337324980727,True,True
2,1,-0.3892472962584563,13,3.763452339780069,0,3.308088058295258,True,True
2,1,-0.3892472962584563,14,5.509613981713583,0,5.054249700228772,True,True
2,1,-0.3892472962584563,15,8.065957394127043,0,7.610593112642232,True,True
2,2,-0.02939683414596896,1,0.0388301798152725,0,0.004440041752710421,True,True
2,2,-0.02939683414596896,2,0.05684655531872104,0,0.02245641725615895,True,True
2,2,-0.02939683414596896,3,0.0832221449135139,0,0.04883200685095182,True,True
2,2,-0.02939683414596896,4,0.1218354457042188,0,0.0874453076416567,True,True
2,2,-0.02939683414596896,5,0.1783644947552324,0,0.1439743566926704,True,True
2,2,-0.02939683414596896,6,0.2611218172626402,0,0.2267316792000781,True,True
2,2,-0.02939683414596896,7,0.3822767728751881,0.01214291309209332,0.347886634812626,True,True
2,2,-0.02939683414596896,8,0.5596450446455145,0.0416856657154516,0.5252549065829524,True,True
2,2,-0.02939683414596896,9,0.8193084126995582,0.01229290132986718,0.7849182746369961,True,True
2,2,-0.02939683414596896,10,1.19945004703018,0,1.165059908967618,True,True
2,2,-0.02939683414596896,11,1.75596929437153,0,1.721579156308968,True,True
2,2,-0.02939683414596896,12,2.570701606465538,0,2.536311468402976,True,True
2,2,-0.02939683414596896,13,3.763452339780069,0,3.729062201717507,True,True
2,2,-0.02939683414596896,14,5.509613981713583,0,5.475223843651021,True,True
2,2,-0.02939683414596896,15,8.065957394127043,0,8.031567256064481,True,True
2,3,0.02409348445801367,1,0.0388301798152725,0,0.06701614884870677,True,True
2,3,0.02409348445801367,2,0.05684655531872104,0,0.0850325243521553,True,True
