matrix_index,cohort_index,cohort,event_index,event,stata_interaction_name,estimate,marginal_variance
40,40,2009,1,L0event,__00004N,      .99696275422662473,       .1271520537995692
41,41,2010,1,L0event,o.__00004O,                       0,                       0
42,42,2011,1,L0event,__00004P,    -.018057083668516501,      .19600943779171839
43,43,2012,1,L0event,o.__00004Q,                       0,                       0
44,44,2013,1,L0event,__00004R,      .51606479054658583,       .1049920949466833
45,45,2014,1,L0event,o.__00004S,                       0,                       0
46,46,2015,1,L0event,__00004T,      .85410818524331322,      .12976504827025731
47,47,2016,1,L0event,o.__00004U,                       0,                       0
48,48,2017,1,L0event,__00004V,       1.225141119077154,       .1390302363316156
49,49,2018,1,L0event,o.__00004W,                       0,                       0
50,50,2019,1,L0event,__00004X,      .60186814371012287,      .29723296541824062
51,1,1970,2,L1event,__00004Y,     -.44237389727214338,       .1687586154264703
52,2,1971,2,L1event,__00004Z,       .4143871264711857,      .35709002826820091
53,3,1972,2,L1event,__000050,      .93704122621499353,      .21322581377609201
54,4,1973,2,L1event,__000051,      1.3379190745052381,      .24895868038208721
55,5,1974,2,L1event,__000052,       1.358874866180096,        .130254562233549
56,6,1975,2,L1event,o.__000053,                       0,                       0
57,7,1976,2,L1event,__000054,      .28661621452241631,      .49326287196909518
58,8,1977,2,L1event,__000055,      .64747162396945201,       .1004452744854997
59,9,1978,2,L1event,__000056,       1.601986811717341,      .22144185663091129
60,10,1979,2,L1event,__000057,      .47860153485660523,     .087446151186923393
61,11,1980,2,L1event,__000058,      1.1622466609903279,      .13768678412537999
62,12,1981,2,L1event,o.__000059,                       0,                       0
63,13,1982,2,L1event,o.__00005A,                       0,                       0
64,14,1983,2,L1event,o.__00005B,                       0,                       0
65,15,1984,2,L1event,__00005C,      .56836678407197871,      1.7598526567312189
66,16,1985,2,L1event,__00005D,      .71251571437475425,      .36070448381148779
67,17,1986,2,L1event,__00005E,      .58708467730428404,      .45917978053608671
68,18,1987,2,L1event,__00005F,       .7483032196687488,     .081179863865895194
69,19,1988,2,L1event,__00005G,      .58679825817009779,       .1283126746445297
70,20,1989,2,L1event,__00005H,      .44256839010725751,     .073197488015725301
71,21,1990,2,L1event,__00005I,       1.132480238782049,      .12508149914109831
72,22,1991,2,L1event,__00005J,      .99542029854547298,       .1160202161958433
73,23,1992,2,L1event,__00005K,       .4930406723390483,     .080388570605624696
74,24,1993,2,L1event,__00005L,      .69962335673128273,      .16148788903417999
75,25,1994,2,L1event,__00005M,      .93182485485015676,     .056375958003237497
76,26,1995,2,L1event,__00005N,     -.15074975706559429,      .21119652236423639
77,27,1996,2,L1event,__00005O,       1.026310195781853,       .2174245019464803
78,28,1997,2,L1event,o.__00005P,                       0,                       0
79,29,1998,2,L1event,__00005Q,      1.2110191536027339,       .1564219427756573
80,30,1999,2,L1event,o.__00005R,                       0,                       0
81,31,2000,2,L1event,__00005S,      1.2004594073453729,       .4258917553242032
82,32,2001,2,L1event,o.__00005T,                       0,                       0
83,33,2002,2,L1event,__00005U,       1.340113486301961,      .37783892349624071
84,34,2003,2,L1event,o.__00005V,                       0,                       0
85,35,2004,2,L1event,__00005W,       1.417051523430306,      .30124070088934002
86,36,2005,2,L1event,o.__00005X,                       0,                       0
87,37,2006,2,L1event,__00005Y,       1.302667578854164,      .13317015834876489
88,38,2007,2,L1event,o.__00005Z,                       0,                       0
89,39,2008,2,L1event,__000060,       1.338950736089054,      .35134572288795252
90,40,2009,2,L1event,o.__000061,                       0,                       0
91,41,2010,2,L1event,__000062,       1.491414834164035,      .16275763583440461
92,42,2011,2,L1event,o.__000063,                       0,                       0
93,43,2012,2,L1event,__000064,      2.1028367863589201,      .24743479658214221
94,44,2013,2,L1event,o.__000065,                       0,                       0
95,45,2014,2,L1event,__000066,      1.8022415055011061,      .13168572703404949
96,46,2015,2,L1event,o.__000067,                       0,                       0
97,47,2016,2,L1event,__000068,      1.8025320067302859,      .26388575206842729
98,48,2017,2,L1event,o.__000069,                       0,                       0
99,49,2018,2,L1event,__00006A,      1.2504832359578311,      .21622524478892299
100,50,2019,2,L1event,o.__00006B,                       0,                       0
101,1,1970,3,L2event,__00006C,    -.080029289370883799,     .092496713821344403
102,2,1971,3,L2event,__00006D,      .46026384926852232,      .25726533081477049
103,3,1972,3,L2event,__00006E,      .94958620409363237,       .1476464193436359
104,4,1973,3,L2event,__00006F,      .76520748125067473,       .3829937460741315
105,5,1974,3,L2event,o.__00006G,                       0,                       0
106,6,1975,3,L2event,__00006H,     -.32145189576415129,      .17389285339578259
107,7,1976,3,L2event,__00006I,      .62495565775666162,      .49241696178520378
108,8,1977,3,L2event,__00006J,      .69781821008924905,      .15025203664531869
109,9,1978,3,L2event,__00006K,       1.675565065135906,       .2107387266557128
110,10,1979,3,L2event,__00006L,       .6225823574050362,      .10490218929375129
111,11,1980,3,L2event,o.__00006M,                       0,                       0
112,12,1981,3,L2event,o.__00006N,                       0,                       0
113,13,1982,3,L2event,o.__00006O,                       0,                       0
114,14,1983,3,L2event,__00006P,      .45188433982072279,     .088790843652668899
115,15,1984,3,L2event,__00006Q,      1.1214013424985749,      2.1368703937135178
116,16,1985,3,L2event,__00006R,      .78150074725768759,      .42237540037298932
117,17,1986,3,L2event,__00006S,      .48922047776443151,      .45989457372714793
118,18,1987,3,L2event,__00006T,      .69976406065702867,      .11165886849993301
119,19,1988,3,L2event,__00006U,      .58255133553256055,     .096095971564707297
120,20,1989,3,L2event,__00006V,       .3198136625640059,      .10086067617925799
121,21,1990,3,L2event,__00006W,      1.3138688610790421,       .1155075455672948
122,22,1991,3,L2event,__00006X,      1.0393945872850729,        .108906429855765
123,23,1992,3,L2event,__00006Y,      .57099793523629305,     .095772090948219701
124,24,1993,3,L2event,__00006Z,      .74427623906721074,      .18584468323458189
125,25,1994,3,L2event,__000070,      .94278864171549381,       .0544555927950486
126,26,1995,3,L2event,__000071,       .1215859675386332,      .17291411269057441
127,27,1996,3,L2event,o.__000072,                       0,                       0
128,28,1997,3,L2event,__000073,      .51396166276851629,       .1503260976686189
129,29,1998,3,L2event,o.__000074,                       0,                       0
130,30,1999,3,L2event,__000075,      .79607493847420741,     .084517926972583299
131,31,2000,3,L2event,o.__000076,                       0,                       0
132,32,2001,3,L2event,__000077,      .27876378473788022,      .22008736638150569
133,33,2002,3,L2event,o.__000078,                       0,                       0
134,34,2003,3,L2event,__000079,      1.2794460267608501,      .22273595543302541
135,35,2004,3,L2event,o.__00007A,                       0,                       0
136,36,2005,3,L2event,__00007B,      .57808950030091644,     .088967072871267802
137,37,2006,3,L2event,o.__00007C,                       0,                       0
138,38,2007,3,L2event,__00007D,      .28249440385281582,     .087060848184443707
139,39,2008,3,L2event,o.__00007E,                       0,                       0
140,40,2009,3,L2event,__00007F,      .96268291391878125,       .1103575893355178
141,41,2010,3,L2event,o.__00007G,                       0,                       0
142,42,2011,3,L2event,__00007H,      .29719109153699719,      .18999595546044101
143,43,2012,3,L2event,o.__00007I,                       0,                       0
144,44,2013,3,L2event,__00007J,      .87837021040559815,      .13156882456884109
145,45,2014,3,L2event,o.__00007K,                       0,                       0
146,46,2015,3,L2event,__00007L,       1.063395282912925,      .17978010494486141
147,47,2016,3,L2event,o.__00007M,                       0,                       0
148,48,2017,3,L2event,__00007N,      1.7861999328401821,      .12934193438283831
149,49,2018,3,L2event,o.__00007O,                       0,                       0
150,50,2019,3,L2event,o.__00007P,                       0,                       0
151,1,1970,4,L3event,__00007Q,    -.082102306181737694,       .1586184002139793
152,2,1971,4,L3event,__00007R,      .90252078896806431,      .26776262337730611
153,3,1972,4,L3event,__00007S,      .91812796243600947,       .1053295876696987
154,4,1973,4,L3event,o.__00007T,                       0,                       0
155,5,1974,4,L3event,__00007U,      .84261493934772647,      .22140589820466131
156,6,1975,4,L3event,__00007V,      -.0838176533554085,      .18345074152475599
157,7,1976,4,L3event,__00007W,       1.084486184632949,      .65797938398940536
158,8,1977,4,L3event,__00007X,      .93004446861355472,       .1381355726444245
159,9,1978,4,L3event,__00007Y,       1.913015741691837,       .2132107579993234
160,10,1979,4,L3event,o.__00007Z,                       0,                       0
161,11,1980,4,L3event,o.__000080,                       0,                       0
162,12,1981,4,L3event,o.__000081,                       0,                       0
163,13,1982,4,L3event,__000082,      1.2908560100296691,      .18245633809162001
164,14,1983,4,L3event,__000083,      .67974235430827512,      .14431999209275531
165,15,1984,4,L3event,__000084,       .6544212073355743,      2.3609081370696599
166,16,1985,4,L3event,__000085,      1.1017919263117939,      .42959695507281881
167,17,1986,4,L3event,__000086,      .35066819055228848,      .46083868821644502
168,18,1987,4,L3event,__000087,       .6828119490775949,     .088493546261500397
169,19,1988,4,L3event,__000088,      .63772339215586282,      .16064679458454281
170,20,1989,4,L3event,__000089,      .19241432614875609,     .076570468598062102
171,21,1990,4,L3event,__00008A,       1.510872425772567,      .21076512347835011
172,22,1991,4,L3event,__00008B,      .86675046959835833,      .12686322032179581
173,23,1992,4,L3event,__00008C,      .73878965742329927,     .093344790181198303
174,24,1993,4,L3event,__00008D,       1.005223980867421,       .2145157653989741
175,25,1994,4,L3event,__00008E,      .94684527754650905,      .13275971096134581
176,26,1995,4,L3event,o.__00008F,                       0,                       0
177,27,1996,4,L3event,__00008G,       1.431631427226072,       .1807426540568734
178,28,1997,4,L3event,o.__00008H,                       0,                       0
179,29,1998,4,L3event,__00008I,       1.522414823481598,      .16428269162378639
180,30,1999,4,L3event,o.__00008J,                       0,                       0
181,31,2000,4,L3event,__00008K,       1.534746340438961,      .41878487485445243
182,32,2001,4,L3event,o.__00008L,                       0,                       0
183,33,2002,4,L3event,__00008M,       1.896473109503046,       .2324203476879971
184,34,2003,4,L3event,o.__00008N,                       0,                       0
185,35,2004,4,L3event,__00008O,       1.882861834342378,      .29762612856548037
186,36,2005,4,L3event,o.__00008P,                       0,                       0
187,37,2006,4,L3event,__00008Q,      1.8590506344061479,      .13904406936876609
188,38,2007,4,L3event,o.__00008R,                       0,                       0
189,39,2008,4,L3event,__00008S,      1.6918927510842781,      .37048141002581447
190,40,2009,4,L3event,o.__00008T,                       0,                       0
191,41,2010,4,L3event,__00008U,       1.990386435378082,      .25414917432460171
192,42,2011,4,L3event,o.__00008V,                       0,                       0
193,43,2012,4,L3event,__00008W,        2.02929581543231,      .32186189283130912
194,44,2013,4,L3event,o.__00008X,                       0,                       0
195,45,2014,4,L3event,__00008Y,      2.0758968897617391,        .166017349247462
196,46,2015,4,L3event,o.__00008Z,                       0,                       0
197,47,2016,4,L3event,__000090,       1.955064691023032,      .34709024306329378
198,48,2017,4,L3event,o.__000091,                       0,                       0
199,49,2018,4,L3event,o.__000092,                       0,                       0
200,50,2019,4,L3event,o.__000093,                       0,                       0
201,1,1970,5,L4event,__000094,      .23031874232185859,      .20253428235412449
202,2,1971,5,L4event,__000095,      .57893389665138273,      .28439162340152391
203,3,1972,5,L4event,o.__000096,                       0,                       0
204,4,1973,5,L4event,__000097,       1.482423603826645,      .32634030551627258
205,5,1974,5,L4event,__000098,      .60316458662221428,      .25289159715236242
206,6,1975,5,L4event,__000099,      .17033383271231409,      .18559066717142941
207,7,1976,5,L4event,__00009A,      1.2684624177307391,      .52164852386547633
208,8,1977,5,L4event,__00009B,      1.0428902994851521,      .14742153481504849
209,9,1978,5,L4event,o.__00009C,                       0,                       0
210,10,1979,5,L4event,o.__00009D,                       0,                       0
211,11,1980,5,L4event,o.__00009E,                       0,                       0
212,12,1981,5,L4event,__00009F,       1.157430082681526,       .1616759852965329
213,13,1982,5,L4event,__00009G,       1.341889989351208,      .15555114174061219
214,14,1983,5,L4event,__00009H,      .45060033701052671,     .092389092441240994
215,15,1984,5,L4event,__00009I,      .96102437857547807,      2.4162421135869012
216,16,1985,5,L4event,__00009J,      1.2374944800365719,      .45702026991821881
217,17,1986,5,L4event,__00009K,       .6610537438862506,      .50142798684585721
218,18,1987,5,L4event,__00009L,      .35337638289867729,      .12534560574246159
219,19,1988,5,L4event,__00009M,      .85440974904126432,     .090641571153838807
220,20,1989,5,L4event,__00009N,      .37063883479714232,     .077166776403030393
221,21,1990,5,L4event,__00009O,       1.284210227436722,       .1650792381633642
222,22,1991,5,L4event,__00009P,      1.0014633839883449,       .1076857657184406
223,23,1992,5,L4event,__00009Q,      .60863208179855532,     .090025156562848999
224,24,1993,5,L4event,__00009R,      .95889683809166049,      .25219811165410783
225,25,1994,5,L4event,o.__00009S,                       0,                       0
226,26,1995,5,L4event,__00009T,      .47725205198361492,      .23388579110797289
227,27,1996,5,L4event,o.__00009U,                       0,                       0
228,28,1997,5,L4event,__00009V,      .64480217245991467,       .1487301331932189
229,29,1998,5,L4event,o.__00009W,                       0,                       0
230,30,1999,5,L4event,__00009X,      1.0332891044790431,       .1828410504736723
231,31,2000,5,L4event,o.__00009Y,                       0,                       0
232,32,2001,5,L4event,__00009Z,      .27580459765397602,        .223991482757324
233,33,2002,5,L4event,o.__0000A0,                       0,                       0
234,34,2003,5,L4event,__0000A1,      1.2625429339171621,      .28622838449417343
235,35,2004,5,L4event,o.__0000A2,                       0,                       0
236,36,2005,5,L4event,__0000A3,       .7515976662537196,      .15958217083581461
237,37,2006,5,L4event,o.__0000A4,                       0,                       0
238,38,2007,5,L4event,__0000A5,      .43213136363472843,     .093900093963287898
239,39,2008,5,L4event,o.__0000A6,                       0,                       0
240,40,2009,5,L4event,__0000A7,       1.270588759250681,      .15757262839849809
241,41,2010,5,L4event,o.__0000A8,                       0,                       0
242,42,2011,5,L4event,__0000A9,      .21313922800558421,       .1390980689117918
243,43,2012,5,L4event,o.__0000AA,                       0,                       0
244,44,2013,5,L4event,__0000AB,       1.056073719019623,      .14902079730005269
245,45,2014,5,L4event,o.__0000AC,                       0,                       0
246,46,2015,5,L4event,__0000AD,       1.643492645874826,      .27017163877395872
247,47,2016,5,L4event,o.__0000AE,                       0,                       0
248,48,2017,5,L4event,o.__0000AF,                       0,                       0
249,49,2018,5,L4event,o.__0000AG,                       0,                       0
250,50,2019,5,L4event,o.__0000AH,                       0,                       0
251,1,1970,6,L5event,__0000AI,      .47365254464898621,       .1882443937829808
252,2,1971,6,L5event,o.__0000AJ,                       0,                       0
253,3,1972,6,L5event,__0000AK,      1.3793176899074699,      .15066375126428649
254,4,1973,6,L5event,__0000AL,       1.706306040095442,      .24465195567551429
255,5,1974,6,L5event,__0000AM,       1.555429296887338,      .12530709433990991
256,6,1975,6,L5event,__0000AN,    -.027199516136793601,       .1940461652187096
257,7,1976,6,L5event,__0000AO,       1.076616406928613,      .61390823998808397
258,8,1977,6,L5event,o.__0000AP,                       0,                       0
259,9,1978,6,L5event,o.__0000AQ,                       0,                       0
260,10,1979,6,L5event,o.__0000AR,                       0,                       0
261,11,1980,6,L5event,__0000AS,       1.539435031995412,      .17870506748807621
262,12,1981,6,L5event,__0000AT,       1.113876663895311,       .1174286432013263
263,13,1982,6,L5event,__0000AU,       1.538419095121299,      .18924255234975659
264,14,1983,6,L5event,__0000AV,      .27002997113956279,     .098040574654398097
265,15,1984,6,L5event,__0000AW,      1.0746709310152249,      2.6706407436453352
266,16,1985,6,L5event,__0000AX,       1.781340726566027,      .45902190242604157
267,17,1986,6,L5event,__0000AY,      .62924470098608876,      .52708172883870352
268,18,1987,6,L5event,__0000AZ,      .44655530915155178,       .1112873800620907
269,19,1988,6,L5event,__0000B0,       .8807146911819933,       .1380248656085804
270,20,1989,6,L5event,__0000B1,       .2437144759527434,       .1006881155112187
271,21,1990,6,L5event,__0000B2,      1.4120374349838509,      .15256079807134751
272,22,1991,6,L5event,__0000B3,      .86945419591757778,       .1075130719727606
273,23,1992,6,L5event,__0000B4,      1.0493831780235809,     .084671017345887306
274,24,1993,6,L5event,o.__0000B5,                       0,                       0
275,25,1994,6,L5event,__0000B6,       1.181913596846222,     .098858846374888301
276,26,1995,6,L5event,o.__0000B7,                       0,                       0
277,27,1996,6,L5event,__0000B8,      1.8205877240867281,        .175241433765152
278,28,1997,6,L5event,o.__0000B9,                       0,                       0
279,29,1998,6,L5event,__0000BA,       1.778921670755403,      .28464019736536178
280,30,1999,6,L5event,o.__0000BB,                       0,                       0
281,31,2000,6,L5event,__0000BC,       1.776810839934637,      .29345730535671127
282,32,2001,6,L5event,o.__0000BD,                       0,                       0
283,33,2002,6,L5event,__0000BE,       1.187629720579944,       .2398683530493653
284,34,2003,6,L5event,o.__0000BF,                       0,                       0
285,35,2004,6,L5event,__0000BG,      2.0172652393094541,      .31549782611605709
286,36,2005,6,L5event,o.__0000BH,                       0,                       0
287,37,2006,6,L5event,__0000BI,       1.717987088336322,      .19456553826169529
288,38,2007,6,L5event,o.__0000BJ,                       0,                       0
289,39,2008,6,L5event,__0000BK,       1.979452562482573,      .49814429115224768
290,40,2009,6,L5event,o.__0000BL,                       0,                       0
291,41,2010,6,L5event,__0000BM,      2.0639811461240112,      .17427922871991031
292,42,2011,6,L5event,o.__0000BN,                       0,                       0
293,43,2012,6,L5event,__0000BO,      1.8118031195965401,      .30964524473125338
294,44,2013,6,L5event,o.__0000BP,                       0,                       0
295,45,2014,6,L5event,__0000BQ,      2.3710453281341151,      .17163787917234949
296,46,2015,6,L5event,o.__0000BR,                       0,                       0
297,47,2016,6,L5event,o.__0000BS,                       0,                       0
298,48,2017,6,L5event,o.__0000BT,                       0,                       0
299,49,2018,6,L5event,o.__0000BU,                       0,                       0
300,50,2019,6,L5event,o.__0000BV,                       0,                       0
301,1,1970,7,L6event,o.__0000BW,                       0,                       0
302,2,1971,7,L6event,__0000BX,      1.0910914353139849,      .31295807055070252
303,3,1972,7,L6event,__0000BY,      .95763040396529675,      .15252496194259921
304,4,1973,7,L6event,__0000BZ,      1.5855995727536989,      .20760556777129949
305,5,1974,7,L6event,__0000C0,      1.2441429229058349,      .15922398661940179
306,6,1975,7,L6event,__0000C1,     .065525509023113396,      .18293988709387479
307,7,1976,7,L6event,o.__0000C2,                       0,                       0
308,8,1977,7,L6event,o.__0000C3,                       0,                       0
309,9,1978,7,L6event,o.__0000C4,                       0,                       0
310,10,1979,7,L6event,__0000C5,      .73737931345033569,      .14759557281824229
311,11,1980,7,L6event,__0000C6,       1.267061859291154,      .16017228882346629
312,12,1981,7,L6event,__0000C7,      1.1539830141551259,      .15204580716047511
313,13,1982,7,L6event,__0000C8,      1.2659637573516189,      .20658708637508799
314,14,1983,7,L6event,__0000C9,      .27570226633504491,       .1081266622875902
315,15,1984,7,L6event,__0000CA,       1.075140770593433,       2.342764000379844
316,16,1985,7,L6event,__0000CB,      1.3332050153088491,       .5831499801531892
317,17,1986,7,L6event,__0000CC,      1.2790189987560241,      .64659853752478502
318,18,1987,7,L6event,__0000CD,      .57263131426425751,     .096123430514828204
319,19,1988,7,L6event,__0000CE,      .93580708342465191,      .12789240380468159
320,20,1989,7,L6event,__0000CF,      .47032978410770909,       .1034088639966327
321,21,1990,7,L6event,__0000CG,       1.691913883393132,       .1898518870037697
322,22,1991,7,L6event,__0000CH,      1.0974797077684719,       .1324177015085547
323,23,1992,7,L6event,o.__0000CI,                       0,                       0
324,24,1993,7,L6event,__0000CJ,      .89326697106980513,      .25606293280045422
325,25,1994,7,L6event,o.__0000CK,                       0,                       0
326,26,1995,7,L6event,__0000CL,      .58949570347677083,      .27684206800468791
327,27,1996,7,L6event,o.__0000CM,                       0,                       0
328,28,1997,7,L6event,__0000CN,       .7639638849966216,       .2030313969158454
329,29,1998,7,L6event,o.__0000CO,                       0,                       0
330,30,1999,7,L6event,__0000CP,      1.1744006704978891,      .16343385756388679
331,31,2000,7,L6event,o.__0000CQ,                       0,                       0
332,32,2001,7,L6event,__0000CR,       .5914224525513696,       .2530235458793853
333,33,2002,7,L6event,o.__0000CS,                       0,                       0
334,34,2003,7,L6event,__0000CT,       1.149972391288905,      .28211051004012472
335,35,2004,7,L6event,o.__0000CU,                       0,                       0
336,36,2005,7,L6event,__0000CV,      1.1511850830401329,      .15465581103612461
337,37,2006,7,L6event,o.__0000CW,                       0,                       0
338,38,2007,7,L6event,__0000CX,      .72202885988086041,       .1414628285772894
339,39,2008,7,L6event,o.__0000CY,                       0,                       0
340,40,2009,7,L6event,__0000CZ,       1.396509916892835,       .1152659477372333
341,41,2010,7,L6event,o.__0000D0,                       0,                       0
342,42,2011,7,L6event,__0000D1,      .80250747442954495,      .15661444901582119
343,43,2012,7,L6event,o.__0000D2,                       0,                       0
344,44,2013,7,L6event,__0000D3,      1.2580275453409691,       .2194542341904055
345,45,2014,7,L6event,o.__0000D4,                       0,                       0
346,46,2015,7,L6event,o.__0000D5,                       0,                       0
347,47,2016,7,L6event,o.__0000D6,                       0,                       0
348,48,2017,7,L6event,o.__0000D7,                       0,                       0
349,49,2018,7,L6event,o.__0000D8,                       0,                       0
350,50,2019,7,L6event,o.__0000D9,                       0,                       0
351,1,1970,8,L7event,__0000DA,      .51457922103383302,      .12814881465350561
352,2,1971,8,L7event,__0000DB,       .9066518323664936,      .35733193787429729
353,3,1972,8,L7event,__0000DC,      1.1406154064052869,       .1907922331241827
354,4,1973,8,L7event,__0000DD,      1.3969557415046969,      .29397705773288058
355,5,1974,8,L7event,__0000DE,      1.1242398794658599,        .120828389688114
356,6,1975,8,L7event,o.__0000DF,                       0,                       0
357,7,1976,8,L7event,o.__0000DG,                       0,                       0
358,8,1977,8,L7event,o.__0000DH,                       0,                       0
359,9,1978,8,L7event,__0000DI,      2.3238850388593151,      .19635394472496279
360,10,1979,8,L7event,__0000DJ,       .6426713414298465,       .1205131972563712
361,11,1980,8,L7event,__0000DK,       1.486094407707693,      .16052059462995091
362,12,1981,8,L7event,__0000DL,      .88110021900994107,      .13887085650351921
363,13,1982,8,L7event,__0000DM,      1.3008397041554489,      .30289233894666578
364,14,1983,8,L7event,__0000DN,       .6983973528677152,     .098967561627287703
365,15,1984,8,L7event,__0000DO,       1.032683555759758,      2.5350894236189698
366,16,1985,8,L7event,__0000DP,       1.336859392279611,      .61626978239053187
367,17,1986,8,L7event,__0000DQ,      1.4829337318501039,      .68857795829157697
368,18,1987,8,L7event,__0000DR,      .32502126036741552,      .11502420746201419
369,19,1988,8,L7event,__0000DS,      .88136990726359365,      .15973145127384489
370,20,1989,8,L7event,__0000DT,      .50641068490736996,      .12871698362516201
371,21,1990,8,L7event,__0000DU,      1.9120681611295101,       .2499681397278305
372,22,1991,8,L7event,o.__0000DV,                       0,                       0
373,23,1992,8,L7event,__0000DW,      .83134601472256375,      .22862819898411571
374,24,1993,8,L7event,o.__0000DX,                       0,                       0
375,25,1994,8,L7event,__0000DY,      1.3300061951006159,        .128840529825998
376,26,1995,8,L7event,o.__0000DZ,                       0,                       0
377,27,1996,8,L7event,__0000E0,      2.2092875548246358,      .18611106304784131
378,28,1997,8,L7event,o.__0000E1,                       0,                       0
379,29,1998,8,L7event,__0000E2,      2.1101803180011651,       .1852012517537884
380,30,1999,8,L7event,o.__0000E3,                       0,                       0
381,31,2000,8,L7event,__0000E4,       1.749534719100317,      .30474174387888942
382,32,2001,8,L7event,o.__0000E5,                       0,                       0
383,33,2002,8,L7event,__0000E6,      1.1579670620382581,      .23784860358345911
384,34,2003,8,L7event,o.__0000E7,                       0,                       0
385,35,2004,8,L7event,__0000E8,      2.0893538037779078,      .26300984667516181
386,36,2005,8,L7event,o.__0000E9,                       0,                       0
387,37,2006,8,L7event,__0000EA,       1.701144241243568,      .10503065376804629
388,38,2007,8,L7event,o.__0000EB,                       0,                       0
389,39,2008,8,L7event,__0000EC,       1.949273535869736,      .40154650649724571
390,40,2009,8,L7event,o.__0000ED,                       0,                       0
391,41,2010,8,L7event,__0000EE,       2.164723713377823,      .33577166399161562
392,42,2011,8,L7event,o.__0000EF,                       0,                       0
393,43,2012,8,L7event,__0000EG,        2.31812633088273,      .29810219206829541
394,44,2013,8,L7event,o.__0000EH,                       0,                       0
395,45,2014,8,L7event,o.__0000EI,                       0,                       0
396,46,2015,8,L7event,o.__0000EJ,                       0,                       0
397,47,2016,8,L7event,o.__0000EK,                       0,                       0
398,48,2017,8,L7event,o.__0000EL,                       0,                       0
399,49,2018,8,L7event,o.__0000EM,                       0,                       0
400,50,2019,8,L7event,o.__0000EN,                       0,                       0
401,1,1970,9,L8event,__0000EO,      .50626632459164056,      .18699708256005729
402,2,1971,9,L8event,__0000EP,      1.1549231415786769,      .35444669703584569
403,3,1972,9,L8event,__0000EQ,      .77905933514024062,       .2011457745755563
404,4,1973,9,L8event,__0000ER,      1.2129596223834609,      .34523533211423058
405,5,1974,9,L8event,o.__0000ES,                       0,                       0
406,6,1975,9,L8event,o.__0000ET,                       0,                       0
407,7,1976,9,L8event,o.__0000EU,                       0,                       0
408,8,1977,9,L8event,__0000EV,      .69146730228116526,      .13625087870740041
409,9,1978,9,L8event,__0000EW,      1.9504834958452819,       .1780797066343229
410,10,1979,9,L8event,__0000EX,      .75652331377760818,      .14697465458190331
411,11,1980,9,L8event,__0000EY,       1.593529910862765,      .16157030013858631
412,12,1981,9,L8event,__0000EZ,       .8936281905327057,      .14489817800342231
413,13,1982,9,L8event,__0000F0,       1.123518836636346,      .26296363963543501
