f_c_y,lastcohort,bin,rows,supported
1975,0,16,168,0
1975,0,17,167,0
1975,0,18,162,0
1975,0,19,152,0
1975,0,20,139,0
1975,0,21,134,0
1975,0,22,133,0
1976,0,-2,21,0
1976,0,-1,50,0
1976,0,0,95,0
1976,0,2,433,0
1976,0,3,461,0
1976,0,4,473,0
1976,0,5,494,0
1976,0,6,504,0
1976,0,7,487,0
1976,0,8,544,0
1976,0,9,594,0
1976,0,10,599,0
1976,0,11,415,0
1976,0,12,190,0
1976,0,13,183,0
1976,0,14,184,0
1976,0,15,179,0
1976,0,16,177,0
1976,0,17,171,0
1976,0,18,165,0
1976,0,19,155,0
1976,0,20,145,0
1976,0,21,146,0
1976,0,22,132,0
1977,0,-2,34,1
1977,0,-1,56,1
1977,0,0,40,1
1977,0,1,211,1
1977,0,2,482,1
1977,0,3,521,1
1977,0,4,516,1
1977,0,5,529,1
1977,0,6,534,1
1977,0,7,506,1
1977,0,8,663,1
1977,0,9,653,1
1977,0,10,621,1
1977,0,11,418,1
1977,0,12,212,1
1977,0,13,211,1
1977,0,14,198,1
1977,0,15,191,1
1977,0,16,184,1
1977,0,17,183,1
1977,0,18,170,1
1977,0,19,157,1
1977,0,20,152,1
1977,0,21,149,1
1978,0,-3,15,0
1978,0,-2,39,0
1978,0,-1,70,0
1978,0,1,426,0
1978,0,2,545,0
1978,0,3,547,0
1978,0,4,552,0
1978,0,5,532,0
1978,0,6,505,0
1978,0,7,541,0
1978,0,8,580,0
1978,0,9,647,0
1978,0,10,500,0
1978,0,11,208,0
1978,0,12,214,0
1978,0,13,209,0
1978,0,14,187,0
1978,0,15,181,0
1978,0,16,170,0
1978,0,17,168,0
1978,0,18,163,0
1978,0,19,158,0
1978,0,20,152,0
1978,0,21,147,0
1979,0,-3,35,1
1979,0,-2,63,1
1979,0,-1,44,1
1979,0,0,175,1
1979,0,1,512,1
1979,0,2,625,1
1979,0,3,638,1
1979,0,4,645,1
1979,0,5,614,1
1979,0,6,610,1
1979,0,7,706,1
1979,0,8,681,1
1979,0,9,694,1
1979,0,10,483,1
1979,0,11,244,1
1979,0,12,233,1
1979,0,13,212,1
1979,0,14,216,1
1979,0,15,206,1
1979,0,16,202,1
1979,0,17,191,1
1979,0,18,181,1
1979,0,19,170,1
1979,0,20,161,1
1980,0,-4,10,0
1980,0,-3,33,0
1980,0,-2,45,0
1980,0,0,286,0
1980,0,1,506,0
1980,0,2,582,0
1980,0,3,600,0
1980,0,4,615,0
1980,0,5,598,0
1980,0,6,659,0
1980,0,7,738,0
1980,0,8,741,0
1980,0,9,512,0
1980,0,10,214,0
1980,0,11,215,0
1980,0,12,216,0
1980,0,13,207,0
1980,0,14,195,0
1980,0,15,189,0
1980,0,16,188,0
1980,0,17,181,0
1980,0,18,173,0
1980,0,19,165,0
1980,0,20,158,0
1981,0,-4,17,1
1981,0,-3,33,1
1981,0,-2,22,1
1981,0,-1,86,1
1981,0,0,268,1
1981,0,1,441,1
1981,0,2,492,1
1981,0,3,510,1
1981,0,4,507,1
1981,0,5,494,1
1981,0,6,632,1
1981,0,7,624,1
1981,0,8,612,1
1981,0,9,449,1
1981,0,10,232,1
1981,0,11,226,1
1981,0,12,220,1
1981,0,13,211,1
1981,0,14,199,1
1981,0,15,197,1
1981,0,16,185,1
1981,0,17,179,1
1981,0,18,174,1
1981,0,19,156,1
1982,0,-5,9,0
1982,0,-4,25,0
1982,0,-3,41,0
1982,0,-1,187,0
1982,0,0,360,0
1982,0,1,519,0
1982,0,2,621,0
1982,0,3,625,0
1982,0,4,622,0
1982,0,5,673,0
1982,0,6,712,0
1982,0,7,727,0
1982,0,8,534,0
1982,0,9,232,0
1982,0,10,228,0
1982,0,11,233,0
1982,0,12,224,0
1982,0,13,221,0
1982,0,14,216,0
1982,0,15,211,0
1982,0,16,197,0
1982,0,17,193,0
1982,0,18,175,0
1982,0,19,171,0
1983,0,-5,10,1
1983,0,-4,22,1
1983,0,-3,18,1
1983,0,-2,77,1
1983,0,-1,253,1
1983,0,0,414,1
1983,0,1,595,1
1983,0,2,663,1
1983,0,3,664,1
1983,0,4,653,1
1983,0,5,786,1
1983,0,6,765,1
1983,0,7,733,1
1983,0,8,514,1
1983,0,9,257,1
1983,0,10,263,1
1983,0,11,261,1
1983,0,12,253,1
1983,0,13,250,1
1983,0,14,238,1
1983,0,15,230,1
1983,0,16,210,1
1983,0,17,202,1
1983,0,18,191,1
1984,0,-6,1,1
1984,0,-5,9,1
1984,0,-4,20,1
1984,0,-2,101,1
1984,0,-1,235,1
1984,0,0,345,1
1984,0,1,503,1
1984,0,2,572,1
1984,0,3,574,1
1984,0,4,652,1
1984,0,5,714,1
1984,0,6,735,1
1984,0,7,516,1
1984,0,8,220,1
1984,0,9,230,1
1984,0,10,225,1
1984,0,11,209,1
1984,0,12,206,1
1984,0,13,203,1
1984,0,14,190,1
1984,0,15,182,1
1984,0,16,172,1
1984,0,17,156,1
1984,0,18,157,1
1985,0,-6,4,1
1985,0,-5,7,1
1985,0,-4,5,1
1985,0,-3,24,1
1985,0,-2,93,1
1985,0,-1,201,1
1985,0,0,317,1
1985,0,1,432,1
1985,0,2,487,1
1985,0,3,445,1
1985,0,4,594,1
1985,0,5,603,1
1985,0,6,528,1
1985,0,7,379,1
1985,0,8,192,1
1985,0,9,188,1
1985,0,10,176,1
1985,0,11,177,1
1985,0,12,177,1
1985,0,13,177,1
1985,0,14,158,1
1985,0,15,151,1
1985,0,16,150,1
1985,0,17,143,1
1986,0,-7,8,1
1986,0,-6,20,1
1986,0,-5,29,1
1986,0,-3,86,1
1986,0,-2,194,1
1986,0,-1,276,1
1986,0,0,383,1
1986,0,1,534,1
1986,0,2,593,1
1986,0,3,668,1
1986,0,4,722,1
1986,0,5,700,1
1986,0,6,496,1
1986,0,7,225,1
1986,0,8,222,1
1986,0,9,220,1
1986,0,10,209,1
1986,0,11,200,1
1986,0,12,193,1
1986,0,13,200,1
1986,0,14,187,1
1986,0,15,172,1
1986,0,16,160,1
1986,0,17,159,1
1987,0,-7,7,1
1987,0,-6,10,1
1987,0,-5,7,1
1987,0,-4,29,1
1987,0,-3,116,1
1987,0,-2,213,1
1987,0,-1,282,1
1987,0,0,390,1
1987,0,1,512,1
1987,0,2,596,1
1987,0,3,746,1
1987,0,4,735,1
1987,0,5,666,1
1987,0,6,454,1
1987,0,7,248,1
1987,0,8,245,1
1987,0,9,233,1
1987,0,10,233,1
1987,0,11,223,1
1987,0,12,208,1
1987,0,13,195,1
1987,0,14,189,1
1987,0,15,175,1
1987,0,16,169,1
1988,0,-8,1,1
1988,0,-7,2,1
1988,0,-6,8,1
1988,0,-4,51,1
1988,0,-3,126,1
1988,0,-2,186,1
1988,0,-1,272,1
1988,0,0,369,1
1988,0,1,506,1
1988,0,2,665,1
1988,0,3,715,1
1988,0,4,719,1
1988,0,5,525,1
1988,0,6,234,1
1988,0,7,238,1
1988,0,8,247,1
1988,0,9,249,1
1988,0,10,236,1
1988,0,11,232,1
1988,0,12,234,1
1988,0,13,217,1
1988,0,14,209,1
1988,0,15,195,1
1988,0,16,189,1
1989,0,-8,4,1
1989,0,-7,10,1
1989,0,-6,8,1
1989,0,-5,26,1
1989,0,-4,84,1
1989,0,-3,152,1
1989,0,-2,207,1
1989,0,-1,278,1
1989,0,0,356,1
1989,0,1,468,1
1989,0,2,701,1
1989,0,3,713,1
1989,0,4,641,1
1989,0,5,436,1
1989,0,6,224,1
1989,0,7,225,1
1989,0,8,223,1
1989,0,9,231,1
1989,0,10,225,1
1989,0,11,220,1
1989,0,12,216,1
1989,0,13,199,1
1989,0,14,196,1
1989,0,15,189,1
1990,0,-9,1,1
1990,0,-8,2,1
1990,0,-7,5,1
1990,0,-5,36,1
1990,0,-4,85,1
1990,0,-3,118,1
1990,0,-2,163,1
1990,0,-1,194,1
1990,0,0,266,1
1990,0,1,467,1
1990,0,2,648,1
1990,0,3,674,1
1990,0,4,498,1
1990,0,5,230,1
1990,0,6,241,1
1990,0,7,244,1
1990,0,8,234,1
1990,0,9,231,1
1990,0,10,229,1
1990,0,11,241,1
1990,0,12,223,1
1990,0,13,200,1
1990,0,14,185,1
1990,0,15,182,1
1991,0,-8,2,1
1991,0,-7,2,1
1991,0,-6,8,1
1991,0,-5,45,1
1991,0,-4,93,1
1991,0,-3,145,1
1991,0,-2,195,1
1991,0,-1,255,1
1991,0,0,337,1
1991,0,1,585,1
1991,0,2,683,1
1991,0,3,666,1
1991,0,4,489,1
1991,0,5,254,1
1991,0,6,252,1
1991,0,7,247,1
1991,0,8,228,1
1991,0,9,223,1
1991,0,10,233,1
1991,0,11,224,1
1991,0,12,222,1
1991,0,13,209,1
1991,0,14,197,1
1992,0,-9,2,1
1992,0,-8,2,1
1992,0,-6,13,1
1992,0,-5,62,1
1992,0,-4,107,1
1992,0,-3,138,1
1992,0,-2,181,1
1992,0,-1,228,1
1992,0,0,350,1
1992,0,1,587,1
1992,0,2,734,1
1992,0,3,519,1
1992,0,4,247,1
1992,0,5,257,1
1992,0,6,255,1
1992,0,7,244,1
1992,0,8,245,1
1992,0,9,239,1
1992,0,10,239,1
1992,0,11,234,1
1992,0,12,212,1
1992,0,13,202,1
1992,0,14,202,1
1993,0,-10,3,1
1993,0,-9,4,1
1993,0,-8,3,1
1993,0,-7,6,1
1993,0,-6,33,1
1993,0,-5,63,1
1993,0,-4,93,1
1993,0,-3,122,1
1993,0,-2,159,1
1993,0,-1,203,1
1993,0,0,395,1
1993,0,1,594,1
1993,0,2,685,1
1993,0,3,523,1
1993,0,4,271,1
1993,0,5,278,1
1993,0,6,272,1
1993,0,7,270,1
1993,0,8,265,1
1993,0,9,260,1
1993,0,10,246,1
1993,0,11,250,1
1993,0,12,242,1
1993,0,13,232,1
1994,0,-7,11,1
1994,0,-6,36,1
1994,0,-5,69,1
1994,0,-4,106,1
1994,0,-3,139,1
1994,0,-2,176,1
1994,0,-1,242,1
1994,0,0,381,1
1994,0,1,599,1
1994,0,2,509,1
1994,0,3,244,1
1994,0,4,253,1
1994,0,5,257,1
1994,0,6,246,1
1994,0,7,239,1
1994,0,8,250,1
1994,0,9,248,1
1994,0,10,227,1
1994,0,11,217,1
1994,0,12,216,1
1994,0,13,212,1
1995,0,-9,1,1
1995,0,-8,5,1
1995,0,-7,19,1
1995,0,-6,30,1
1995,0,-5,51,1
1995,0,-4,83,1
1995,0,-3,120,1
1995,0,-2,154,1
1995,0,-1,209,1
1995,0,0,295,1
1995,0,1,446,1
1995,0,2,464,1
1995,0,3,271,1
1995,0,4,269,1
1995,0,5,260,1
1995,0,6,258,1
1995,0,7,248,1
1995,0,8,258,1
1995,0,9,245,1
1995,0,10,239,1
1995,0,11,227,1
1995,0,12,216,1
1996,0,-8,7,1
1996,0,-7,19,1
1996,0,-6,33,1
1996,0,-5,47,1
1996,0,-4,67,1
1996,0,-3,96,1
1996,0,-2,131,1
1996,0,-1,160,1
1996,0,0,270,1
1996,0,1,343,1
1996,0,2,206,1
1996,0,3,238,1
1996,0,4,237,1
1996,0,5,232,1
1996,0,6,237,1
1996,0,7,232,1
1996,0,8,234,1
1996,0,9,221,1
1996,0,10,200,1
1996,0,11,187,1
1996,0,12,196,1
1997,0,-9,2,1
1997,0,-8,9,1
1997,0,-7,22,1
1997,0,-6,35,1
1997,0,-5,46,1
1997,0,-4,63,1
1997,0,-3,85,1
1997,0,-2,117,1
1997,0,-1,158,1
1997,0,0,233,1
1997,0,1,331,1
1997,0,2,228,1
1997,0,3,250,1
1997,0,4,243,1
1997,0,5,247,1
1997,0,6,245,1
1997,0,7,241,1
1997,0,8,232,1
1997,0,9,219,1
1997,0,10,213,1
1997,0,11,211,1
1998,0,-9,2,1
1998,0,-8,14,1
1998,0,-7,19,1
1998,0,-6,28,1
1998,0,-5,47,1
1998,0,-4,61,1
1998,0,-3,79,1
1998,0,-2,97,1
1998,0,-1,144,1
1998,0,0,200,1
1998,0,1,135,1
1998,0,2,187,1
1998,0,3,200,1
1998,0,4,205,1
1998,0,5,197,1
1998,0,6,198,1
1998,0,7,210,1
1998,0,8,199,1
1998,0,9,186,1
1998,0,10,178,1
1998,0,11,180,1
1999,0,-10,1,1
1999,0,-9,5,1
1999,0,-8,9,1
1999,0,-7,15,1
1999,0,-6,25,1
1999,0,-5,31,1
1999,0,-4,41,1
1999,0,-3,58,1
1999,0,-2,84,1
1999,0,-1,131,1
1999,0,0,200,1
1999,0,1,203,1
1999,0,2,234,1
1999,0,3,255,1
1999,0,4,251,1
1999,0,5,252,1
1999,0,6,253,1
1999,0,7,246,1
1999,0,8,223,1
1999,0,9,206,1
1999,0,10,224,1
2000,0,-9,3,1
2000,0,-8,12,1
2000,0,-7,24,1
2000,0,-6,34,1
2000,0,-5,47,1
2000,0,-4,63,1
2000,0,-3,84,1
2000,0,-2,134,1
2000,0,-1,184,1
2000,0,0,127,1
2000,0,1,188,1
2000,0,2,239,1
2000,0,3,268,1
2000,0,4,256,1
2000,0,5,256,1
2000,0,6,257,1
2000,0,7,245,1
2000,0,8,230,1
2000,0,9,229,1
2000,0,10,245,1
2001,0,-12,1,1
2001,0,-11,2,1
2001,0,-10,6,1
2001,0,-9,9,1
2001,0,-8,8,1
2001,0,-7,15,1
2001,0,-6,32,1
2001,0,-5,49,1
2001,0,-4,72,1
2001,0,-3,96,1
2001,0,-2,139,1
2001,0,-1,202,1
2001,0,0,165,1
2001,0,1,228,1
2001,0,2,261,1
2001,0,3,264,1
2001,0,4,252,1
2001,0,5,268,1
2001,0,6,267,1
2001,0,7,243,1
2001,0,8,233,1
2001,0,9,247,1
2002,0,-10,2,1
2002,0,-9,6,1
2002,0,-8,10,1
2002,0,-7,15,1
2002,0,-6,27,1
2002,0,-5,39,1
2002,0,-4,60,1
2002,0,-3,102,1
2002,0,-2,143,1
2002,0,-1,90,1
2002,0,0,125,1
2002,0,1,191,1
2002,0,2,258,1
2002,0,3,269,1
2002,0,4,267,1
2002,0,5,287,1
2002,0,6,278,1
2002,0,7,261,1
2002,0,8,241,1
2002,0,9,250,1
2003,0,-9,5,1
2003,0,-8,12,1
2003,0,-7,23,1
2003,0,-6,41,1
2003,0,-5,51,1
2003,0,-4,71,1
2003,0,-3,103,1
2003,0,-2,147,1
2003,0,-1,117,1
2003,0,0,162,1
2003,0,1,216,1
2003,0,2,249,1
2003,0,3,252,1
2003,0,4,248,1
2003,0,5,245,1
2003,0,6,233,1
2003,0,7,232,1
2003,0,8,245,1
2004,0,-11,3,1
2004,0,-10,4,1
2004,0,-9,5,1
2004,0,-8,11,1
2004,0,-7,21,1
2004,0,-6,37,1
2004,0,-5,55,1
2004,0,-4,90,1
2004,0,-3,123,1
2004,0,-2,86,1
2004,0,-1,126,1
2004,0,0,163,1
2004,0,1,234,1
2004,0,2,309,1
2004,0,3,308,1
2004,0,4,327,1
2004,0,5,320,1
2004,0,6,296,1
2004,0,7,298,1
2004,0,8,293,1
2005,0,-14,1,1
2005,0,-13,1,1
2005,0,-12,2,1
2005,0,-11,2,1
2005,0,-10,3,1
2005,0,-9,4,1
2005,0,-8,6,1
2005,0,-7,15,1
2005,0,-6,26,1
2005,0,-5,52,1
2005,0,-4,80,1
2005,0,-3,133,1
2005,0,-2,97,1
2005,0,-1,151,1
2005,0,0,213,1
2005,0,1,279,1
2005,0,2,313,1
2005,0,3,327,1
2005,0,4,326,1
2005,0,5,294,1
2005,0,6,295,1
2005,0,7,325,1
2006,0,-13,1,1
2006,0,-12,2,1
2006,0,-11,2,1
2006,0,-10,2,1
2006,0,-9,3,1
2006,0,-8,6,1
2006,0,-7,8,1
2006,0,-6,15,1
2006,0,-5,37,1
2006,0,-4,66,1
2006,0,-3,52,1
2006,0,-2,71,1
2006,0,-1,103,1
2006,0,0,149,1
2006,0,1,207,1
2006,0,2,260,1
2006,0,3,284,1
2006,0,4,271,1
2006,0,5,259,1
2006,0,6,256,1
2006,0,7,256,1
2007,0,-11,2,1
2007,0,-10,2,1
2007,0,-9,6,1
2007,0,-8,9,1
2007,0,-7,17,1
2007,0,-6,26,1
2007,0,-5,61,1
2007,0,-4,111,1
2007,0,-3,81,1
2007,0,-2,96,1
2007,0,-1,153,1
2007,0,0,214,1
2007,0,1,289,1
2007,0,2,320,1
2007,0,3,311,1
2007,0,4,292,1
2007,0,5,273,1
2007,0,6,281,1
2008,0,-10,2,1
2008,0,-9,9,1
2008,0,-8,15,1
2008,0,-7,29,1
2008,0,-6,44,1
2008,0,-5,66,1
2008,0,-4,45,1
2008,0,-3,65,1
2008,0,-2,92,1
2008,0,-1,129,1
2008,0,0,180,1
2008,0,1,236,1
2008,0,2,304,1
2008,0,3,303,1
2008,0,4,291,1
2008,0,5,273,1
2008,0,6,281,1
2009,0,-10,2,1
2009,0,-9,8,1
2009,0,-8,12,1
2009,0,-7,20,1
2009,0,-6,32,1
2009,0,-5,60,1
2009,0,-4,59,1
2009,0,-3,90,1
2009,0,-2,117,1
2009,0,-1,167,1
2009,0,0,230,1
2009,0,1,304,1
2009,0,2,342,1
2009,0,3,322,1
2009,0,4,323,1
2009,0,5,334,1
2010,0,-15,1,1
2010,0,-14,2,1
2010,0,-13,2,1
2010,0,-12,2,1
2010,0,-11,1,1
2010,0,-10,4,1
2010,0,-9,8,1
2010,0,-8,12,1
2010,0,-7,19,1
2010,0,-6,40,1
2010,0,-5,25,1
2010,0,-4,46,1
2010,0,-3,79,1
2010,0,-2,109,1
2010,0,-1,144,1
2010,0,0,191,1
2010,0,1,258,1
2010,0,2,327,1
2010,0,3,314,1
2010,0,4,312,1
2010,0,5,343,1
2011,0,-8,4,1
2011,0,-7,12,1
2011,0,-6,28,1
2011,0,-5,30,1
2011,0,-4,38,1
2011,0,-3,52,1
2011,0,-2,76,1
2011,0,-1,104,1
2011,0,0,137,1
2011,0,1,186,1
2011,0,2,199,1
2011,0,3,208,1
2011,0,4,214,1
2012,0,-9,3,1
2012,0,-8,5,1
2012,0,-7,6,1
2012,0,-6,11,1
2012,0,-5,28,1
2012,0,-4,43,1
2012,0,-3,67,1
2012,0,-2,96,1
2012,0,-1,133,1
2012,0,0,176,1
2012,0,1,229,1
2012,0,2,256,1
2012,0,3,268,1
2012,0,4,298,1
2013,0,-13,2,1
2013,0,-12,2,1
2013,0,-11,2,1
2013,0,-10,3,1
2013,0,-9,5,1
2013,0,-8,14,1
2013,0,-7,18,1
2013,0,-6,23,1
2013,0,-5,48,1
2013,0,-4,67,1
2013,0,-3,89,1
2013,0,-2,112,1
2013,0,-1,154,1
2013,0,0,187,1
2013,0,1,226,1
2013,0,2,245,1
2013,0,3,274,1
2014,0,-15,2,1
2014,0,-14,2,1
2014,0,-11,1,1
2014,0,-10,4,1
2014,0,-9,7,1
2014,0,-8,12,1
2014,0,-7,7,1
2014,0,-6,20,1
2014,0,-5,33,1
2014,0,-4,47,1
2014,0,-3,65,1
2014,0,-2,83,1
2014,0,-1,113,1
2014,0,0,147,1
2014,0,1,206,1
2014,0,2,238,1
2014,0,3,246,1
2015,0,-10,3,0
2015,0,-9,12,0
2015,0,-8,19,0
2015,0,-7,15,0
2015,0,-6,28,0
2015,0,-5,47,0
2015,0,-4,60,0
2015,0,-3,76,0
2015,0,-2,97,0
2015,0,-1,117,0
2015,0,0,168,0
2015,0,1,217,0
2015,0,2,234,0
2016,0,-9,3,0
2016,0,-8,6,0
2016,0,-7,14,0
2016,0,-6,27,0
2016,0,-5,39,0
2016,0,-4,61,0
2016,0,-3,82,0
2016,0,-2,106,0
2016,0,-1,122,0
2016,0,0,160,0
2016,0,1,203,0
2016,0,2,252,0
2017,0,-13,2,0
2017,0,-12,3,0
2017,0,-11,9,0
2017,0,-10,13,0
2017,0,-9,18,0
2017,0,-8,13,0
2017,0,-7,25,0
2017,0,-6,40,0
2017,0,-5,50,0
2017,0,-4,66,0
2017,0,-3,76,0
2017,0,-2,104,0
2017,0,-1,134,0
2017,0,0,181,0
2017,0,1,232,0
2018,0,-11,3,0
2018,0,-10,6,0
2018,0,-9,8,0
2018,0,-8,11,0
2018,0,-7,18,0
2018,0,-6,26,0
2018,0,-5,36,0
2018,0,-4,59,0
2018,0,-3,73,0
2018,0,-2,92,0
2018,0,-1,112,0
2018,0,0,150,0
2018,0,1,201,0
2019,1,-10,1,0
2019,1,-9,1,0
2019,1,-8,4,0
2019,1,-7,7,0
2019,1,-6,11,0
2019,1,-5,16,0
2019,1,-4,21,0
2019,1,-3,26,0
2019,1,-2,34,0
2019,1,-1,39,0
2019,1,0,58,0
