case,group,initial_tenure,wealth_quartile,initial_mass,current_mass,birth_flow,firstbirth_flow,firstbirth_rate,firstbirth_26_38,mean_rooms,ownership_rate,owner_mass,rooms_total,mass_renting_ge6_rooms,mass_owning_ge6_rooms,response_difference_baseline,firstbirth_rate_difference_baseline,aggregate_response_contribution
mortgage_only,renter_q4,renter,4,0.05344665748001636,0.053446657480010255,0.01832635053244006,0.018326350532440083,0.3428904892563634,0.00803057345080252,5.806434305808273,0.3653810477315379,0.019528395707794785,0.3103345055227159,0.007335200860094171,0.01785733397671871,0.00012725723847786807,0.0023810139768881133,0.0006195099075165827
mortgage_only,owner_q1,owner,1,0.005203920162799011,0.005203920162746314,0.0024005352394143773,0.002400535239414375,0.4612936333218473,0.0018321080889014288,8.261848095090864,0.9871988775176016,0.005137304143354376,0.04299399788359057,2.8509530956299314e-05,0.00467404324971806,5.511646013979868e-06,0.0010591334689145637,2.6831631373005514e-05
mortgage_only,owner_q2,owner,2,0.00010956861525856459,0.00010956861519960005,4.80409529033488e-05,4.8040952903348805e-05,0.43845541709165314,2.6346113682904068e-05,8.264297066737749,0.955854988152461,0.00010473170738349526,0.0009055075852005718,1.4581477317956588e-06,9.654571472067187e-05,3.683293271722159e-08,0.0003361631670739107,1.793089887392057e-07
mortgage_only,owner_q3,owner,3,0.0003252894130914464,0.0003252894130238636,0.00015228991370352645,0.00015228991370352647,0.468167445894448,0.00012350982120462356,8.627002775256715,0.9695063332544215,0.00031537014606724905,0.0028062726689184986,4.104440986493071e-06,0.00030043526615944186,1.3800613446774833e-07,0.0004242564587521591,6.718373636223836e-07
mortgage_only,owner_q4,owner,4,0.0014798979648055677,0.0014798979647716289,0.0007792269245731104,0.00077922692457311,0.5265409799218735,0.0005280782862008758,9.51401542382998,0.9875967622968093,0.0014615424385380981,0.014079772062531873,1.6973184149634193e-05,0.0014544602602459065,2.2061606859023405e-07,0.0001490751888554298,1.0739965905576174e-06
unsecured_only,renter_q1,renter,1,0.043007313393672246,0.043007313393672246,0.012023523548281899,0.012023523548281907,0.27956927786265656,0.0036927850276366834,4.4391834083131005,0.0,0.0,0.19091735205331162,0.014665581510719427,0.0,0.0020278227695514836,0.04715064972763078,0.009871786559656816
unsecured_only,renter_q2,renter,2,0.04475943105227061,0.04475943105227061,0.00882754283369197,0.00882754283369197,0.19722196252635693,0.003058672861476673,3.8537020002366678,0.0,0.0,0.17248950897559046,0.009009333054734375,0.0,0.00240494186371433,0.053730393956657074,0.011707666529566691
unsecured_only,renter_q3,renter,3,0.0570839078996531,0.057083907899649275,0.014461072613709136,0.014461072613709137,0.25333010905858144,0.004721320407861298,4.311775581829595,0.005911988804227204,0.00033747942440426337,0.24613300019711729,0.015619894500867875,0.0,0.0018028197298115625,0.0315819255573867,0.008776433446486197
unsecured_only,renter_q4,renter,4,0.05344665748001636,0.05344665748001143,0.018876856079114674,0.01887685607911469,0.3531905823329125,0.008216222700046846,5.877013586845666,0.35921938215442323,0.019199075278188787,0.3141067321815137,0.0072190758376492635,0.018902786208595073,0.0006777627851524762,0.012681107053437224,0.003299464654193447
unsecured_only,owner_q1,owner,1,0.005203920162799011,0.005203920162749568,0.0024118701302516584,0.0024118701302516597,0.4634717779671695,0.001840191327503494,8.277138677717883,0.9703035998128438,0.005049382467054546,0.04307356885485039,2.8080081295611646e-05,0.004675037631077449,1.6846536851264447e-05,0.0032372781142367413,8.201181018490056e-05
unsecured_only,owner_q2,owner,2,0.00010956861525856459,0.0001095686152042536,4.814345687956457e-05,4.8143456879564566e-05,0.4393909402428207,2.643627700964063e-05,8.286197678647675,0.9330249920128749,0.00010223025632581047,0.0009079072049581264,1.5115729967518679e-06,9.648482168463667e-05,1.3933690893298237e-07,0.0012716863182414828,6.783158003364252e-07
unsecured_only,owner_q3,owner,3,0.0003252894130914464,0.00032528941302881095,0.00015228037474309807,0.00015228037474309802,0.4681381213605266,0.0001235213330762637,8.628891157656222,0.9622885701711701,0.0003130222841553137,0.0028068869397634894,4.332720714710935e-06,0.00030018669103711016,1.2846717403929074e-07,0.0003949319248308103,6.254000798692409e-07
unsecured_only,owner_q4,owner,4,0.0014798979648055677,0.001479897964771163,0.0007790256957359641,0.000779025695735964,0.5264050051168995,0.0005279320230394888,9.510859987011406,0.9875481415452334,0.0014614704847863353,0.014075102338001669,1.7006187208155424e-05,0.0014543972429054421,1.9387231444257906e-08,1.3100383881359257e-05,9.438034411789957e-08
both,renter_q1,renter,1,0.043007313393672246,0.043007313393672246,0.01205274786931387,0.012052747869313873,0.28024879766349736,0.0037092665811644995,4.436154895972707,0.0,0.0,0.1907871038739717,0.014664574231430777,0.0,0.00205704709058345,0.04783016952847158,0.010014055531043438
both,renter_q2,renter,2,0.04475943105227061,0.044759431052263786,0.008935083945242197,0.008935083945242193,0.19962460949978775,0.003086760120090043,3.9979889384655825,0.1926361024352761,0.008622282345128565,0.17894771023896353,0.0036486181714313285,0.00586407574590397,0.002512482975264553,0.05613304093008789,0.012231194973744709
both,renter_q3,renter,3,0.0570839078996531,0.05708390789964574,0.014755924870288253,0.014755924870288262,0.25849535207413393,0.004782995077741388,4.757565476249481,0.22485380038455324,0.012835533632037165,0.2715804294727596,0.0050516589125928915,0.01192164298110232,0.0020976719863906867,0.03674716857293919,0.010211824441837374
both,renter_q4,renter,4,0.05344665748001636,0.05344665748001039,0.018939723195212574,0.01893972319521261,0.354366841411816,0.00825387660766632,5.996225414594003,0.38891056894553455,0.02078596996878795,0.3204782059067389,0.00591322546973583,0.020080261836111595,0.0007406299012503934,0.013857366132340732,0.003605512480985071
both,owner_q1,owner,1,0.005203920162799011,0.005203920162746868,0.0024139955288382683,0.0024139955288382687,0.4638802005640038,0.0018418628699303267,8.28812227314224,0.9721362300648306,0.0050589193285711,0.04313072660851631,2.6977297372195383e-05,0.0046771632511761595,1.8971935437873434e-05,0.003645700711071065,9.235861243815709e-05
both,owner_q2,owner,2,0.00010956861525856459,0.00010956861520026588,4.8173678607778885e-05,4.817367860777886e-05,0.43966676492257023,2.645526774835944e-05,8.287003509504755,0.9402187742963907,0.00010301846908494687,0.0009079954986961795,1.4392301625443255e-06,9.656716132015075e-05,1.6955863714727428e-07,0.0015475109979909973,8.254403197348517e-07
both,owner_q3,owner,3,0.0003252894130914464,0.0003252894130295591,0.000152406295841278,0.00015240629584127794,0.4685252261758454,0.00012361150891736808,8.633310612564857,0.9658468662047346,0.0003141797601841772,0.002808324541663086,4.047943525306284e-06,0.0003005035074552277,2.543882722192141e-07,0.0007820367401495942,1.2384054288844e-06
both,owner_q4,owner,4,0.0014798979648055677,0.0014798979647702808,0.0007792391316034913,0.000779239131603491,0.5265492284840524,0.0005280831647346553,9.514194078828837,0.9876119481340339,0.0014615649120263688,0.014080036453688253,1.69306161906873e-05,0.0014545227270120985,2.3282309897121756e-07,0.00015732375103427731,1.1334224931846843e-06
