age,tenure,mass,budget_excess_mass,budget_excess_share,consumption_floor_mass,weighted_positive_budget_gap,maximum_occupied_excess
62.0,3,0.012375520618038961,0.0,0.0,0.0,2.0746811105540307e-19,4.440892098500626e-16
62.0,4,0.006175247957737149,0.0,0.0,0.0,1.870892044200796e-18,1.7763568394002505e-15
62.0,5,0.008992034268277787,0.0,0.0,0.0,2.3895241871610243e-23,4.440892098500626e-16
66.0,0,0.0399271143178358,0.0,0.0,0.0,1.8437365184610984e-19,8.881784197001252e-16
66.0,1,0.004757808052361057,0.0,0.0,0.0,3.658260474926387e-20,1.1102230246251565e-16
66.0,2,0.009945515656817842,0.0,0.0,0.0,9.618399626273988e-20,8.881784197001252e-16
66.0,3,0.011022199948431082,0.0,0.0,0.0,9.874241669562828e-20,4.440892098500626e-16
66.0,4,0.005849907951354285,0.0,0.0,0.0,7.651440272540351e-19,1.7763568394002505e-15
66.0,5,0.008506462412335294,0.0,0.0,0.0,9.500567490294087e-21,8.881784197001252e-16
70.0,0,0.03474928135106638,0.0,0.0,0.0,1.2701020709095485e-19,8.881784197001252e-16
70.0,1,0.0033159039918242003,0.0,0.0,0.0,1.7582346981237374e-19,1.1102230246251565e-16
70.0,2,0.009339764587361696,0.0,0.0,0.0,5.123160754361278e-20,8.881784197001252e-16
70.0,3,0.009784468280630803,0.0,0.0,0.0,5.650877838335794e-20,2.220446049250313e-16
70.0,4,0.005131419430867985,0.0,0.0,0.0,3.009761945054802e-20,1.7763568394002505e-15
70.0,5,0.007306741844321632,0.0,0.0,0.0,1.6459644471448755e-19,8.881784197001252e-16
74.0,0,0.028523259174844686,0.0,0.0,0.0,1.4920678114462097e-19,8.881784197001252e-16
74.0,1,0.0006395034066025563,0.0,0.0,0.0,4.1085457254225095e-22,1.1102230246251565e-16
74.0,2,0.009756159929315429,0.0,0.0,0.0,4.287621779305588e-20,8.881784197001252e-16
74.0,3,0.008092269248627673,0.0,0.0,0.0,1.7974942643897925e-21,1.1102230246251565e-16
74.0,4,0.004074847277342654,0.0,0.0,0.0,3.9424461501125385e-20,1.7763568394002505e-15
74.0,5,0.006089455908743172,0.0,0.0,0.0,8.401069581414249e-20,8.881784197001252e-16
78.0,0,0.019716624495906703,0.0,0.0,0.0,2.106622708368469e-19,4.440892098500626e-16
78.0,1,1.1316846097778972e-05,0.0,0.0,0.0,2.3692035283486695e-23,1.1102230246251565e-16
78.0,2,0.006988688981014066,0.0,0.0,0.0,3.522590033111327e-20,1.1102230246251565e-16
78.0,3,0.00553714553171384,0.0,0.0,0.0,0.0,0.0
78.0,4,0.003010679594367702,0.0,0.0,0.0,1.4926507723574087e-19,1.7763568394002505e-15
78.0,5,0.00426323287627875,0.0,0.0,0.0,3.71166016714437e-19,1.7763568394002505e-15
82.0,0,0.013002926889056545,0.0,0.0,0.0,0.0,0.0
82.0,1,2.236301052200476e-08,0.0,0.0,0.0,3.7940053179900547e-25,1.1102230246251565e-16
82.0,2,0.004180184821907882,0.0,0.0,0.0,0.0,0.0
82.0,3,0.003729973689471921,0.0,0.0,0.0,0.0,0.0
82.0,4,0.0021614200700711627,0.0,0.0,0.0,4.11182609074374e-19,6.661338147750939e-16
82.0,5,0.0030441822354209014,0.0,0.0,0.0,8.343919678886956e-20,8.881784197001252e-16
