policy,period_4yr,years,household_population,share_of_population_gap_closed
tax+grant,82,328,1.022909139051645,0.630648824124663
tax+grant,83,332,1.023081593823078,0.635396204572859
tax+grant,84,336,1.023251834373592,0.640082631363423
tax+grant,85,340,1.023419888855333,0.644708879476013
tax+grant,86,344,1.023585784877952,0.649275708956412
tax+grant,87,348,1.023749549615445,0.653783867857561
tax+grant,88,352,1.023911209897585,0.658234094756484
tax+grant,89,356,1.024070792280074,0.662627120685627
tax+grant,90,360,1.024228323090884,0.666963670408258
tax+grant,91,364,1.024383828453006,0.671244463045055
tax+grant,92,368,1.024537334286251,0.675470212123351
tax+grant,93,372,1.024688866292578,0.679641625173485
tax+grant,94,376,1.024838449931077,0.683759403039997
tax+grant,95,380,1.024986110388905,0.687824239081591
tax+grant,96,384,1.025131872553548,0.691836818407555
tax+grant,97,388,1.025275760990206,0.695797817255168
tax+grant,98,392,1.025417799926382,0.699707902565559
tax+grant,99,396,1.025558013244257,0.703567731773656
tax+grant,100,400,1.025696424480253,0.707377952796365
tax+grant,101,404,1.025833056830493,0.711139204182625
tax+grant,102,408,1.025967933160436,0.714852115378857
tax+grant,103,412,1.026101076016976,0.718517307061887
tax+grant,104,416,1.026232507641393,0.722135391495567
tax+grant,105,420,1.026362249981885,0.725706972875627
tax+grant,106,424,1.026490324704724,0.729232647636988
tax+grant,107,428,1.026616753203511,0.732713004708284
tax+grant,108,432,1.026741556606270,0.736148625707372
tax+grant,109,436,1.026864755780487,0.739540085079899
tax+grant,110,440,1.026986371336360,0.742887950188826
tax+grant,111,444,1.027106423628700,0.746192781366766
tax+grant,112,448,1.027224932757980,0.749455131944850
tax+grant,113,452,1.027341918571013,0.752675548271362
