f_c_y,control,K,rows,unsupported
1977,0,32,92,0
1977,0,34,91,0
1977,0,36,84,0
1977,0,38,83,0
1977,0,40,79,0
1977,0,42,76,0
1978,0,-10,9,0
1978,0,-9,11,0
1978,0,-8,7,0
1978,0,-7,13,0
1978,0,-6,18,0
1978,0,-5,26,0
1978,0,-4,33,0
1978,0,-3,75,0
1978,0,-2,100,0
1978,0,-1,120,0
1978,0,0,144,0
1978,0,1,163,0
1978,0,2,157,0
1978,0,3,147,0
1978,0,4,156,0
1978,0,5,157,0
1978,0,6,160,0
1978,0,7,160,0
1978,0,8,154,0
1978,0,9,144,0
1978,0,10,144,0
1978,0,11,142,0
1978,0,12,138,0
1978,0,13,135,0
1978,0,14,136,0
1978,0,15,136,0
1978,0,16,147,0
1978,0,17,141,0
1978,0,18,139,0
1978,0,19,104,0
1978,0,21,103,0
1978,0,23,102,0
1978,0,25,99,0
1978,0,27,105,0
1978,0,29,97,0
1978,0,31,97,0
1978,0,33,94,0
1978,0,35,98,0
1978,0,37,93,0
1978,0,39,92,0
1978,0,41,88,0
1979,0,-11,8,0
1979,0,-10,6,0
1979,0,-9,9,0
1979,0,-8,11,0
1979,0,-7,18,0
1979,0,-6,34,0
1979,0,-5,39,0
1979,0,-4,83,0
1979,0,-3,99,0
1979,0,-2,122,0
1979,0,-1,138,0
1979,0,0,177,0
1979,0,1,183,0
1979,0,2,182,0
1979,0,3,182,0
1979,0,4,183,0
1979,0,5,184,0
1979,0,6,185,0
1979,0,7,176,0
1979,0,8,169,0
1979,0,9,165,0
1979,0,10,165,0
1979,0,11,162,0
1979,0,12,158,0
1979,0,13,157,0
1979,0,14,144,0
1979,0,15,154,0
1979,0,16,147,0
1979,0,17,143,0
1979,0,18,106,0
1979,0,20,102,0
1979,0,22,101,0
1979,0,24,97,0
1979,0,26,98,0
1979,0,28,98,0
1979,0,30,97,0
1979,0,32,97,0
1979,0,34,95,0
1979,0,36,92,0
1979,0,38,86,0
1979,0,40,85,0
1980,0,-12,4,0
1980,0,-11,5,0
1980,0,-10,7,0
1980,0,-9,10,0
1980,0,-8,13,0
1980,0,-7,14,0
1980,0,-6,23,0
1980,0,-5,54,0
1980,0,-4,73,0
1980,0,-3,92,0
1980,0,-2,107,0
1980,0,-1,153,0
1980,0,0,181,0
1980,0,1,178,0
1980,0,2,172,0
1980,0,3,175,0
1980,0,4,174,0
1980,0,5,175,0
1980,0,6,167,0
1980,0,7,163,0
1980,0,8,165,0
1980,0,9,154,0
1980,0,10,154,0
1980,0,11,153,0
1980,0,12,154,0
1980,0,13,147,0
1980,0,14,156,0
1980,0,15,152,0
1980,0,16,148,0
1980,0,17,97,0
1980,0,19,96,0
1980,0,21,98,0
1980,0,23,97,0
1980,0,25,95,0
1980,0,27,89,0
1980,0,29,90,0
1980,0,31,88,0
1980,0,33,86,0
1980,0,35,85,0
1980,0,37,85,0
1980,0,39,77,0
1981,0,-13,6,0
1981,0,-12,6,0
1981,0,-11,9,0
1981,0,-10,9,0
1981,0,-9,14,0
1981,0,-8,18,0
1981,0,-7,21,0
1981,0,-6,49,0
1981,0,-5,60,0
1981,0,-4,70,0
1981,0,-3,79,0
1981,0,-2,113,0
1981,0,-1,129,0
1981,0,0,146,0
1981,0,1,148,0
1981,0,2,146,0
1981,0,3,146,0
1981,0,4,143,0
1981,0,5,139,0
1981,0,6,134,0
1981,0,7,133,0
1981,0,8,129,0
1981,0,9,126,0
1981,0,10,123,0
1981,0,11,129,0
1981,0,12,135,0
1981,0,13,138,0
1981,0,14,133,0
1981,0,15,129,0
1981,0,16,101,0
1981,0,18,99,0
1981,0,20,97,0
1981,0,22,98,0
1981,0,24,98,0
1981,0,26,96,0
1981,0,28,97,0
1981,0,30,93,0
1981,0,32,91,0
1981,0,34,91,0
1981,0,36,89,0
1981,0,38,82,0
1982,0,-14,4,0
1982,0,-13,4,0
1982,0,-12,7,0
1982,0,-11,7,0
1982,0,-10,13,0
1982,0,-9,16,0
1982,0,-8,19,0
1982,0,-7,43,0
1982,0,-6,56,0
1982,0,-5,68,0
1982,0,-4,81,0
1982,0,-3,123,0
1982,0,-2,143,0
1982,0,-1,162,0
1982,0,0,177,0
1982,0,1,177,0
1982,0,2,180,0
1982,0,3,177,0
1982,0,4,177,0
1982,0,5,173,0
1982,0,6,172,0
1982,0,7,173,0
1982,0,8,167,0
1982,0,9,167,0
1982,0,10,164,0
1982,0,11,157,0
1982,0,12,155,0
1982,0,13,152,0
1982,0,14,148,0
1982,0,15,103,0
1982,0,17,101,0
1982,0,19,102,0
1982,0,21,101,0
1982,0,23,101,0
1982,0,25,96,0
1982,0,27,92,0
1982,0,29,89,0
1982,0,31,90,0
1982,0,33,87,0
1982,0,35,82,0
1982,0,37,81,0
1983,0,-15,1,0
1983,0,-14,1,0
1983,0,-13,4,0
1983,0,-12,7,0
1983,0,-11,7,0
1983,0,-10,12,0
1983,0,-9,17,0
1983,0,-8,43,0
1983,0,-7,53,0
1983,0,-6,64,0
1983,0,-5,77,0
1983,0,-4,123,0
1983,0,-3,142,0
1983,0,-2,162,0
1983,0,-1,184,0
1983,0,0,207,0
1983,0,1,210,0
1983,0,2,203,0
1983,0,3,199,0
1983,0,4,194,0
1983,0,5,190,0
1983,0,6,186,0
1983,0,7,185,0
1983,0,8,187,0
1983,0,9,182,0
1983,0,10,173,0
1983,0,11,174,0
1983,0,12,169,0
1983,0,13,166,0
1983,0,14,122,0
1983,0,16,125,0
1983,0,18,122,0
1983,0,20,123,0
1983,0,22,126,0
1983,0,24,119,0
1983,0,26,114,0
1983,0,28,112,0
1983,0,30,114,0
1983,0,32,104,0
1983,0,34,102,0
1983,0,36,95,0
1984,0,-13,3,0
