moment,parameter,derivative,method
housing_increment_0to1,chi,-63.80300707870091,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,chi,-151.47635503758784,two_sided_or_boundary_pair
own_family_gap,chi,-322.6645049689241,two_sided_or_boundary_pair
own_rate,chi,552.1033146286436,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,chi,3.3015120602474726,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,chi,21.034601165935555,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,chi,-8.59946018358751,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,chi,-10.943711075582085,two_sided_or_boundary_pair
tfr,H0,-0.007630312919293555,two_sided_or_boundary_pair
childless_rate,H0,-2.8674609320993416,two_sided_or_boundary_pair
mean_age_first_birth,H0,-1.0453825812201556,two_sided_or_boundary_pair
share_first_births_age30plus,H0,-0.7327077301883357,two_sided_or_boundary_pair
housing_increment_0to1,H0,-8.428279960606845,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,H0,9.96114436987471,two_sided_or_boundary_pair
own_family_gap,H0,9.483922800613989,two_sided_or_boundary_pair
own_rate,H0,32.145733914294915,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,H0,38.94549766253522,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,H0,4.305491159236288,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,H0,0.6822745257556363,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,H0,-109.73056835845408,two_sided_or_boundary_pair
tfr,theta0,-0.003784272329943047,two_sided_or_boundary_pair
childless_rate,theta0,0.022964293439980944,two_sided_or_boundary_pair
mean_age_first_birth,theta0,-0.11550840179093126,two_sided_or_boundary_pair
share_first_births_age30plus,theta0,-0.1004475664712067,two_sided_or_boundary_pair
housing_increment_0to1,theta0,0.8007021314505807,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,theta0,2.5503986097738607,two_sided_or_boundary_pair
own_family_gap,theta0,0.9433212483073374,two_sided_or_boundary_pair
own_rate,theta0,2.7227963087220477,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,theta0,-0.8794021821390877,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,theta0,8.81297104133502,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,theta0,30.33817982478447,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,theta0,-150.67611241694863,two_sided_or_boundary_pair
tfr,theta1,-0.0018299703423263465,two_sided_or_boundary_pair
childless_rate,theta1,-0.005801115808801155,two_sided_or_boundary_pair
mean_age_first_birth,theta1,0.0185668668658767,two_sided_or_boundary_pair
share_first_births_age30plus,theta1,0.01592296048631424,two_sided_or_boundary_pair
housing_increment_0to1,theta1,-0.07210904691721247,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,theta1,-0.3354290761024889,two_sided_or_boundary_pair
own_family_gap,theta1,-0.00673005073970056,two_sided_or_boundary_pair
own_rate,theta1,-0.30432558986781516,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,theta1,0.08991376444189561,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,theta1,-0.5840209228174292,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,theta1,-1.9890883064901814,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,theta1,-0.05904326756587247,two_sided_or_boundary_pair
tfr,hbar_child_rooms,-0.015350216678122908,two_sided_or_boundary_pair
childless_rate,hbar_child_rooms,0.6243063088242414,two_sided_or_boundary_pair
mean_age_first_birth,hbar_child_rooms,0.275620572059146,two_sided_or_boundary_pair
share_first_births_age30plus,hbar_child_rooms,0.19240756748857477,two_sided_or_boundary_pair
housing_increment_0to1,hbar_child_rooms,4.625403826356547,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,hbar_child_rooms,26.845641853177934,two_sided_or_boundary_pair
own_family_gap,hbar_child_rooms,8.507140502692787,two_sided_or_boundary_pair
own_rate,hbar_child_rooms,-0.3666456602293348,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,hbar_child_rooms,0.565144752370156,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,hbar_child_rooms,-0.06203559844222336,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,hbar_child_rooms,-0.04758277765963874,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,hbar_child_rooms,-0.341254953980167,two_sided_or_boundary_pair
tfr,first_birth_fixed_cost,1.2698781050399615,two_sided_or_boundary_pair
childless_rate,first_birth_fixed_cost,32.66609860609747,two_sided_or_boundary_pair
mean_age_first_birth,first_birth_fixed_cost,-12.325328394188558,two_sided_or_boundary_pair
share_first_births_age30plus,first_birth_fixed_cost,-12.50065421375437,two_sided_or_boundary_pair
housing_increment_0to1,first_birth_fixed_cost,-0.43997611710509915,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,first_birth_fixed_cost,-15.027748640302283,two_sided_or_boundary_pair
own_family_gap,first_birth_fixed_cost,-4.30362880675528,two_sided_or_boundary_pair
own_rate,first_birth_fixed_cost,0.22737450467260265,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,first_birth_fixed_cost,-0.0809955263999313,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,first_birth_fixed_cost,0.007515436354821486,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,first_birth_fixed_cost,0.06104248292444622,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,first_birth_fixed_cost,0.02935967398016777,two_sided_or_boundary_pair
tfr,hbar_first_child_jump,-0.00013025075080719538,two_sided_or_boundary_pair
childless_rate,hbar_first_child_jump,1.1328620888353145,two_sided_or_boundary_pair
mean_age_first_birth,hbar_first_child_jump,0.39363391359380223,two_sided_or_boundary_pair
share_first_births_age30plus,hbar_first_child_jump,0.26545986648259257,two_sided_or_boundary_pair
housing_increment_0to1,hbar_first_child_jump,5.083473187198548,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,hbar_first_child_jump,-1.302516267397752,two_sided_or_boundary_pair
own_family_gap,hbar_first_child_jump,9.566727840096116,two_sided_or_boundary_pair
own_rate,hbar_first_child_jump,-0.3219750257073897,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,hbar_first_child_jump,0.5859166837116749,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,hbar_first_child_jump,-0.05893124542194609,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,hbar_first_child_jump,-0.05376943557935502,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,hbar_first_child_jump,-0.3576212358592366,two_sided_or_boundary_pair
tfr,psi_child_change_2023,28.17749179763936,two_sided_or_boundary_pair
childless_rate,psi_child_change_2023,-18.172479100763127,two_sided_or_boundary_pair
mean_age_first_birth,psi_child_change_2023,10.897556474153655,two_sided_or_boundary_pair
share_first_births_age30plus,psi_child_change_2023,13.067825486981501,two_sided_or_boundary_pair
housing_increment_0to1,psi_child_change_2023,1.6782517680527695,two_sided_or_boundary_pair
prime30_55_parent_3plus_minus_1to2_mean_rooms,psi_child_change_2023,-3.2497352183201125,two_sided_or_boundary_pair
own_family_gap,psi_child_change_2023,-7.653936290764163,two_sided_or_boundary_pair
own_rate,psi_child_change_2023,-0.3331913190878922,two_sided_or_boundary_pair
aggregate_mean_occupied_rooms_18_85,psi_child_change_2023,0.20171768102726684,two_sided_or_boundary_pair
aggregate_wealth_to_annual_gross_labor_earnings,psi_child_change_2023,0.07518953340210127,two_sided_or_boundary_pair
annual_bequest_flow_to_aggregate_wealth,psi_child_change_2023,0.032106595221793884,two_sided_or_boundary_pair
old_total_wealth_to_annual_income_p90_p50_7684,psi_child_change_2023,-0.4064675652737559,two_sided_or_boundary_pair
