age,tenure,mass,budget_excess_mass,budget_excess_share,consumption_floor_mass,weighted_positive_budget_gap,maximum_occupied_excess
34.0,3,0.010888186875437262,0.0,0.0,0.0,8.529211636331458e-19,8.881784197001252e-16
34.0,4,0.002072785841456295,0.0,0.0,0.0,3.4336511520652785e-19,1.7763568394002505e-15
34.0,5,0.006323319438322259,0.0,0.0,0.0,1.7748814162556813e-18,3.552713678800501e-15
38.0,0,0.04147167689857501,0.0,0.0,0.0,1.9551914870416553e-19,1.7763568394002505e-15
38.0,1,0.00741376797499026,0.0,0.0,0.0,1.0348205516411477e-19,4.440892098500626e-16
38.0,2,0.011433619533819704,0.0,0.0,0.0,2.4394808815704e-19,4.440892098500626e-16
38.0,3,0.012259380799721999,0.0,0.0,0.0,1.0118323453948607e-18,8.881784197001252e-16
38.0,4,0.003442573770994916,0.0,0.0,0.0,4.833298659063004e-19,1.7763568394002505e-15
38.0,5,0.006790855602461574,0.0,0.0,0.0,2.034243749600567e-18,3.552713678800501e-15
42.0,0,0.04072794468190407,0.0,0.0,0.0,7.138314094521963e-20,1.7763568394002505e-15
42.0,1,0.006388931142225376,0.0,0.0,0.0,5.843438422933967e-20,2.220446049250313e-16
42.0,2,0.010135179125068157,0.0,0.0,0.0,2.352357174962817e-19,4.440892098500626e-16
42.0,3,0.012568579123957946,0.0,0.0,0.0,8.1522344252485775e-19,8.881784197001252e-16
42.0,4,0.0044926622175565185,0.0,0.0,0.0,6.2604013690967425e-19,1.7763568394002505e-15
42.0,5,0.0071665337830718245,0.0,0.0,0.0,2.1441395526119645e-18,3.552713678800501e-15
46.0,0,0.03754878352166264,4.545075546511867e-12,1.2104454845760111e-10,4.545075546511867e-12,9.824753053330423e-14,0.021616224165131953
46.0,1,0.0054751190106316705,0.0,0.0,0.0,5.880910797116269e-20,4.440892098500626e-16
46.0,2,0.008800338669376821,0.0,0.0,0.0,2.2204632993427487e-19,4.440892098500626e-16
