cell,form,psi_child,kappa_fert,gamma_e,CF,childless,joint_distance,own_family_gap,share_3plus,pp12_flow,pp23_flow,mean_age_first_birth,market_residual
40,power,2.0,6.0,0.0,2.0294516607293636,0.01787713359662605,0.8222366228440813,0.11684021657786259,0.3061457655679136,0.6299870860384537,0.49480124889683136,23.001305775436883,6.971627634925138e-07
41,power,2.0,10.0,0.0,1.8773118733914829,0.03390222405145837,0.6723073305898783,0.10416643999721414,0.24857432372072524,0.5829741640360866,0.44135278875260314,23.850312435360063,1.3455180646362155e-05
42,power,2.0,15.9109,0.0,1.7768456901006822,0.047974791239170124,0.5601654501209579,0.09599888353756869,0.21448771148137938,0.5509703735592518,0.4089081059485923,24.38127829996478,1.0830609815868161e-05
43,power,2.7233,0.5,0.0,2.596268162552284,9.305145157019356e-07,1.1250464249016867,0.20307756220345807,0.5894309495939023,0.7710664797199915,0.7644366767342656,18.2984027911963,1.820007071507432e-05
44,power,2.7233,1.0,0.0,2.5737277276524044,1.650696015061026e-05,1.1167070090924758,0.20168446329035622,0.5754298478934268,0.7681551281055576,0.7491186704304296,18.895479135805004,7.752397125934835e-06
45,power,2.7233,1.8,0.0,2.5026855528164473,0.00017880267674199636,1.091026947341684,0.19188683181753052,0.5342950643240896,0.7549862593748087,0.7078150210818553,19.772778350811993,1.7702271362237122e-06
46,power,2.7233,3.0,0.0,2.3797637298865872,0.0013012278944590902,1.0441669316151296,0.16931257675610706,0.4679084311960895,0.7269390665882808,0.6445080490523897,20.766897746324975,7.187719034721365e-06
47,power,2.7233,6.0,0.0,2.1408569724758855,0.009842288931416619,0.9115362610739314,0.1296932029881011,0.3530717520967589,0.6629234921352268,0.5378921276885239,22.33824581729046,1.6836339665363465e-05
48,power,2.7233,10.0,0.0,1.9665126632143044,0.023785334806041048,0.7636110154788357,0.11202553721410607,0.2814296076195472,0.6108252293688521,0.47196249692969205,23.3587557927874,5.222194793352729e-05
49,power,2.7233,15.9109,0.0,1.8413052479349168,0.038630656299181505,0.6328574587815237,0.10101135557903845,0.2360069729435112,0.5716077228062227,0.4294736050275965,24.042483168031232,1.557715816143049e-05
