f_c_y,control,K,rows
1974,0,37,3
1974,0,39,4
1974,0,41,3
1974,0,43,7
1974,0,45,3
1975,0,-6,1
1975,0,-5,3
1975,0,-4,1
1975,0,-3,4
1975,0,-2,9
1975,0,-1,8
1975,0,0,29
1975,0,1,27
1975,0,2,29
1975,0,3,26
1975,0,4,22
1975,0,5,20
1975,0,6,18
1975,0,10,16
1975,0,11,15
1975,0,12,17
1975,0,13,8
1975,0,14,16
1975,0,15,15
1975,0,16,13
1975,0,17,10
1975,0,18,8
1975,0,19,11
1975,0,20,7
1975,0,21,10
1975,0,22,1
1975,0,24,5
1975,0,26,6
1975,0,28,4
1975,0,30,3
1975,0,32,4
1975,0,34,8
1975,0,36,2
1975,0,38,6
1975,0,40,6
1975,0,42,4
1975,0,44,5
1976,0,-7,2
1976,0,-6,3
1976,0,-5,1
1976,0,-4,2
1976,0,-3,4
1976,0,-2,7
1976,0,-1,17
1976,0,0,23
1976,0,1,25
1976,0,2,30
1976,0,3,24
1976,0,4,28
1976,0,5,18
1976,0,9,15
1976,0,10,13
1976,0,11,11
1976,0,12,8
1976,0,13,10
1976,0,14,13
1976,0,15,11
1976,0,16,8
1976,0,17,11
1976,0,18,9
1976,0,19,7
1976,0,20,9
1976,0,21,2
1976,0,23,9
1976,0,25,2
1976,0,27,7
1976,0,29,5
1976,0,31,3
1976,0,33,6
1976,0,35,5
1976,0,37,6
1976,0,39,2
1976,0,41,5
1976,0,43,6
1977,0,-8,2
1977,0,-7,4
1977,0,-6,2
1977,0,-5,4
1977,0,-4,3
1977,0,-3,4
1977,0,-2,14
1977,0,-1,24
1977,0,0,21
1977,0,1,20
1977,0,2,22
1977,0,3,31
1977,0,4,21
1977,0,8,16
1977,0,9,15
1977,0,10,18
1977,0,11,17
1977,0,12,12
1977,0,13,19
1977,0,14,22
1977,0,15,17
1977,0,16,12
1977,0,17,7
1977,0,18,6
1977,0,19,11
1977,0,20,6
1977,0,22,5
1977,0,24,11
1977,0,26,10
1977,0,28,7
1977,0,30,7
1977,0,32,5
1977,0,34,7
1977,0,36,6
1977,0,38,4
1977,0,40,4
1977,0,42,5
1978,0,-9,1
1978,0,-8,1
1978,0,-7,1
1978,0,-6,1
1978,0,-4,2
1978,0,-3,16
1978,0,-2,18
1978,0,-1,18
1978,0,0,19
1978,0,1,28
1978,0,2,24
1978,0,3,19
1978,0,7,18
1978,0,8,17
1978,0,9,13
1978,0,10,10
1978,0,11,8
1978,0,12,10
1978,0,13,11
1978,0,14,6
1978,0,15,17
1978,0,16,14
1978,0,17,6
1978,0,18,4
1978,0,19,10
1978,0,21,6
1978,0,23,8
1978,0,25,10
1978,0,27,4
1978,0,29,11
1978,0,31,8
1978,0,33,11
1978,0,35,6
1978,0,37,3
1978,0,39,6
1978,0,41,5
1979,0,-10,1
1979,0,-9,2
1979,0,-8,1
1979,0,-7,4
1979,0,-6,5
1979,0,-5,4
1979,0,-4,17
1979,0,-3,21
1979,0,-2,22
1979,0,-1,23
1979,0,0,30
1979,0,1,24
1979,0,2,27
1979,0,6,25
1979,0,7,16
1979,0,8,15
1979,0,9,19
1979,0,10,16
1979,0,11,7
1979,0,12,12
1979,0,13,6
1979,0,14,6
1979,0,15,14
1979,0,16,11
1979,0,17,7
1979,0,18,6
1979,0,20,5
1979,0,22,5
1979,0,24,8
1979,0,26,7
1979,0,28,13
1979,0,30,10
1979,0,32,8
1979,0,34,3
1979,0,36,7
1979,0,38,8
