f_c_y,control,K,rows
1981,0,-7,7
1981,0,-6,15
1981,0,-5,20
1981,0,-4,23
1981,0,-3,28
1981,0,-2,36
1981,0,-1,48
1981,0,0,56
1981,0,4,51
1981,0,5,49
1981,0,6,53
1981,0,7,50
1981,0,8,50
1981,0,9,48
1981,0,10,45
1981,0,11,48
1981,0,12,51
1981,0,13,53
1981,0,14,50
1981,0,15,50
1981,0,16,39
1981,0,18,39
1981,0,20,38
1981,0,22,38
1981,0,24,38
1981,0,26,35
1981,0,28,36
1981,0,30,35
1981,0,32,34
1981,0,34,34
1981,0,36,32
1981,0,38,32
1982,0,-13,2
1982,0,-12,2
1982,0,-11,3
1982,0,-10,3
1982,0,-9,5
1982,0,-8,5
1982,0,-7,10
1982,0,-6,18
1982,0,-5,22
1982,0,-4,26
1982,0,-3,29
1982,0,-2,41
1982,0,-1,52
1982,0,3,53
1982,0,4,53
1982,0,5,52
1982,0,6,51
1982,0,7,51
1982,0,8,52
1982,0,9,50
1982,0,10,51
1982,0,11,48
1982,0,12,50
1982,0,13,50
1982,0,14,50
1982,0,15,38
1982,0,17,37
1982,0,19,40
1982,0,21,38
1982,0,23,36
1982,0,25,35
1982,0,27,33
1982,0,29,29
1982,0,31,29
1982,0,33,27
1982,0,35,23
1982,0,37,28
1983,0,-12,1
1983,0,-11,2
1983,0,-10,1
1983,0,-9,3
1983,0,-8,14
1983,0,-7,15
1983,0,-6,16
1983,0,-5,24
1983,0,-4,27
1983,0,-3,36
1983,0,-2,49
1983,0,2,44
1983,0,3,47
1983,0,4,46
1983,0,5,44
1983,0,6,43
1983,0,7,42
1983,0,8,43
1983,0,9,43
1983,0,10,41
1983,0,11,42
1983,0,12,42
1983,0,13,41
1983,0,14,30
1983,0,16,30
1983,0,18,28
1983,0,20,28
1983,0,22,28
1983,0,24,26
1983,0,26,26
1983,0,28,22
1983,0,30,22
1983,0,32,15
1983,0,34,15
1983,0,36,16
1984,0,-13,1
1984,0,-12,3
1984,0,-11,4
1984,0,-10,3
1984,0,-9,7
1984,0,-8,8
1984,0,-7,9
1984,0,-6,12
1984,0,-5,16
1984,0,-4,25
1984,0,-3,28
1984,0,1,26
1984,0,2,27
1984,0,3,25
1984,0,4,24
1984,0,5,25
1984,0,6,25
1984,0,7,25
1984,0,8,25
1984,0,9,25
1984,0,10,27
1984,0,11,27
1984,0,12,27
1984,0,13,16
1984,0,15,15
1984,0,17,15
1984,0,19,14
1984,0,21,12
1984,0,23,13
1984,0,25,12
1984,0,27,13
1984,0,29,9
1984,0,31,12
1984,0,33,8
1984,0,35,10
1987,0,-18,2
1987,0,-17,1
1987,0,-16,1
1987,0,-15,1
1987,0,-14,2
1987,0,-13,2
1987,0,-12,4
1987,0,-11,7
1987,0,-10,8
1987,0,-9,9
1987,0,-8,16
1987,0,-7,23
1987,0,-6,25
1987,0,-2,51
1987,0,-1,50
1987,0,0,64
1987,0,1,59
1987,0,2,58
1987,0,3,57
1987,0,4,57
1987,0,5,57
1987,0,6,59
1987,0,7,61
1987,0,8,60
1987,0,9,58
1987,0,10,43
1987,0,12,44
1987,0,14,43
1987,0,16,42
1987,0,18,41
1987,0,20,39
1987,0,22,40
1987,0,24,37
1987,0,26,33
1987,0,28,32
1987,0,30,29
1987,0,32,29
1988,0,-13,3
1988,0,-12,3
1988,0,-11,4
1988,0,-10,5
1988,0,-9,4
1988,0,-8,4
1988,0,-7,7
