age,age_group,center_share,diagnostic,expected_completed_fertility_choice,expected_fertility_choice,mass,mass_share,mean_housing,mean_income,mean_liquid_wealth,own_rate,share,tenure,wealth_bin,z
24.0,,0.3731160598851707,age_z,,0.02745845512638065,0.00450630353766116,0.27037821225600395,6.340429073377957,0.6137536103999051,0.4344568520542479,0.02320679617400769,,,,0.28
25.0,,0.36988147734238275,age_z,,0.03364013793708112,0.0044741603348742685,0.26844962008898254,6.424452249241574,0.9103106646285316,0.4106507218290492,0.024451468921316114,,,,0.28
26.0,,0.3685057509749353,age_z,,0.039594325496201455,0.004452945821033296,0.26717674925868834,6.548220196321654,0.9103106646285315,0.6251306740251507,0.029012029004467737,,,,0.28
27.0,,0.3686582365964279,age_z,,0.04561808735185439,0.004438944241898038,0.26633665451072286,6.665842633184312,0.9103106646285317,0.7242836513100909,0.054954697879265636,,,,0.28
28.0,,0.370082071509326,age_z,,0.051842137868620256,0.004429703199665463,0.2657821919770716,6.7791322631282736,0.9103106646285315,0.6744333888188144,0.112089607088019,,,,0.28
29.0,,0.37256370204846895,age_z,,0.05841663809162627,0.004423604111788812,0.26541624670481,6.883562408273886,0.9103106646285318,0.5798018215049165,0.17550865126315623,,,,0.28
30.0,,0.3756422716705689,age_z,,0.06549856657375105,0.004419578713788336,0.26517472282510945,7.024162384460977,0.9103106646285315,0.2109803363327285,0.30052583646128656,,,,0.28
31.0,,0.3785118540283928,age_z,,0.07325135170587647,0.004416921951107044,0.26501531706448783,7.1079805984150015,0.9103106646285318,0.050519102292998934,0.3712362329457492,,,,0.28
32.0,,0.3814899119375493,age_z,,0.08200067979438946,0.004415168487736714,0.2649101092626005,7.18221342783974,0.9103106646285316,-0.17041707408395718,0.4519582390624201,,,,0.28
33.0,,0.38441109812658963,age_z,,0.09192141678706116,0.004414011201908266,0.2648406721132326,7.243092480505711,0.9103106646285318,-0.25970628234741305,0.49681257173632754,,,,0.28
34.0,,0.3877257140700797,age_z,,0.10344343178028084,0.00441324739326099,0.26479484359469324,7.296648481900121,0.9103106646285318,-0.29365175967318463,0.5244422401875284,,,,0.28
35.0,,0.39132334124520446,age_z,,0.11718533900559158,0.004412743279553191,0.264764596772524,7.326331168206878,1.0862895759290356,-0.33940295286173505,0.5512244130565552,,,,0.28
36.0,,0.3951493233600063,age_z,,0.13466369057792155,0.004412410564504576,0.2647446338698262,7.412462833045219,1.0862895759290356,-0.4128587765522417,0.621835854890345,,,,0.28
37.0,,0.3987929813647664,age_z,,0.15651652088459506,0.0044121909725722075,0.2647314583540718,7.457677699244038,1.0862895759290354,-0.4592170887058384,0.6816694094935625,,,,0.28
38.0,,0.402637149277425,age_z,,0.1848669633594225,0.004412046041896612,0.2647227625136899,7.49287511373318,1.0862895759290356,-0.4797898507289732,0.7310059414773428,,,,0.28
39.0,,0.4066315284552016,age_z,,0.22330453971432504,0.004411950387650549,0.2647170232591052,7.521173862587666,1.0862895759290354,-0.46316243434026105,0.7674133899720782,,,,0.28
40.0,,0.4107418783088423,age_z,,0.2783200055030393,0.004411887255847173,0.2647132353510062,7.545899507254522,1.0862895759290356,-0.4248956466729596,0.794804490583127,,,,0.28
41.0,,0.4149519260175021,age_z,,0.36241459432919243,0.004411845588857207,0.26471073533169664,7.569328402950239,1.0862895759290356,-0.39214523990515443,0.8194902781332724,,,,0.28
42.0,,0.4192714431827816,age_z,,0.4958679213647291,0.0044118180886434195,0.2647090853189647,7.593169526416621,1.0862895759290356,-0.3425656354251076,0.8367756209136613,,,,0.28
43.0,,0.4236600714730711,age_z,,nan,0.004411799938502166,0.2647079963105533,7.6130166321679384,1.0862895759290356,-0.3036377396589497,0.8516823509370265,,,,0.28
44.0,,0.42812611877382606,age_z,,nan,0.004411787959409175,0.2647072775650153,7.620543012826759,1.0862895759290356,-0.24369677256247177,0.8633687840449451,,,,0.28
45.0,,0.4326289080392387,age_z,,nan,0.004411780053207481,0.26470680319295065,7.630259946856955,1.0699952322901003,-0.18170191295501112,0.8742617347908244,,,,0.28
46.0,,0.4371373168228332,age_z,,nan,0.004411774835113564,0.26470649010736397,7.638711250166771,1.0699952322900999,-0.13859765484476233,0.8859011125722636,,,,0.28
47.0,,0.4416297577962103,age_z,,nan,0.004411771391171974,0.26470628347091113,7.646446986247375,1.0699952322901,-0.08224387230004215,0.8948366329709363,,,,0.28
48.0,,0.4460760565697544,age_z,,nan,0.00441176911817036,0.26470614709084755,7.653257393488949,1.0699952322900999,-0.0270049956185793,0.9045106050289365,,,,0.28
49.0,,0.45044948989749933,age_z,,nan,0.004411767617989183,0.2647060570799887,7.6579895439582355,1.0699952322901003,0.029712068512499773,0.9144243478468175,,,,0.28
50.0,,0.45473019216823374,age_z,,nan,0.004411766627869408,0.2647059976728411,7.662425016423916,1.0699952322901,0.10138619576907379,0.920966547713678,,,,0.28
51.0,,0.45894311964235546,age_z,,nan,0.00441176597439022,0.2647059584641125,7.669250054781085,1.0699952322901003,0.17217483172271691,0.9275517000525891,,,,0.28
52.0,,0.46308733694223153,age_z,,nan,0.00441176554309371,0.2647059325863588,7.6790610056388555,1.0699952322901,0.26623312042978686,0.9282057139654537,,,,0.28
53.0,,0.46718445358538363,age_z,,nan,0.00441176525843786,0.26470591550703637,7.68836090207274,1.0699952322900999,0.35617566558413155,0.9305529695320658,,,,0.28
