f_c_y,K,lastcohort,rows
1985,24,0,90
1985,26,0,81
1985,28,0,78
1985,30,0,77
1985,32,0,75
1985,34,0,71
1986,-16,0,2
1986,-15,0,3
1986,-14,0,3
1986,-13,0,4
1986,-12,0,4
1986,-9,0,9
1986,-8,0,12
1986,-7,0,18
1986,-6,0,24
1986,-5,0,34
1986,-4,0,41
1986,-3,0,50
1986,-2,0,68
1986,-1,0,93
1986,0,0,114
1986,1,0,129
1986,2,0,128
1986,3,0,131
1986,4,0,167
1986,5,0,167
1986,6,0,168
1986,7,0,172
1986,8,0,174
1986,9,0,145
1986,10,0,118
1986,11,0,124
1986,13,0,121
1986,15,0,121
1986,17,0,114
1986,19,0,111
1986,21,0,107
1986,23,0,111
1986,25,0,99
1986,27,0,91
1986,29,0,86
1986,31,0,85
1986,33,0,84
1987,-14,0,1
1987,-13,0,1
1987,-10,0,10
1987,-9,0,10
1987,-8,0,18
1987,-7,0,26
1987,-6,0,28
1987,-5,0,33
1987,-4,0,40
1987,-3,0,51
1987,-2,0,75
1987,-1,0,92
1987,0,0,110
1987,1,0,123
1987,2,0,131
1987,3,0,162
1987,4,0,165
1987,5,0,171
1987,6,0,173
1987,7,0,178
1987,8,0,150
1987,9,0,114
1987,10,0,116
1987,12,0,124
1987,14,0,124
1987,16,0,120
1987,18,0,124
1987,20,0,122
1987,22,0,116
1987,24,0,111
1987,26,0,103
1987,28,0,97
1987,30,0,94
1987,32,0,91
1988,-11,0,7
1988,-10,0,8
1988,-9,0,11
1988,-8,0,11
1988,-7,0,15
1988,-6,0,20
1988,-5,0,26
1988,-4,0,36
1988,-3,0,49
1988,-2,0,68
1988,-1,0,87
1988,0,0,105
1988,1,0,117
1988,2,0,152
1988,3,0,151
1988,4,0,161
1988,5,0,164
1988,6,0,173
1988,7,0,148
1988,8,0,116
1988,9,0,114
1988,11,0,120
1988,13,0,131
1988,15,0,129
1988,17,0,120
1988,19,0,122
1988,21,0,122
1988,23,0,116
1988,25,0,110
1988,27,0,106
1988,29,0,102
1988,31,0,95
1989,-15,0,1
1989,-12,0,5
1989,-11,0,8
1989,-10,0,12
1989,-9,0,16
1989,-8,0,19
1989,-7,0,21
1989,-6,0,26
1989,-5,0,33
1989,-4,0,46
1989,-3,0,56
1989,-2,0,67
1989,-1,0,83
1989,0,0,101
1989,1,0,138
1989,2,0,145
1989,3,0,146
1989,4,0,156
1989,5,0,171
1989,6,0,145
1989,7,0,116
1989,8,0,115
1989,10,0,120
1989,12,0,120
1989,14,0,121
1989,16,0,129
1989,18,0,128
1989,20,0,122
1989,22,0,119
1989,24,0,105
1989,26,0,100
1989,28,0,97
1989,30,0,89
1990,-13,0,3
1990,-12,0,5
1990,-11,0,6
1990,-10,0,7
1990,-9,0,8
1990,-8,0,10
1990,-7,0,12
1990,-6,0,15
1990,-5,0,17
