stage,case_id,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
initial_population,31,first_birth_fixed_cost,4.1704061994776795,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,31,hbar_first_child_jump,0.3567417366404568,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,31,psi_child_change_2023,-0.268807500780124,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,31,psi_child_2007,0.2095982315382126,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,31,psi_child_2023,-0.05920926924191139,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,31,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,28,beta_annual,0.9956384104377285,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,28,tenure_choice_kappa,2.0,0.005,10.0,log,True,estimated_free_transition_parameter,False
initial_population,28,joint_nest_lambda,0.5,0.02,1.0,log,True,estimated_free_transition_parameter,False
initial_population,28,chi,1.1334694204205662,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,28,H0,11.399716443520008,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,28,theta0,0.8774512830517157,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,28,theta1,0.08479392424134445,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,28,hbar_child_rooms,0.3219016256485941,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,28,first_birth_fixed_cost,5.5339460050560945,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,28,hbar_first_child_jump,0.36907540562105323,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,28,psi_child_change_2023,-0.2128423006042088,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,28,psi_child_2007,0.4440237478674882,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,28,psi_child_2023,0.2311814472632794,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,28,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,25,beta_annual,0.9977702371697095,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,25,tenure_choice_kappa,0.9999999999999996,0.005,10.0,log,True,estimated_free_transition_parameter,False
initial_population,25,joint_nest_lambda,1.0,0.02,1.0,log,True,estimated_free_transition_parameter,True
initial_population,25,chi,1.116617321792091,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,25,H0,11.184970143226032,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,25,theta0,0.44280887140739766,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,25,theta1,0.09625764416603413,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,25,hbar_child_rooms,0.25309283364060536,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,25,first_birth_fixed_cost,5.0695614198667895,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,25,hbar_first_child_jump,0.26697558055364046,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,25,psi_child_change_2023,-0.18535678826780977,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,25,psi_child_2007,0.38369176273546746,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,25,psi_child_2023,0.1983349744676577,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,25,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,1,beta_annual,0.9963075646657805,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,1,tenure_choice_kappa,2.0383678960910228,0.005,10.0,log,True,estimated_free_transition_parameter,False
initial_population,1,joint_nest_lambda,0.9951219079689325,0.02,1.0,log,True,estimated_free_transition_parameter,True
initial_population,1,chi,1.251672493395819,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,1,H0,11.504738714387747,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,1,theta0,0.5954891250484261,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,1,theta1,0.0928750306307684,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,1,hbar_child_rooms,0.29312885140894224,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,1,first_birth_fixed_cost,4.9199969296692725,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,1,hbar_first_child_jump,0.39544482702557116,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,1,psi_child_change_2023,-0.3789332632682017,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,1,psi_child_2007,0.2585716340454145,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,1,psi_child_2023,-0.1203616292227872,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,1,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,12,beta_annual,0.9949223327688629,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,12,tenure_choice_kappa,0.1,0.005,10.0,log,True,estimated_free_transition_parameter,True
initial_population,12,joint_nest_lambda,0.5,0.02,1.0,log,True,estimated_free_transition_parameter,False
initial_population,12,chi,1.013033290250527,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,12,H0,9.73986012574886,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,12,theta0,0.5964272599328353,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,12,theta1,0.07410863983643674,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,12,hbar_child_rooms,0.28037411596129885,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,12,first_birth_fixed_cost,5.5305991132614984,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,12,hbar_first_child_jump,0.4384177122177578,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,12,psi_child_change_2023,-0.008680590344787964,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,12,psi_child_2007,0.5928665159728308,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,12,psi_child_2023,0.5841859256280428,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,12,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,7,beta_annual,0.9971183597180483,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,7,tenure_choice_kappa,0.03,0.005,10.0,log,True,estimated_free_transition_parameter,True
initial_population,7,joint_nest_lambda,0.20000000000000004,0.02,1.0,log,True,estimated_free_transition_parameter,False
initial_population,7,chi,1.4267607531641335,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,7,H0,11.561556933062114,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,7,theta0,0.3557486352263289,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,7,theta1,0.07145809808946244,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,7,hbar_child_rooms,0.23579186998242252,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,7,first_birth_fixed_cost,4.122019574098297,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,7,hbar_first_child_jump,0.38478730936662714,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,7,psi_child_change_2023,-0.0012044329723523983,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,7,psi_child_2007,0.4488698055710685,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,7,psi_child_2023,0.4476653725987161,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,7,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,9,beta_annual,0.993978351499222,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,9,tenure_choice_kappa,0.03,0.005,10.0,log,True,estimated_free_transition_parameter,True
initial_population,9,joint_nest_lambda,1.0,0.02,1.0,log,True,estimated_free_transition_parameter,True
initial_population,9,chi,1.2494208746312574,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,9,H0,8.210413939226564,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,9,theta0,0.6916171290133546,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,9,theta1,0.07984168038031815,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,9,hbar_child_rooms,0.3538561157457613,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,9,first_birth_fixed_cost,4.098191824475505,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,9,hbar_first_child_jump,0.4293447524701861,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,9,psi_child_change_2023,-0.0069896951695296305,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,9,psi_child_2007,0.4822224309774441,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,9,psi_child_2023,0.4752327358079145,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,9,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,21,beta_annual,0.995371910582828,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,21,tenure_choice_kappa,0.5000000000000004,0.005,10.0,log,True,estimated_free_transition_parameter,False
initial_population,21,joint_nest_lambda,1.0,0.02,1.0,log,True,estimated_free_transition_parameter,True
initial_population,21,chi,0.9881511163010828,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,21,H0,9.256399390795307,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,21,theta0,0.5219675794284224,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,21,theta1,0.08767126605813275,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,21,hbar_child_rooms,0.2561911092750667,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,21,first_birth_fixed_cost,4.420025968185163,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,21,hbar_first_child_jump,0.3275330378394264,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,21,psi_child_change_2023,-0.11157901710147339,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,21,psi_child_2007,0.42662540411942573,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,21,psi_child_2023,0.31504638701795235,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,21,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,20,beta_annual,0.9972751282385385,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,20,tenure_choice_kappa,0.5000000000000004,0.005,10.0,log,True,estimated_free_transition_parameter,False
initial_population,20,joint_nest_lambda,0.5,0.02,1.0,log,True,estimated_free_transition_parameter,False
initial_population,20,chi,1.654953729619932,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,20,H0,10.894495905390919,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,20,theta0,0.7000015981926271,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,20,theta1,0.1350968909460832,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,20,hbar_child_rooms,0.3658111647584706,0.1,1.8,log,True,estimated_free_transition_parameter,False
initial_population,20,first_birth_fixed_cost,5.524708152429695,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,20,hbar_first_child_jump,0.5410121487258225,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
initial_population,20,psi_child_change_2023,-0.05714172707695642,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
initial_population,20,psi_child_2007,0.547503011746409,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
initial_population,20,psi_child_2023,0.4903612846694526,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
initial_population,20,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
initial_population,16,beta_annual,0.9977403656029903,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
initial_population,16,tenure_choice_kappa,0.3000000000000003,0.005,10.0,log,True,estimated_free_transition_parameter,False
initial_population,16,joint_nest_lambda,0.5,0.02,1.0,log,True,estimated_free_transition_parameter,False
initial_population,16,chi,1.6485831500922323,0.1,5.0,log,True,estimated_free_transition_parameter,False
initial_population,16,H0,7.703213341081479,0.2,80.0,log,True,estimated_free_transition_parameter,False
initial_population,16,theta0,0.6921631127292097,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
initial_population,16,theta1,0.07182799814549869,0.02,16.0,log,True,estimated_free_transition_parameter,True
initial_population,16,hbar_child_rooms,0.30790379464843026,0.1,1.8,log,True,estimated_free_transition_parameter,False
