draw,existing_family_rooms,under18_candidate,candidate_minus_existing
91,0.44615538614716144,0.42653691425473994,-0.019618471892421496
92,0.3091863511730395,0.2985186715643744,-0.010667679608665104
93,0.4063852839254949,0.3846128742339614,-0.02177240969153349
94,0.4692872388976266,0.4615944073358209,-0.007692831561805669
95,0.31052791791134293,0.30204366176404296,-0.008484256147299973
96,0.3230456210260302,0.32257943992119387,-0.00046618110483631625
97,0.3238376101254623,0.32519706786700375,0.0013594577415414477
98,0.2526485219020449,0.2376443543246669,-0.015004167577377991
99,0.47899313545505606,0.4630496265456987,-0.015943508909357362
100,0.4358877655132929,0.4150824888958322,-0.020805276617460677
101,0.42962521119580455,0.4225238091331338,-0.007101402062670736
102,0.31299509063095865,0.29265441424390115,-0.0203406763870575
103,0.35095850186815714,0.3370501925419749,-0.013908309326182255
104,0.31354658454522166,0.28706995712591077,-0.026476627419310894
105,0.3645426806746963,0.34859639007362464,-0.015946290601071667
106,0.36593476847400463,0.35485776977997574,-0.011076998694028894
107,0.4201299034302721,0.4022038705873676,-0.017926032842904505
108,0.45429750283385406,0.4561311318620449,0.0018336290281908418
109,0.3369705426099543,0.32554698777493396,-0.011423554835020333
110,0.36566369910776864,0.34818032743713534,-0.017483371670633296
111,0.3351281959202703,0.32524583927563633,-0.009882356644633994
112,0.31717448489849964,0.32069397098915786,0.0035194860906582193
113,0.4302024365217436,0.4130953929553032,-0.01710704356644044
114,0.3768847410636065,0.357471792217515,-0.01941294884609146
115,0.4317840905692867,0.4174437694530484,-0.014340321116238286
116,0.3414290879636468,0.32099573049665775,-0.020433357466989044
117,0.39922959541346614,0.3937340196017862,-0.00549557581167992
118,0.34679035992290075,0.33629584591182926,-0.010494514011071487
119,0.3065007411392475,0.2984981165413467,-0.008002624597900798
120,0.31167863779146554,0.2961620040218813,-0.015516633769584232
121,0.33070774887333076,0.30819045686902413,-0.022517292004306633
122,0.39400172269257894,0.3812322888513018,-0.012769433841277156
123,0.31781298953502013,0.31577825403393955,-0.0020347355010805757
124,0.3350529774312321,0.31220205173202853,-0.02285092569920355
125,0.3409876333147368,0.3303078297897768,-0.010679803524960008
126,0.3308850902925631,0.31384176172500844,-0.01704332856755464
127,0.2769242975462207,0.2738574757317753,-0.0030668218144453974
128,0.45428224944950557,0.4335351341627085,-0.02074711528679707
129,0.36419248794247494,0.32993946135798247,-0.034253026584492474
130,0.25297099400573675,0.24050063091789653,-0.01247036308784022
131,0.33531900046251284,0.3128781424585325,-0.022440858003980324
132,0.3017277178670623,0.27485863805110977,-0.026869079815952546
133,0.30613220342560155,0.29297188683705233,-0.013160316588549215
134,0.43681150078362396,0.4290170270787703,-0.007794473704853644
135,0.4040451065215862,0.3900822594366087,-0.013962847084977525
136,0.41255131786880384,0.3908409580910259,-0.02171035977777791
137,0.40467534612645384,0.37946357666269126,-0.02521176946376258
138,0.37467099053271724,0.35992759895439086,-0.014743391578326381
139,0.3921925924582874,0.37267266495143225,-0.01951992750685516
140,0.35369585431408446,0.3474028038088104,-0.006293050505274067
141,0.3833541182364373,0.3693029385022575,-0.014051179734179797
142,0.3457672782245673,0.3428827713652973,-0.0028845068592699974
143,0.27776229901183846,0.2626621562292497,-0.015100142782588755
144,0.3193007399054615,0.3158189466596859,-0.0034817932457755774
145,0.35949207128354743,0.35807337901741665,-0.0014186922661307833
146,0.3634576735382087,0.3490757007112535,-0.014381972826955192
147,0.403414484364351,0.3923853771389263,-0.011029107225424717
148,0.4047684384191861,0.3898682219279923,-0.014900216491193774
149,0.33794752456112676,0.322389468125551,-0.015558056435575729
150,0.3163029887484825,0.30390034273874544,-0.012402646009737062
151,0.4087776092429891,0.3895930051058434,-0.019184604137145733
152,0.26901982340918007,0.26017699782225545,-0.008842825586924619
153,0.28303102790706713,0.2658294259608267,-0.01720160194624043
154,0.32468738804092645,0.3072695348026535,-0.01741785323827294
155,0.4099682104001623,0.3946460946460357,-0.015322115754126564
156,0.39943903359748845,0.385799138988407,-0.013639894609081438
157,0.25841054468284685,0.2525171312154697,-0.005893413467377151
158,0.35934718173054936,0.34431546983220773,-0.015031711898341626
159,0.4760125740511416,0.4629813174877464,-0.01303125656339521
160,0.45740396860204147,0.43989239874785113,-0.017511569854190334
161,0.3739777187997939,0.35197049305554895,-0.022007225744244963
162,0.46321868010657585,0.4388431851576726,-0.02437549494890323
163,0.33767656712889327,0.33030052626895223,-0.007376040859941035
164,0.34539587285653717,0.31993454044045233,-0.025461332416084836
165,0.2794475763405151,0.26883081781479934,-0.010616758525715753
166,0.3468316350215135,0.32862896981365886,-0.01820266520785463
167,0.4071556982345399,0.38566800786935485,-0.021487690365185053
168,0.29911241534809196,0.285287576610636,-0.013824838737455991
169,0.3600370493968219,0.3410532095352199,-0.018983839861602014
170,0.3072818924354648,0.27823417106691295,-0.029047721368551827
171,0.26648095784228776,0.2663086181369314,-0.00017233970535635024
172,0.32386972058940167,0.3203488715920786,-0.0035208489973230783
173,0.34329571922250146,0.3377183216910753,-0.005577397531426165
174,0.3061685211371916,0.294340936280868,-0.011827584856323625
175,0.42418184137573967,0.41473895027804186,-0.009442891097697803
176,0.3282152949396302,0.3234643241307378,-0.0047509708088924185
177,0.1553068796434376,0.14497799448943027,-0.010328885154007317
178,0.3100866780418432,0.29560363455481475,-0.014483043487028446
179,0.39569550778674056,0.3825937806281825,-0.013101727158558063
180,0.23334565626383252,0.23107768361325842,-0.0022679726505741016
181,0.35038921295514314,0.34547971950062806,-0.004909493454515079
182,0.36844020904790575,0.35317494152703155,-0.015265267520874204
183,0.34556699188126405,0.3262946876587458,-0.019272304222518244
184,0.2788339817433201,0.2635657786848258,-0.0152682030584943
185,0.39924813224705424,0.39171427585826635,-0.007533856388787896
186,0.3475639514893327,0.3274955406648674,-0.02006841082446531
187,0.35710130958889064,0.35007496046864706,-0.00702634912024358
188,0.3211515035319863,0.3069313290146267,-0.014220174517359574
189,0.43308614805569157,0.4134131251106439,-0.01967302294504769
190,0.3162015196086996,0.3043967549034283,-0.011804764705271253
191,0.29166891063854994,0.28463678274638315,-0.007032127892166784
192,0.41155356547118593,0.40261814803380513,-0.0089354174373808
193,0.37382034946695875,0.35766024075823477,-0.016160108708723975
194,0.3875120369798406,0.3705651368240419,-0.016946900155798694
195,0.4271554798071593,0.41152059325537493,-0.015634886551784355
196,0.3309891556008502,0.3266826050127163,-0.004306550588133895
197,0.364973889324232,0.3551767019831189,-0.009797187341113123
198,0.33590723377643794,0.3353698269443113,-0.0005374068321266634
199,0.39202975185686917,0.36286430239232637,-0.029165449464542803
200,0.4426318317922453,0.4358598053392866,-0.006772026452958713
201,0.34107789861144333,0.31726219108710474,-0.023815707524338592
202,0.31118556863509994,0.3130449491012808,0.0018593804661808377
203,0.39262424391741213,0.37885768356289606,-0.013766560354516066
204,0.3138602439100273,0.2983987070044236,-0.015461536905603701
205,0.4168366511317432,0.3916847084595494,-0.025151942672193783
206,0.43298233069270964,0.4155835916749959,-0.017398739017713716
