case_id,estimate,interpretation,lower,near_bound,parameter,status,structural_coordinate,transform,upper
coord_theta1,0.08105103333987912,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_theta1,0.08605560230468938,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
coord_theta1,0.26576477618628114,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
coord_theta1,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
coord_theta1,0.0,,,False,hbar_child_rooms,zero restriction,False,,
coord_theta1,0.14891375099099421,,,False,psi_child,normalized to 2.1,False,,
coord_theta1,0.179,,,False,payroll_tax,externally fixed,False,,
coord_theta1,2.0463613896121218,,,False,pension_period,budget derived,False,,
coord_theta1,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
coord_theta1,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
coord_theta1,0.733,,,False,alpha_cons,externally fixed,False,,
coord_theta1,2.0,,,False,sigma,externally fixed,False,,
joint_1,0.9895,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99
joint_1,0.3394229052822286,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
joint_1,0.39984573397615186,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
joint_1,1.0549017095162934,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
joint_1,8.152660982970698,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
joint_1,0.08064577817317972,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
joint_1,0.08562958447149785,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
joint_1,0.2644359523053497,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
joint_1,2.3,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
joint_1,0.0,,,False,hbar_child_rooms,zero restriction,False,,
joint_1,0.14817001114184938,,,False,psi_child,normalized to 2.1,False,,
joint_1,0.179,,,False,payroll_tax,externally fixed,False,,
joint_1,2.0463613896121218,,,False,pension_period,budget derived,False,,
joint_1,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
joint_1,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
joint_1,0.733,,,False,alpha_cons,externally fixed,False,,
joint_1,2.0,,,False,sigma,externally fixed,False,,
joint_2,0.9895,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99
joint_2,0.3360455629411119,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
joint_2,0.39984573397615186,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
joint_2,1.0444051750932455,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
joint_2,8.07153997816502,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
joint_2,0.08064577817317972,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
joint_2,0.08477754880511479,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
joint_2,0.2644359523053497,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
joint_2,2.2885,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
joint_2,0.0,,,False,hbar_child_rooms,zero restriction,False,,
joint_2,0.14824063921279804,,,False,psi_child,normalized to 2.1,False,,
joint_2,0.179,,,False,payroll_tax,externally fixed,False,,
joint_2,2.0463613896121218,,,False,pension_period,budget derived,False,,
joint_2,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
joint_2,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
joint_2,0.733,,,False,alpha_cons,externally fixed,False,,
joint_2,2.0,,,False,sigma,externally fixed,False,,
joint_3,0.9895,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99
joint_3,0.3360455629411119,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
joint_3,0.39984573397615186,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
joint_3,1.0444051750932455,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
joint_3,8.152660982970698,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
joint_3,0.08145628850657852,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
joint_3,0.08562958447149785,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
joint_3,0.26709360006721256,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
joint_3,2.2885,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
joint_3,0.0,,,False,hbar_child_rooms,zero restriction,False,,
joint_3,0.14767890299490727,,,False,psi_child,normalized to 2.1,False,,
joint_3,0.179,,,False,payroll_tax,externally fixed,False,,
joint_3,2.0463613896121218,,,False,pension_period,budget derived,False,,
joint_3,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
joint_3,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
joint_3,0.733,,,False,alpha_cons,externally fixed,False,,
joint_3,2.0,,,False,sigma,externally fixed,False,,
selected_final_repeat,0.9895,structural coordinate,0.94,True,beta_annual,diagnostic candidate; not a certified estimate,True,discount,0.99
selected_final_repeat,0.3360455629411119,structural coordinate,0.02,True,kappa_fert,diagnostic candidate; not a certified estimate,True,log,50.0
selected_final_repeat,0.39984573397615186,structural coordinate,0.02,True,kappa_fert_continuation,diagnostic candidate; not a certified estimate,True,log,50.0
selected_final_repeat,1.0444051750932455,structural coordinate,0.1,False,chi,diagnostic candidate; not a certified estimate,True,log,5.0
selected_final_repeat,8.07153997816502,structural coordinate,0.2,False,H0,diagnostic candidate; not a certified estimate,True,log,80.0
selected_final_repeat,0.08064577817317972,structural coordinate,0.0,False,theta0,diagnostic candidate; not a certified estimate,True,softzero,8.0
selected_final_repeat,0.08477754880511479,structural coordinate,0.02,True,theta1,diagnostic candidate; not a certified estimate,True,log,16.0
selected_final_repeat,0.2644359523053497,structural coordinate,0.0,False,first_birth_fixed_cost,diagnostic candidate; not a certified estimate,True,softzero,8.0
selected_final_repeat,2.2885,mapped first-child requirement,0.1,True,h_P,diagnostic candidate; not a certified estimate,True,log,2.3
selected_final_repeat,0.0,,,False,hbar_child_rooms,zero restriction,False,,
selected_final_repeat,0.14824063921279804,,,False,psi_child,normalized to 2.1,False,,
selected_final_repeat,0.179,,,False,payroll_tax,externally fixed,False,,
selected_final_repeat,2.0463613896121218,,,False,pension_period,budget derived,False,,
selected_final_repeat,0.63,,,False,housing_supply_elasticity,externally fixed,False,,
selected_final_repeat,0.005,,,False,tenure_choice_kappa,externally fixed,False,,
selected_final_repeat,0.733,,,False,alpha_cons,externally fixed,False,,
selected_final_repeat,2.0,,,False,sigma,externally fixed,False,,
