moment,parameter,derivative_per_unit_coordinate,method,unit_denominator
prime30_55_parent_3plus_minus_1to2_mean_rooms,kappa_fert,-1.25061328264513,central,0.01
old_total_estate_wealth_to_annual_income_median_7684,kappa_fert,4.162600293173213,central,0.01
old_nonhousing_ge_1x_income_share_6575,kappa_fert,0.1083457401583332,central,0.01
old_age_own_rate,kappa_fert,-0.0481821382193548,central,0.01
aggregate_mean_occupied_rooms_18_85,kappa_fert,0.15006709941447482,central,0.01
tfr,chi,-0.44868260607948685,backward_strict_side,0.005
childless_rate,chi,0.1493389363514841,backward_strict_side,0.005
own_rate,chi,12.918300169617213,backward_strict_side,0.005
own_family_gap,chi,-1.26593291339544,backward_strict_side,0.005
housing_increment_0to1,chi,-6.718135655862212,backward_strict_side,0.005
prime30_55_childless_renter_mean_rooms,chi,-22.70349593765122,backward_strict_side,0.005
prime30_55_childless_owner_share_rooms_ge6,chi,-7.303653518298936,backward_strict_side,0.005
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,chi,-32.83575057500671,backward_strict_side,0.005
prime30_55_childless_owner_minus_renter_mean_rooms,chi,-10.293519448526034,backward_strict_side,0.005
own_rate_2534,chi,15.194370267684064,backward_strict_side,0.005
prime30_55_parent_3plus_minus_1to2_mean_rooms,chi,0.3166886742322461,backward_strict_side,0.005
old_total_estate_wealth_to_annual_income_median_7684,chi,6.0360018132749715,backward_strict_side,0.005
old_nonhousing_ge_1x_income_share_6575,chi,-2.439180610570024,backward_strict_side,0.005
old_age_own_rate,chi,3.262871355604857,backward_strict_side,0.005
aggregate_mean_occupied_rooms_18_85,chi,-1.3364780664852915,backward_strict_side,0.005
tfr,H0,1.3567668941948607,central,0.01
childless_rate,H0,-0.3918326161135993,central,0.01
own_rate,H0,0.8567100360326374,central,0.01
own_family_gap,H0,0.5056429411594454,central,0.01
housing_increment_0to1,H0,-1.929023065926816,central,0.01
prime30_55_childless_renter_mean_rooms,H0,7.877124307553807,central,0.01
prime30_55_childless_owner_share_rooms_ge6,H0,1.0758711155016476,central,0.01
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,H0,-1.784833443311773,central,0.01
prime30_55_childless_owner_minus_renter_mean_rooms,H0,2.9867169275762606,central,0.01
own_rate_2534,H0,0.9221720592393678,central,0.01
prime30_55_parent_3plus_minus_1to2_mean_rooms,H0,4.563649398162983,central,0.01
old_total_estate_wealth_to_annual_income_median_7684,H0,-0.43338724965087394,central,0.01
old_nonhousing_ge_1x_income_share_6575,H0,0.1434305406121994,central,0.01
old_age_own_rate,H0,0.30721946608759376,central,0.01
aggregate_mean_occupied_rooms_18_85,H0,10.74280367641629,central,0.01
tfr,theta0,-0.006253549041490558,central,0.01
childless_rate,theta0,0.00413953943287082,central,0.01
own_rate,theta0,0.006456673597643459,central,0.01
own_family_gap,theta0,0.02297073052461851,central,0.01
housing_increment_0to1,theta0,0.049340309312084774,central,0.01
prime30_55_childless_renter_mean_rooms,theta0,-0.1534870117466891,central,0.01
prime30_55_childless_owner_share_rooms_ge6,theta0,0.004339755996729533,central,0.01
young_childless_renter_liquid_wealth_to_annual_gross_income_2535,theta0,0.078728526596894,central,0.01
prime30_55_childless_owner_minus_renter_mean_rooms,theta0,0.15951515508247915,central,0.01
own_rate_2534,theta0,-0.005880176438455287,central,0.01
prime30_55_parent_3plus_minus_1to2_mean_rooms,theta0,-0.0566561354597539,central,0.01
old_total_estate_wealth_to_annual_income_median_7684,theta0,4.205132329217953,central,0.01
