index,case_id,smoke_reuse,proposal_contract_sha256,actual_executed_contract_sha256,stationary_solves,elapsed_seconds,runtime_scope,market_residual,parameter.beta_annual,parameter.kappa_fert,parameter.kappa_fert_continuation,parameter.chi,parameter.H0,parameter.theta0,parameter.theta1,parameter.first_birth_fixed_cost,parameter.h_P,parameter.hbar_child_rooms,parameter.psi_child,parameter.payroll_tax,parameter.pension_period,parameter.housing_supply_elasticity,parameter.tenure_choice_kappa,parameter.alpha_cons,parameter.sigma,normalization.absolute_gap,normalization.completed_fertility,normalization.psi_child,normalization.stationary_solve_seconds,normalization.stationary_solves,normalization.status,normalization.target,fertility.constant_post_cell.childless_rate_40_44,fertility.constant_post_cell.exactly_one_among_mothers_40_44,fertility.constant_post_cell.period_mean_age_first_birth,fertility.constant_post_cell.period_share_first_births_age30plus,fertility.uniform_birth_time.childless_rate_40_44,fertility.uniform_birth_time.exactly_one_among_mothers_40_44,fertility.uniform_birth_time.period_mean_age_first_birth,fertility.uniform_birth_time.period_share_first_births_age30plus,housing_wealth.aggregate_mean_occupied_rooms_capped9_18_85,housing_wealth.aggregate_wealth_to_annual_gross_labor_earnings,housing_wealth.annual_bequest_flow_to_aggregate_wealth,housing_wealth.housing_increment_0to1,housing_wealth.old_total_wealth_to_annual_income_median_7684,housing_wealth.old_total_wealth_to_annual_income_p90_p50_7684,housing_wealth.own_rate_25_34,housing_wealth.own_rate_30_55,housing_wealth.prime30_55_model_dependent_3plus_minus_1to2_rooms_capped9,housing_wealth.recent_parent_minus_no_resident_child_ownership_30_55
11,joint_11_analysis_23,False,d818813a282429154486652c99c0d4703cb58edfb24ca8f0241479f23495952b,d818813a282429154486652c99c0d4703cb58edfb24ca8f0241479f23495952b,4,550.310978544876,one fresh case,2.482858534633144e-05,0.9953347853769523,1.7939754604796974,1.4494715592873497,1.073514282030786,6.16158293574204,0.3666729723535511,0.10625165095134799,4.0313685888806425,1.1008968931880074,0.0,0.32734012535938695,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,0.0003080630613490065,2.100308063061349,0.32734012535938695,530.4455616921186,4,derived_intercept,2.1,0.18477058590258544,0.19647706779812776,26.620328651712462,0.2661132728307553,0.19798453693995582,0.21805184283677415,26.620328651712462,0.2661132728307553,5.413606033102339,5.861028086682878,0.01078115405155592,0.6910914037401197,5.371006466360168,4.1123098510983525,0.2788104714030141,0.5462609042887048,0.20344592708386866,
12,joint_12_analysis_28,False,dcc4b76e6ba085cda85f373c86eb5410ce01119cb0c1777e5113ee254f2a0abe,dcc4b76e6ba085cda85f373c86eb5410ce01119cb0c1777e5113ee254f2a0abe,4,545.9456516988575,one fresh case,6.552380663621968e-07,0.9954545034260822,1.8057434146313212,1.625421448176251,1.074969104208872,7.477843237949768,0.44418894112730545,0.1195512417595977,4.474507779104549,0.9204536312929574,0.0,0.293490258663045,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,2.5233532789936675e-05,2.10002523353279,0.293490258663045,525.6931619066745,4,derived_intercept,2.1,0.17881329385144085,0.19766658560068895,26.31393677608828,0.2482082455058994,0.19078936297244747,0.22038435222448036,26.31393677608828,0.2482082455058994,5.920394640865321,5.980920425898236,0.01145255101231137,0.528561151128681,5.814645532459194,3.9569219892604037,0.34238462233033007,0.6048067089146567,0.18640027307378038,
13,joint_13_analysis_29,False,efe67dc91068c0e6198942a5312e84eedf1b6c7dfe681c25f04b38286a87101b,efe67dc91068c0e6198942a5312e84eedf1b6c7dfe681c25f04b38286a87101b,4,671.105825457722,one fresh case,4.5355467219005475e-07,0.9956257403379165,1.5038971615546919,1.4920029193951159,1.0966394098652776,6.629421833414985,0.34593469518160364,0.13779362745928042,4.33384935211846,1.1818858574626845,0.0,0.3156043863451812,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,0.00037748612654153746,2.1003774861265416,0.3156043863451812,649.7713943673298,4,derived_intercept,2.1,0.1956984848636118,0.1796964220063371,25.963832622081547,0.22640291056242307,0.20612839437905237,0.20130833016485347,25.963832622081547,0.22640291056242307,5.615212381908785,5.871982418268542,0.010591541747768765,0.6906682907773805,5.330052405018686,4.134274806438612,0.3524041315677346,0.6328128650672029,0.1710446767474485,
14,joint_14_analysis_31,False,01c935ea5d6ddd6cefb0ed20568c7b10689302dd4621f7130ab5079ea08ec4df,01c935ea5d6ddd6cefb0ed20568c7b10689302dd4621f7130ab5079ea08ec4df,4,487.35075317695737,one fresh case,2.3851957210754086e-05,0.9953432080517959,1.9796572806052422,1.7598484983526372,1.073332817649414,7.549164625784027,0.4525959301158294,0.10541289568695068,4.904498030214562,0.7807550278628234,0.0,0.2993324598754042,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,4.4389680663226017e-05,2.1000443896806633,0.2993324598754042,466.6205107048154,4,derived_intercept,2.1,0.17675875474517744,0.19926461549384564,26.32842207211421,0.24929098970277175,0.18883422310134804,0.22216304461788514,26.32842207211421,0.24929098970277175,5.930345022696527,5.989120631532785,0.011556935660849612,0.4641130433130263,5.95860037287977,3.8800815706640215,0.34240037248752797,0.6041314651060611,0.17700082604232037,
15,joint_15_analysis_32,False,92c8cfbdbd9f8f6a0bee392cad7c3c1593146dac62ef8a59bcf56edbf70fbb9b,92c8cfbdbd9f8f6a0bee392cad7c3c1593146dac62ef8a59bcf56edbf70fbb9b,4,506.01246241945773,one fresh case,4.026260902197143e-08,0.9954088992952658,1.8075323683633295,1.748993777786815,1.0933034058520188,6.756483702720712,0.35915335388024916,0.10712934200689567,5.206818087298117,0.8503569868491775,0.0,0.32248941846785295,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,0.00032256300333877164,2.100322563003339,0.32248941846785295,486.5059604300186,4,derived_intercept,2.1,0.18839301513627776,0.18619268576564693,26.030938974745773,0.23103287306413514,0.19919279559110675,0.20843187595341672,26.030938974745773,0.23103287306413514,5.6264381737521925,5.889877851227638,0.010811806928827682,0.531520481004871,5.597079558045364,3.9646830954872265,0.3638306834033118,0.6374914186638388,0.1724479824071672,
16,joint_16_analysis_37,False,f3ab7a561034058754662b354a2f38825cd1b7a3877455f9ae79ee494b0b2054,f3ab7a561034058754662b354a2f38825cd1b7a3877455f9ae79ee494b0b2054,4,486.99548998568207,one fresh case,1.620879047025383e-05,0.99496478702401,1.7778136991989921,1.6066069512351577,1.0758378806627833,7.464725952007817,0.44418894112730545,0.119707418775083,4.337547442079559,0.9204536312929574,0.0,0.28743210605517233,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,4.785756339575897e-05,2.100047857563396,0.28743210605517233,466.2902699261904,4,derived_intercept,2.1,0.17761696669567398,0.19897089700902731,26.325216864731278,0.24896158332562568,0.18963861520584407,0.22176164972868645,26.325216864731278,0.24896158332562568,5.9148314055838584,5.921524323345462,0.01147633621875342,0.5246076529486681,5.812383785079383,3.91386255355168,0.34181335987194256,0.603488572917963,0.18752873770024525,
17,joint_17_analysis_38,False,7ed4bdac29458404b5aec841ce6679204c6c5537b1a876738cfc05d1e4c655ba,7ed4bdac29458404b5aec841ce6679204c6c5537b1a876738cfc05d1e4c655ba,4,690.1848157122731,one fresh case,3.519128255200346e-07,0.9946324691630198,1.4577349186833868,1.45766250911944,1.0984127063962843,6.6061841836182245,0.34593469518160364,0.1381538789086189,4.072599951954023,1.1818858574626845,0.0,0.30409329516526323,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,0.0001739918860579337,2.100173991886058,0.30409329516526323,668.8847605995834,4,derived_intercept,2.1,0.19348431704393484,0.18230428967372275,25.99295177317382,0.22827657886501704,0.20402490793223255,0.20404951838475208,25.99295177317382,0.22827657886501704,5.603626592519757,5.753431741421209,0.01063147084690327,0.6873548545431376,5.306890860005139,4.003301765086723,0.3499578649995351,0.6293218935822545,0.17577881795496175,
18,joint_18_analysis_40,False,eb55754add652d0fbaecdcd7b2c3882875b5df9cc9b8c46db049dd004d5c827d,eb55754add652d0fbaecdcd7b2c3882875b5df9cc9b8c46db049dd004d5c827d,4,487.20363689772785,one fresh case,4.382495799151671e-07,0.995215704771993,1.9853153195316016,1.7629080024215653,1.073574554933627,7.544425903124967,0.45338102399628466,0.10542268668112768,4.851919968367931,0.7828646698380896,0.0,0.2962760691633529,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,2.9287977134195842e-05,2.1000292879771343,0.2962760691633529,466.2458001272753,4,derived_intercept,2.1,0.17561202086369235,0.20044594426712456,26.342608979928233,0.2501943533336638,0.18774787022488487,0.22342593860440266,26.342608979928233,0.2501943533336638,5.928587476608433,5.974283436495366,0.01156799283894331,0.4640780829048987,5.963722005675206,3.8778228617546917,0.3421970392338531,0.6037466953131652,0.17748108295527487,
19,joint_19_analysis_41,False,cdd24222b8ad8aa534b0808162bc4ad6166f815fedd7fa511b3bc418e72d5a54,cdd24222b8ad8aa534b0808162bc4ad6166f815fedd7fa511b3bc418e72d5a54,4,594.4008008558303,one fresh case,3.5036326625012175e-07,0.9951540478169578,1.8178793143438512,1.7550803301228137,1.0937959314767003,6.748004074788588,0.3604004426843405,0.10714924377449635,5.095778395528616,0.8549586157910507,0.0,0.31576102731760713,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,0.00021264648817043152,2.1002126464881705,0.31576102731760713,574.0637339474633,4,derived_intercept,2.1,0.185873197888077,0.18885751132835307,26.06598370017393,0.23322536103535,0.19681793236585418,0.21127524951111215,26.06598370017393,0.23322536103535,5.623192062885958,5.859888719633669,0.010832672997468344,0.5322521320320428,5.376528449302405,4.079124685242359,0.3626122980595608,0.6360920379110431,0.1745353979043296,
20,joint_20_analysis_46,False,3537397953ecd87fa1d3fcb5ea2eebee63cae6290f2e3cf08f69a81d2340ff99,3537397953ecd87fa1d3fcb5ea2eebee63cae6290f2e3cf08f69a81d2340ff99,4,491.5017166370526,one fresh case,2.1893097473796838e-05,0.9952169840872769,1.7919137651803343,1.6159244631745873,1.075401137110646,7.471313016080421,0.44418894112730545,0.11962847107523625,4.406445763542148,0.9204536312929574,0.0,0.290513813445189,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,4.383932394080858e-05,2.100043839323941,0.290513813445189,470.7805860424414,4,derived_intercept,2.1,0.17822557070520245,0.1983068346713246,26.319749065278387,0.24859421226043546,0.19022506099615655,0.22106014313320213,26.319749065278387,0.24859421226043546,5.917641071113598,5.951470340890202,0.011464872040086409,0.5268738100189845,5.819759653533454,3.9525411094609035,0.34176378693708015,0.6040808615493717,0.18690443455298933,
21,joint_21_analysis_47,True,41edeb6e0d4b1d6f914005f83002dde9e5a3e84bf9f585f0165ea3c032c45d2b,c5d323f4b912522d108179f68ac92897401b0bfcdf9dbe8201ffafbb33e19334,4,1150.1855758083984,entire two-repetition smoke; do not count twice,2.1831286605311566e-07,0.9951566389955754,1.4809495753883781,1.474618954614371,1.097521071509628,6.617848257638482,0.34593469518160364,0.1379717125151591,4.203007199622456,1.1818858574626845,0.0,0.3098607455007889,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,0.00027651753311763727,2.1002765175331177,0.3098607455007889,558.0989450076595,4,derived_intercept,2.1,0.1945984262080904,0.1809902257461311,25.978700263577313,0.22735554321088985,0.2050848716165407,0.20266911039926036,25.978700263577313,0.22735554321088985,5.60932678125749,5.8134961187890575,0.010613347547740959,0.6915879253856847,5.337708835483142,4.079637063027093,0.350573081263079,0.6310091074881379,0.17325538458416823,
22,joint_22_analysis_49,False,4647dfd260ee90d074b2ec8f6da23ee2cfd40dc604b70b7dcf61fce22d52d227,4647dfd260ee90d074b2ec8f6da23ee2cfd40dc604b70b7dcf61fce22d52d227,4,490.37420860584825,one fresh case,6.503884525309538e-06,0.9952801214689267,1.982553001462146,1.7612365332383182,1.0734529242777688,7.54680775708967,0.45298751022038375,0.10541774692281462,4.878496896336788,0.7818022720418784,0.0,0.29785365236964917,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,3.663981133605887e-05,2.100036639811336,0.29785365236964917,469.52297008037567,4,derived_intercept,2.1,0.17619595650058043,0.1998485115407523,26.33575819001757,0.2497565803992202,0.18830261792491684,0.222786433719215,26.33575819001757,0.2497565803992202,5.9293913688341755,5.9814477668897705,0.011562873754525334,0.4641060193779225,5.961170887478672,3.8789474540279936,0.3421851203333186,0.6038992811739118,0.17727267946166325,
23,joint_23_analysis_50,False,a09d1bad6a9b96726b9691c9e6af9658fcfccce62ac94d3a928d7b6b35daf7a8,a09d1bad6a9b96726b9691c9e6af9658fcfccce62ac94d3a928d7b6b35daf7a8,4,513.623195595108,one fresh case,6.849275263903033e-09,0.9952836611830043,1.8128241300195855,1.7517538128231893,1.0935481022419733,6.752265577952602,0.3597750923329617,0.10713920269161524,5.151756669291239,0.8526397224516106,0.0,0.319214758569494,0.179,2.0463613896121218,0.63,0.005,0.733,2.0,0.00027329862668290517,2.100273298626683,0.319214758569494,493.00192550290376,4,derived_intercept,2.1,0.18714958847358337,0.18751379487946687,26.048990446970414,0.23215899452007374,0.19802391786744608,0.20983993988956084,26.048990446970414,0.23215899452007374,5.624790220114564,5.874469900085894,0.010822986418736559,0.5317982973146167,5.37226683319885,4.0810383969510875,0.3631298252140924,0.6367467959273423,0.1736194525278245,
