design,outcome,event_time,b,se,p,ci_low,ci_high,N_obs,N_ids,z1_ids
twins,moved_for_size,-3,-.11444122,.12268746,.35103205,-.35503599,.12615354,12335,2211,35
twins,moved_for_size,-2,0,0,,0,0,12335,2211,35
twins,moved_for_size,-1,.0037860498,.11353877,.97340178,-.21886779,.22643989,12335,2211,35
twins,moved_for_size,0,-.1682023,.092210501,.068270072,-.34903058,.012625988,12335,2211,35
twins,moved_for_size,1,.11321932,.14286822,.42816955,-.16695069,.39338931,12335,2211,35
twins,moved_for_size,2,-.12264261,.087972246,.16342583,-.29515952,.049874306,12335,2211,35
twins,moved_for_size,3,.1781588,.12243236,.14576668,-.061935693,.4182533,12335,2211,35
twins,moved_for_size,4,.062544964,.1151956,.58722186,-.16335797,.28844792,12335,2211,35
twins,moved_for_size,5,-.11062544,.10600219,.29677784,-.31849974,.097248882,12335,2211,35
twins,moved_to_own,-4,.019722559,.026153069,.45100608,-.031616691,.071061805,4112,776,8
twins,moved_to_own,-3,-.038756274,.031669561,.22141075,-.10092457,.023412015,4112,776,8
twins,moved_to_own,-2,0,0,,0,0,4112,776,8
twins,moved_to_own,-1,.054595098,.059647229,.36031896,-.062494181,.17168437,4112,776,8
twins,moved_to_own,0,-.076316848,.025912847,.0033247599,-.12718454,-.025449164,4112,776,8
twins,moved_to_own,1,-.022440573,.069293916,.74614185,-.15846658,.11358543,4112,776,8
twins,moved_to_own,2,-.058356453,.026127866,.025800971,-.10964623,-.0070666787,4112,776,8
twins,moved_to_own,3,-.073096789,.049824845,.14276128,-.17090444,.024710856,4112,776,8
twins,moved_to_own,4,-.008086741,.019688163,.6813758,-.04673519,.030561706,4112,776,8
twins,moved_to_own,5,.18477739,.18695478,.32328805,-.18222038,.55177516,4112,776,8
twins,own,-4,-.25610182,.059850227,.000020275005,-.37352544,-.13867819,6505,1192,17
twins,own,-3,-.071401834,.18354703,.69733745,-.43151337,.2887097,6505,1192,17
twins,own,-2,0,0,,0,0,6505,1192,17
twins,own,-1,.12939532,.077323452,.094505437,-.022310033,.28110069,6505,1192,17
twins,own,0,.42994717,.10622355,.000055091044,.22154105,.63835329,6505,1192,17
twins,own,1,-.0042740125,.15418682,.97789037,-.30678204,.29823402,6505,1192,17
twins,own,2,.22359236,.14532489,.12417521,-.061528951,.50871366,6505,1192,17
twins,own,3,-.0030578091,.15929514,.98468804,-.31558815,.30947253,6505,1192,17
twins,own,4,.12947395,.12053519,.282969,-.107011,.3659589,6505,1192,17
twins,own,5,.099363044,.18161549,.58440793,-.25695887,.45568496,6505,1192,17
twins,rooms,-4,-.3935619,.44274002,.37413597,-1.2617668,.47464302,13329,2334,38
twins,rooms,-3,-.6117444,.40903032,.13489403,-1.4138452,.1903564,13329,2334,38
twins,rooms,-2,0,0,,0,0,13329,2334,38
twins,rooms,-1,.52658224,.45296192,.24513878,-.36166763,1.4148321,13329,2334,38
twins,rooms,0,-.0027298264,.30229706,.99279577,-.59552872,.59006906,13329,2334,38
twins,rooms,1,.4840028,.55020642,.37912607,-.59494179,1.5629474,13329,2334,38
twins,rooms,2,-.17555609,.54193532,.7460103,-1.2382813,.887169,13329,2334,38
twins,rooms,3,.8586005,.49702519,.084214039,-.11605661,1.8332577,13329,2334,38
twins,rooms,4,.57049638,.58760852,.33170953,-.58179295,1.7227857,13329,2334,38
twins,rooms,5,1.1288489,.60820198,.063573472,-.063823849,2.3215218,13329,2334,38
