year,age_lower,age_upper,measure,model,data,gap
2023,70.0,73.0,owners,78.22629415142006,76.46351543468745,1.7627787167326119
2023,74.0,77.0,owners,83.16552885226427,77.49375847388755,5.671770378376721
2023,78.0,81.0,owners,90.7145004788296,75.43000641807892,15.284494060750689
2023,82.0,85.0,owners,96.01802841384325,73.51585351059671,22.50217490324654
2023,18.0,21.0,capped_rooms,4.2922131306653695,3.992133478718981,0.30007965194638864
2023,22.0,25.0,capped_rooms,4.880830291636704,3.9018805962858054,0.9789496953508983
2023,26.0,29.0,capped_rooms,5.382262579492873,4.304580203857412,1.0776823756354608
2023,30.0,33.0,capped_rooms,5.796729223031033,4.808588470408935,0.9881407526220976
2023,34.0,37.0,capped_rooms,6.124909651837164,5.3046593475904835,0.8202503042466809
2023,38.0,41.0,capped_rooms,6.375971447883204,5.672576650511604,0.7033947973716002
2023,42.0,45.0,capped_rooms,6.5487969409621165,5.879767799857793,0.6690291411043239
2023,46.0,49.0,capped_rooms,6.611047383251303,5.994628945909391,0.6164184373419115
2023,50.0,53.0,capped_rooms,6.665495577778807,6.014330980347594,0.6511645974312126
2023,54.0,57.0,capped_rooms,6.7155117544376655,6.014747955694578,0.700763798743087
2023,58.0,61.0,capped_rooms,6.753246788181477,5.978891838941845,0.7743549492396324
2023,62.0,65.0,capped_rooms,6.7893928140315944,5.931699876878735,0.8576929371528594
2023,66.0,69.0,capped_rooms,6.986215071775358,5.904078896951481,1.0821361748238765
2023,70.0,73.0,capped_rooms,7.000505483946084,5.891456520470674,1.1090489634754093
2023,74.0,77.0,capped_rooms,6.991871936227695,5.864359245383593,1.1275126908441022
2023,78.0,81.0,capped_rooms,6.9283592943233385,5.7330600212117995,1.195299273111539
2023,82.0,85.0,capped_rooms,6.8631373321080975,5.537114333083224,1.3260229990248735
2023,18.0,21.0,with_children,20.27243655729712,8.862902781418914,11.409533775878206
2023,22.0,25.0,with_children,34.35810409419728,13.63663928482089,20.721464809376393
2023,26.0,29.0,with_children,44.40644472334905,22.522338241958767,21.88410648139028
2023,30.0,33.0,with_children,50.88609325969945,37.73277774661822,13.153315513081232
2023,34.0,37.0,with_children,54.6901745687473,54.95278299387355,-0.2626084251262455
2023,38.0,41.0,with_children,56.67062771114599,62.96680908893369,-6.296181377787697
2023,42.0,45.0,with_children,56.199612619525446,61.37879173459542,-5.179179115069971
2023,46.0,49.0,with_children,48.30895078827258,52.597926002832196,-4.288975214559613
2023,50.0,53.0,with_children,41.04870042052293,34.13031821393948,6.918382206583445
2023,54.0,57.0,with_children,34.57546213375039,17.12034265957373,17.455119474176662
2023,58.0,61.0,with_children,28.839630518895984,6.741143905548092,22.09848661334789
2023,62.0,65.0,with_children,23.649710386387437,2.6923049419706384,20.9574054444168
2023,66.0,69.0,with_children,18.84355615264977,1.072824741480464,17.770731411169308
2023,70.0,73.0,with_children,14.932021607826007,0.5110928044648306,14.420928803361177
2023,74.0,77.0,with_children,11.782640260349213,0.2532617631608791,11.529378497188334
2023,78.0,81.0,with_children,9.267324894063206,0.12456332228592687,9.14276157177728
2023,82.0,85.0,with_children,7.270684913520028,0.15306114807842364,7.117623765441604
