f_c_y,lastcohort,bin,rows
1998,0,11,165
1999,0,-10,1
1999,0,-9,5
1999,0,-8,9
1999,0,-7,15
1999,0,-6,25
1999,0,-5,31
1999,0,-4,41
1999,0,-3,58
1999,0,-2,84
1999,0,-1,131
1999,0,0,200
1999,0,1,199
1999,0,2,230
1999,0,3,251
1999,0,4,250
1999,0,5,246
1999,0,6,250
1999,0,7,245
1999,0,8,220
1999,0,9,203
1999,0,10,197
2000,0,-9,3
2000,0,-8,12
2000,0,-7,24
2000,0,-6,34
2000,0,-5,47
2000,0,-4,63
2000,0,-3,84
2000,0,-2,134
2000,0,-1,184
2000,0,0,127
2000,0,1,188
2000,0,2,234
2000,0,3,262
2000,0,4,252
2000,0,5,252
2000,0,6,254
2000,0,7,238
2000,0,8,227
2000,0,9,227
2000,0,10,221
2001,0,-12,1
2001,0,-11,2
2001,0,-10,6
2001,0,-9,9
2001,0,-8,8
2001,0,-7,15
2001,0,-6,32
2001,0,-5,49
2001,0,-4,72
2001,0,-3,96
2001,0,-2,139
2001,0,-1,202
2001,0,0,164
2001,0,1,225
2001,0,2,257
2001,0,3,257
2001,0,4,251
2001,0,5,266
2001,0,6,263
2001,0,7,241
2001,0,8,232
2001,0,9,221
2002,0,-10,2
2002,0,-9,6
2002,0,-8,10
2002,0,-7,15
2002,0,-6,27
2002,0,-5,39
2002,0,-4,60
2002,0,-3,102
2002,0,-2,143
2002,0,-1,90
2002,0,0,125
2002,0,1,189
2002,0,2,254
2002,0,3,264
2002,0,4,267
2002,0,5,282
2002,0,6,277
2002,0,7,258
2002,0,8,238
2002,0,9,228
2003,0,-9,5
2003,0,-8,12
2003,0,-7,23
2003,0,-6,41
2003,0,-5,51
2003,0,-4,71
2003,0,-3,103
2003,0,-2,147
2003,0,-1,117
2003,0,0,162
2003,0,1,213
2003,0,2,245
2003,0,3,245
2003,0,4,248
2003,0,5,239
2003,0,6,232
2003,0,7,229
2003,0,8,220
2004,0,-11,3
2004,0,-10,4
2004,0,-9,5
2004,0,-8,11
2004,0,-7,21
2004,0,-6,37
2004,0,-5,55
2004,0,-4,90
2004,0,-3,123
2004,0,-2,86
2004,0,-1,126
2004,0,0,162
2004,0,1,233
2004,0,2,301
2004,0,3,305
2004,0,4,321
2004,0,5,314
2004,0,6,292
2004,0,7,293
2004,0,8,272
2005,0,-14,1
2005,0,-13,1
2005,0,-12,2
2005,0,-11,2
2005,0,-10,3
2005,0,-9,4
2005,0,-8,6
2005,0,-7,15
2005,0,-6,26
2005,0,-5,52
2005,0,-4,80
2005,0,-3,133
2005,0,-2,97
2005,0,-1,151
2005,0,0,212
2005,0,1,276
2005,0,2,308
2005,0,3,323
2005,0,4,322
2005,0,5,292
2005,0,6,289
2005,0,7,286
2006,0,-13,1
2006,0,-12,2
2006,0,-11,2
2006,0,-10,2
2006,0,-9,3
2006,0,-8,6
2006,0,-7,8
2006,0,-6,15
2006,0,-5,37
2006,0,-4,66
2006,0,-3,52
2006,0,-2,71
2006,0,-1,103
2006,0,0,149
2006,0,1,204
2006,0,2,253
2006,0,3,279
2006,0,4,267
2006,0,5,256
2006,0,6,254
2006,0,7,243
2007,0,-11,2
2007,0,-10,2
2007,0,-9,6
2007,0,-8,9
2007,0,-7,17
2007,0,-6,26
2007,0,-5,61
2007,0,-4,111
2007,0,-3,81
2007,0,-2,96
2007,0,-1,153
2007,0,0,213
2007,0,1,283
2007,0,2,306
2007,0,3,304
2007,0,4,291
2007,0,5,272
2007,0,6,256
2008,0,-10,2
2008,0,-9,9
2008,0,-8,15
2008,0,-7,29
2008,0,-6,44
2008,0,-5,66
2008,0,-4,45
2008,0,-3,65
2008,0,-2,92
2008,0,-1,129
2008,0,0,180
2008,0,1,235
2008,0,2,294
2008,0,3,298
2008,0,4,288
2008,0,5,270
2008,0,6,255
2009,0,-10,2
2009,0,-9,8
2009,0,-8,12
2009,0,-7,20
2009,0,-6,32
2009,0,-5,60
2009,0,-4,59
2009,0,-3,90
2009,0,-2,117
2009,0,-1,167
2009,0,0,230
2009,0,1,300
2009,0,2,329
2009,0,3,316
2009,0,4,318
2009,0,5,295
2010,0,-15,1
2010,0,-14,2
2010,0,-13,2
2010,0,-12,2
2010,0,-11,1
2010,0,-10,4
2010,0,-9,8
2010,0,-8,12
2010,0,-7,19
2010,0,-6,40
2010,0,-5,25
2010,0,-4,46
2010,0,-3,79
2010,0,-2,109
2010,0,-1,144
2010,0,0,191
2010,0,1,258
2010,0,2,315
2010,0,3,309
2010,0,4,306
2010,0,5,287
2011,0,-8,4
2011,0,-7,12
2011,0,-6,28
2011,0,-5,30
2011,0,-4,38
2011,0,-3,52
2011,0,-2,76
2011,0,-1,104
2011,0,0,137
2011,0,1,182
2011,0,2,194
2011,0,3,204
2011,0,4,183
2012,0,-9,3
2012,0,-8,5
2012,0,-7,6
2012,0,-6,11
2012,0,-5,28
2012,0,-4,43
2012,0,-3,67
2012,0,-2,96
2012,0,-1,133
2012,0,0,176
2012,0,1,224
2012,0,2,248
2012,0,3,263
2012,0,4,248
2013,0,-13,2
2013,0,-12,2
2013,0,-11,2
2013,0,-10,3
2013,0,-9,5
2013,0,-8,14
2013,0,-7,18
2013,0,-6,23
2013,0,-5,48
2013,0,-4,67
2013,0,-3,89
2013,0,-2,111
2013,0,-1,154
2013,0,0,183
2013,0,1,218
2013,0,2,236
2013,0,3,224
2014,0,-15,2
2014,0,-14,2
2014,0,-11,1
2014,0,-10,4
2014,0,-9,7
2014,0,-8,12
2014,0,-7,7
2014,0,-6,20
2014,0,-5,33
2014,0,-4,47
2014,0,-3,65
2014,0,-2,83
2014,0,-1,113
2014,0,0,147
2014,0,1,204
2014,0,2,232
2014,0,3,216
2019,1,-10,1
2019,1,-9,1
2019,1,-8,4
2019,1,-7,7
2019,1,-6,11
2019,1,-5,16
2019,1,-4,21
2019,1,-3,26
2019,1,-2,34
2019,1,-1,39
2019,1,0,40
