case,spec,outcome,event_age,term,rf_coef,rf_se,rf_ci_lower,rf_ci_upper,fs_coef,fs_se,fs_ci_lower,fs_ci_upper,first_stage_F,n_usable,n_households,n_instrument_positive,status,n_warnings,note
B,event age 3,BEDROOMS_out,3,samesex,-0.039930677448,0.0067839962767,-0.053227065821585824,-0.02663428907441418,0.046666790976,0.0035414256874,0.039725724174771,0.053607857777229005,173.64393120917015,108847,108825,54561,full_fit,0,
B,event age 3,OWNERSHP_out,3,samesex,-0.0052769954448,0.0036299382846,-0.012391543748719105,0.001837552859119104,0.046666790976,0.0035414256874,0.039725724174771,0.053607857777229005,173.64393120917015,108847,108825,54561,full_fit,0,
B,event age 4,ROOMS_out,4,samesex,-0.060670945673,0.012881764892,-0.0859187409186325,-0.0354231504273675,0.055757780122,0.0038838893155,0.048145496943680074,0.06337006330031993,206.09965290489222,100106,100092,50295,full_fit,0,
B,event age 4,BEDROOMS_out,4,samesex,-0.053543301987,0.007057697042,-0.06737613400311487,-0.03971046997088512,0.055757780122,0.0038838893155,0.048145496943680074,0.06337006330031993,206.09965290489222,100106,100092,50295,full_fit,0,
B,event age 4,OWNERSHP_out,4,samesex,0.0018686677004,0.0037847221619,-0.005549251428414571,0.009286586829214571,0.055757780122,0.0038838893155,0.048145496943680074,0.06337006330031993,206.09965290489222,100106,100092,50295,full_fit,0,
B,event age 5,ROOMS_out,5,samesex,-0.052808827658,0.013443144429,-0.07915690657781027,-0.026460748738189727,0.060423709274,0.0041349867669,0.05231928413432628,0.06852813441367372,213.53374464549785,92246,92229,46201,full_fit,0,
B,event age 5,BEDROOMS_out,5,samesex,-0.04503314884,0.0073469403385,-0.059432887300024516,-0.03063341037997549,0.060427799739,0.0041349645029,0.05232341823596443,0.06853218124203557,213.5649563257801,92247,92230,46201,full_fit,0,
B,event age 5,OWNERSHP_out,5,samesex,-0.0032672136175,0.0039776547283,-0.011063273627903453,0.004528846392903454,0.060427799739,0.0041349645029,0.05232341823596443,0.06853218124203557,213.5649563257801,92247,92230,46201,full_fit,0,
D,"+ first-child boy, second-child boy",ROOMS_out,0-5,samesex,-0.037987383835,0.0050955004245,-0.047974381150228555,-0.028000386519771443,0.032737848171,0.0012253055574,0.030336293408439224,0.03513940293356078,713.8573803750985,656985,656159,329974,full_fit,0,rf firstchildboy=0.00528 secondchildboy=0.00947
D,"+ first-child boy, second-child boy",BEDROOMS_out,0-5,samesex,-0.034234786591,0.0027846428566,-0.03969258629974274,-0.028776986882257268,0.032738536392,0.0012253047001,0.030336983309716348,0.03514008947428365,713.888393331128,656986,656160,329974,full_fit,0,rf firstchildboy=-0.00110 secondchildboy=0.00517
D,"+ first-child boy, second-child boy",OWNERSHP_out,0-5,samesex,-0.0024856842522,0.001476168307,-0.0053789209690394656,0.0004075524646394656,0.032738536392,0.0012253047001,0.030336983309716348,0.03514008947428365,713.888393331128,656986,656160,329974,full_fit,0,rf firstchildboy=-0.00121 secondchildboy=0.00213
D,"joint BB, GG vs mixed",ROOMS_out,0-5,bothboys,-0.030601315385,0.006132686283,-0.04262115962816282,-0.018581471141837187,0.032793908342,0.0014817632421,0.029889705753868696,0.035698110930131303,489.8112127853671,656985,656159,173813,full_fit,0,
D,"joint BB, GG vs mixed",ROOMS_out,0-5,bothgirls,-0.045356307372,0.006343071809,-0.05778849966899133,-0.03292411507500867,0.032690252835,0.0015350286795,0.029681651907943925,0.03569885376205608,453.52744272575484,656985,656159,156161,full_fit,0,
