period,calendar_year,psi_child,asset_price,renter_price,housing_demand,housing_supply,relative_market_residual,adult_population,property_tax_revenue,equal_transfer_period_units,equal_transfer_outlays,government_budget_residual,scaled_government_budget_residual,implied_equal_transfer,entry_flow_E,birth_children,birth_children_topcode_adjusted,effective_mature_entrant_flow_B,raw_state_scheduled_mature_entrant_flow_B,entrant_flow_next,queue_B_over_current_E,owner_rate,adult_deaths,model_state_same_period_mature_flow_B,mass_accounting_residual,policy_reproduction_max_abs,feasibility_frontier_projection_mass,minimum_distribution_mass,nonfinite_distribution_count,historical_conditioning_scope,historical_outside_flow,historical_retained_due_entry,historical_next_bridge_year,historical_bridge_audit,historical_bridge_net_residual,resident_persons,household_heads,persons_per_household_head,births_per_household_head,next_resident_persons,next_household_heads,annual_net_migration_over_period,new_heads_from_nonheads_over_period,head_dissolutions_over_period,net_migrant_heads_over_period,household_bridge_added_mass,household_bridge_removed_mass,household_person_head_gap,person_identity_max_abs,head_identity_max_abs,raw_household_exit_mass,raw_household_mass_residual
64,2263,-0.03133626685497737,0.5430483159053298,0.0924178462897085,4.938722183752373,5.931797468822098,0.16741557517588754,,0.10727859058444075,0.0,0.0,0.10727859058444075,,,,0.04184056578263044,0.04667342317838378,,,,,0.7524100776940148,,0.025513091590461827,,0.0,0.0,0.0,0,,,,,,,1.6819533369847868,0.6944240803615378,2.422083831121052,0.06721170031155056,1.6776759860729702,0.6926539051451458,0.03132376282761394,0.04468505319160718,0.035620556412228985,0.008846644991789079,0.058157257518368935,0.0015889511411612892,-3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,0.058338481593868105,-1.1102230246251565e-16
65,2267,-0.03133626685497737,0.5406198039772239,0.09200455370503269,4.939483331606542,5.915071606384385,0.16493262291615354,,0.10681530041927573,0.0,0.0,0.10681530041927573,,,,0.04178032601445929,0.04660688615681985,,,,,0.7524583281831043,,0.025468085934880935,,0.0,0.0,0.0,0,,,,,,,1.6776759860729702,0.6926539051448832,2.4220985020246855,0.0672874083443896,1.6737172379414833,0.6910266973300784,0.03132376282761394,0.04460162545510399,0.03546286480376501,0.008846644991789079,0.05805981001231172,0.0015851060064836012,-1.1102230246251565e-16,4.440892098500626e-16,1.1102230246251565e-16,0.05810191182089599,-1.1102230246251565e-16
66,2271,-0.03133626685497737,0.5382021523538315,0.09159310936468829,4.941229989891195,5.898392905785178,0.16227520465026876,,0.10637522463338968,0.0,0.0,0.10637522463338968,,,,0.04172750563136072,0.046548892635696615,,,,,0.7524705856071685,,0.0254273725358518,,0.0,0.0,0.0,0,,,,,,,1.6737172379414833,0.6910266973298136,2.4220731911066102,0.0673619309001599,1.6700629648602454,0.6895155287001871,0.03132376282761394,0.04452213812759532,0.035327484169168165,0.008846644991789079,0.057968133495130435,0.0015812994961683438,-1.1102230246251565e-16,4.440892098500626e-16,2.220446049250313e-16,0.05789800262885327,1.1102230246251565e-16
67,2275,-0.03133626685497737,0.535795312467873,0.09118350500332763,4.9460970395242585,5.881761234042457,0.15907891484998773,,0.10600382435153287,0.0,0.0,0.10600382435153287,,,,0.04168050556081383,0.046497632589598874,,,,,0.7540730124687031,,0.02539058012631165,,0.0,0.0,0.0,0,,,,,,,1.6700629648602454,0.6895155286999207,2.4220817303551434,0.0674352217668977,1.666689121736073,0.6880975020854718,0.03132376282761394,0.04444671399424448,0.03521289252939236,0.008846644991789079,0.05788129381647287,0.0015775716253040167,1.1102230246251565e-16,4.440892098500626e-16,1.1102230246251565e-16,0.05772174880588437,-1.1102230246251565e-16
68,2279,-0.03133626685497737,0.5333992359692612,0.0907757323925647,4.950165402110874,5.8651764585491675,0.15600742158482891,,0.10561657773629642,0.0,0.0,0.10561657773629642,,,,0.04163670695721843,0.04645013752118158,,,,,0.7548308521711543,,0.02535717826951588,,0.0,0.0,0.0,0,,,,,,,1.666689121736073,0.6880975020852066,2.4221699928939553,0.0675051680618217,1.6635660341783272,0.6867587374217755,0.03132376282761394,0.04437610642790683,0.0351134586472412,0.008846644991789079,0.057799251903815616,0.0015740167399511118,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.057563999827560726,0.0
69,2283,-0.03133626685497737,0.5310138747241308,0.09036978334081158,4.954218753937448,5.848638447072169,0.1529278482896251,,0.10523035587037116,0.0,0.0,0.10523035587037116,,,,0.04159565112239061,0.046405728235794245,,,,,0.7551567771624568,,0.02532673637614497,,0.0,0.0,0.0,0,,,,,,,1.6635660341783272,0.686758737421506,2.422344185127265,0.06757209731328429,1.660666267837108,0.6854952880359085,0.03132376282761394,0.0443111746310817,0.03502209560234977,0.008846644991789079,0.0577225533435636,0.0015707332826877182,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0574152694467429,-2.220446049250313e-16
70,2287,-0.03133626685497737,0.5286391808138708,0.08996564969311283,4.958618722967184,5.832147067751175,0.14977817511052852,,0.10485280558710777,0.0,0.0,0.10485280558710777,,,,0.041557376164081956,0.04636432260469706,,,,,0.7553453127077612,,0.02529897791040339,,0.0,0.0,0.0,0,,,,,,,1.660666267837108,0.6854952880356394,2.4225786767928428,0.067636238226464,1.6579688699862984,0.6843105015084274,0.03132376282761394,0.04425243413303218,0.03493287187504591,0.008846644991789079,0.057651881167502465,0.0015677821762620711,3.3306690738754696e-16,4.440892098500626e-16,1.1102230246251565e-16,0.05726888551872175,7.771561172376096e-16
71,2291,-0.03133626685497737,0.5262751065341627,0.08956332333098188,4.963546617694563,5.815702189097708,0.14652668649378603,,0.10448764100057956,0.0,0.0,0.10448764100057956,,,,0.04152239671076769,0.0463264352005717,,,,,0.7555060689440195,,0.02527377071953116,,0.0,0.0,0.0,0,,,,,,,1.6579688699862984,0.6843105015081723,2.422831253257478,0.06769797496673145,1.6554608452919233,0.6832104743306694,0.03132376282761394,0.04419985803196686,0.034842717309807494,0.008846644991789079,0.05758768395384112,0.0015651656419289547,-2.220446049250313e-16,6.661338147750939e-16,2.220446049250313e-16,0.05712254548966954,-3.3306690738754696e-16
72,2295,-0.03133626685497737,0.5239216043940211,0.08916279617223817,4.969149931351964,5.799303679994045,0.14314714221741417,,0.10413780018033444,0.0,0.0,0.10413780018033444,,,,0.041491360300167014,0.04629279157617638,,,,,0.755774428423245,,0.0252510808080769,,0.0,0.0,0.0,0,,,,,,,1.6554608452919233,0.6832104743304024,2.4230612783189533,0.0677577310587148,1.653135764631077,0.6821994975176225,0.03132376282761394,0.04415288013539701,0.03475183005766822,0.008846644991789079,0.05752992296547598,0.0015628328153896379,1.1102230246251565e-15,2.220446049250313e-16,1.1102230246251565e-16,0.05697806696313447,1.1102230246251565e-16
73,2299,-0.03133626685497737,0.5215786271148409,0.08876406017084475,4.975365334558953,5.782951409692179,0.13964946580386584,,0.1038017688237612,0.0,0.0,0.1038017688237612,,,,0.041464743351458395,0.046263973990825456,,,,,0.7558539324163931,,0.025230907982189264,,0.0,0.0,0.0,0,,,,,,,1.653135764631077,0.6821994975173495,2.423243890749179,0.06781590159357877,1.6509906081903107,0.6812770444695517,0.03132376282761394,0.04411056148416799,0.03466289371718601,0.008846644991789079,0.057478014179336734,0.0015607092162180092,-8.881784197001252e-16,6.661338147750939e-16,1.1102230246251565e-16,0.05683975801118766,-8.881784197001252e-16
74,2303,-0.03133626685497737,0.5192461276294464,0.08836710731674619,4.982277004342382,5.766645247812767,0.1360181196802228,,0.10348112165128082,0.0,0.0,0.10348112165128082,,,,0.04144262765874256,0.04624018515027153,,,,,0.7557297996005486,,0.025213225614613966,,0.0,0.0,0.0,0,,,,,,,1.6509906081903107,0.6812770444692786,2.423376248463572,0.06787280670273145,1.6490222994788104,0.680437265729131,0.03132376282761394,0.0440719470426985,0.03457947243882127,0.008846644991789079,0.057431078149945185,0.0015587252831577997,-3.3306690738754696e-16,6.661338147750939e-16,1.1102230246251565e-16,0.05671213160720863,6.661338147750939e-16
