f_c_y,control,K,rows
1974,0,13,62
1974,0,14,64
1974,0,15,64
1974,0,16,62
1974,0,17,62
1974,0,18,62
1974,0,19,57
1974,0,20,65
1974,0,21,56
1974,0,22,54
1974,0,23,39
1974,0,25,36
1974,0,27,36
1974,0,29,33
1974,0,31,36
1974,0,33,30
1974,0,35,29
1974,0,37,27
1974,0,39,26
1974,0,41,28
1974,0,43,27
1974,0,45,28
1975,0,-6,3
1975,0,-5,5
1975,0,-4,5
1975,0,-3,7
1975,0,-2,12
1975,0,-1,18
1975,0,0,49
1975,0,1,60
1975,0,2,58
1975,0,3,58
1975,0,4,64
1975,0,5,66
1975,0,6,70
1975,0,10,74
1975,0,11,75
1975,0,12,74
1975,0,13,66
1975,0,14,61
1975,0,15,64
1975,0,16,63
1975,0,17,61
1975,0,18,61
1975,0,19,68
1975,0,20,64
1975,0,21,62
1975,0,22,38
1975,0,24,37
1975,0,26,34
1975,0,28,35
1975,0,30,32
1975,0,32,34
1975,0,34,34
1975,0,36,28
1975,0,38,29
1975,0,40,25
1975,0,42,28
1975,0,44,28
1976,0,-7,2
1976,0,-6,4
1976,0,-5,4
1976,0,-4,4
1976,0,-3,6
1976,0,-2,10
1976,0,-1,36
1976,0,0,42
1976,0,1,54
1976,0,2,58
1976,0,3,63
1976,0,4,62
1976,0,5,60
1976,0,9,64
1976,0,10,61
1976,0,11,64
1976,0,12,65
1976,0,13,56
1976,0,14,55
1976,0,15,56
1976,0,16,56
1976,0,17,61
1976,0,18,67
1976,0,19,61
1976,0,20,58
1976,0,21,40
1976,0,23,38
1976,0,25,38
1976,0,27,36
1976,0,29,38
1976,0,31,37
1976,0,33,35
1976,0,35,35
1976,0,37,37
1976,0,39,35
1976,0,41,33
1976,0,43,30
1977,0,-8,2
1977,0,-7,3
1977,0,-6,4
1977,0,-5,5
1977,0,-4,5
1977,0,-3,6
1977,0,-2,29
1977,0,-1,36
1977,0,0,52
1977,0,1,56
1977,0,2,57
1977,0,3,74
1977,0,4,69
1977,0,8,71
1977,0,9,69
1977,0,10,70
1977,0,11,71
1977,0,12,67
1977,0,13,67
1977,0,14,69
1977,0,15,67
1977,0,16,66
1977,0,17,66
1977,0,18,65
1977,0,19,63
1977,0,20,47
1977,0,22,46
1977,0,24,41
1977,0,26,43
1977,0,28,37
1977,0,30,36
1977,0,32,39
1977,0,34,43
1977,0,36,36
1977,0,38,37
1977,0,40,39
1977,0,42,38
1978,0,-9,2
1978,0,-8,2
1978,0,-7,2
1978,0,-6,2
1978,0,-5,3
1978,0,-4,5
1978,0,-3,26
1978,0,-2,35
1978,0,-1,40
1978,0,0,52
1978,0,1,66
1978,0,2,66
1978,0,3,67
1978,0,7,70
1978,0,8,66
1978,0,9,68
1978,0,10,65
1978,0,11,68
1978,0,12,67
1978,0,13,66
1978,0,14,65
1978,0,15,66
1978,0,16,73
1978,0,17,70
1978,0,18,72
1978,0,19,52
1978,0,21,48
1978,0,23,45
1978,0,25,49
1978,0,27,49
1978,0,29,44
1978,0,31,43
1978,0,33,39
1978,0,35,43
1978,0,37,43
1978,0,39,43
1978,0,41,44
1979,0,-10,3
1979,0,-9,4
1979,0,-8,3
1979,0,-7,6
1979,0,-6,8
