age,tenure,mass,budget_excess_mass,budget_excess_share,consumption_floor_mass,weighted_positive_budget_gap,maximum_occupied_excess
58.0,2,0.006710407659755804,0.0,0.0,0.0,1.1788592257750365e-20,1.7763568394002505e-15
58.0,3,0.02115547073048173,0.0,0.0,0.0,1.1485246450661528e-18,1.7763568394002505e-15
58.0,4,0.019650285535013776,0.0,0.0,0.0,9.301726529187165e-20,3.552713678800501e-15
58.0,5,0.02213290652864399,0.0,0.0,0.0,1.103176850617648e-17,7.105427357601002e-15
62.0,0,0.013639565401215616,0.0,0.0,0.0,2.1682463083399953e-19,3.552713678800501e-15
62.0,1,1.0049169839944097e-07,0.0,0.0,0.0,7.502223624305253e-25,7.105427357601002e-15
62.0,2,0.008329403884731594,0.0,0.0,0.0,6.3872083765493216e-21,1.7763568394002505e-15
62.0,3,0.021467675295795366,0.0,0.0,0.0,1.117434128559251e-18,1.7763568394002505e-15
62.0,4,0.02049919610968231,0.0,0.0,0.0,1.2635351175210893e-19,3.552713678800501e-15
62.0,5,0.024133836773424178,0.0,0.0,0.0,1.4196100248606893e-17,7.105427357601002e-15
66.0,0,0.010544331597844486,0.0,0.0,0.0,1.7952250898270848e-19,3.552713678800501e-15
66.0,1,8.920348550779717e-08,0.0,0.0,0.0,4.234644001803028e-25,8.881784197001252e-16
66.0,2,0.00813926078463778,0.0,0.0,0.0,6.343182785818951e-22,1.7763568394002505e-15
66.0,3,0.01930248505921473,0.0,0.0,0.0,1.4011918671194362e-18,1.7763568394002505e-15
66.0,4,0.019018032431268726,0.0,0.0,0.0,4.269741492156857e-19,3.552713678800501e-15
66.0,5,0.023004809262665234,0.0,0.0,0.0,2.036390585761106e-18,8.881784197001252e-16
70.0,0,0.0070449286569551845,0.0,0.0,0.0,3.1111487946035373e-19,3.552713678800501e-15
70.0,1,3.2160900716204056e-07,0.0,0.0,0.0,2.157395882917858e-24,8.881784197001252e-16
70.0,2,0.008463619624058161,0.0,0.0,0.0,3.450735057662547e-20,1.7763568394002505e-15
70.0,3,0.01667324929378713,0.0,0.0,0.0,1.3435658953005279e-18,1.7763568394002505e-15
70.0,4,0.01701217924416226,0.0,0.0,0.0,5.921910695174949e-19,3.552713678800501e-15
70.0,5,0.020433281058081,0.0,0.0,0.0,2.2596151493781867e-18,8.881784197001252e-16
74.0,0,0.0015132541617967864,0.0,0.0,0.0,2.2391181931282795e-19,3.552713678800501e-15
74.0,1,1.8848348895363364e-07,0.0,0.0,0.0,1.274694720871612e-25,8.881784197001252e-16
74.0,2,0.010776501885403137,0.0,0.0,0.0,1.3953344620371044e-20,1.7763568394002505e-15
74.0,3,0.01357185234307296,0.0,0.0,0.0,1.5633688848168275e-18,1.7763568394002505e-15
74.0,4,0.014170525478491635,0.0,0.0,0.0,1.1650147722635334e-18,3.552713678800501e-15
74.0,5,0.017143172593202652,0.0,0.0,0.0,1.0622187003671652e-18,8.881784197001252e-16
78.0,0,0.0003514377907440015,0.0,0.0,0.0,1.970572277233273e-19,3.552713678800501e-15
78.0,1,9.567377977884721e-08,0.0,0.0,0.0,1.3796993919148682e-25,8.881784197001252e-16
78.0,2,0.007891562868880885,0.0,0.0,0.0,6.6535276188694984e-21,1.7763568394002505e-15
78.0,3,0.009364948963710998,0.0,0.0,0.0,1.5007353832134013e-18,1.7763568394002505e-15
78.0,4,0.009898089158355099,0.0,0.0,0.0,2.3755452844809336e-19,3.552713678800501e-15
78.0,5,0.012021553869884658,0.0,0.0,0.0,1.787522338448297e-18,1.7763568394002505e-15
82.0,0,9.431777784478279e-05,0.0,0.0,0.0,9.153039248338978e-22,3.552713678800501e-15
82.0,1,1.276265449428297e-07,0.0,0.0,0.0,1.7867565322456662e-23,1.7763568394002505e-15
82.0,2,0.00521134795021644,0.0,0.0,0.0,1.1753409668807636e-20,1.7763568394002505e-15
82.0,3,0.006230617563546462,0.0,0.0,0.0,1.2148088160240301e-18,1.7763568394002505e-15
82.0,4,0.006661615119875218,0.0,0.0,0.0,8.979115850491505e-21,1.7763568394002505e-15
82.0,5,0.007920684030902632,0.0,0.0,0.0,1.1841780903241865e-18,8.881784197001252e-16
