year,female_denominator_age_group,births_per_1000_females,source_id,female_exposure_count,exposure_status
2013,35-39,49.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2013,40-44,10.4,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2013,45-49,0.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2014,10-14,0.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2014,15-19,24.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2014,20-24,79.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2014,25-29,105.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2014,30-34,100.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2014,35-39,51.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2014,40-44,10.6,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2014,45-49,0.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2015,10-14,0.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2015,15-19,22.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2015,20-24,76.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2015,25-29,104.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2015,30-34,101.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2015,35-39,51.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2015,40-44,11.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2015,45-49,0.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2016,10-14,0.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2016,15-19,20.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2016,20-24,73.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2016,25-29,102.1,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2016,30-34,102.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2016,35-39,52.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2016,40-44,11.4,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2016,45-49,0.9,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2017,10-14,0.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2017,15-19,18.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2017,20-24,71.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2017,25-29,98.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2017,30-34,100.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2017,35-39,52.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2017,40-44,11.6,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2017,45-49,0.9,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2018,10-14,0.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2018,15-19,17.4,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2018,20-24,68.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2018,25-29,95.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2018,30-34,99.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2018,35-39,52.6,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2018,40-44,11.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2018,45-49,0.9,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2019,10-14,0.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2019,15-19,16.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2019,20-24,66.6,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2019,25-29,93.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2019,30-34,98.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2019,35-39,52.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2019,40-44,12.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2019,45-49,0.9,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2020,10-14,0.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2020,15-19,15.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2020,20-24,63.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2020,25-29,90.9,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2020,30-34,94.9,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2020,35-39,51.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2020,40-44,11.8,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2020,45-49,0.9,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2021,10-14,0.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2021,15-19,13.9,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2021,20-24,61.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2021,25-29,93.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2021,30-34,97.6,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2021,35-39,53.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2021,40-44,12.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2021,45-49,0.9,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2022,10-14,0.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2022,15-19,13.6,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2022,20-24,57.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2022,25-29,93.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2022,30-34,97.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2022,35-39,55.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2022,40-44,12.6,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2022,45-49,1.1,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2023,10-14,0.2,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2023,15-19,13.1,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2023,20-24,57.7,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2023,25-29,91.0,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2023,30-34,94.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2023,35-39,54.3,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2023,40-44,12.5,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
2023,45-49,1.1,nchs_2023_final,,not_extracted_do_not_reverse_engineer_rounded_rates
