scope,stage,case,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
search,polish_1_coordinates,task_002,psi_child_2007,0.3008003822481436,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_002,psi_child_2023,-0.026538674172715215,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_002,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_002,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_003,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_003,kappa_fert,2.2164127818784154,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_003,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_003,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_003,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_003,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_003,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_003,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_003,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_003,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_003,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_003,psi_child_2007,0.29918205539947795,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_003,psi_child_2023,-0.028157001021380856,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_003,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_003,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_004,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_004,kappa_fert,2.260192846551467,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_004,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_004,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_004,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_004,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_004,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_004,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_004,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_004,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_004,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_004,psi_child_2007,0.3025793285640648,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_004,psi_child_2023,-0.024759727856794034,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_004,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_004,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_005,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_005,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_005,kappa_fert_continuation,1.7153714127314925,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_005,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_005,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_005,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_005,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_005,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_005,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_005,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_005,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_005,psi_child_2007,0.30391522443471947,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_005,psi_child_2023,-0.023423831986139343,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_005,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_005,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_006,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_006,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_006,kappa_fert_continuation,1.7492545738473773,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_006,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_006,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_006,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_006,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_006,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_006,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_006,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_006,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_006,psi_child_2007,0.29778473799363003,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_006,psi_child_2023,-0.029554318427228776,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_006,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_006,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_007,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_007,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_007,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_007,chi,1.039651791408284,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_007,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_007,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_007,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_007,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_007,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_007,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_007,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_007,psi_child_2007,0.3009288883727601,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_007,psi_child_2023,-0.026410168048098703,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_007,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_007,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_008,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_008,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_008,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_008,chi,1.049869529311166,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_008,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_008,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_008,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_008,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_008,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_008,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_008,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_008,psi_child_2007,0.30082251281018957,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_008,psi_child_2023,-0.02651654361066924,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_008,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_008,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_009,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_009,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_009,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_009,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_009,H0,14.427261788151577,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_009,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_009,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_009,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_009,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_009,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_009,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_009,psi_child_2007,0.3011676643469985,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_009,psi_child_2023,-0.026171392073860322,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_009,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_009,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_010,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_010,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_010,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_010,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_010,H0,14.644989420406318,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_010,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_010,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_010,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_010,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_010,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_010,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_010,psi_child_2007,0.3005849674722839,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_010,psi_child_2023,-0.026754088948574895,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_010,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_010,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_011,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_011,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_011,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_011,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_011,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_011,theta0,0.5505000062726255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_011,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_011,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_011,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_011,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_011,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_011,psi_child_2007,0.3008660537181497,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_011,psi_child_2023,-0.026473002702709136,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_011,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_011,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_012,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_012,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_012,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_012,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_012,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_012,theta0,0.561042861044065,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_012,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_012,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_012,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_012,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_012,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_012,psi_child_2007,0.30088488566123284,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_012,psi_child_2023,-0.026454170759625972,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_012,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_012,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_013,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_013,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_013,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_013,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_013,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_013,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_013,theta1,0.1052518065823461,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_013,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_013,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_013,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_013,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_013,psi_child_2007,0.30087650611074795,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_013,psi_child_2023,-0.026462550310110855,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_013,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_013,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_014,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_014,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_014,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_014,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_014,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_014,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_014,theta1,0.10702550455783855,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_014,hbar_child_rooms,0.23289841116220328,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_014,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_014,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_014,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_014,psi_child_2007,0.30087402823521814,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_014,psi_child_2023,-0.02646502818564067,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_014,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_014,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_015,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_015,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_015,kappa_fert_continuation,1.7322301491336538,0.02,50.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_015,chi,1.0447481691265725,0.1,5.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_015,H0,14.535717947625159,0.2,80.0,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_015,theta0,0.5557589336583452,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_015,theta1,0.10613495044093449,0.02,16.0,log,True,estimated_free_transition_parameter,True
search,polish_1_coordinates,task_015,hbar_child_rooms,0.2320584756669226,0.1,1.8,log,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_015,first_birth_fixed_cost,4.540285143086607,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_015,hbar_first_child_jump,0.6006848485093815,0.0,2.0,softzero,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_015,psi_child_change_2023,-0.3273390564208588,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_015,psi_child_2007,0.3008074435211235,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
search,polish_1_coordinates,task_015,psi_child_2023,-0.026531612899735324,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
search,polish_1_coordinates,task_015,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_015,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
search,polish_1_coordinates,task_016,beta_annual,0.9957294031845191,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
search,polish_1_coordinates,task_016,kappa_fert,2.238195772180536,0.02,50.0,log,True,estimated_free_transition_parameter,False
