age,income_group,probability_3y,conditional_amount_3y,probability_4y,mean_amount_4y,conditional_amount_4y
63,top10,0.0942,421.9164,0.1235850945462938,52.99269984,428.7952364688239
64,bottom50,0.0415,112.0359,0.054947019143864705,6.1993198,112.82358709521016
64,middle40,0.0715,155.8883,0.09417866791045308,14.861351266666665,157.799548415753
64,top10,0.093,417.1675,0.1220366584936423,51.728770000000004,423.8789445607026
65,bottom50,0.0414,112.1802,0.054815554088977377,6.19234704,112.96696973907251
65,middle40,0.0742,157.7363,0.09768903446037157,15.605377946666666,159.7454415725352
65,top10,0.0933,414.9262,0.12242383156471008,51.616819279999994,421.6239487057442
66,bottom50,0.0411,108.1885,0.054421131496556925,5.928729799999999,108.9416856460453
66,middle40,0.0709,157.9671,0.09339812391426311,14.933156519999999,159.88711436761002
66,top10,0.0904,420.6444,0.11867937133212685,50.70167168,427.21553974287787
67,bottom50,0.0416,106.9034,0.05507847962692907,5.929575253333334,107.65684335328376
67,middle40,0.0697,151.5748,0.09183653187532706,14.086351413333333,153.38505413571474
67,top10,0.0893,411.274,0.11725801683795944,48.969024266666665,417.6177082573183
68,bottom50,0.0392,104.5845,0.051922166853205776,5.4662831999999995,105.27841057662832
68,middle40,0.066,148.8167,0.08701739791709139,13.095869599999999,150.4971409565419
68,top10,0.0865,406.2771,0.11363744183516146,46.857292199999996,412.3402590140102
69,bottom50,0.0374,99.4852,0.04955320664262979,4.960995306666668,100.11451614916898
69,middle40,0.0657,149.5475,0.0866263780141079,13.100361,151.22831290333397
69,top10,0.0866,412.9524,0.11376681186051789,47.682237119999996,419.1225572749643
70,bottom50,0.0361,98.0026,0.04784137222409634,4.717191813333334,98.6006795799519
70,middle40,0.0652,149.2658,0.0859745851715951,12.976173546666667,150.93034203965925
70,top10,0.0779,404.246,0.10249399567172487,41.98768453333333,409.659944059694
71,bottom50,0.0356,97.3241,0.047182769370045265,4.6196506133333335,97.90969616688487
71,middle40,0.0615,146.1117,0.08114770878346776,11.9811594,147.6463054794336
71,top10,0.0808,407.2015,0.10625555757899274,43.869174933333326,412.86475675138223
72,bottom50,0.0327,88.8459,0.04336062934962463,3.87368124,89.33637029955918
72,middle40,0.0598,138.6289,0.07892782558226037,11.05334429333333,140.04369449926483
72,top10,0.0743,394.6463,0.09781898257318836,39.09629345333333,399.6800255418871
73,bottom50,0.0327,95.0739,0.04336062934962463,4.14522204,95.59875172881652
73,middle40,0.057,137.0561,0.0752686306229587,10.416263599999999,138.38784515926605
73,top10,0.078,403.2726,0.10262377042960355,41.9403504,408.68066164816724
74,bottom50,0.0295,89.4515,0.03913866084013188,3.5184256666666665,89.89642443409699
74,middle40,0.0558,143.3084,0.07369929456464609,10.66214496,144.670922876305
74,top10,0.0726,406.4092,0.09560922856029119,39.340410559999995,411.4708501720828
75,bottom50,0.0259,82.3133,0.034383397081243286,2.8425526266666665,82.67224497771706
75,middle40,0.049,125.7522,0.06479384613748199,8.215810399999999,126.79923927601685
75,top10,0.0702,402.788,0.09248727687371007,37.70095679999999,407.63398030931387
76,bottom50,0.0259,80.8502,0.034383397081243286,2.7920269066666665,81.20276481318838
76,middle40,0.0471,128.9017,0.06230175626116521,8.09502676,129.9325612277467
76,top10,0.0637,397.5989,0.08401850949373506,33.76939990666667,401.9281002501565
77,bottom50,0.0249,84.0426,0.03306144960094669,2.790214319999999,84.39479677019678
77,middle40,0.0446,131.1419,0.059020166641852195,7.798571653333333,132.13401616869098
77,top10,0.0545,363.4744,0.0719984301155149,26.412473066666664,366.8479024374596
78,bottom50,0.0212,75.9806,0.028166316382357354,2.147718293333333,76.25130188051881
78,middle40,0.0402,124.0558,0.05323761694381969,6.6493908799999994,124.90023524187669
78,top10,0.056,386.0152,0.07396089676826566,28.822468266666665,389.6987398215742
79,bottom50,0.019,69.7134,0.02525276968606756,1.7660727999999999,69.93580593159159
79,middle40,0.0354,108.918,0.04691929635411795,5.1409296,109.56962272407986
79,top10,0.0492,379.5119,0.0650560749135309,24.895980639999998,382.68494791747617
80,bottom50,0.0186,71.5786,0.02472279974189928,1.7751492799999995,71.80211377886715
80,middle40,0.0315,106.3383,0.041777935894528447,4.4662086,106.90352465653834
80,top10,0.0483,389.7972,0.06387590066962483,25.10293968,392.9954711689459
