policy_case,policy_label,calendar_year,asset_price,baseline_asset_price,difference_asset_price,percent_difference_asset_price,housing_user_cost,baseline_housing_user_cost,difference_housing_user_cost,percent_difference_housing_user_cost,owner_rate,baseline_owner_rate,difference_owner_rate,percent_difference_owner_rate,dependent_child_owner_rate,baseline_dependent_child_owner_rate,difference_dependent_child_owner_rate,percent_difference_dependent_child_owner_rate,topcode_adjusted_births_per_adult,baseline_topcode_adjusted_births_per_adult,difference_topcode_adjusted_births_per_adult,percent_difference_topcode_adjusted_births_per_adult,population_index_2023,baseline_population_index_2023,difference_population_index_2023,percent_difference_population_index_2023,housing_demand_per_adult,baseline_housing_demand_per_adult,difference_housing_demand_per_adult,percent_difference_housing_demand_per_adult
baseline,No policy,2063,0.5055473936822321,0.5055473936822321,0.0,0.0,0.08377500143769553,0.08377500143769553,0.0,0.0,0.7196236616400128,0.7196236616400128,0.0,0.0,0.6815541788739563,0.6815541788739563,0.0,0.0,0.06632154688210687,0.06632154688210687,0.0,0.0,0.7313378418498241,0.7313378418498241,0.0,0.0,7.089491460717484,7.089491460717484,0.0,0.0
supply-plus-20,Housing supply +20%,2023,0.5675267135285633,0.6937334343958133,-0.12620672086724993,-18.192394168974424,0.0940456855993025,0.11495958675719566,-0.020913901157893156,-18.192394168974424,0.6555302773535758,0.637167316564105,0.01836296078947086,2.8819684111376365,0.630039423131393,0.6015952547308694,0.02844416840052366,4.728123796995121,0.08574316618098182,0.08460666172062539,0.00113650446035643,1.3432801120427218,1.0,1.0,0.0,0.0,6.692067754597165,6.328594153552578,0.36347360104458737,5.743354562253766
supply-plus-20,Housing supply +20%,2027,0.5799469026400624,0.6976356849642897,-0.1176887823242273,-16.869662040044798,0.09610385338668567,0.11560623443270489,-0.019502381046019215,-16.869662040044798,0.6670890550613624,0.6415316840646684,0.025557370996693973,3.9838049517313845,0.6517685452796902,0.614406647063449,0.03736189821624114,6.080972332381496,0.07888456984644872,0.07776470142113401,0.00111986842531471,1.440072944214199,1.0123645149412113,1.012364514941212,-6.661338147750939e-16,-6.661338147750939e-14,6.701216917726889,6.273673177927423,0.42754373979946614,6.8148870314712395
supply-plus-20,Housing supply +20%,2031,0.5813741157207782,0.6912443093083752,-0.10987019358759698,-15.894553070176832,0.09634035896337947,0.11454711018153796,-0.018206751218158485,-15.894553070176832,0.6779855580019429,0.649272475632069,0.02871308236987391,4.422347080387423,0.6637537232255185,0.6241091788976564,0.03964454432786213,6.352180943386387,0.07214133877354288,0.07105466018308709,0.001086678590455789,1.5293558334607882,1.0091054838816058,1.0091054838816058,0.0,0.0,6.733196131304261,6.257457105599722,0.47573902570453885,7.602753285816477
supply-plus-20,Housing supply +20%,2035,0.5724537336154889,0.6752835404477227,-0.10282980683223375,-15.22764893159636,0.09486214933746825,0.11190222772153985,-0.017040078384071594,-15.22764893159636,0.6848287016562487,0.6564764757766887,0.02835222587955999,4.318848721276103,0.6681177138621132,0.6303452949961523,0.03777241886596083,5.992337718042529,0.06634145274437234,0.0652910327446983,0.0010504199996740349,1.6088273619156768,0.9917852542663349,0.991785254266334,8.881784197001252e-16,8.881784197001252e-14,6.784152076631803,6.273460245725553,0.51069183090625,8.14051274580423
supply-plus-20,Housing supply +20%,2039,0.5580845915500114,0.6543597654921126,-0.09627517394210117,-14.712881050945615,0.09248101769236977,0.10843491822910865,-0.015953900536738883,-14.712881050945603,0.69094157334218,0.6639137237616692,0.027027849580510743,4.070988234340689,0.6704397780810737,0.6342371207317846,0.03620265734928907,5.7080634617409975,0.06191095209538484,0.060891900948124224,0.0010190511472606134,1.6735413600057925,0.9656944497078287,0.9656944497078297,-9.992007221626409e-16,-9.992007221626409e-14,6.856819860683099,6.316560162810545,0.5402596978725533,8.55306818817927
supply-plus-20,Housing supply +20%,2043,0.5407922458902256,0.6310624956368833,-0.09027024974665776,-14.304486539887762,0.08961547768442292,0.10457429340934547,-0.014958815724922553,-14.304486539887762,0.6979044415377613,0.6706200824312116,0.027284359106549694,4.068526997824939,0.6705888677292722,0.6358939593936536,0.03469490833561861,5.456083962285385,0.060916097041793536,0.05984845824686517,0.0010676387949283689,1.7839035895035549,0.9342411835775772,0.9336999909774077,0.0005411926001694933,0.05796215116196102,6.948302605376713,6.385486081267915,0.5628165241087979,8.813996568872696
supply-plus-20,Housing supply +20%,2047,0.520410493640953,0.6050223936502779,-0.08461190000932484,-13.984920376060195,0.08623798757108486,0.10025914984688687,-0.01402116227580201,-13.984920376060195,0.703713255425412,0.6776452288690477,0.02606802655636431,3.846854584938253,0.6748833623946919,0.6385939438313742,0.03628941856331769,5.682706344753585,0.06479651807799708,0.06363698724821173,0.0011595308297853435,1.8221020194791215,0.896496152151994,0.8954150952398292,0.0010810569121647573,0.12073248685573468,7.06767657890144,6.484517823978431,0.5831587549230095,8.993093561507482
supply-plus-20,Housing supply +20%,2051,0.4999441381574569,0.5799216152193254,-0.07997747706186847,-13.791083995312214,0.08284647773149109,0.09609966297103904,-0.013253185239547952,-13.791083995312226,0.7104098107692999,0.6867002325577267,0.023709578211573157,3.4526824205757034,0.6830560006410883,0.644734869011818,0.03832113162927031,5.943703911656728,0.07276434644583943,0.07152291834320615,0.0012414281026332796,1.7357067236493773,0.8570455713729828,0.8554423366870801,0.0016032346859026214,0.18741586862669468,7.209102273437608,6.6083337525469,0.6007685208907079,9.091074140424094
supply-plus-20,Housing supply +20%,2055,0.48028266980036416,0.5564237319755339,-0.0761410621751697,-13.684006953628213,0.07958834692028177,0.09220579421188412,-0.012617447291602343,-13.684006953628213,0.7216571825478562,0.6967544227279723,0.02490275981988388,3.5741086109483344,0.693946586399553,0.6531384966233991,0.04080808977615391,6.247999465216636,0.07025768235649198,0.06899449926777576,0.001263183088716216,1.8308460850098518,0.8184241095685133,0.8163247838985818,0.00209932566993154,0.25716794483510164,7.360456609213278,6.747212095354332,0.6132445138589464,9.088857815529238
supply-plus-20,Housing supply +20%,2059,0.4572447464508962,0.5305624065089805,-0.07331766005808427,-13.818856963595149,0.07577069879106142,0.08792027596925023,-0.012149577178188806,-13.818856963595149,0.7334849331951245,0.7098535516393886,0.023631381555735964,3.329050266940259,0.7038494563964468,0.6667443593879374,0.03710509700850939,5.565115997767323,0.06881473064657391,0.0674928440056834,0.0013218866408905156,1.9585582151186332,0.7758308128841066,0.7732628719585192,0.002567940925587431,0.33209158472633504,7.528123082142909,6.912563598757215,0.6155594833856943,8.904937720882078
supply-plus-20,Housing supply +20%,2063,0.434222061753074,0.5055473936822321,-0.07132533192915813,-14.108535187897841,0.07195557588119633,0.08377500143769553,-0.011819425556499202,-14.108535187897854,0.7460196636414159,0.7196236616400128,0.02639600200140313,3.668028638920373,0.7161565700324974,0.6815541788739563,0.034602391158541135,5.076983199737728,0.06774121803133361,0.06632154688210687,0.0014196711492267394,2.140588113468378,0.7343961740488132,0.7313378418498241,0.0030583321989891,0.4181832285956144,7.697851775250931,7.089491460717484,0.6083603145334466,8.581155896785276
dependent-child-ltv95,5% down payment for dependent-child households,2023,0.6941527615026757,0.6937334343958133,0.0004193271068624327,0.0604449902616544,0.1150290740682159,0.11495958675719566,6.94873110202443e-05,0.0604449902616766,0.6444908319634506,0.637167316564105,0.007323515399345615,1.1493865439987205,0.6214880897666847,0.6015952547308694,0.019892835035815293,3.3066808422075322,0.08462188436104401,0.08460666172062539,1.5222640418616207e-05,0.017992248020481938,1.0,1.0,0.0,0.0,6.331364468527633,6.328594153552578,0.0027703149750557543,0.04377457153734721
