f_c_y,control,K,rows
1983,0,-10,9
1983,0,-9,12
1983,0,-8,30
1983,0,-7,39
1983,0,-6,49
1983,0,-5,58
1983,0,-4,78
1983,0,-3,85
1983,0,-2,95
1983,0,-1,92
1983,0,0,92
1983,0,1,90
1983,0,2,91
1983,0,3,90
1983,0,4,90
1983,0,5,85
1983,0,6,83
1983,0,7,83
1983,0,8,80
1983,0,9,84
1983,0,10,79
1983,0,11,78
1983,0,12,76
1983,0,13,75
1983,0,14,58
1983,0,16,58
1983,0,18,56
1983,0,20,57
1983,0,22,55
1983,0,24,53
1983,0,26,53
1983,0,28,47
1983,0,30,46
1983,0,32,39
1983,0,34,39
1983,0,36,36
1984,0,-13,3
1984,0,-12,4
1984,0,-11,6
1984,0,-10,6
1984,0,-9,19
1984,0,-8,25
1984,0,-7,28
1984,0,-6,32
1984,0,-5,52
1984,0,-4,58
1984,0,-3,64
1984,0,-2,70
1984,0,-1,69
1984,0,0,67
1984,0,1,65
1984,0,2,64
1984,0,3,60
1984,0,4,63
1984,0,5,63
1984,0,6,61
1984,0,7,62
1984,0,8,62
1984,0,9,61
1984,0,10,67
1984,0,11,66
1984,0,12,66
1984,0,13,41
1984,0,15,45
1984,0,17,43
1984,0,19,41
1984,0,21,38
1984,0,23,40
1984,0,25,36
1984,0,27,36
1984,0,29,35
1984,0,31,33
1984,0,33,30
1984,0,35,29
1985,0,-13,1
1985,0,-12,2
1985,0,-11,3
1985,0,-10,8
1985,0,-9,6
1985,0,-8,11
1985,0,-7,16
1985,0,-6,35
1985,0,-5,46
1985,0,-4,53
1985,0,-3,59
1985,0,-2,64
1985,0,-1,62
1985,0,0,63
1985,0,1,62
1985,0,2,62
1985,0,3,57
1985,0,4,56
1985,0,5,58
1985,0,6,56
1985,0,7,58
1985,0,8,57
1985,0,9,59
1985,0,10,56
1985,0,11,54
1985,0,12,43
1985,0,14,41
1985,0,16,40
1985,0,18,40
1985,0,20,40
1985,0,22,40
1985,0,24,40
1985,0,26,39
1985,0,28,37
1985,0,30,37
1985,0,32,33
1985,0,34,34
1986,0,-18,4
1986,0,-17,3
1986,0,-16,6
1986,0,-15,6
1986,0,-14,6
1986,0,-13,4
1986,0,-12,8
1986,0,-11,14
1986,0,-10,18
1986,0,-9,20
1986,0,-8,30
1986,0,-7,52
1986,0,-6,58
1986,0,-5,61
1986,0,-4,67
1986,0,-3,69
1986,0,-2,71
1986,0,-1,70
1986,0,0,71
1986,0,1,69
1986,0,2,69
1986,0,3,68
1986,0,4,66
1986,0,5,68
1986,0,6,64
1986,0,7,63
1986,0,8,60
1986,0,9,58
1986,0,10,56
1986,0,11,47
1986,0,13,46
1986,0,15,46
1986,0,17,45
1986,0,19,43
1986,0,21,43
1986,0,23,44
1986,0,25,42
1986,0,27,40
1986,0,29,40
1986,0,31,41
1986,0,33,38
1987,0,-19,3
1987,0,-18,4
1987,0,-17,3
1987,0,-16,4
1987,0,-15,6
1987,0,-14,8
1987,0,-13,8
1987,0,-12,12
1987,0,-11,19
1987,0,-10,20
1987,0,-9,28
1987,0,-8,51
1987,0,-7,61
1987,0,-6,61
1987,0,-5,65
1987,0,-4,71
1987,0,-3,79
1987,0,-2,86
1987,0,-1,83
1987,0,0,83
1987,0,1,86
1987,0,2,84
1987,0,3,80
1987,0,4,78
1987,0,5,77
1987,0,6,79
1987,0,7,81
1987,0,8,79
1987,0,9,77
1987,0,10,65
1987,0,12,63
1987,0,14,61
1987,0,16,58
1987,0,18,61
1987,0,20,58
1987,0,22,57
1987,0,24,54
1987,0,26,52
1987,0,28,48
1987,0,30,48
1987,0,32,43
1988,0,-17,1
1988,0,-16,1
1988,0,-15,3
1988,0,-14,3
1988,0,-13,8
1988,0,-12,11
1988,0,-11,16
1988,0,-10,22
1988,0,-9,36
1988,0,-8,46
1988,0,-7,51
1988,0,-6,59
1988,0,-5,65
1988,0,-4,72
1988,0,-3,79
1988,0,-2,84
1988,0,-1,82
1988,0,0,76
1988,0,1,77
1988,0,2,77
1988,0,3,74
1988,0,4,72
1988,0,5,70
1988,0,6,80
1988,0,7,75
1988,0,8,73
1988,0,9,53
1988,0,11,55
1988,0,13,58
1988,0,15,57
1988,0,17,54
1988,0,19,51
1988,0,21,53
1988,0,23,49
1988,0,25,47
1988,0,27,45
1988,0,29,44
1988,0,31,42
1989,0,-17,1
1989,0,-16,4
1989,0,-15,6
1989,0,-14,11
1989,0,-13,15
1989,0,-12,20
1989,0,-11,22
1989,0,-10,40
1989,0,-9,46
1989,0,-8,50
1989,0,-7,58
1989,0,-6,63
1989,0,-5,68
1989,0,-4,75
1989,0,-3,78
1989,0,-2,80
1989,0,-1,73
1989,0,0,76
1989,0,1,82
1989,0,2,79
1989,0,3,74
1989,0,4,72
1989,0,5,71
1989,0,6,72
1989,0,7,71
1989,0,8,56
1989,0,10,54
1989,0,12,53
1989,0,14,53
1989,0,16,55
1989,0,18,56
1989,0,20,51
1989,0,22,50
1989,0,24,50
1989,0,26,47
1989,0,28,45
1989,0,30,44
1990,0,-17,1
1990,0,-16,2
1990,0,-15,6
1990,0,-14,7
1990,0,-13,10
1990,0,-12,12
1990,0,-11,21
1990,0,-10,32
1990,0,-9,37
1990,0,-8,38
1990,0,-7,45
1990,0,-6,47
1990,0,-5,48
1990,0,-4,51
1990,0,-3,55
1990,0,-2,57
1990,0,-1,56
1990,0,0,55
1990,0,1,57
1990,0,2,54
1990,0,3,54
1990,0,4,52
1990,0,5,48
1990,0,6,50
1990,0,7,43
1990,0,9,43
1990,0,11,43
1990,0,13,45
1990,0,15,43
1990,0,17,42
1990,0,19,41
1990,0,21,39
1990,0,23,38
1990,0,25,36
1990,0,27,34
1990,0,29,32
1991,0,-18,1
1991,0,-17,1
1991,0,-16,4
1991,0,-15,4
1991,0,-14,5
1991,0,-13,9
1991,0,-12,24
1991,0,-11,27
1991,0,-10,30
1991,0,-9,41
1991,0,-8,51
1991,0,-7,58
1991,0,-6,63
1991,0,-5,65
1991,0,-4,66
1991,0,-3,69
1991,0,-2,76
1991,0,-1,75
1991,0,0,74
1991,0,1,70
1991,0,2,72
1991,0,3,74
1991,0,4,72
1991,0,5,74
1991,0,6,61
1991,0,8,59
1991,0,10,61
1991,0,12,56
1991,0,14,57
1991,0,16,50
1991,0,18,46
1991,0,20,46
1991,0,22,42
1991,0,24,40
1991,0,26,40
1991,0,28,41
1992,0,-17,2
1992,0,-16,3
1992,0,-15,1
1992,0,-14,3
1992,0,-13,18
1992,0,-12,24
1992,0,-11,27
1992,0,-10,27
1992,0,-9,33
1992,0,-8,35
1992,0,-7,52
1992,0,-6,56
1992,0,-5,58
1992,0,-4,65
1992,0,-3,67
1992,0,-2,74
1992,0,-1,71
1992,0,0,71
1992,0,1,69
1992,0,2,71
1992,0,3,67
1992,0,4,70
1992,0,5,56
1992,0,7,55
1992,0,9,56
1992,0,11,52
1992,0,13,50
1992,0,15,49
1992,0,17,50
1992,0,19,50
1992,0,21,49
1992,0,23,46
1992,0,25,44
1992,0,27,42
1993,0,-23,1
1993,0,-22,1
1993,0,-21,1
1993,0,-20,2
1993,0,-19,3
1993,0,-18,5
1993,0,-17,5
1993,0,-16,4
1993,0,-15,7
1993,0,-14,14
1993,0,-13,17
1993,0,-12,18
1993,0,-11,21
1993,0,-10,29
1993,0,-9,34
1993,0,-8,39
1993,0,-7,44
1993,0,-6,50
1993,0,-5,54
1993,0,-4,58
1993,0,-3,58
1993,0,-2,61
1993,0,-1,60
1993,0,0,60
1993,0,1,61
1993,0,2,59
1993,0,3,58
1993,0,4,48
1993,0,6,50
1993,0,8,51
1993,0,10,48
1993,0,12,47
1993,0,14,47
1993,0,16,43
1993,0,18,40
1993,0,20,40
1993,0,22,38
1993,0,24,38
1993,0,26,36
1994,0,-19,2
1994,0,-18,3
1994,0,-17,3
1994,0,-16,6
1994,0,-15,9
1994,0,-14,11
1994,0,-13,17
1994,0,-12,25
1994,0,-11,30
1994,0,-10,33
1994,0,-9,36
1994,0,-8,43
1994,0,-7,45
1994,0,-6,54
1994,0,-5,56
1994,0,-4,60
1994,0,-3,61
1994,0,-2,66
1994,0,-1,63
1994,0,0,67
1994,0,1,66
1994,0,2,62
1994,0,3,46
1994,0,5,42
1994,0,7,43
1994,0,9,46
1994,0,11,43
1994,0,13,43
1994,0,15,38
1994,0,17,36
1994,0,19,31
1994,0,21,30
1994,0,23,31
1994,0,25,30
1995,0,-21,1
1995,0,-20,1
1995,0,-19,1
1995,0,-18,4
1995,0,-17,3
1995,0,-16,13
1995,0,-15,12
1995,0,-14,12
1995,0,-13,12
1995,0,-12,17
1995,0,-11,25
1995,0,-10,28
1995,0,-9,32
1995,0,-8,39
1995,0,-7,44
1995,0,-6,49
1995,0,-5,53
1995,0,-4,55
1995,0,-3,60
1995,0,-2,67
1995,0,-1,69
1995,0,0,66
