stage,cell,case_id,case_directory,status,loss,task_id,proposal_index,started_solves,completed_solves,unfinished_solves,score_path,checkpoint_sha256,validity_exception,smoke_index,common_parameter_anchor,repeat_index
production,B_floor,worker01_proposal11,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal11,verified_scored,711.7878095091261,1,11,5,5,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal11/result/evaluation/scored_repetition_01/score.json,576c633b1a312bd9415b36e5a4b32c46a650981ac0301986a7b05d2d006b5e35,,,,
production,B_floor,worker01_proposal12,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal12,verified_scored,927.6864879171583,1,12,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal12/result/evaluation/scored_repetition_01/score.json,bb9ad1feb143fd3f8a6c6f8e8861ce746e82d1ccabc4cc587e5320f69a986313,,,,
production,B_floor,worker01_proposal13,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal13,verified_scored,727.7283481835359,1,13,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal13/result/evaluation/scored_repetition_01/score.json,730f00febf49e80911946b9cdda83cd5b399591da0117112c08a06bca0680d9f,,,,
production,B_floor,worker01_proposal14,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal14,verified_scored,629.356049091527,1,14,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal14/result/evaluation/scored_repetition_01/score.json,f5571aab255b24fc1a0fb7720b27f88d069edb5fe773de43eb977fd28f5192fd,,,,
production,B_floor,worker01_proposal15,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal15,verified_scored,618.7551219784596,1,15,5,5,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal15/result/evaluation/scored_repetition_01/score.json,3c682eaa65b5f96710d608a2628ed12933e24bdd441231d7c94675e05b82261c,,,,
production,B_floor,worker01_proposal16,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal16,verified_scored,720.2253583694787,1,16,5,5,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal16/result/evaluation/scored_repetition_01/score.json,7c8a3a23be9fef3924eaf0a64d50666252b29af63c0681b51de66ecde3690718,,,,
production,B_floor,worker01_proposal17,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal17,verified_scored,550.4625251055282,1,17,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal17/result/evaluation/scored_repetition_01/score.json,0babec61ff9c736bec654c643d12e7ed7148e4cd22855a951c5de65bbfa93a38,,,,
production,B_floor,worker01_proposal18,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal18,verified_scored,899.6834140074455,1,18,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker01_proposal18/result/evaluation/scored_repetition_01/score.json,5136ca0ac8b7be8f42e16ae26d8657af0cd4814aa7953814605ab221860fd33d,,,,
production,B_floor,worker02_proposal01,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal01,verified_scored,875.2927584608595,2,1,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal01/result/evaluation/scored_repetition_01/score.json,47e2ad8b4f994da3500977b27bfe4c1a409b66b16621c7f400a1c6593dcb1398,,,,
production,B_floor,worker02_proposal02,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal02,verified_scored,1138.3256017831914,2,2,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal02/result/evaluation/scored_repetition_01/score.json,d32150b23eb3f54ccd2583b28e72bff630ebb020af7f49c91250eeec7e8d5214,,,,
production,B_floor,worker02_proposal03,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal03,verified_scored,2196.4335670990336,2,3,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal03/result/evaluation/scored_repetition_01/score.json,b56dd35c060f2d6027e9fd201140c5c1854fb368f512d185baa66740909c87e4,,,,
production,B_floor,worker02_proposal04,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal04,verified_scored,1809.0057048510691,2,4,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal04/result/evaluation/scored_repetition_01/score.json,83a3e7cfab9e78e3b87618aaef51e81b5e718bc7b8d98cdb0ac38b62b3c36b5e,,,,
production,B_floor,worker02_proposal05,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal05,verified_scored,842.5116924970314,2,5,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal05/result/evaluation/scored_repetition_01/score.json,71b5d0382e1c2a536a06b995b9fa2a283a9086fb4845d48e73c854863ab27188,,,,
production,B_floor,worker02_proposal06,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal06,verified_scored,713.9095167140132,2,6,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal06/result/evaluation/scored_repetition_01/score.json,a3017c7c551f7d1244cac7bd564f258051c340407303aec956daef2af5209924,,,,
production,B_floor,worker02_proposal07,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal07,verified_scored,726.3826700770101,2,7,5,5,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal07/result/evaluation/scored_repetition_01/score.json,d8c4497cdbfea931fd3a696eb4d463f30b26099e6a353636e6eeb2821d5f2354,,,,
production,B_floor,worker02_proposal08,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal08,verified_scored,773.0916501377174,2,8,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal08/result/evaluation/scored_repetition_01/score.json,1ca54efc9f5b9c4fe832a13f64e9a56a726789d672bbdd7738ee7f3293f326c0,,,,
production,B_floor,worker02_proposal09,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal09,verified_scored,867.7047859869822,2,9,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal09/result/evaluation/scored_repetition_01/score.json,8842695312c3f9b7d569181779023c0f5744d14530c4d6fd331c9a0e0e6b2b98,,,,
production,B_floor,worker02_proposal10,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal10,verified_scored,688.3532265144947,2,10,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal10/result/evaluation/scored_repetition_01/score.json,a529519918115c4e44003b8104e2910ac602e6ecd33a8c7479f2ae6fb7925ff4,,,,
production,B_floor,worker02_proposal11,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal11,verified_scored,730.6503911716101,2,11,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal11/result/evaluation/scored_repetition_01/score.json,b678f1452c296277866a667361dbfee15f7de1a4c74e64fc4c84bb0657901e65,,,,
production,B_floor,worker02_proposal12,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal12,verified_scored,782.4877364339135,2,12,5,5,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal12/result/evaluation/scored_repetition_01/score.json,fb2cad222f1679cc3ef22b1e1f0eba36f2c531bec020d6e4cd098a507c4da1c9,,,,
production,B_floor,worker02_proposal13,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal13,verified_scored,671.808753200261,2,13,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal13/result/evaluation/scored_repetition_01/score.json,f97e827eac205c6617d8c3169236dcda5561eb2092573b102d1f225b9e17f5e3,,,,
production,B_floor,worker02_proposal14,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal14,verified_scored,993.8938067468736,2,14,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal14/result/evaluation/scored_repetition_01/score.json,ba1d2d28de62765ea07d22c7de860610c44b84497733551d4fa660d443cb8d33,,,,
production,B_floor,worker02_proposal15,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal15,verified_scored,699.7676652947865,2,15,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal15/result/evaluation/scored_repetition_01/score.json,4046dba3b075cd67711f38d4a65b97c14d23a4cf13c76305298d7e4232d23220,,,,
production,B_floor,worker02_proposal16,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal16,verified_scored,710.4000194757748,2,16,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal16/result/evaluation/scored_repetition_01/score.json,800e84f0c335c987abc9c0bf4d65067f34a7e651c63910f423916f01ee95e10d,,,,
production,B_floor,worker02_proposal17,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal17,verified_scored,605.3349873899143,2,17,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal17/result/evaluation/scored_repetition_01/score.json,cf2ed34df2cbc35d7d2fdaf9ad42b1260d49960ae87c8197dc167e93f699d093,,,,
production,B_floor,worker02_proposal18,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal18,verified_scored,708.0031356627186,2,18,5,5,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker02_proposal18/result/evaluation/scored_repetition_01/score.json,c929bbdc80c65258c5cd92ca55388a069a67be6df50932698d771d02b6d1c16c,,,,
production,B_floor,worker03_proposal01,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal01,verified_scored,3039.5067314205835,3,1,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal01/result/evaluation/scored_repetition_01/score.json,ffae6fe2694db04615996894fe70a99681dda71e7de3e4c285489fd41ac526fa,,,,
production,B_floor,worker03_proposal02,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal02,verified_scored,2673.7281067016575,3,2,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal02/result/evaluation/scored_repetition_01/score.json,d7d10946fc8c21b7338b377a31d6e8fc1e91046547a7665065f5729646b5ab9b,,,,
production,B_floor,worker03_proposal03,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal03,verified_scored,4373.086833990485,3,3,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal03/result/evaluation/scored_repetition_01/score.json,76ef4c40e8b46162214614408a22ad1c76dfce1be7918e8b9252eedc5009c90f,,,,
production,B_floor,worker03_proposal04,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal04,verified_scored,6219.232949320608,3,4,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal04/result/evaluation/scored_repetition_01/score.json,bca44615d7b87fa9ea327b744856aff2325be1dde539a28f4556232ff2e567cd,,,,
production,B_floor,worker03_proposal05,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal05,verified_scored,2423.633778064046,3,5,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal05/result/evaluation/scored_repetition_01/score.json,1966417d4d1788d0c8c69985384b1a5217f67fb3022d7c75f5c13178d15b4202,,,,
production,B_floor,worker03_proposal06,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal06,verified_scored,1062.8689853182618,3,6,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal06/result/evaluation/scored_repetition_01/score.json,3b511ebfd35ebcc07fe0e9ce2668d335e3215dc8d5ca6dff5df3ac8fcce0a45c,,,,
production,B_floor,worker03_proposal07,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal07,verified_scored,1268.4104629351295,3,7,5,5,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal07/result/evaluation/scored_repetition_01/score.json,27f8b1dd51f99db3393a2883649b4a979d4ce28bd3ab3a4f472ccb68615c75ac,,,,
production,B_floor,worker03_proposal08,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal08,verified_scored,1499.3843270487714,3,8,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal08/result/evaluation/scored_repetition_01/score.json,59a8a49128469b9d805b90ef78ef510ff7bf2b25858a42940c67a20ea6a29839,,,,
production,B_floor,worker03_proposal09,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal09,verified_scored,1322.98459027216,3,9,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal09/result/evaluation/scored_repetition_01/score.json,ee87309db4b0abaf9aea6bb60c90d15448395571d3fb7bb6ca2a7cb581b377cb,,,,
production,B_floor,worker03_proposal10,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal10,verified_scored,989.5826793208644,3,10,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal10/result/evaluation/scored_repetition_01/score.json,50c21b203a911efe5ee2857b40fec6c612d2a0a619fbe0c4829ace94a84e73f7,,,,
production,B_floor,worker03_proposal11,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal11,verified_scored,731.1536829618567,3,11,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal11/result/evaluation/scored_repetition_01/score.json,c40a99f2bae4dd35cc8e56e1eaa1a3db033099a3fb69c4a867f209ba6ef3c4cd,,,,
production,B_floor,worker03_proposal12,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal12,verified_scored,614.9131097412693,3,12,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal12/result/evaluation/scored_repetition_01/score.json,917d8512f894d5b8df860b068340cbdca24a0319022cda964bdf935b0c98d599,,,,
production,B_floor,worker03_proposal13,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal13,verified_scored,713.6786199176715,3,13,5,5,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal13/result/evaluation/scored_repetition_01/score.json,7659d2f954a77d4ca1d22469ea1be4e6453d8818f5475ca399fb57a73a331e0a,,,,
production,B_floor,worker03_proposal14,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal14,verified_scored,616.3064964518633,3,14,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal14/result/evaluation/scored_repetition_01/score.json,d2511368c8d8780ac6230a0233cf2ad6e86479f8839455dde7091a3efc7c3084,,,,
production,B_floor,worker03_proposal15,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal15,verified_scored,806.4806686793406,3,15,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal15/result/evaluation/scored_repetition_01/score.json,b9f8eea329b1a8375befa781455238d2997d594bba5887309d6adde6a57f2938,,,,
production,B_floor,worker03_proposal16,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal16,verified_scored,685.8904450945888,3,16,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal16/result/evaluation/scored_repetition_01/score.json,428dc7e4a020344a6f27825922500e6c18ded3887823d315ff6125130b867743,,,,
production,B_floor,worker03_proposal17,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal17,verified_scored,586.3098351654775,3,17,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal17/result/evaluation/scored_repetition_01/score.json,5e73db606b67e1c58562506baf04f74d1f584b4759f58e4c6856ae71678be20b,,,,
production,B_floor,worker03_proposal18,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal18,verified_scored,1059.5267561221033,3,18,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker03_proposal18/result/evaluation/scored_repetition_01/score.json,f339260396e14491b55b228743181b00f0fd4a03a9c8078d61a240a927caea03,,,,
production,B_floor,worker04_proposal01,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker04_proposal01,verified_scored,901.9316003637083,4,1,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker04_proposal01/result/evaluation/scored_repetition_01/score.json,6bdd9e83e7273a3292dc0c4e394569cc2d72e5a00f4764e6e2a36a188cfcd7f9,,,,
production,B_floor,worker04_proposal02,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker04_proposal02,verified_scored,959.4319628929204,4,2,4,4,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker04_proposal02/result/evaluation/scored_repetition_01/score.json,42a782492e6b65143bcc18b1143106f0a3645e27e3c23ccfb8e9c70184f30c35,,,,
production,B_floor,worker04_proposal03,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker04_proposal03,verified_scored,1062.572946538193,4,3,6,6,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker04_proposal03/result/evaluation/scored_repetition_01/score.json,2d500aa9fa2ac59ad5687edd7d2a24dd75d9facf9d25e06615820b9eaa4aab57,,,,
production,B_floor,worker04_proposal04,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker04_proposal04,verified_scored,905.55296681862,4,4,5,5,0,/scratch/td2248/projects/Fertility_Spring26_native_financing_20260919a/utility_overnight_20260923_v1/results/production/B_floor/worker04_proposal04/result/evaluation/scored_repetition_01/score.json,8913dc2f305fb3d41cdd84e5fae09c9fc28fbc6fc9854e0832aa3a05275abc54,,,,
