rep,exact_builder_sample__ratio_p90_p50,exact_builder_sample__ratio_p50,exact_builder_sample__ratio_p90,exact_builder_sample__wealth_p90_p50,exact_builder_sample__wealth_p50,exact_builder_sample__wealth_p90,no_children_history_filter__ratio_p90_p50,no_children_history_filter__ratio_p50,no_children_history_filter__ratio_p90,no_children_history_filter__wealth_p90_p50,no_children_history_filter__wealth_p50,no_children_history_filter__wealth_p90
94,3.20542491720922,7.7654611404181,24.8916026331161,4.36556179775281,255153.543106245,1113888.5603459,3.20542491720922,7.7654611404181,24.8916026331161,4.36556179775281,255153.543106245,1113888.5603459
95,3.30456203932708,7.53249669302166,24.8916026331161,4.60324114689904,278088.693048379,1280109.31432768,3.30456203932708,7.53249669302166,24.8916026331161,4.60324114689904,278088.693048379,1280109.31432768
96,3.68041738976547,7.43899950409728,27.3786231373364,4.62308270356671,278088.693048379,1285627.02688943,3.68041738976547,7.43899950409728,27.3786231373364,4.62308270356671,278088.693048379,1285627.02688943
97,4.04701986754967,6.99557056644986,28.3112130672683,5.87518935854219,217883.924450277,1280109.31432768,4.04701986754967,6.99557056644986,28.3112130672683,5.87518935854219,217883.924450277,1280109.31432768
98,3.64674250534561,7.76342531060748,28.3112130672683,4.58623791121518,283955.282709431,1302286.48265182,3.64674250534561,7.76342531060748,28.3112130672683,4.58623791121518,283955.282709431,1302286.48265182
99,3.33789026077368,7.40691570087657,24.7234717803275,4.2878453038674,249676.493419515,1070574.17979495,3.33789026077368,7.40691570087657,24.7234717803275,4.2878453038674,249676.493419515,1070574.17979495
100,4.2165408803907,7.39299098025137,31.1728486965896,4.18656845687801,278088.693048379,1164237.35053077,4.2165408803907,7.39299098025137,31.1728486965896,4.18656845687801,278088.693048379,1164237.35053077
101,3.82791022228326,7.36897097780377,28.2077593336437,4.80829015544042,266229.631104786,1280109.31432768,3.82791022228326,7.36897097780377,28.2077593336437,4.80829015544042,266229.631104786,1280109.31432768
102,3.71530076636883,7.59232188924848,28.2077593336437,4.67218287266215,266229.631104786,1243873.52264294,3.71530076636883,7.59232188924848,28.2077593336437,4.67218287266215,266229.631104786,1243873.52264294
103,3.47721916360147,7.11012755224798,24.7234717803275,4.24324324324324,306233.047177526,1299421.30829383,3.47721916360147,7.11012755224798,24.7234717803275,4.24324324324324,306233.047177526,1299421.30829383
104,3.67850828261823,7.7654611404181,28.565313123378,4.54332869575527,283955.282709431,1290102.18424506,3.67850828261823,7.7654611404181,28.565313123378,4.54332869575527,283955.282709431,1290102.18424506
105,3.31302337838452,7.46251050977584,24.7234717803275,4.64467005076142,271747.343666543,1262176.74850197,3.31302337838452,7.46251050977584,24.7234717803275,4.64467005076142,271747.343666543,1262176.74850197
106,3.13678173798676,6.96322110718304,21.8421048065757,4.38858828402978,253814.777840833,1113888.5603459,3.13678173798676,6.96322110718304,21.8421048065757,4.38858828402978,253814.777840833,1113888.5603459
