age,tenure,mass,budget_excess_mass,budget_excess_share,consumption_floor_mass,weighted_positive_budget_gap,maximum_occupied_excess
42.0,4,0.0033805953282865695,0.0,0.0,0.0,8.179937743523445e-21,1.7763568394002505e-15
42.0,5,0.006685234171274999,0.0,0.0,0.0,4.0597811802757536e-19,7.105427357601002e-15
46.0,0,0.037324443438672486,0.0,0.0,0.0,2.003789957909012e-19,3.552713678800501e-15
46.0,1,0.005837748759697197,0.0,0.0,0.0,5.567356799435694e-20,2.220446049250313e-16
46.0,2,0.010334264588263269,0.0,0.0,0.0,7.12377447684109e-20,4.440892098500626e-16
46.0,3,0.011449785950137787,0.0,0.0,0.0,1.6550621705680894e-19,1.7763568394002505e-15
46.0,4,0.003741671854934937,0.0,0.0,0.0,4.206956298810009e-21,1.7763568394002505e-15
46.0,5,0.006475069828360353,0.0,0.0,0.0,8.839710733956084e-20,1.7763568394002505e-15
50.0,0,0.04005646547257797,0.0,0.0,1.3223283825268698e-11,1.7958857088387404e-19,3.552713678800501e-15
50.0,1,0.005966283574543105,0.0,0.0,0.0,7.985681711844337e-21,4.440892098500626e-16
50.0,2,0.010626723140887593,0.0,0.0,0.0,8.708448987380957e-20,4.440892098500626e-16
50.0,3,0.012081969770130369,0.0,0.0,0.0,1.4287429266100551e-19,8.881784197001252e-16
50.0,4,0.004637847547684049,0.0,0.0,0.0,3.860987228677747e-21,8.881784197001252e-16
50.0,5,0.007290907678032162,0.0,0.0,0.0,7.13537448890112e-20,8.881784197001252e-16
54.0,0,0.03903365658645217,0.0,0.0,0.0,1.9956210562262264e-19,3.552713678800501e-15
54.0,1,0.005454376898663377,0.0,0.0,0.0,5.405567810144657e-20,4.440892098500626e-16
54.0,2,0.010110264893154492,0.0,0.0,0.0,1.9796859215045114e-20,4.440892098500626e-16
54.0,3,0.011460497082454052,0.0,0.0,0.0,1.219473263746959e-19,8.881784197001252e-16
54.0,4,0.005091014993937642,0.0,0.0,0.0,3.9308558177526504e-21,8.881784197001252e-16
54.0,5,0.007436592442260078,0.0,0.0,0.0,3.520366079856127e-20,8.881784197001252e-16
58.0,0,0.04295261090401041,0.0,0.0,0.0,1.7524309487925344e-19,8.881784197001252e-16
58.0,1,0.005502109489913211,0.0,0.0,0.0,1.2993449563204656e-21,4.440892098500626e-16
58.0,2,0.01102416957906125,0.0,0.0,0.0,3.242597685789723e-20,4.440892098500626e-16
58.0,3,0.012245224565299266,0.0,0.0,0.0,9.478708872557311e-20,4.440892098500626e-16
58.0,4,0.00606753802168921,0.0,0.0,0.0,1.0803691966020811e-21,8.881784197001252e-16
58.0,5,0.0086693727979564,0.0,0.0,0.0,7.494300062764857e-19,7.105427357601002e-15
62.0,0,0.043727142742573145,0.0,0.0,0.0,9.418118695418217e-20,8.881784197001252e-16
62.0,1,0.0050689732962231815,0.0,0.0,0.0,3.5883875925518736e-22,4.440892098500626e-16
62.0,2,0.011240888728402166,0.0,0.0,0.0,2.085273546385401e-20,4.440892098500626e-16
62.0,3,0.01234816447769518,0.0,0.0,0.0,1.8472472863253305e-19,4.440892098500626e-16
62.0,4,0.0064719223351808785,0.0,0.0,0.0,8.479079866670197e-22,4.440892098500626e-16
62.0,5,0.009212686376486577,0.0,0.0,0.0,8.350334378329104e-21,8.881784197001252e-16
