diagnostic,name,value,notes,age,z,stationary_mass,transition_row,mass_share,mean_liquid_wealth,mean_income,own_rate,fertility_choice,wealth_bin,expected_completed_fertility_choice,mass
state_size,Nb,30,,,,,,,,,,,,,
state_size,tenure_states,7,,,,,,,,,,,,,
state_size,locations,2,,,,,,,,,,,,,
state_size,ages,60,,,,,,,,,,,,,
state_size,fertility_states,4,,,,,,,,,,,,,
state_size,child_age_states,7,,,,,,,,,,,,,
state_size,z_states,3,,,,,,,,,,,,,
state_size,mu_states,0,,,,,,,,,,,,,
z_by_age,,,,67.0,0.0,,,0.47058823509690745,0.4933760474931833,0.5719050000000003,0.8489880551079574,,,,
z_by_age,,,,67.0,0.28,,,0.2647058824515837,0.7638159035207238,0.5719050000000002,0.8664368441513373,,,,
z_by_age,,,,68.0,-0.28,,,0.26470588241797355,0.23544559640636317,0.5719050000000003,0.8152289361153312,,,,
z_by_age,,,,68.0,0.0,,,0.4705882351640453,0.41515970450009204,0.5719050000000004,0.8269853778423062,,,,
z_by_age,,,,68.0,0.28,,,0.2647058824179813,0.6071659772283602,0.571905,0.841556083871289,,,,
z_by_age,,,,69.0,-0.28,,,0.2647058823957526,0.19735762448231237,0.5719050000000003,0.7939888205508765,,,,
z_by_age,,,,69.0,0.0,,,0.4705882352083811,0.32601326334737335,0.5719050000000002,0.8041475271938285,,,,
z_by_age,,,,69.0,0.28,,,0.2647058823958663,0.4605115624947987,0.5719050000000001,0.8162248216702772,,,,
z_by_age,,,,70.0,-0.28,,,0.264705882381159,0.1412721609325242,0.5719050000000001,0.7703730354751515,,,,
z_by_age,,,,70.0,0.0,,,0.470588235237607,0.23237076408078616,0.5719050000000003,0.7788282731333578,,,,
z_by_age,,,,70.0,0.28,,,0.264705882381234,0.3259034141432903,0.5719050000000002,0.788586863622749,,,,
z_by_age,,,,71.0,-0.28,,,0.26470588237150966,0.048698543294054444,0.5719050000000002,0.7486199329367085,,,,
z_by_age,,,,71.0,0.0,,,0.47058823525688925,0.11071982462229218,0.5719050000000001,0.7557642763781885,,,,
z_by_age,,,,71.0,0.28,,,0.26470588237160103,0.17346917396066877,0.5719050000000001,0.7637826138770712,,,,
z_by_age,,,,72.0,-0.28,,,0.26470588236512604,-0.06750816514248141,0.5719050000000002,0.7254500515951403,,,,
z_by_age,,,,72.0,0.0,,,0.47058823526974475,-0.027468375414920213,0.5719050000000003,0.7314316201348715,,,,
z_by_age,,,,72.0,0.28,,,0.2647058823651293,0.012358207379883752,0.5719049999999999,0.7380082305516181,,,,
z_by_age,,,,73.0,-0.28,,,0.26470588236095666,-0.19989105434287885,0.5719050000000001,0.6997201154949426,,,,
z_by_age,,,,73.0,0.0,,,0.47058823527814236,-0.1758456644430355,0.5719050000000002,0.7046851944023269,,,,
z_by_age,,,,73.0,0.28,,,0.2647058823609009,-0.15229631637710836,0.5719050000000002,0.7100333047128483,,,,
z_by_age,,,,74.0,-0.28,,,0.26470588235814485,-0.2814409136009823,0.5719050000000001,0.6525601983937879,,,,
z_by_age,,,,74.0,0.0,,,0.4705882352836939,-0.26727285200717305,0.5719050000000003,0.6561641530158043,,,,
z_by_age,,,,74.0,0.28,,,0.26470588235816145,-0.2533851815597837,0.5719050000000002,0.6599386655819977,,,,
z_by_age,,,,75.0,-0.28,,,0.2647058823563151,-0.44690101381940833,0.5719050000000001,0.6186395923260716,,,,
z_by_age,,,,75.0,0.0,,,0.47058823528738436,-0.441570482992015,0.5719050000000002,0.6216430895512138,,,,
z_by_age,,,,75.0,0.28,,,0.26470588235630066,-0.4365775903836972,0.5719050000000004,0.6247561768131888,,,,
z_by_age,,,,76.0,-0.28,,,0.26470588235515485,-0.49901652002883573,0.5719050000000001,0.5455015248144671,,,,
z_by_age,,,,76.0,0.0,,,0.47058823528970595,-0.5027353655676091,0.5719050000000003,0.5488700878330149,,,,
z_by_age,,,,76.0,0.28,,,0.26470588235513937,-0.506655171845816,0.5719050000000001,0.5522868489039494,,,,
z_by_age,,,,77.0,-0.28,,,0.26470588235434733,-0.5220597186769983,0.5719050000000003,0.457503901079777,,,,
z_by_age,,,,77.0,0.0,,,0.4705882352913112,-0.5270295172998077,0.5719050000000003,0.459953894590241,,,,
z_by_age,,,,77.0,0.28,,,0.26470588235434134,-0.5320752749450282,0.5719050000000002,0.46242584023772604,,,,
owner_by_z,,,,,-0.28,,,,,,0.5206953600699518,,,,0.2680699730871548
owner_by_z,,,,,0.0,,,,,,0.5794446230216193,,,,0.46386005382557743
owner_by_z,,,,,0.28,,,,,,0.6301528863863032,,,,0.268069973087268
fertility_by_z,,,,,-0.28,,,,,,,0.025999773707260802,,,0.0886244377974848
fertility_by_z,,,,,0.0,,,,,,,0.04726301967172867,,,0.13606238498640316
fertility_by_z,,,,,0.28,,,,,,,0.060494514368645155,,,0.07956020013604972
fertility_by_z_wealth_bin,,,,,-0.28,,,,,,,,1,0.021321046919633872,0.07555294479256562
fertility_by_z_wealth_bin,,,,,-0.28,,,,,,,,2,0.053042712275707206,0.013071493000244825
fertility_by_z_wealth_bin,,,,,-0.28,,,,,,,,3,0.984814068924925,4.674018045951188e-12
fertility_by_z_wealth_bin,,,,,0.0,,,,,,,,1,0.03909399447355255,0.09815236214345632
fertility_by_z_wealth_bin,,,,,0.0,,,,,,,,2,0.06841333909570756,0.03791002281339021
fertility_by_z_wealth_bin,,,,,0.0,,,,,,,,3,0.9857029146387549,2.955628099035033e-11
fertility_by_z_wealth_bin,,,,,0.28,,,,,,,,1,0.05498739324285156,0.05015070363327483
fertility_by_z_wealth_bin,,,,,0.28,,,,,,,,2,0.0698855605171987,0.029409496436913617
fertility_by_z_wealth_bin,,,,,0.28,,,,,,,,3,0.9898463213855506,6.58601171190408e-11
mortgage_account_status,mu_structural,0,V3 implements z as a true HANK state; mu remains the next structural layer.,,,,,,,,,,,,
