diagnostic,name,value,notes,age,z,stationary_mass,transition_row,mass_share,mean_liquid_wealth,mean_income,own_rate,fertility_choice,wealth_bin,expected_completed_fertility_choice,mass
state_size,Nb,30,,,,,,,,,,,,,
state_size,tenure_states,7,,,,,,,,,,,,,
state_size,locations,2,,,,,,,,,,,,,
state_size,ages,60,,,,,,,,,,,,,
state_size,fertility_states,4,,,,,,,,,,,,,
state_size,child_age_states,7,,,,,,,,,,,,,
state_size,z_states,3,,,,,,,,,,,,,
state_size,mu_states,0,,,,,,,,,,,,,
z_by_age,,,,67.0,0.28,,,0.2647058824516165,0.6862551811349661,0.5719050000000003,0.8922225640645274,,,,
z_by_age,,,,68.0,-0.28,,,0.2647058824179703,0.13445366456863286,0.5719050000000001,0.8485520611228747,,,,
z_by_age,,,,68.0,0.0,,,0.47058823516404436,0.3201411472249596,0.5719050000000002,0.8584139817869797,,,,
z_by_age,,,,68.0,0.28,,,0.2647058824179854,0.5221796551371104,0.5719050000000002,0.8700361142844627,,,,
z_by_age,,,,69.0,-0.28,,,0.26470588239583576,0.09182708004346314,0.5719050000000002,0.8276074433359967,,,,
z_by_age,,,,69.0,0.0,,,0.4705882352083362,0.2239070888060617,0.5719050000000003,0.83646021604644,,,,
z_by_age,,,,69.0,0.28,,,0.26470588239582815,0.36371988331375693,0.5719050000000002,0.8466759330841442,,,,
z_by_age,,,,70.0,-0.28,,,0.2647058823811122,0.03393865809390572,0.5719050000000001,0.8040442301539782,,,,
z_by_age,,,,70.0,0.0,,,0.47058823523760923,0.12689178233687304,0.5719050000000001,0.8116934713681999,,,,
z_by_age,,,,70.0,0.28,,,0.26470588238127857,0.22359908786495017,0.5719050000000002,0.8202709235284776,,,,
z_by_age,,,,71.0,-0.28,,,0.26470588237148823,-0.05732530067146983,0.5719050000000003,0.7814668192101157,,,,
z_by_age,,,,71.0,0.0,,,0.4705882352568591,0.005364472454423478,0.5719050000000002,0.7881226891058495,,,,
z_by_age,,,,71.0,0.28,,,0.26470588237165266,0.0693424212599566,0.5719050000000002,0.7954650849444508,,,,
z_by_age,,,,72.0,-0.28,,,0.26470588236508713,-0.16781172983462925,0.5719050000000003,0.7570948006320104,,,,
z_by_age,,,,72.0,0.0,,,0.4705882352696545,-0.1271576961255764,0.5719050000000002,0.7627081084425924,,,,
z_by_age,,,,72.0,0.28,,,0.26470588236525827,-0.08635687849341826,0.5719050000000003,0.7687999856150669,,,,
z_by_age,,,,73.0,-0.28,,,0.2647058823608754,-0.2985309858742296,0.5719050000000002,0.7310228192890446,,,,
z_by_age,,,,73.0,0.0,,,0.47058823527814375,-0.2738674702101815,0.5719050000000001,0.7356758660967391,,,,
z_by_age,,,,73.0,0.28,,,0.2647058823609811,-0.249522798721252,0.5719050000000001,0.7406526820112261,,,,
z_by_age,,,,74.0,-0.28,,,0.26470588235810716,-0.3899937975568864,0.5719050000000003,0.6861224349335154,,,,
z_by_age,,,,74.0,0.0,,,0.47058823528370547,-0.3741588183757419,0.5719050000000002,0.68916191802654,,,,
z_by_age,,,,74.0,0.28,,,0.2647058823581872,-0.3585734894783236,0.5719050000000002,0.6923539671653508,,,,
z_by_age,,,,75.0,-0.28,,,0.26470588235627324,-0.5317217582560332,0.5719050000000002,0.6459393725816077,,,,
z_by_age,,,,75.0,0.0,,,0.4705882352873964,-0.5261138072472928,0.5719050000000003,0.648760324335686,,,,
z_by_age,,,,75.0,0.28,,,0.26470588235633064,-0.52075100728702,0.5719050000000002,0.6516591511521078,,,,
z_by_age,,,,76.0,-0.28,,,0.26470588235510034,-0.6649508672833289,0.5719050000000003,0.5951556161695901,,,,
z_by_age,,,,76.0,0.0,,,0.47058823528970933,-0.6656364765265042,0.5719050000000003,0.597600132977772,,,,
z_by_age,,,,76.0,0.28,,,0.2647058823551903,-0.6665515269205701,0.5719050000000002,0.6000930047646319,,,,
z_by_age,,,,77.0,-0.28,,,0.264705882354321,-0.7141112221972127,0.5719050000000001,0.5154315712818798,,,,
z_by_age,,,,77.0,0.0,,,0.47058823529129823,-0.7163551317789313,0.5719050000000003,0.517081026311271,,,,
z_by_age,,,,77.0,0.28,,,0.26470588235438053,-0.7186561661805515,0.5719050000000002,0.5187420097473685,,,,
owner_by_z,,,,,-0.28,,,,,,0.5349085191170655,,,,0.2680699730871323
owner_by_z,,,,,0.0,,,,,,0.5917758070571898,,,,0.4638600538255689
owner_by_z,,,,,0.28,,,,,,0.6435593755029245,,,,0.2680699730872987
fertility_by_z,,,,,-0.28,,,,,,,0.026652183148740658,,,0.08814296983884552
fertility_by_z,,,,,0.0,,,,,,,0.04802055452076273,,,0.1352845571694706
fertility_by_z,,,,,0.28,,,,,,,0.06124240845226374,,,0.07915998785803631
fertility_by_z_wealth_bin,,,,,-0.28,,,,,,,,1,0.021747079035940822,0.07506221388264962
fertility_by_z_wealth_bin,,,,,-0.28,,,,,,,,2,0.05479948368639855,0.013080755951007378
fertility_by_z_wealth_bin,,,,,-0.28,,,,,,,,3,0.9940158327079582,5.188134724751115e-12
fertility_by_z_wealth_bin,,,,,0.0,,,,,,,,1,0.03967636351033212,0.09736329703045365
fertility_by_z_wealth_bin,,,,,0.0,,,,,,,,2,0.06944436571659508,0.03792126010621825
fertility_by_z_wealth_bin,,,,,0.0,,,,,,,,3,0.9933006253833517,3.279838942442304e-11
fertility_by_z_wealth_bin,,,,,0.28,,,,,,,,1,0.056152099055984075,0.05058255230451407
fertility_by_z_wealth_bin,,,,,0.28,,,,,,,,2,0.07025234123343144,0.02857743548030246
fertility_by_z_wealth_bin,,,,,0.28,,,,,,,,3,0.9974434511013057,7.32189061683743e-11
mortgage_account_status,mu_structural,0,V3 implements z as a true HANK state; mu remains the next structural layer.,,,,,,,,,,,,
