case,age,z_index,z,timing,state_mass,valid_nodes,negative_owner_steps_all_valid,negative_owner_steps_occupied_lower,lower_node_mass_at_negative_owner_steps,largest_owner_drop_all_valid,largest_owner_drop_occupied_lower,masked_node_mass,occupied_threshold,probability_step_threshold
old_old,42,0,0.11089068477824145,post_fertility_pre_tenure,0.00023878604075905883,82,29,14,2.862887399487654e-06,0.14169852435588837,0.010950148105621338,0.0,1e-12,1e-07
old_old,42,0,0.11089068477824145,current_post_tenure,0.00023890193017398774,82,29,13,2.9733772550480966e-06,0.14169852435588837,0.007797420024871826,0.0,1e-12,1e-07
old_old,42,1,0.1680514187563014,pre_fertility,0.0009590066087286278,85,31,18,7.594284509168489e-05,0.08953750133514404,0.037419676780700684,0.0,1e-12,1e-07
old_old,42,1,0.1680514187563014,post_fertility_pre_tenure,0.0008499213424480025,85,31,18,6.628687060956798e-05,0.08953750133514404,0.037419676780700684,0.0,1e-12,1e-07
old_old,42,1,0.1680514187563014,current_post_tenure,0.0008498559879233578,85,31,18,6.631055951044474e-05,0.08953750133514404,0.037419676780700684,0.0,1e-12,1e-07
old_old,42,2,0.25467675127520867,pre_fertility,0.0013043012310214395,88,29,22,0.0004424235872164783,0.12042838335037231,0.07672429084777832,0.0,1e-12,1e-07
old_old,42,2,0.25467675127520867,post_fertility_pre_tenure,0.0011405633632313155,88,29,22,0.0003854416501094704,0.12042838335037231,0.07672429084777832,0.0,1e-12,1e-07
old_old,42,2,0.25467675127520867,current_post_tenure,0.0011376633241686673,88,29,22,0.0003851343310826777,0.12042838335037231,0.07672429084777832,0.0,1e-12,1e-07
old_old,42,3,0.3859547757472442,pre_fertility,0.0007613433156928772,95,23,19,0.00023605259275425383,0.09300702810287476,0.07094380259513855,0.0,1e-12,1e-07
old_old,42,3,0.3859547757472442,post_fertility_pre_tenure,0.0006600524490507566,95,23,19,0.00020500591757291052,0.09300702810287476,0.07094380259513855,0.0,1e-12,1e-07
old_old,42,3,0.3859547757472442,current_post_tenure,0.0006137058105108904,95,23,19,0.00020135704491538108,0.09300702810287476,0.07094380259513855,0.0,1e-12,1e-07
old_old,42,4,0.5849025801382837,pre_fertility,0.0001422920559778417,100,22,15,5.030024505699064e-05,0.09188660979270935,0.0631391704082489,0.0,1e-12,1e-07
old_old,42,4,0.5849025801382837,post_fertility_pre_tenure,0.0001226786703089051,100,22,15,4.330905695747039e-05,0.09188660979270935,0.0631391704082489,0.0,1e-12,1e-07
old_old,42,4,0.5849025801382837,current_post_tenure,6.442195138130921e-05,100,22,15,1.936385334206453e-05,0.09188660979270935,0.0631391704082489,0.0,1e-12,1e-07
old_old,42,5,0.32846680176271387,pre_fertility,0.00028162346847508386,97,26,26,3.0523628633521214e-05,0.057669103145599365,0.057669103145599365,0.0,1e-12,1e-07
