age,age_index,tenure,income_index,z,children_ever_born,dependent_child_state,wealth_index,wealth,mass,gap,consumption,saving,housing,housing_cost,resources,income,child_consumption_requirement,value,baseline_housing,dc,current_surplus,housing_cap_binds,exact_consumption,exact_housing,exact_budget_gap
30.0,3,0,0,0.04352796175135016,3,2,47,0.1627906976744189,5.419946268119481e-50,0.041169929730563604,0.04,0.03926241634957362,2.3099999999999996,0.27281000305129033,0.3109024896703003,0.13469260315867213,0.0,-1593741659.1217082,2.3,0.2716290073670856,1.1065953641080373e-05,False,8.111344018911913e-06,2.3000250179544404,0.0
30.0,3,0,0,0.04352796175135016,3,3,47,0.1627906976744189,7.156614060689194e-54,0.04116941715187217,0.04,0.03926190377088217,2.3099999999999996,0.27281000305129033,0.3109024896703003,0.13469260315867213,0.0,-1669727912.5610967,2.3,0.2716290073670856,1.1578532332530422e-05,False,8.4870641997448e-06,2.300026176794497,0.0
30.0,3,0,1,0.05792653968743761,2,2,47,0.1627906976744189,1.3457230548365846e-47,0.04116992973056355,0.04,0.08381726950518874,2.3099999999999996,0.27281000305129033,0.3554573428259155,0.1792474563142873,0.0,-1060993267.1846633,2.3,0.2716290073670856,1.10659536411567e-05,False,8.111344018967861e-06,2.3000250179544404,0.0
30.0,3,0,1,0.05792653968743761,3,2,47,0.1627906976744189,2.1679785072477923e-49,0.041169929730563604,0.04,0.08381726950518882,2.3099999999999996,0.27281000305129033,0.3554573428259155,0.1792474563142873,0.0,-1060993267.3353325,2.3,0.2716290073670856,1.1065953641073434e-05,False,8.111344018906828e-06,2.3000250179544404,0.0
30.0,3,0,1,0.05792653968743761,3,3,47,0.1627906976744189,2.8626456242756774e-53,0.04116941715187217,0.04,0.08381675692649737,2.3099999999999996,0.27281000305129033,0.3554573428259155,0.1792474563142873,0.0,-1114966465.086547,2.3,0.2716290073670856,1.1578532332523483e-05,False,8.487064199739714e-06,2.300026176794497,0.0
34.0,4,0,0,0.04352796175135016,1,1,47,0.1627906976744189,9.125801129184638e-30,0.04116969995638686,0.04,0.06303146948575082,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1056382418.3470896,2.3,0.2716290073670856,1.129572781784216e-05,False,8.279768490478303e-06,2.3000255374288634,5.551115123125783e-17
34.0,4,0,0,0.04352796175135016,2,1,47,0.1627906976744189,2.240427810701954e-34,0.04116969995638686,0.04,0.06303146948575082,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1056382418.3479278,2.3,0.2716290073670856,1.129572781784216e-05,False,8.279768490478303e-06,2.3000255374288634,5.551115123125783e-17
34.0,4,0,0,0.04352796175135016,2,2,47,0.1627906976744189,2.3111449399103796e-48,0.04116992951883219,0.04,0.06303169904819615,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1309675222.2682738,2.3,0.2716290073670856,1.1066165372511372e-05,False,8.111499218050835e-06,2.3000250184331237,5.551115123125783e-17
34.0,4,0,0,0.04352796175135016,3,1,47,0.1627906976744189,5.715700957894274e-47,0.041169699956386974,0.04,0.06303146948575093,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1056382418.4124851,2.3,0.2716290073670856,1.1295727817731138e-05,False,8.279768490396924e-06,2.3000255374288634,5.551115123125783e-17
34.0,4,0,0,0.04352796175135016,3,2,47,0.1627906976744189,2.257975883239041e-50,0.041169929518832304,0.04,0.06303169904819628,2.3099999999999996,0.27281000305129033,0.3346717725806543,0.15846188606902603,0.0,-1309675222.3506312,2.3,0.2716290073670856,1.1066165372386472e-05,False,8.111499217959283e-06,2.3000250184331232,5.551115123125783e-17
