f_c_y,control,K,rows,unsupported
1990,0,-10,41,0
1990,0,-9,48,0
1990,0,-8,54,0
1990,0,-7,70,0
1990,0,-6,77,0
1990,0,-5,89,0
1990,0,-4,92,0
1990,0,-3,113,0
1990,0,-2,136,0
1990,0,-1,177,0
1990,0,0,275,0
1990,0,1,275,0
1990,0,2,267,0
1990,0,3,243,0
1990,0,4,254,0
1990,0,5,225,0
1990,0,6,185,0
1990,0,7,146,0
1990,0,9,146,0
1990,0,11,144,0
1990,0,13,142,0
1990,0,15,136,0
1990,0,17,133,0
1990,0,19,135,0
1990,0,21,131,0
1990,0,23,122,0
1990,0,25,114,0
1990,0,27,115,0
1990,0,29,109,0
1991,0,-19,1,0
1991,0,-18,1,0
1991,0,-17,1,0
1991,0,-16,5,0
1991,0,-15,5,0
1991,0,-14,6,0
1991,0,-13,11,0
1991,0,-12,29,0
1991,0,-11,36,0
1991,0,-10,41,0
1991,0,-9,54,0
1991,0,-8,70,0
1991,0,-7,81,0
1991,0,-6,94,0
1991,0,-5,107,0
1991,0,-4,120,0
1991,0,-3,144,0
1991,0,-2,166,0
1991,0,-1,248,0
1991,0,0,322,0
1991,0,1,303,0
1991,0,2,279,0
1991,0,3,282,0
1991,0,4,264,0
1991,0,5,214,0
1991,0,6,165,0
1991,0,8,160,0
1991,0,10,160,0
1991,0,12,155,0
1991,0,14,147,0
1991,0,16,137,0
1991,0,18,133,0
1991,0,20,131,0
1991,0,22,127,0
1991,0,24,116,0
1991,0,26,111,0
1991,0,28,105,0
1992,0,-17,4,0
1992,0,-16,4,0
1992,0,-15,4,0
1992,0,-14,5,0
1992,0,-13,20,0
1992,0,-12,30,0
1992,0,-11,35,0
1992,0,-10,36,0
1992,0,-9,46,0
1992,0,-8,52,0
1992,0,-7,77,0
1992,0,-6,82,0
1992,0,-5,97,0
1992,0,-4,108,0
1992,0,-3,132,0
1992,0,-2,202,0
1992,0,-1,250,0
1992,0,0,324,0
1992,0,1,315,0
1992,0,2,308,0
1992,0,3,280,0
1992,0,4,205,0
1992,0,5,164,0
1992,0,7,158,0
1992,0,9,155,0
1992,0,11,148,0
1992,0,13,144,0
1992,0,15,142,0
1992,0,17,147,0
1992,0,19,138,0
1992,0,21,137,0
1992,0,23,126,0
1992,0,25,125,0
1992,0,27,116,0
1993,0,-23,1,0
1993,0,-22,1,0
1993,0,-21,2,0
1993,0,-20,2,0
1993,0,-19,3,0
1993,0,-18,5,0
1993,0,-17,5,0
1993,0,-16,5,0
1993,0,-15,8,0
1993,0,-14,19,0
1993,0,-13,21,0
1993,0,-12,26,0
1993,0,-11,33,0
1993,0,-10,44,0
1993,0,-9,49,0
1993,0,-8,56,0
1993,0,-7,66,0
1993,0,-6,78,0
1993,0,-5,88,0
1993,0,-4,108,0
1993,0,-3,172,0
1993,0,-2,211,0
1993,0,-1,252,0
1993,0,0,341,0
1993,0,1,346,0
1993,0,2,302,0
1993,0,3,227,0
1993,0,4,186,0
1993,0,6,179,0
1993,0,8,183,0
1993,0,10,180,0
1993,0,12,170,0
1993,0,14,169,0
1993,0,16,160,0
1993,0,18,148,0
1993,0,20,143,0
1993,0,22,140,0
1993,0,24,130,0
1993,0,26,128,0
1994,0,-19,3,0
1994,0,-18,4,0
1994,0,-17,5,0
1994,0,-16,7,0
1994,0,-15,12,0
1994,0,-14,15,0
1994,0,-13,23,0
1994,0,-12,35,0
1994,0,-11,39,0
1994,0,-10,46,0
1994,0,-9,52,0
1994,0,-8,62,0
1994,0,-7,71,0
1994,0,-6,84,0
1994,0,-5,94,0
1994,0,-4,135,0
1994,0,-3,168,0
1994,0,-2,207,0
1994,0,-1,256,0
1994,0,0,343,0
1994,0,1,330,0
1994,0,2,233,0
1994,0,3,179,0
1994,0,5,162,0
1994,0,7,168,0
1994,0,9,167,0
1994,0,11,159,0
1994,0,13,151,0
1994,0,15,147,0
1994,0,17,146,0
1994,0,19,136,0
1994,0,21,128,0
1994,0,23,126,0
1994,0,25,116,0
1995,0,-21,1,0
1995,0,-20,1,0
1995,0,-19,1,0
1995,0,-18,5,0
1995,0,-17,4,0
1995,0,-16,15,0
1995,0,-15,12,0
1995,0,-14,13,0
1995,0,-13,14,0
1995,0,-12,16,0
1995,0,-11,29,0
1995,0,-10,37,0
1995,0,-9,44,0
1995,0,-8,57,0
1995,0,-7,67,0
1995,0,-6,76,0
1995,0,-5,91,0
1995,0,-4,106,0
1995,0,-3,125,0
1995,0,-2,160,0
1995,0,-1,200,0
1995,0,0,247,0
1995,0,1,230,0
1995,0,2,183,0
1995,0,4,180,0
1995,0,6,182,0
1995,0,8,173,0
1995,0,10,169,0
1995,0,12,166,0
1995,0,14,160,0
1995,0,16,157,0
1995,0,18,154,0
1995,0,20,143,0
1995,0,22,137,0
1995,0,24,128,0
1996,0,-21,3,0
1996,0,-20,3,0
1996,0,-19,3,0
1996,0,-18,4,0
1996,0,-17,8,0
1996,0,-16,10,0
1996,0,-15,11,0
1996,0,-14,18,0
1996,0,-13,19,0
1996,0,-12,21,0
1996,0,-11,28,0
1996,0,-10,30,0
1996,0,-9,37,0
1996,0,-8,46,0
1996,0,-7,54,0
1996,0,-6,59,0
1996,0,-5,67,0
1996,0,-4,83,0
1996,0,-3,116,0
1996,0,-2,149,0
1996,0,-1,154,0
1996,0,0,196,0
1996,0,1,178,0
1996,0,3,172,0
1996,0,5,172,0
1996,0,7,166,0
1996,0,9,160,0
1996,0,11,146,0
1996,0,13,145,0
1996,0,15,144,0
1996,0,17,132,0
1996,0,19,120,0
1996,0,21,119,0
1996,0,23,115,0
1997,0,-22,1,0
1997,0,-21,1,0
1997,0,-20,2,0
1997,0,-19,2,0
1997,0,-18,7,0
1997,0,-17,9,0
1997,0,-16,10,0
1997,0,-15,10,0
1997,0,-14,17,0
1997,0,-13,17,0
1997,0,-12,19,0
1997,0,-11,26,0
1997,0,-10,26,0
1997,0,-9,32,0
1997,0,-8,39,0
1997,0,-7,44,0
1997,0,-6,50,0
1997,0,-5,64,0
1997,0,-4,81,0
1997,0,-3,105,0
1997,0,-2,118,0
1997,0,-1,135,0
1997,0,0,195,0
1997,0,2,190,0
1997,0,4,189,0
1997,0,6,192,0
1997,0,8,186,0
1997,0,10,173,0
1997,0,12,174,0
1997,0,14,165,0
1997,0,16,157,0
1997,0,18,140,0
1997,0,20,138,0
1997,0,22,125,0
1998,0,-20,1,0
1998,0,-19,7,0
1998,0,-18,6,0
1998,0,-17,7,0
1998,0,-16,8,0
1998,0,-15,8,0
1998,0,-14,10,0
1998,0,-13,15,0
1998,0,-12,19,0
1998,0,-11,23,0
1998,0,-10,25,0
1998,0,-9,31,0
1998,0,-8,35,0
1998,0,-7,39,0
1998,0,-6,43,0
1998,0,-5,53,0
1998,0,-4,78,0
