parameter,target,method,full_step,derivative,weighted_response_per_full_step,half_derivative
beta_annual,recent_parent_ownership,one-sided,0.001,-0.10998481281337957,-0.018091021685442736,-0.10971659876979345
chi,cps_childlessness,central,0.04765297356765779,0.019922143214081398,0.17895249171172609,0.01968291040330104
chi,cps_exactly_one,central,0.04765297356765779,-0.01509250195588632,-0.11807375063864278,-0.014694570399636744
chi,nchs_mean_age,central,0.04765297356765779,0.5044126173744496,0.2842321012931197,0.5097309578898614
chi,nchs_share30,central,0.04765297356765779,0.03159095698743822,0.17726761877328204,0.032117087795808574
chi,wealth_earnings,central,0.04765297356765779,0.4229702922223388,0.05554776324503539,0.41646221446359
chi,bequest_wealth,central,0.04765297356765779,5.957807382660103e-05,0.006452437221070416,5.582224680056069e-05
chi,old_dispersion,central,0.04765297356765779,0.22679293567617645,0.0352133528493276,2.5618929781128386
chi,mean_rooms,central,0.04765297356765779,1.3940635469517528,0.7516448381350952,1.4659149517965429
chi,ownership_30_55,central,0.04765297356765779,0.9014855265461091,2.077770206556647,0.9388561862495632
chi,first_birth_rooms,central,0.04765297356765779,-1.0754054970550397,-0.6010583962958438,-1.1581017464341787
chi,family_rooms,central,0.04765297356765779,-0.17201536156583713,-0.1372920567464242,-0.20267881093089496
chi,recent_parent_ownership,central,0.04765297356765779,0.21132545687545598,1.6564266026708607,0.23318513662978274
first_birth_fixed_cost,cps_childlessness,central,0.01,0.06540023458496552,0.12327953629527198,
first_birth_fixed_cost,cps_exactly_one,central,0.01,-0.08283319497740804,-0.13598985949493667,
first_birth_fixed_cost,nchs_mean_age,central,0.01,-0.7484673958231269,-0.08850546027234306,
first_birth_fixed_cost,nchs_share30,central,0.01,-0.04755625649461859,-0.05599951728605318,
first_birth_fixed_cost,wealth_earnings,central,0.01,-0.012803489112434008,-0.00035285399673326627,
first_birth_fixed_cost,bequest_wealth,central,0.01,1.1024786414348675e-05,0.0002505633275988335,
first_birth_fixed_cost,old_dispersion,central,0.01,0.020622551676696688,0.0006719396214685753,
first_birth_fixed_cost,mean_rooms,central,0.01,-0.014215560785224568,-0.0016084371630792418,
first_birth_fixed_cost,ownership_30_55,central,0.01,0.0007021972271065158,0.00033963141949507454,
first_birth_fixed_cost,first_birth_rooms,central,0.01,-0.031767420790007606,-0.0037259443656500624,
first_birth_fixed_cost,family_rooms,central,0.01,-0.15138961066507584,-0.025356204434214647,
first_birth_fixed_cost,recent_parent_ownership,central,0.01,0.07756822284813447,0.1275892885345845,
h_P,cps_childlessness,one-sided,0.05,0.02400373186064786,0.22623534547817817,0.023923860762907756
h_P,cps_exactly_one,one-sided,0.05,-0.020231287172544077,-0.16607169992334359,-0.02009409309576271
h_P,nchs_mean_age,one-sided,0.05,0.3357342546424036,0.19850106298644876,0.34323115180171726
h_P,nchs_share30,one-sided,0.05,0.019052462371719203,0.1121754291202147,0.01959629666003826
h_P,wealth_earnings,one-sided,0.05,0.01123075873447732,0.001547553979625328,0.010414605723205739
h_P,bequest_wealth,one-sided,0.05,-5.161078132184804e-05,-0.005864861513846368,-4.990820748861091e-05
h_P,old_dispersion,one-sided,0.05,-0.13376523574557098,-0.021792201877253576,-0.13260658376825774
h_P,mean_rooms,one-sided,0.05,0.0560383786467078,0.031702657438514546,0.05551426261575898
h_P,ownership_30_55,one-sided,0.05,0.05942211045526169,0.14370332824065898,0.05967422007680856
h_P,first_birth_rooms,one-sided,0.05,0.29845977891254094,0.17502908702650127,0.30364488315701266
h_P,family_rooms,one-sided,0.05,-0.022307536317036636,-0.01868141574555668,-0.023526174840391434
h_P,recent_parent_ownership,one-sided,0.05,0.08226716101959464,0.6765920475450615,0.08287029376604638
kappa_fert,cps_childlessness,central,0.009888557752912053,-0.053458268208724014,-0.09964592108860351,-0.053675303390153986
kappa_fert,cps_exactly_one,central,0.009888557752912053,0.1635301239576586,0.26548062560521674,0.16359695209471778
kappa_fert,nchs_mean_age,central,0.009888557752912053,8.159107321001551,0.9540536080225089,8.158586316853334
kappa_fert,nchs_share30,central,0.009888557752912053,0.49265738547043947,0.5736600081005624,0.49260774982193895
kappa_fert,wealth_earnings,central,0.009888557752912053,0.3374637203115402,0.009196588380335768,0.3382777707757147
kappa_fert,bequest_wealth,central,0.009888557752912053,-0.0003209412120517478,-0.0072128311605984124,-0.0003214996926327219
kappa_fert,old_dispersion,central,0.009888557752912053,-0.06486560591336682,-0.002089947051016697,-0.06504289855463592
kappa_fert,mean_rooms,central,0.009888557752912053,0.04520513297643698,0.005057790166009229,0.045291991318892125
kappa_fert,ownership_30_55,central,0.009888557752912053,0.00652159426802292,0.0031191443995100135,0.006566057324957037
kappa_fert,first_birth_rooms,central,0.009888557752912053,0.1312985670798003,0.015228157185679056,0.1311659111493284
kappa_fert,family_rooms,central,0.009888557752912053,0.292537486319126,0.04845098963632012,0.2926634520839389
kappa_fert,recent_parent_ownership,central,0.009888557752912053,0.04863848676547434,0.07911218569754914,0.048660387630816836
kappa_fert_continuation,cps_childlessness,central,0.017324684663692143,-0.17040481593137202,-0.5564919534588648,
kappa_fert_continuation,cps_exactly_one,central,0.017324684663692143,0.07446639009317381,0.21180087585117194,
kappa_fert_continuation,nchs_mean_age,central,0.017324684663692143,-6.386971287080703,-1.3084510516176093,
kappa_fert_continuation,nchs_share30,central,0.017324684663692143,-0.3815472118315269,-0.7783774495658532,
kappa_fert_continuation,wealth_earnings,central,0.017324684663692143,-0.00019409127742792785,-9.2669764934909e-06,
kappa_fert_continuation,bequest_wealth,central,0.017324684663692143,7.643126639556682e-05,0.0030094263380678297,
kappa_fert_continuation,old_dispersion,central,0.017324684663692143,-0.07778692629091649,-0.004390963219145899,
kappa_fert_continuation,mean_rooms,central,0.017324684663692143,0.061060867581750805,0.01196929060488332,
kappa_fert_continuation,ownership_30_55,central,0.017324684663692143,-0.022176542993735587,-0.01858266233459378,
kappa_fert_continuation,first_birth_rooms,central,0.017324684663692143,0.14976121151960956,0.030431201057173403,
kappa_fert_continuation,family_rooms,central,0.017324684663692143,-0.21833445017623385,-0.0633542534773561,
kappa_fert_continuation,recent_parent_ownership,central,0.017324684663692143,-0.2059721065389051,-0.586954076748176,
theta0,cps_childlessness,central,0.008539174699952684,0.0008057028781868093,0.001296888083787647,
theta0,cps_exactly_one,central,0.008539174699952684,-0.0008971866371594628,-0.001257768770622144,
theta0,nchs_mean_age,central,0.008539174699952684,-0.01800483558588317,-0.0018180349878491422,
theta0,nchs_share30,central,0.008539174699952684,-0.0012449781424821282,-0.001251855633854388,
theta0,wealth_earnings,central,0.008539174699952684,1.490706985028435,0.03508123627607178,
theta0,bequest_wealth,central,0.008539174699952684,0.011224944124761004,0.2178449065421402,
theta0,old_dispersion,central,0.008539174699952684,-12.788602628218412,-0.3558171211671759,
theta0,mean_rooms,central,0.008539174699952684,-0.0063156676849584715,-0.0006102043107889361,
theta0,ownership_30_55,central,0.008539174699952684,-0.014282622500162063,-0.005898921359238803,
theta0,first_birth_rooms,central,0.008539174699952684,0.08549237302561752,0.008562442753876177,
theta0,family_rooms,central,0.008539174699952684,0.011664916592085028,0.0016683444043059988,
theta0,recent_parent_ownership,central,0.008539174699952684,-0.004070843668446517,-0.005717822871659437,
theta1,cps_childlessness,central,0.003674361494458432,-0.00030126528523804824,-0.00020866166003374493,
theta1,cps_exactly_one,central,0.003674361494458432,0.0003437056714928117,0.00020733407897846758,
theta1,nchs_mean_age,central,0.003674361494458432,0.008183261771745562,0.0003555539464519393,
theta1,nchs_share30,central,0.003674361494458432,0.0005408648277529434,0.0002340169119918351,
theta1,wealth_earnings,central,0.003674361494458432,-0.3173391505900362,-0.003213455133758377,
theta1,bequest_wealth,central,0.003674361494458432,-0.002553092026991935,-0.021320415990427253,
theta1,old_dispersion,central,0.003674361494458432,0.01420054962204282,0.00017001016342195393,
theta1,mean_rooms,central,0.003674361494458432,0.002040040045265813,8.481265838569113e-05,
theta1,ownership_30_55,central,0.003674361494458432,0.004184519191250254,0.0007436630360668751,
theta1,first_birth_rooms,central,0.003674361494458432,-0.022485290883253784,-0.0009690245984607407,
theta1,family_rooms,central,0.003674361494458432,-0.00368380437130048,-0.0002267078783770985,
theta1,recent_parent_ownership,central,0.003674361494458432,0.0012080583574840512,0.0007301299601252643,
