stage,case_id,label,candidate,moment,target,model,gap,weight,loss_contribution,standardized_gap
round1,2,coordinate_0_minus,task_002,own_rate,0.575472,0.5462517899995138,-0.029220210000486135,1207.8460856134493,1.0312839570617642,-1.0155215197433112
round1,2,coordinate_0_minus,task_002,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.328205545185151,0.5482350632431832,11.973159013172177,3.5986728426146124,1.8970168271827776
round1,2,coordinate_0_minus,task_002,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.020861117879601,0.14776111787960122,6.287669427540395,0.13728087445026535,0.3705143377121395
round1,2,coordinate_0_minus,task_002,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008486372869635373,-0.00031362713036462743,5165289.256198346,0.508068062503879,-0.7127889326468804
round1,2,coordinate_0_minus,task_002,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.267547843984865,-0.18056291046065498,56.95977216091135,1.8570574373241724,-1.3627389468728677
round1,3,coordinate_0_plus,task_003,tfr,1.918,1.921561094355758,0.003561094355758021,1425.7389910084596,0.018080356475531165,0.13446321606867495
round1,3,coordinate_0_plus,task_003,childless_rate,0.188,0.18983347048461638,0.0018334704846163785,17180.743822072007,0.05775502927124692,0.2403227606183961
round1,3,coordinate_0_plus,task_003,mean_age_first_birth,26.0446272574833,26.25067305228488,0.20604579480158236,44.44444444444444,1.8868830913518124,1.373638632010549
round1,3,coordinate_0_plus,task_003,share_first_births_age30plus,0.260327401666964,0.23709032148339312,-0.023237080183570874,10000.0,5.399618954577022,-2.3237080183570873
round1,3,coordinate_0_plus,task_003,housing_increment_0to1,0.7202462623815278,0.4667059613843767,-0.2535403009971511,137.5652749002964,8.8430651273912,-2.9737291617413986
round1,3,coordinate_0_plus,task_003,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3793769204784523,0.01167736166845229,2958.514988007638,0.40342539819912454,0.6351577742570145
round1,3,coordinate_0_plus,task_003,own_family_gap,0.16766167,0.17000268141493013,0.002341011414930122,14229.590955975675,0.0779829174519195,0.2792542165338234
round1,3,coordinate_0_plus,task_003,own_rate,0.575472,0.5468688253997201,-0.028603174600279835,1207.8460856134493,0.9881891256725781,-0.9940770220021073
round1,3,coordinate_0_plus,task_003,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.328827476272862,0.5488569943308939,11.973159013172177,3.606842316469289,1.8991688488571228
round1,3,coordinate_0_plus,task_003,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.040926297171548,0.16782629717154762,6.287669427540395,0.1770963971548083,0.4208282276117042
round1,3,coordinate_0_plus,task_003,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008482811893419153,-0.0003171881065808478,5165289.256198346,0.519670945022434,-0.7208820604110177
round1,3,coordinate_0_plus,task_003,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.3035325624263203,-0.14457819201919975,56.95977216091135,1.190621778998396,-1.0911561661826394
round1,4,coordinate_1_minus,task_004,tfr,1.918,1.9209030131151827,0.0029030131151828176,1425.7389910084596,0.012015394170113417,0.10961475343270821
round1,4,coordinate_1_minus,task_004,childless_rate,0.188,0.1907768597395126,0.0027768597395126104,17180.743822072007,0.13247985679688518,0.36397782459496786
round1,4,coordinate_1_minus,task_004,mean_age_first_birth,26.0446272574833,26.19362576446569,0.14899850698239092,44.44444444444444,0.9866913370214043,0.9933233798826062
round1,4,coordinate_1_minus,task_004,share_first_births_age30plus,0.260327401666964,0.23355941862467713,-0.026767983042286864,10000.0,7.165249161521571,-2.6767983042286865
round1,4,coordinate_1_minus,task_004,housing_increment_0to1,0.7202462623815278,0.4654173061341913,-0.2548289562473365,137.5652749002964,8.933185887760567,-2.9888435703061758
round1,4,coordinate_1_minus,task_004,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.3777255707612692,0.010026011951269231,2958.514988007638,0.2973926355498816,0.5453371760203788
round1,4,coordinate_1_minus,task_004,own_family_gap,0.16766167,0.17190977274749863,0.004248102747498622,14229.590955975675,0.25679256228288155,0.50674703973766
round1,4,coordinate_1_minus,task_004,own_rate,0.575472,0.5465842872733319,-0.028887712726668124,1207.8460856134493,1.0079474939194781,-1.0039658828463636
round1,4,coordinate_1_minus,task_004,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.328152851011469,0.5481823690695009,11.973159013172177,3.5979810956202645,1.8968344934707047
round1,4,coordinate_1_minus,task_004,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.02945079480462,0.1563507948046201,6.287669427540395,0.1537056696420532,0.392053146450903
round1,4,coordinate_1_minus,task_004,annual_bequest_flow_to_aggregate_wealth,0.0088,0.008485748481993004,-0.00031425151800699644,5165289.256198346,0.5100930607939131,-0.7142079954704463
round1,4,coordinate_1_minus,task_004,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.303778326311326,-0.14433242813419422,56.95977216091135,1.186577418931283,-1.089301344409013
round1,5,coordinate_1_plus,task_005,tfr,1.918,1.9225172141969589,0.004517214196958941,1425.7389910084596,0.02909252362135695,0.17056530603073108
round1,5,coordinate_1_plus,task_005,childless_rate,0.188,0.18895537810328594,0.0009553781032859421,17180.743822072007,0.015681677883295993,0.12522650631274512
round1,5,coordinate_1_plus,task_005,mean_age_first_birth,26.0446272574833,26.309108174086905,0.2644809166036062,44.44444444444444,3.1088957887770525,1.7632061106907078
round1,5,coordinate_1_plus,task_005,share_first_births_age30plus,0.260327401666964,0.24072870229315857,-0.019598699373805428,10000.0,3.841090171448013,-1.9598699373805428
round1,5,coordinate_1_plus,task_005,housing_increment_0to1,0.7202462623815278,0.4666537878889123,-0.25359247449261546,137.5652749002964,8.846704951807334,-2.974341095403709
round1,5,coordinate_1_plus,task_005,prime30_55_parent_3plus_minus_1to2_mean_rooms,0.36769955881,0.38056999929260193,0.012870440482601941,2958.514988007638,0.490072795499684,0.7000519948544422
round1,5,coordinate_1_plus,task_005,own_family_gap,0.16766167,0.16731532417163958,-0.0003463458283604337,14229.590955975675,0.0017069167420136837,-0.041314848928849825
round1,5,coordinate_1_plus,task_005,own_rate,0.575472,0.5466521679574603,-0.028819832042539684,1207.8460856134493,1.0032160858742498,-1.001606752110952
round1,5,coordinate_1_plus,task_005,aggregate_mean_occupied_rooms_18_85,5.779970481941968,6.329139002109268,0.5491685201673002,11.973159013172177,3.6109378949539033,1.9002467984327465
round1,5,coordinate_1_plus,task_005,aggregate_wealth_to_annual_gross_labor_earnings,6.8731,7.03250132643352,0.15940132643352012,6.287669427540395,0.15976202723494987,0.3997024233538619
round1,5,coordinate_1_plus,task_005,annual_bequest_flow_to_aggregate_wealth,0.0088,0.00848337245788727,-0.0003166275421127313,5165289.256198346,0.5178357459935403,-0.7196080502562074
round1,5,coordinate_1_plus,task_005,old_total_wealth_to_annual_income_p90_p50_7684,3.44811075444552,3.303573125506638,-0.144537628938882,56.95977216091135,1.189953787356294,-1.0908500297274113
round1,6,coordinate_2_minus,task_006,tfr,1.918,1.9194605489063101,0.0014605489063101995,1425.7389910084596,0.003041390846422412,0.05514880639163836
round1,6,coordinate_2_minus,task_006,childless_rate,0.188,0.191610820323174,0.003610820323174002,17180.743822072007,0.22400294008889818,0.47328948867357934
