label,phi,lambda,rental_cap,birth_flow,first_birth_flow,mean_rooms,ownership,cumulative_explicit_births_per_initial_household,first_births_per_initial_household,first_birth_mean_age
arm_33_phi0.95_lambda1_cap6,0.95,1.0,6.0,0.12400969919534298,0.05767349690882309,6.865285391739723,0.6371952671844422,1.9310709764890146,0.8346635091790915,23.339531030211138
arm_34_phi0.95_lambda1_cap8,0.95,1.0,8.0,0.1250668573213317,0.0584589064838803,7.01034711641904,0.5758180596461809,1.9380421687846996,0.8360747722627049,23.260745352489334
arm_35_phi0.95_lambda1_cap10,0.95,1.0,10.0,0.12520750517391369,0.05855819587678965,7.087031428882043,0.5476481714916778,1.9387804199424692,0.8361745740079896,23.251410093330282
arm_36_phi0.95_lambda5_cap6,0.95,5.0,6.0,0.12422015852558006,0.05786333722810513,6.867663256262207,0.6375243594600586,1.9328583949694746,0.834575747843151,23.30190840706744
arm_37_phi0.95_lambda5_cap8,0.95,5.0,8.0,0.12529570505609527,0.058665029152289744,7.013973547959789,0.575798724297645,1.9398784541520737,0.8359857329798251,23.22092895749705
arm_38_phi0.95_lambda5_cap10,0.95,5.0,10.0,0.1254422090872585,0.058769147901929636,7.0919352208115125,0.5475990241984694,1.9406415591211414,0.8360846523586669,23.21101673929599
arm_39_phi1_lambda0_cap6,1.0,0.0,6.0,0.11638809385408035,0.05117978923918354,6.757174840224956,0.6726613960122206,1.876793056486325,0.8201219404993607,24.025385248516265
arm_40_phi1_lambda0_cap8,1.0,0.0,8.0,0.11698657815556611,0.05161512841612814,6.848946226232303,0.6112985087446393,1.881565126231141,0.8212643409913942,23.981962971846375
arm_41_phi1_lambda0_cap10,1.0,0.0,10.0,0.11708339039530219,0.05167995373525741,6.912109485880218,0.5818440466146977,1.8822410548303297,0.8213892417722828,23.975838417728287
arm_42_phi1_lambda0.25_cap6,1.0,0.25,6.0,0.12013804252203499,0.054238230965108325,6.8399565852927395,0.6983925396252088,1.898601338950527,0.8252912964714952,23.720225333559252
arm_43_phi1_lambda0.25_cap8,1.0,0.25,8.0,0.12076623309732107,0.05470560990010165,6.941937616304923,0.6192656255618019,1.9032776856134237,0.8264182252176703,23.671601672126407
arm_44_phi1_lambda0.25_cap10,1.0,0.25,10.0,0.12086056918716459,0.05476803142490877,7.005861038839167,0.5894184425995866,1.903887007009486,0.8265284875071404,23.665967589344877
arm_45_phi1_lambda1_cap6,1.0,1.0,6.0,0.12428717707861138,0.057871910288197326,6.909951307847317,0.6866715479104083,1.931975162418203,0.8345910214643815,23.31831117151441
arm_46_phi1_lambda1_cap8,1.0,1.0,8.0,0.12511362016612118,0.058496236422194814,7.022914486683836,0.6038704403489296,1.9379936318277786,0.8359019906293736,23.25528113941059
arm_47_phi1_lambda1_cap10,1.0,1.0,10.0,0.1252096393368234,0.058559614413628835,7.088141015094822,0.573995727739369,1.9385630710915793,0.835994473905132,23.24950838295749
arm_48_phi1_lambda5_cap6,1.0,5.0,6.0,0.12451625195091737,0.058077294514947586,6.913023909442556,0.6874343711813322,1.9339968375861485,0.834575424234864,23.27940425740297
arm_49_phi1_lambda5_cap8,1.0,5.0,8.0,0.12534104779879351,0.05870103435340357,7.026665477769047,0.6029217438665826,1.9398939356413485,0.835873384178893,23.21631387627137
arm_50_phi1_lambda5_cap10,1.0,5.0,10.0,0.1254430913622921,0.058769494399764505,7.093028210126063,0.5729993680216408,1.9404910050210398,0.8359652399732029,23.209831072276263
